,Players,Values,Team
126,Aleix Vidal,$2.20m  ,sevilla fc
127,Nemanja Gudelj,$6.60m  ,sevilla fc
128,Fernando Reges,$4.40m  ,sevilla fc
129,Joan Jordán,$33.00m  ,sevilla fc
130,Óliver Torres,$14.30m  ,sevilla fc
131,Ivan Rakitic,$11.00m  ,sevilla fc
132,Óscar Rodríguez,$13.20m  ,sevilla fc
133,Franco Vázquez,$4.40m  ,sevilla fc
134,Carlos Álvarez,$330Th.  ,sevilla fc
135,Lucas Ocampos,$44.00m  ,sevilla fc
136,Bryan Gil,$33.00m  ,sevilla fc
137,Oussama Idrissi,$8.80m  ,sevilla fc
138,Suso,$22.00m  ,sevilla fc
139,Juanlu Sánchez,$440Th.  ,sevilla fc
140,Antonio Zarzana,$55Th.  ,sevilla fc
141,Papu Gómez,$9.90m  ,sevilla fc
142,Youssef En-Nesyri,$44.00m  ,sevilla fc
143,Luuk de Jong,$11.00m  ,sevilla fc
144,Munir El Haddadi,$11.00m  ,sevilla fc
145,Carlos Fernández,$9.90m  ,sevilla fc
146,Iván Romero,$550Th.  ,sevilla fc
147,Álex Remiro,$22.00m  ,real sociedad
148,Miguel Ángel Moyá,$880Th.  ,real sociedad
149,Andoni Zubiaurre,$330Th.  ,real sociedad
150,Gaizka Ayesa,$220Th.  ,real sociedad
151,Unai Marrero,0,real sociedad
152,Robin Le Normand,$24.20m  ,real sociedad
153,Diego Llorente,$22.00m  ,real sociedad
154,Aritz Elustondo,$16.50m  ,real sociedad
155,Modibo Sagnan,$3.30m  ,real sociedad
156,Urko González de Zárate,$550Th.  ,real sociedad
157,Jon Pacheco,$220Th.  ,real sociedad
158,Aritz Arambarri,$165Th.  ,real sociedad
159,Jérémy Blasco,$165Th.  ,real sociedad
160,Aihen Muñoz,$6.60m  ,real sociedad
161,Nacho Monreal,$1.65m  ,real sociedad
162,Andoni Gorosabel,$11.00m  ,real sociedad
163,Joseba Zaldua,$5.50m  ,real sociedad
164,Igor Zubeldia,$22.00m  ,real sociedad
165,Martín Zubimendi,$22.00m  ,real sociedad
166,Asier Illarramendi,$6.60m  ,real sociedad
167,Mikel Merino,$44.00m  ,real sociedad
168,Ander Guevara,$8.25m  ,real sociedad
169,Jon Guridi,$1.98m  ,real sociedad
170,Beñat Turrientes,$330Th.  ,real sociedad
171,Roberto López,$8.80m  ,real sociedad
172,David Silva,$5.50m  ,real sociedad
173,Robert Navarro,$3.30m  ,real sociedad
174,Luca Sangalli,$1.65m  ,real sociedad
175,Mikel Oyarzabal,$77.00m  ,real sociedad
176,Ander Barrenetxea,$16.50m  ,real sociedad
177,Martín Merquelanz,$2.20m  ,real sociedad
178,Portu,$22.00m  ,real sociedad
179,Adnan Januzaj,$13.20m  ,real sociedad
180,Alexander Isak,$44.00m  ,real sociedad
181,Willian José,$19.80m  ,real sociedad
182,Carlos Fernández,$9.90m  ,real sociedad
183,Julen Lobete,$1.65m  ,real sociedad
184,Jon Bautista,$1.32m  ,real sociedad
185,Joel Robles,$4.40m  ,real betis balompie
186,Dani Martín,$3.30m  ,real betis balompie
187,Claudio Bravo,$1.10m  ,real betis balompie
188,Carlos Marín,$110Th.  ,real betis balompie
189,Dani Rebollo,$110Th.  ,real betis balompie
190,Marc Bartra,$11.00m  ,real betis balompie
191,Aïssa Mandi,$8.80m  ,real betis balompie
192,Sidnei,$2.75m  ,real betis balompie
193,Víctor Ruiz,$2.42m  ,real betis balompie
194,Geovanni Barba,$55Th.  ,real betis balompie
195,Juan Miranda,$7.70m  ,real betis balompie
196,Álex Moreno,$6.60m  ,real betis balompie
197,José Calderón,$55Th.  ,real betis balompie
198,Emerson Royal,$27.50m  ,real betis balompie
199,Martín Montoya,$2.20m  ,real betis balompie
200,Fran Delgado,$440Th.  ,real betis balompie
201,Guido Rodríguez,$24.20m  ,real betis balompie
202,William Carvalho,$16.50m  ,real betis balompie
203,Víctor Camarasa,$1.65m  ,real betis balompie
204,Paul Akouokou,$1.65m  ,real betis balompie
205,Andrés Guardado,$1.65m  ,real betis balompie
