,Players,Values,Team
126,Radu Dragusin,$3.30m  ,juventus fc
127,Giorgio Chiellini,$1.65m  ,juventus fc
128,Koni De Winter,$440Th.  ,juventus fc
129,Alessandro Pio Riccio,$385Th.  ,juventus fc
130,Riccardo Capellini,$275Th.  ,juventus fc
131,Davide De Marino,$193Th.  ,juventus fc
132,Alex Sandro,$22.00m  ,juventus fc
133,Gianluca Frabotta,$2.75m  ,juventus fc
134,Danilo,$22.00m  ,juventus fc
135,Juan Cuadrado,$17.60m  ,juventus fc
136,Mattia De Sciglio,$8.25m  ,juventus fc
137,Daouda Peeters,$1.10m  ,juventus fc
138,Arthur,$44.00m  ,juventus fc
139,Rodrigo Bentancur,$38.50m  ,juventus fc
140,Adrien Rabiot,$33.00m  ,juventus fc
141,Weston McKennie,$27.50m  ,juventus fc
142,Aaron Ramsey,$15.40m  ,juventus fc
143,Hans Nicolussi Caviglia,$1.65m  ,juventus fc
144,Filippo Ranocchia,$660Th.  ,juventus fc
145,Wesley,$1.10m  ,juventus fc
146,Alessandro Di Pardo,$248Th.  ,juventus fc
147,Nicolò Fagioli,$1.32m  ,juventus fc
148,Manolo Portanova,$1.10m  ,juventus fc
149,Hamza Rafia,$550Th.  ,juventus fc
150,Douglas Costa,$6.60m  ,juventus fc
151,Marley Aké,$2.75m  ,juventus fc
152,Félix Correia,$2.20m  ,juventus fc
153,Federico Chiesa,$66.00m  ,juventus fc
154,Dejan Kulusevski,$44.00m  ,juventus fc
155,Federico Bernardeschi,$16.50m  ,juventus fc
156,Paulo Dybala,$55.00m  ,juventus fc
157,Cristiano Ronaldo,$49.50m  ,juventus fc
158,Álvaro Morata,$49.50m  ,juventus fc
159,Cosimo Marco Da Graca,$1.21m  ,juventus fc
160,Alejandro Marqués,$550Th.  ,juventus fc
161,Giacomo Vrioni,$385Th.  ,juventus fc
162,Alex Meret,$22.00m  ,ssc napoli
163,David Ospina,$5.50m  ,ssc napoli
164,Nikita Contini,$550Th.  ,ssc napoli
165,Hubert Idasiak,$165Th.  ,ssc napoli
166,Kalidou Koulibaly,$52.80m  ,ssc napoli
167,Konstantinos Manolas,$25.30m  ,ssc napoli
168,Amir Rrahmani,$15.40m  ,ssc napoli
169,Nikola Maksimovic,$11.00m  ,ssc napoli
170,Sebastiano Luperto,$2.42m  ,ssc napoli
171,Davide Costanzo,$83Th.  ,ssc napoli
172,Mário Rui,$8.80m  ,ssc napoli
173,Faouzi Ghoulam,$3.30m  ,ssc napoli
174,Giovanni Di Lorenzo,$26.40m  ,ssc napoli
175,Elseid Hysaj,$14.30m  ,ssc napoli
176,Kévin Malcuit,$3.85m  ,ssc napoli
177,Tiemoué Bakayoko,$22.00m  ,ssc napoli
178,Diego Demme,$17.60m  ,ssc napoli
179,Stanislav Lobotka,$9.90m  ,ssc napoli
180,Fabián Ruiz,$49.50m  ,ssc napoli
181,Valerio Labriola,$83Th.  ,ssc napoli
