,Players,Values,Team
131,Ben Chilwell,$49.50m  ,chelsea fc
132,Marcos Alonso,$13.20m  ,chelsea fc
133,Emerson,$13.20m  ,chelsea fc
134,Reece James,$44.00m  ,chelsea fc
135,César Azpilicueta,$14.30m  ,chelsea fc
136,N'Golo Kanté,$60.50m  ,chelsea fc
137,Jorginho,$44.00m  ,chelsea fc
138,Mateo Kovacic,$49.50m  ,chelsea fc
139,Ross Barkley,$22.00m  ,chelsea fc
140,Ruben Loftus-Cheek,$19.80m  ,chelsea fc
141,Conor Gallagher,$16.50m  ,chelsea fc
142,Billy Gilmour,$11.00m  ,chelsea fc
143,Lewis Bate,0,chelsea fc
144,Valentino Livramento,0,chelsea fc
145,Mason Mount,$82.50m  ,chelsea fc
146,Kai Havertz,$77.00m  ,chelsea fc
147,Hakim Ziyech,$41.80m  ,chelsea fc
148,Faustino Anjorin,$2.53m  ,chelsea fc
149,Charly Musonda Jr.,$1.10m  ,chelsea fc
150,Callum Hudson-Odoi,$35.20m  ,chelsea fc
151,Christian Pulisic,$55.00m  ,chelsea fc
152,Izzy Brown,$1.76m  ,chelsea fc
153,Timo Werner,$71.50m  ,chelsea fc
154,Tammy Abraham,$41.80m  ,chelsea fc
155,Michy Batshuayi,$11.00m  ,chelsea fc
156,Olivier Giroud,$4.40m  ,chelsea fc
157,Kasper Schmeichel,$6.60m  ,leicester city
158,Danny Ward,$6.60m  ,leicester city
159,Eldin Jakupovic,$330Th.  ,leicester city
160,Jakub Stolarczyk,0,leicester city
161,Caglar Söyüncü,$49.50m  ,leicester city
162,Wesley Fofana,$44.00m  ,leicester city
163,Jonny Evans,$7.70m  ,leicester city
164,Josh Knight,$660Th.  ,leicester city
165,Wes Morgan,$440Th.  ,leicester city
166,Ben Nelson,0,leicester city
167,Sam Hughes,0,leicester city
168,Luke Thomas,$5.50m  ,leicester city
169,Christian Fuchs,$880Th.  ,leicester city
170,Shane Flynn,0,leicester city
171,Ricardo Pereira,$33.00m  ,leicester city
172,Timothy Castagne,$30.80m  ,leicester city
