,Players,Values,Team
565,Harry Lewis,$220Th.  ,southampton fc
566,Jan Bednarek,$27.50m  ,southampton fc
567,Jannik Vestergaard,$19.80m  ,southampton fc
568,Mohammed Salisu,$11.00m  ,southampton fc
569,Jack Stephens,$5.50m  ,southampton fc
570,Allan Tchaptchet,$165Th.  ,southampton fc
571,Ryan Bertrand,$8.80m  ,southampton fc
572,Sam McQueen,$880Th.  ,southampton fc
573,Jake Vokins,$275Th.  ,southampton fc
574,Kyle Walker-Peters,$19.80m  ,southampton fc
575,Yan Valery,$3.30m  ,southampton fc
576,Kayne Ramsay,$275Th.  ,southampton fc
577,Ibrahima Diallo,$16.50m  ,southampton fc
578,Mario Lemina,$11.00m  ,southampton fc
579,Oriol Romeu,$6.60m  ,southampton fc
580,James Ward-Prowse,$33.00m  ,southampton fc
581,Stuart Armstrong,$8.80m  ,southampton fc
582,Will Smallbone,$2.20m  ,southampton fc
583,Alexandre Jankewitz,$550Th.  ,southampton fc
584,Caleb Watts,$275Th.  ,southampton fc
585,Kgaogelo Chauke,$165Th.  ,southampton fc
586,Ryan Finnigan,$165Th.  ,southampton fc
587,Will Ferry,0,southampton fc
588,Jake Hesketh,$220Th.  ,southampton fc
589,Nathan Redmond,$19.80m  ,southampton fc
590,Moussa Djenepo,$14.30m  ,southampton fc
591,Mohamed Elyounoussi,$13.20m  ,southampton fc
592,Takumi Minamino,$13.20m  ,southampton fc
593,Theo Walcott,$5.50m  ,southampton fc
594,Nathan Tella,$2.20m  ,southampton fc
595,Josh Sims,$1.32m  ,southampton fc
596,Danny Ings,$24.20m  ,southampton fc
597,Ché Adams,$22.00m  ,southampton fc
598,Michael Obafemi,$3.30m  ,southampton fc
599,Dan N'Lundulu,$1.65m  ,southampton fc
600,Shane Long,$1.32m  ,southampton fc
601,Robert Sánchez,$8.80m  ,brighton amp hove albion
602,Mathew Ryan,$6.60m  ,brighton amp hove albion
603,Jason Steele,$880Th.  ,brighton amp hove albion
604,Christian Walton,$880Th.  ,brighton amp hove albion
605,Tom McGill,0,brighton amp hove albion
606,Ben White,$30.80m  ,brighton amp hove albion
607,Lewis Dunk,$27.50m  ,brighton amp hove albion
608,Adam Webster,$19.80m  ,brighton amp hove albion
609,Shane Duffy,$5.50m  ,brighton amp hove albion
610,Dan Burn,$5.50m  ,brighton amp hove albion
611,Matt Clarke,$3.30m  ,brighton amp hove albion
612,Leo Östigard,$3.30m  ,brighton amp hove albion
613,Haydon Roberts,$550Th.  ,brighton amp hove albion
614,Lars Dendoncker,0,brighton amp hove albion
615,Michal Karbownik,$5.50m  ,brighton amp hove albion
616,Bernardo,$4.40m  ,brighton amp hove albion
617,Alex Cochrane,$275Th.  ,brighton amp hove albion
618,Tariq Lamptey,$19.80m  ,brighton amp hove albion
619,Joël Veltman,$6.60m  ,brighton amp hove albion
620,Romaric Yapi,0,brighton amp hove albion
621,Yves Bissouma,$27.50m  ,brighton amp hove albion
622,Jakub Moder,$11.00m  ,brighton amp hove albion
623,Davy Pröpper,$8.80m  ,brighton amp hove albion
624,Pascal Groß,$7.70m  ,brighton amp hove albion
625,Steven Alzate,$6.60m  ,brighton amp hove albion
626,Moisés Caicedo,$5.50m  ,brighton amp hove albion
627,Dale Stephens,$2.75m  ,brighton amp hove albion
628,Jayson Molumby,$1.10m  ,brighton amp hove albion
629,Max Sanders,$275Th.  ,brighton amp hove albion
630,Teddy Jenks,$220Th.  ,brighton amp hove albion
631,Jensen Weir,$165Th.  ,brighton amp hove albion
632,Solly March,$9.90m  ,brighton amp hove albion
633,Alexis Mac Allister,$11.00m  ,brighton amp hove albion
634,Adam Lallana,$4.40m  ,brighton amp hove albion
635,Leandro Trossard,$18.70m  ,brighton amp hove albion
636,José Izquierdo,$4.40m  ,brighton amp hove albion
637,Peter Gwargis,$330Th.  ,brighton amp hove albion
638,Reda Khadra,$165Th.  ,brighton amp hove albion
639,Alireza Jahanbakhsh,$5.50m  ,brighton amp hove albion
640,Percy Tau,$3.30m  ,brighton amp hove albion
641,Neal Maupay,$22.00m  ,brighton amp hove albion
642,Aaron Connolly,$7.70m  ,brighton amp hove albion
643,Danny Welbeck,$4.40m  ,brighton amp hove albion
644,Andi Zeqiri,$2.75m  ,brighton amp hove albion
645,Florin Andone,$2.20m  ,brighton amp hove albion
646,Viktor Gyökeres,$1.10m  ,brighton amp hove albion
647,Nick Pope,$16.50m  ,burnley fc
648,Bailey Peacock-Farrell,$1.10m  ,burnley fc
649,Will Norris,$440Th.  ,burnley fc
650,James Tarkowski,$27.50m  ,burnley fc
651,Ben Gibson,$7.70m  ,burnley fc
652,Ben Mee,$6.60m  ,burnley fc
653,Kevin Long,$1.10m  ,burnley fc
654,Jimmy Dunne,$660Th.  ,burnley fc
655,Richard Nartey,$220Th.  ,burnley fc
656,Bobby Thomas,$220Th.  ,burnley fc
657,Charlie Taylor,$4.40m  ,burnley fc
658,Erik Pieters,$1.65m  ,burnley fc
659,Anthony Driscoll-Glennon,$275Th.  ,burnley fc
660,Matthew Lowton,$2.75m  ,burnley fc
661,Phil Bardsley,$330Th.  ,burnley fc
662,Jack Cork,$5.50m  ,burnley fc
663,Ashley Westwood,$5.50m  ,burnley fc
664,Josh Brownhill,$7.70m  ,burnley fc
665,Dale Stephens,$2.75m  ,burnley fc
666,Josh Benson,$440Th.  ,burnley fc
667,Anthony Gomez Mancini,$275Th.  ,burnley fc
668,Mace Goodridge,$220Th.  ,burnley fc
669,Robbie Brady,$3.30m  ,burnley fc
670,Lewis Richardson,$220Th.  ,burnley fc
671,Dwight McNeil,$24.20m  ,burnley fc
672,Jóhann Berg Gudmundsson,$3.30m  ,burnley fc
673,Max Thompson,0,burnley fc
674,Chris Wood,$8.80m  ,burnley fc
675,Jay Rodríguez,$4.40m  ,burnley fc
676,Ashley Barnes,$3.85m  ,burnley fc
677,Matej Vydra,$3.30m  ,burnley fc
678,Joel Mumbongo,$330Th.  ,burnley fc
679,Alphonse Areola,$18.70m  ,fulham fc
680,Marek Rodak,$5.50m  ,fulham fc
681,Marcus Bettinelli,$2.75m  ,fulham fc
682,Fabri,$660Th.  ,fulham fc
683,Joachim Andersen,$24.20m  ,fulham fc
684,Tosin Adarabioyo,$13.20m  ,fulham fc
685,Alfie Mawson,$4.40m  ,fulham fc
686,Michael Hector,$3.85m  ,fulham fc
687,Terence Kongolo,$3.85m  ,fulham fc
688,Maxime Le Marchand,$1.65m  ,fulham fc
689,Tim Ream,$660Th.  ,fulham fc
690,Antonee Robinson,$7.70m  ,fulham fc
691,Joe Bryan,$5.50m  ,fulham fc
692,Ola Aina,$6.60m  ,fulham fc
693,Kenny Tete,$5.50m  ,fulham fc
694,Steven Sessegnon,$2.20m  ,fulham fc
695,Cyrus Christie,$1.65m  ,fulham fc
696,Denis Odoi,$660Th.  ,fulham fc
697,André Zambo Anguissa,$27.50m  ,fulham fc
698,Mario Lemina,$11.00m  ,fulham fc
699,Kevin McDonald,$880Th.  ,fulham fc
700,Ruben Loftus-Cheek,$19.80m  ,fulham fc
701,Harrison Reed,$11.00m  ,fulham fc
702,Tom Cairney,$9.90m  ,fulham fc
703,Jean Michaël Seri,$4.40m  ,fulham fc
704,Stefan Johansen,$2.20m  ,fulham fc
705,Tyrese Francois,$165Th.  ,fulham fc
706,Bobby Reid,$11.00m  ,fulham fc
707,Josh Onomah,$6.60m  ,fulham fc
708,Neeskens Kebano,$1.10m  ,fulham fc
709,Fábio Carvalho,$275Th.  ,fulham fc
710,Ademola Lookman,$12.10m  ,fulham fc
711,Sylvester Jasper,$275Th.  ,fulham fc
712,Ivan Cavaleiro,$7.70m  ,fulham fc
713,Anthony Knockaert,$3.30m  ,fulham fc
714,Aleksandar Mitrovic,$17.60m  ,fulham fc
715,Josh Maja,$5.50m  ,fulham fc
716,Aboubakar Kamara,$2.20m  ,fulham fc
717,Sam Johnstone,$8.80m  ,west bromwich albion
718,David Button,$1.10m  ,west bromwich albion
719,Alex Palmer,$275Th.  ,west bromwich albion
720,Jonathan Bond,$275Th.  ,west bromwich albion
721,Andy Lonergan,$275Th.  ,west bromwich albion
722,Semi Ajayi,$6.60m  ,west bromwich albion
723,Ahmed Hegazy,$4.40m  ,west bromwich albion
724,Dara O'Shea,$3.30m  ,west bromwich albion
725,Kyle Bartley,$2.75m  ,west bromwich albion
726,Cédric Kipré,$1.10m  ,west bromwich albion
727,Branislav Ivanovic,$550Th.  ,west bromwich albion
728,Caleb Taylor,0,west bromwich albion
729,Kieran Gibbs,$2.75m  ,west bromwich albion
730,Conor Townsend,$2.20m  ,west bromwich albion
731,George Harmon,0,west bromwich albion
732,Darnell Furlong,$5.50m  ,west bromwich albion
733,Lee Peltier,$440Th.  ,west bromwich albion
734,Taylor Gardner-Hickman,0,west bromwich albion
735,Okay Yokuslu,$8.25m  ,west bromwich albion
736,Jake Livermore,$2.75m  ,west bromwich albion
737,Conor Gallagher,$16.50m  ,west bromwich albion
738,Rekeem Harper,$2.75m  ,west bromwich albion
739,Romaine Sawyers,$2.20m  ,west bromwich albion
740,Sam Field,$1.10m  ,west bromwich albion
741,Toby King,0,west bromwich albion
742,Tim Iroegbunam,0,west bromwich albion
743,Ainsley Maitland-Niles,$17.60m  ,west bromwich albion
744,Kyle Edwards,$1.10m  ,west bromwich albion
745,Filip Krovinovic,$3.30m  ,west bromwich albion
746,Rico Richards,0,west bromwich albion
747,Grady Diangana,$11.00m  ,west bromwich albion
748,Kamil Grosicki,$1.10m  ,west bromwich albion
749,Matheus Pereira,$16.50m  ,west bromwich albion
750,Matt Phillips,$4.40m  ,west bromwich albion
751,Robert Snodgrass,$1.65m  ,west bromwich albion
752,Karlan Grant,$8.80m  ,west bromwich albion
753,Callum Robinson,$6.60m  ,west bromwich albion
754,Mbaye Diagne,$3.30m  ,west bromwich albion
755,Charlie Austin,$2.20m  ,west bromwich albion
756,Kenneth Zohore,$2.20m  ,west bromwich albion
757,Hal Robson-Kanu,$1.65m  ,west bromwich albion
758,Jamie Soule,0,west bromwich albion
759,Cheikh Diaby,0,west bromwich albion
760,Aaron Ramsdale,$13.20m  ,sheffield united
761,Michael Verrips,$990Th.  ,sheffield united
762,Wes Foderingham,$440Th.  ,sheffield united
763,Simon Moore,$440Th.  ,sheffield united
764,Jake Eastwood,$110Th.  ,sheffield united
765,Ethan Ampadu,$16.50m  ,sheffield united
766,John Egan,$9.90m  ,sheffield united
767,Jack O'Connell,$5.50m  ,sheffield united
768,Chris Basham,$2.20m  ,sheffield united
769,Kean Bryan,$2.20m  ,sheffield united
770,Kyron Gordon,$275Th.  ,sheffield united
771,Phil Jagielka,$275Th.  ,sheffield united
772,Enda Stevens,$3.85m  ,sheffield united
773,Max Lowe,$3.30m  ,sheffield united
774,Jack Robinson,$2.20m  ,sheffield united
775,Rhys Norrington-Davies,$1.65m  ,sheffield united
776,Harry Boyes,0,sheffield united
777,Jayden Bogle,$7.70m  ,sheffield united
778,George Baldock,$5.50m  ,sheffield united
779,Femi Seriki,$220Th.  ,sheffield united
780,Sander Berge,$19.80m  ,sheffield united
781,Jack Rodwell,$880Th.  ,sheffield united
782,Regan Slater,0,sheffield united
783,John Lundstram,$7.70m  ,sheffield united
784,John Fleck,$5.50m  ,sheffield united
785,Oliver Norwood,$5.50m  ,sheffield united
786,Zak Brunt,$275Th.  ,sheffield united
787,Frankie Maguire,0,sheffield united
788,Ben Osborn,$2.20m  ,sheffield united
789,Luke Freeman,$2.20m  ,sheffield united
790,Iliman Ndiaye,$220Th.  ,sheffield united
791,William Osula,0,sheffield united
792,Rhian Brewster,$13.20m  ,sheffield united
793,Oliver McBurnie,$11.00m  ,sheffield united
794,Lys Mousset,$9.90m  ,sheffield united
795,Oliver Burke,$6.60m  ,sheffield united
796,David McGoldrick,$1.65m  ,sheffield united
797,Daniel Jebbison,$1.10m  ,sheffield united
798,Billy Sharp,$550Th.  ,sheffield united
799,Antwoine Hackford,$110Th.  ,sheffield united
