,Players,Values,Team
550,Mehdi Chahiri,$1.65m  ,rc strasbourg alsace
551,Ludovic Ajorque,$13.20m  ,rc strasbourg alsace
552,Habib Diallo,$11.00m  ,rc strasbourg alsace
553,Majeed Waris,$2.20m  ,rc strasbourg alsace
554,Lebo Mothiba,$2.20m  ,rc strasbourg alsace
555,Kévin Zohi,$2.20m  ,rc strasbourg alsace
556,Idriss Saadi,$880Th.  ,rc strasbourg alsace
557,Paul Nardi,$1.98m  ,fc lorient
558,Matthieu Dreyer,$660Th.  ,fc lorient
559,Teddy Bartouche,$165Th.  ,fc lorient
560,Thomas Callens,$165Th.  ,fc lorient
561,Andreaw Gravillon,$6.60m  ,fc lorient
562,Julien Laporte,$2.75m  ,fc lorient
563,Tiago Ilori,$1.10m  ,fc lorient
564,Thomas Fontaine,$1.10m  ,fc lorient
565,Jérémy Morel,$440Th.  ,fc lorient
566,Matthieu Saunier,$275Th.  ,fc lorient
567,Loris Mouyokolo,$220Th.  ,fc lorient
568,Vincent Le Goff,$1.32m  ,fc lorient
569,Yoann Etienne,$715Th.  ,fc lorient
570,Houboulang Mendes,$1.32m  ,fc lorient
571,Jérôme Hergault,$330Th.  ,fc lorient
572,Joris Mendy,$110Th.  ,fc lorient
573,Sylvain Marveaux,$550Th.  ,fc lorient
574,Trevoh Chalobah,$3.85m  ,fc lorient
575,Laurent Abergel,$2.75m  ,fc lorient
576,Thomas Monconduit,$2.20m  ,fc lorient
577,Franklin Wadja,$990Th.  ,fc lorient
578,Fabien Lemoine,$880Th.  ,fc lorient
579,Malamine Doumbouya,$330Th.  ,fc lorient
580,Jonathan Delaplace,$358Th.  ,fc lorient
581,Enzo Le Fée,$5.50m  ,fc lorient
582,Quentin Boisgard,$2.75m  ,fc lorient
583,Yoane Wissa,$11.00m  ,fc lorient
584,Armand Laurienté,$6.60m  ,fc lorient
585,Stéphane Diarra,$2.75m  ,fc lorient
586,Dango Ouattara,0,fc lorient
587,Terem Moffi,$11.00m  ,fc lorient
588,Adrian Grbic,$5.50m  ,fc lorient
589,Pierre-Yves Hamel,$3.30m  ,fc lorient
590,Umut Bozok,$1.32m  ,fc lorient
591,Gautier Larsonneur,$7.70m  ,stade brest 29
592,Sébastien Cibois,$440Th.  ,stade brest 29
593,Mouez Hassen,$440Th.  ,stade brest 29
594,Jean-Kevin Duverne,$3.85m  ,stade brest 29
595,Christophe Hérelle,$3.85m  ,stade brest 29
596,Brendan Chardonnet,$3.30m  ,stade brest 29
597,Lilian Brassier,$2.75m  ,stade brest 29
598,Denys Bain,$1.65m  ,stade brest 29
599,Romain Perraud,$8.80m  ,stade brest 29
600,Ludovic Baal,$358Th.  ,stade brest 29
601,Ronaël Pierre-Gabriel,$4.40m  ,stade brest 29
602,Julien Faussurier,$440Th.  ,stade brest 29
603,Ibrahima Diallo,$16.50m  ,stade brest 29
604,Paul Lasne,$1.10m  ,stade brest 29
605,Idrissa Dioh,$165Th.  ,stade brest 29
606,Jean Lucas,$4.95m  ,stade brest 29
607,Haris Belkebla,$2.75m  ,stade brest 29
608,Hianga'a Mbock,$2.20m  ,stade brest 29
609,Cristian Battocchio,$2.09m  ,stade brest 29
610,Hugo Magnetti,$770Th.  ,stade brest 29
611,Ferris N'Goma,$605Th.  ,stade brest 29
612,Killian Benvindo,$165Th.  ,stade brest 29
613,Romain Faivre,$14.30m  ,stade brest 29
614,Bandiougou Fadiga,$1.32m  ,stade brest 29
615,Djibril Bangoura,$165Th.  ,stade brest 29
616,Romain Philippoteaux,$770Th.  ,stade brest 29
617,Franck Honorat,$7.70m  ,stade brest 29
618,Heriberto Tavares,$1.32m  ,stade brest 29
619,Irvin Cardona,$7.70m  ,stade brest 29
620,Steve Mounié,$7.70m  ,stade brest 29
621,Gaëtan Charbonnier,$1.98m  ,stade brest 29
622,Jérémy Le Douaron,$1.32m  ,stade brest 29
623,Alban Lafont,$11.00m  ,fc nantes
624,Denis Petric,$275Th.  ,fc nantes
625,Charly Jan,$165Th.  ,fc nantes
626,Andrei Girotto,$4.40m  ,fc nantes
627,Jean-Charles Castelletto,$2.75m  ,fc nantes
628,Thomas Basila,$1.98m  ,fc nantes
629,Nicolas Pallois,$1.65m  ,fc nantes
630,Anthony Walongwa,$358Th.  ,fc nantes
631,Abdoulaye Sylla,$220Th.  ,fc nantes
632,Charles Traoré,$2.20m  ,fc nantes
633,Sébastien Corchia,$2.20m  ,fc nantes
634,Fábio,$1.98m  ,fc nantes
635,Dennis Appiah,$1.98m  ,fc nantes
636,Abdoulaye Touré,$4.40m  ,fc nantes
637,Pedro Chirivella,$3.52m  ,fc nantes
638,Batista Mendy,$550Th.  ,fc nantes
639,Imrân Louza,$13.20m  ,fc nantes
640,Mehdi Abeid,$2.20m  ,fc nantes
641,Samuel Moutoussamy,$825Th.  ,fc nantes
642,Ludovic Blas,$14.30m  ,fc nantes
643,Roli Pereira de Sa,$330Th.  ,fc nantes
644,Moses Simon,$7.70m  ,fc nantes
645,Anthony Limbombe,$2.20m  ,fc nantes
646,Marcus Coco,$3.08m  ,fc nantes
647,Abdoul Kader Bamba,$2.20m  ,fc nantes
648,Randal Kolo Muani,$9.90m  ,fc nantes
649,Jean-Kévin Augustin,$2.75m  ,fc nantes
650,Kalifa Coulibaly,$2.20m  ,fc nantes
651,Renaud Emond,$2.20m  ,fc nantes
652,Élie Youan,$1.10m  ,fc nantes
653,Bridge Ndilu,$550Th.  ,fc nantes
654,Quentin Merlin,$220Th.  ,fc nantes
655,Baptiste Reynet,$2.20m  ,nimes olympique
656,Lucas Dias,$660Th.  ,nimes olympique
657,Amjhad Nazih,$220Th.  ,nimes olympique
658,Anthony Briancon,$2.75m  ,nimes olympique
659,Loïck Landre,$1.65m  ,nimes olympique
660,Pablo Martinez,$1.10m  ,nimes olympique
661,Naomichi Ueda,$880Th.  ,nimes olympique
662,Kelyan Guessoum,$550Th.  ,nimes olympique
663,Birger Meling,$3.85m  ,nimes olympique
664,Florian Miguel,$1.98m  ,nimes olympique
665,Patrick Burner,$2.20m  ,nimes olympique
666,Sofiane Alakouch,$2.20m  ,nimes olympique
667,Gaëtan Paquiez,$1.10m  ,nimes olympique
668,Andrés Cubas,$3.85m  ,nimes olympique
669,Sidy Sarr,$1.65m  ,nimes olympique
670,Lucas Deaux,$1.32m  ,nimes olympique
671,Mattéo Ahlinvi,$1.10m  ,nimes olympique
672,Adilson Malanda,$165Th.  ,nimes olympique
673,Lamine Fomba,$3.85m  ,nimes olympique
674,Antoine Valério,$220Th.  ,nimes olympique
675,Zinedine Ferhat,$8.80m  ,nimes olympique
676,Renaud Ripart,$5.50m  ,nimes olympique
677,Lucas Buades,$330Th.  ,nimes olympique
678,Niclas Eliasson,$3.30m  ,nimes olympique
679,Haris Duljevic,$880Th.  ,nimes olympique
680,Yassine Benrahou,$2.75m  ,nimes olympique
681,Mahamadou Doucouré,$165Th.  ,nimes olympique
682,Romain Philippoteaux,$770Th.  ,nimes olympique
683,Marco Majouga,$550Th.  ,nimes olympique
684,Moussa Koné,$4.40m  ,nimes olympique
685,Kévin Denkey,$2.42m  ,nimes olympique
686,Karim Aribi,$880Th.  ,nimes olympique
687,Nolan Roux,$880Th.  ,nimes olympique
688,Clément Depres,$660Th.  ,nimes olympique
689,Sami Ben Amar,$385Th.  ,nimes olympique
690,Nassim Chadli,$275Th.  ,nimes olympique
691,Alfred Gomis,$7.70m  ,dijon fco
692,Rúnar Alex Rúnarsson,$1.65m  ,dijon fco
693,Anthony Racioppi,$1.65m  ,dijon fco
694,Saturnin Allagbé,$1.32m  ,dijon fco
695,Lévi Ntumba,$330Th.  ,dijon fco
696,Jonathan Panzo,$4.40m  ,dijon fco
697,Bruno Ecuele Manga,$1.32m  ,dijon fco
698,Senou Coulibaly,$1.10m  ,dijon fco
699,Wesley Lautoa,$550Th.  ,dijon fco
700,Bogdan Racovitan,$28Th.  ,dijon fco
701,Arthur Zagre,$2.75m  ,dijon fco
702,Aníbal Chalá,$1.65m  ,dijon fco
703,Ngonda Muzinga,$1.10m  ,dijon fco
704,Sacha Boey,$2.75m  ,dijon fco
705,Fouad Chafik,$550Th.  ,dijon fco
706,Ahmad Ngouyamsa,$275Th.  ,dijon fco
707,Wilitty Younoussa,$275Th.  ,dijon fco
708,Pape Cheikh,$2.75m  ,dijon fco
709,Didier Ndong,$2.75m  ,dijon fco
710,Romain Amalfitano,$1.32m  ,dijon fco
711,Jordan Marié,$880Th.  ,dijon fco
712,Bersant Celina,$3.30m  ,dijon fco
713,Yassine Benzia,$1.76m  ,dijon fco
714,Amir Arli,$440Th.  ,dijon fco
715,Frédéric Sammaritano,$330Th.  ,dijon fco
716,Mounir Chouiar,$6.60m  ,dijon fco
717,Alexandru Dobre,$1.10m  ,dijon fco
718,Junior Dina Ebimbe,$6.60m  ,dijon fco
719,Mama Baldé,$4.95m  ,dijon fco
720,Charles Elyan Costes,0,dijon fco
721,Erwan Belhadji,0,dijon fco
722,Moussa Konaté,$2.75m  ,dijon fco
723,Roger Assalé,$2.75m  ,dijon fco
724,Aboubakar Kamara,$2.20m  ,dijon fco
725,Aurélien Scheidler,$1.10m  ,dijon fco
726,Rayan Philippe,$770Th.  ,dijon fco
727,Jacques Siwe,$440Th.  ,dijon fco
