,,,,,,Perf,Aeri
Player,Pos,Squad,Comp,Age,90s,Recov,Won%
,,,,,,,
Rubén Alcaraz\Ruben-Alcaraz,MF,Valladolid,es La Liga,29,24.1,11.9,50.0
Omar Alderete\Omar-Alderete,DF,Hertha BSC,de Bundesliga,23,14.4,9.17,56.5
Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,eng Premier League,31,24.9,8.03,58.1
Iván Alejo\Ivan-Alejo,MFFW,Cádiz,es La Liga,25,9.2,6.41,64.0
Carles Aleñá\Carles-Alena,MF,Barcelona,es La Liga,22,0.5,6.00,100.0
Carles Aleñá\Carles-Alena,MFFW,Getafe,es La Liga,22,15.2,7.76,26.0
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,Arsenal,eng Premier League,25,0.2,10.0,
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,eng Premier League,21,33.7,9.97,22.2
Alfon\Alfon,MF,Celta Vigo,es La Liga,21,0.4,5.00,
Mohamed Ali Cho\Mohamed-Ali-Cho,FWMF,Angers,fr Ligue 1,16,3.9,5.90,35.3
Ezgjan Alioski\Ezgjan-Alioski,DF,Leeds United,eng Premier League,28,27.3,9.08,50.0
Rachid Alioui\Rachid-Alioui,FW,Angers,fr Ligue 1,28,0.2,15.0,0.0
Alisson\Alisson,GK,Liverpool,eng Premier League,27,33.0,5.15,0.0
Saturnin Allagbé\Saturnin-Allagbe,GK,Dijon,fr Ligue 1,26,12.0,6.25,
Allan\Allan,MF,Everton,eng Premier League,29,22.8,9.69,31.6
Dele Alli\Dele-Alli,MF,Tottenham,eng Premier League,24,6.9,9.57,43.5
Miguel Almirón\Miguel-Almiron,MFFW,Newcastle Utd,eng Premier League,26,27.0,7.00,28.6
Marcos Alonso\Marcos-Alonso,DF,Chelsea,eng Premier League,29,10.7,8.04,58.7
Sergio Álvarez\Sergio-Alvarez,MFDF,Eibar,es La Liga,28,17.4,12.8,47.7
Yeray Álvarez\Yeray-Alvarez,DF,Athletic Club,es La Liga,25,21.6,9.81,63.3
Bruno Alves\Bruno-Alves,DF,Parma,it Serie A,38,18.1,8.95,86.5
Steven Alzate\Steven-Alzate,MFDF,Brighton,eng Premier League,21,10.0,6.80,30.0
Ibrahim Amadou\Ibrahim-Amadou,MF,Angers,fr Ligue 1,27,16.7,8.68,60.0
Romain Amalfitano\Romain-Amalfitano,FWDF,Dijon,fr Ligue 1,30,1.3,6.92,50.0
Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,DF,Getafe,es La Liga,18,0.5,4.00,100.0
Daniel Amartey\Daniel-Amartey,DF,Leicester City,eng Premier League,25,8.0,11.8,58.3
Jordan Amavi\Jordan-Amavi,DF,Marseille,fr Ligue 1,26,9.0,9.44,64.7
Thierry Ambrose\Thierry-Ambrose,FW,Metz,fr Ligue 1,23,8.4,5.48,44.7
Wisdom Amey\Wisdom-Amey,DF,Bologna,it Serie A,14,0.0,0,
Nadiem Amiri\Nadiem-Amiri,MF,Leverkusen,de Bundesliga,23,21.0,7.57,19.4
Ethan Ampadu\Ethan-Ampadu,DFMF,Sheffield Utd,eng Premier League,19,23.2,9.48,68.8
Sofyan Amrabat\Sofyan-Amrabat,MF,Fiorentina,it Serie A,23,27.1,9.45,30.8
Jon Ander Garrido\Jon-Ander-Garrido,MF,Cádiz,es La Liga,30,8.9,9.66,39.6
Joachim Andersen\Joachim-Andersen,DF,Fulham,eng Premier League,24,30.3,11.1,74.7
Joachim Andersen\Joachim-Andersen,DF,Lyon,fr Ligue 1,24,2.1,11.0,100.0
Djavan Anderson\Djavan-Anderson,DF,Lazio,it Serie A,25,0.8,12.5,100.0
Elliot Anderson\Elliot-Anderson,MF,Newcastle Utd,eng Premier League,17,0.0,0,
Felipe Anderson\Felipe-Anderson,FWMF,West Ham,eng Premier League,27,0.0,0,
Sebastian Andersson\Sebastian-Andersson,FW,Köln,de Bundesliga,29,12.5,4.08,53.7
Nícolas Andrade\Nicolas-Andrade,GK,Udinese,it Serie A,32,2.0,2.50,
Benjamin André\Benjamin-Andre,MF,Lille,fr Ligue 1,29,32.1,12.5,56.8
Robert Andrich\Robert-Andrich,MF,Union Berlin,de Bundesliga,25,28.1,12.8,65.0
Victorien Angban\Victorien-Angban,MF,Metz,fr Ligue 1,23,18.6,10.2,32.3
Ángel\Angel,GK,Granada,es La Liga,18,1.0,2.00,
Miguel Ángel Rubio\Miguel-Angel-Rubio,DF,Valladolid,es La Liga,22,1.5,12.0,58.8
José Ángel\Jose-Angel,DF,Eibar,es La Liga,30,10.0,13.3,48.6
Angeliño\Angelino,DFFW,RB Leipzig,de Bundesliga,23,24.0,7.92,36.2
Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,DF,Atalanta,it Serie A,19,0.1,0.00,0.0
Philip Ankhrah\Philip-Ankhrah,MF,Hellas Verona,it Serie A,17,0.1,0.00,
Cristian Ansaldi\Cristian-Ansaldi,DF,Torino,it Serie A,33,21.6,6.94,29.2
Waldemar Anton\Waldemar-Anton,DF,Stuttgart,de Bundesliga,24,30.1,11.4,57.1
José Antonio Miranda\Jose-Antonio-Miranda,MFDF,Getafe,es La Liga,22,0.3,13.3,100.0
Michail Antonio\Michail-Antonio,FW,West Ham,eng Premier League,30,21.9,3.70,35.2
Valentin Antov\Valentin-Antov,DF,Bologna,it Serie A,19,2.6,5.00,28.6
Houssem Aouar\Houssem-Aouar,MFFW,Lyon,fr Ligue 1,22,19.8,6.21,30.4
Adil Aouchiche\Adil-Aouchiche,MFFW,Saint-Étienne,fr Ligue 1,18,19.2,6.15,32.6
Dennis Appiah\Dennis-Appiah,DF,Nantes,fr Ligue 1,28,17.3,9.65,60.8
Aritz Arambarri\Aritz-Arambarri,DF,Real Sociedad,es La Liga,22,0.3,13.3,50.0
Mauro Arambarri\Mauro-Arambarri,MF,Getafe,es La Liga,24,33.1,10.3,47.8
Charles Aránguiz\Charles-Aranguiz,MF,Leverkusen,de Bundesliga,31,18.5,12.1,36.1
Luiz Araújo\Luiz-Araujo,MF,Lille,fr Ligue 1,24,16.6,7.77,28.1
Néstor Araujo\Nestor-Araujo,DF,Celta Vigo,es La Liga,28,27.0,9.81,63.7
Ronald Araújo\Ronald-Araujo,DF,Barcelona,es La Liga,21,16.8,8.87,77.1
Anaitz Arbilla\Anaitz-Arbilla,DF,Eibar,es La Liga,33,31.2,14.2,59.0
Alphonse Areola\Alphonse-Areola,GK,Fulham,eng Premier League,27,36.0,4.17,
Santiago Arias\Santiago-Arias,DF,Leverkusen,de Bundesliga,28,1.0,12.0,0.0
Karim Aribi\Karim-Aribi,FW,Nîmes,fr Ligue 1,26,3.3,3.64,21.2
Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,FWMF,Eibar,es La Liga,21,0.5,2.00,0.0
Nicolò Armini\Nicolo-Armini,DF,Lazio,it Serie A,19,0.1,10.0,0.0
Stuart Armstrong\Stuart-Armstrong,MF,Southampton,eng Premier League,28,30.7,8.79,25.8
Maximilian Arnold\Maximilian-Arnold,MF,Wolfsburg,de Bundesliga,26,28.7,13.4,54.1
Toluwalas Arokodare\Toluwalas-Arokodare,FW,Köln,de Bundesliga,19,1.2,5.83,45.0
Sergio Arribas\Sergio-Arribas,FWDF,Real Madrid,es La Liga,18,1.5,8.67,33.3
Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,eng Premier League,25,6.5,5.23,
Tolgay Arslan\Tolgay-Arslan,MF,Udinese,it Serie A,29,20.2,9.36,59.1
Kwadwo Asamoah\Kwadwo-Asamoah,DFMF,Cagliari,it Serie A,31,2.5,8.40,66.7
Santiago Ascacíbar\Santiago-Ascacibar,MF,Hertha BSC,de Bundesliga,23,8.5,11.3,45.8
Sergio Asenjo\Sergio-Asenjo,GK,Villarreal,es La Liga,31,36.0,4.06,
Marco Asensio\Marco-Asensio,FWMF,Real Madrid,es La Liga,24,20.8,5.72,58.8
Kristoffer Askildsen\Kristoffer-Askildsen,MF,Sampdoria,it Serie A,19,1.1,4.55,33.3
Iago Aspas\Iago-Aspas,FW,Celta Vigo,es La Liga,32,31.8,4.87,26.3
Roger Assalé\Roger-Assale,FWMF,Dijon,fr Ligue 1,26,9.2,4.24,29.0
Miguel Atienza\Miguel-Atienza,MF,Eibar,es La Liga,21,9.3,9.68,62.8
Youcef Attal\Youcef-Attal,DFMF,Nice,fr Ligue 1,24,10.6,7.92,34.5
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,eng Premier League,31,25.9,3.24,32.6
Emil Audero\Emil-Audero,GK,Sampdoria,it Serie A,23,37.0,4.92,
Tommaso Augello\Tommaso-Augello,DF,Sampdoria,it Serie A,25,35.7,8.80,56.5
Jean-Kévin Augustin\Jean-Kevin-Augustin,FW,Nantes,fr Ligue 1,23,0.4,0.00,0.0
Ludwig Augustinsson\Ludwig-Augustinsson,DF,Werder Bremen,de Bundesliga,26,21.7,8.48,63.6
Serge Aurier\Serge-Aurier,DF,Tottenham,eng Premier League,27,17.8,8.76,51.3
Charlie Austin\Charlie-Austin,FW,West Brom,eng Premier League,31,1.5,4.00,35.0
Ezequiel Ávila\Ezequiel-Avila,MFFW,Osasuna,es La Liga,26,2.2,5.91,27.3
Taiwo Awoniyi\Taiwo-Awoniyi,FW,Union Berlin,de Bundesliga,22,15.1,4.04,27.1
Mehmet-Can Aydin\Mehmet-Can-Aydin,DF,Schalke 04,de Bundesliga,18,5.6,6.96,53.8
Jordan Ayew\Jordan-Ayew,FWMF,Crystal Palace,eng Premier League,28,23.3,5.67,22.0
Kaan Ayhan\Kaan-Ayhan,DF,Sassuolo,it Serie A,25,8.8,6.02,48.4
Luke Ayling\Luke-Ayling,DF,Leeds United,eng Premier League,28,37.8,10.7,51.8
Ramon Azeez\Ramon-Azeez,MFDF,Granada,es La Liga,27,1.1,10.9,80.0
César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,eng Premier League,30,24.3,10.0,54.7
Ludovic Baal\Ludovic-Baal,DFMF,Brest,fr Ligue 1,34,3.3,12.1,53.3
Carlos Bacca\Carlos-Bacca,FW,Villarreal,es La Liga,33,8.7,2.87,38.2
Loïc Bade\Loic-Bade,DF,Lens,fr Ligue 1,20,29.0,11.6,66.7
Milan Badelj\Milan-Badelj,MF,Genoa,it Serie A,31,26.8,12.5,56.3
Édgar Badía\Edgar-Badia,GK,Elche,es La Liga,28,30.0,4.90,
Benoît Badiashile\Benoit-Badiashile,DF,Monaco,fr Ligue 1,19,31.9,11.8,72.2
Alex Baena\Alex-Baena,MF,Villarreal,es La Liga,19,1.5,3.33,0.0
Miguel Baeza\Miguel-Baeza,MFFW,Celta Vigo,es La Liga,20,6.0,5.67,50.0
Stéphane Bahoken\Stephane-Bahoken,FW,Angers,fr Ligue 1,28,18.0,3.83,24.4
Leon Bailey\Leon-Bailey,FWMF,Leverkusen,de Bundesliga,22,23.8,7.90,36.2
Eric Bailly\Eric-Bailly,DF,Manchester Utd,eng Premier League,26,10.2,9.61,61.4
Stefan Bajic\Stefan-Bajic,GK,Saint-Étienne,fr Ligue 1,18,1.0,6.00,
Tiemoué Bakayoko\Tiemoue-Bakayoko,MF,Napoli,it Serie A,25,21.8,8.85,55.0
Mitchel Bakker\Mitchel-Bakker,DF,Paris S-G,fr Ligue 1,20,18.8,9.52,55.0
Ridle Baku\Ridle-Baku,FWDF,Wolfsburg,de Bundesliga,22,29.8,8.29,23.2
Ridle Baku\Ridle-Baku,DF,Mainz 05,de Bundesliga,22,2.0,10.0,50.0
Dilane Bakwa\Dilane-Bakwa,FWMF,Bordeaux,fr Ligue 1,17,0.6,8.33,66.7
Fabián Balbuena\Fabian-Balbuena,DF,West Ham,eng Premier League,28,13.3,8.57,60.5
Keita Baldé\Keita-Balde,FW,Sampdoria,it Serie A,25,13.3,3.16,30.2
George Baldock\George-Baldock,DF,Sheffield Utd,eng Premier League,27,31.0,6.74,45.3
Gareth Bale\Gareth-Bale,FW,Tottenham,eng Premier League,31,10.2,6.86,66.7
Mikel Balenziaga\Mikel-Balenziaga,DF,Athletic Club,es La Liga,32,18.8,7.98,51.4
