,,,,,,Perf,Aeri
Player,Pos,Squad,Comp,Age,90s,Recov,Won%
,,,,,,,
Mouctar Diakhaby\Mouctar-Diakhaby,DF,Valencia,es La Liga,23,23.1,7.79,74.6
Abdou Diallo\Abdou-Diallo,DF,Paris S-G,fr Ligue 1,24,16.6,8.55,61.5
Amad Diallo\Amad-Diallo,FW,Manchester Utd,eng Premier League,18,1.8,6.11,33.3
Amad Diallo\Amad-Diallo,MF,Atalanta,it Serie A,18,0.2,0.00,0.0
Habib Diallo\Habib-Diallo,FW,Strasbourg,fr Ligue 1,25,25.8,4.22,43.5
Habib Diallo\Habib-Diallo,FW,Metz,fr Ligue 1,25,1.6,5.00,40.0
Ibrahima Diallo\Ibrahima-Diallo,MF,Southampton,eng Premier League,21,11.3,11.2,29.6
Ibrahima Diallo\Ibrahima-Diallo,MF,Brest,fr Ligue 1,21,4.9,8.98,40.0
Amadou Diambo\Amadou-Diambo,FW,Benevento,it Serie A,19,0.0,1,
Grady Diangana\Grady-Diangana,MFFW,West Brom,eng Premier League,22,13.7,5.84,28.8
Stéphane Diarra\Stephane-Diarra,FWMF,Lorient,fr Ligue 1,21,2.2,8.18,50.0
Raphael Dias Belloli\Raphael-Dias-Belloli,MF,Leeds United,eng Premier League,23,26.2,6.07,24.0
Raphael Dias Belloli\Raphael-Dias-Belloli,FWMF,Rennes,fr Ligue 1,23,4.5,4.89,25.0
Rúben Dias\Ruben-Dias,DF,Manchester City,eng Premier League,23,31.6,8.61,68.2
Krepin Diatta\Krepin-Diatta,MFDF,Monaco,fr Ligue 1,21,4.3,7.67,46.7
Amadou Diawara\Amadou-Diawara,MF,Roma,it Serie A,23,7.3,11.0,50.0
Brahim Díaz\Brahim-Diaz,MFFW,Milan,it Serie A,20,13.6,6.40,16.7
Víctor Díaz\Victor-Diaz,DF,Granada,es La Liga,32,9.2,9.89,53.3
Daniel Didavi\Daniel-Didavi,FWMF,Stuttgart,de Bundesliga,30,10.8,5.83,45.0
Eric Dier\Eric-Dier,DF,Tottenham,eng Premier League,26,28.0,9.61,65.2
Daan Dierckx\Daan-Dierckx,DF,Parma,it Serie A,17,5.2,3.65,21.4
Lucas Digne\Lucas-Digne,DF,Everton,eng Premier League,27,29.8,9.53,70.7
Virgil van Dijk\Virgil-van-Dijk,DF,Liverpool,eng Premier League,29,4.1,11.7,69.6
Mitchell Dijks\Mitchell-Dijks,DF,Bologna,it Serie A,27,16.5,6.79,41.4
Javairô Dilrosun\Javairo-Dilrosun,FWMF,Hertha BSC,de Bundesliga,22,5.9,5.08,12.5
Federico Dimarco\Federico-Dimarco,DF,Hellas Verona,it Serie A,22,29.0,8.48,30.2
Junior Dina Ebimbe\Junior-Dina-Ebimbe,FWMF,Dijon,fr Ligue 1,19,23.8,6.60,34.1
Tristan Dingomé\Tristan-Dingome,MF,Reims,fr Ligue 1,29,0.2,15.0,
Eren Dinkçi\Eren-Dinkci,FWMF,Werder Bremen,de Bundesliga,18,1.2,8.33,50.0
Sinaly Diomande\Sinaly-Diomande,DF,Lyon,fr Ligue 1,19,12.6,8.89,77.3
Lois Diony\Lois-Diony,FW,Angers,fr Ligue 1,27,19.4,3.14,35.0
Issa Diop\Issa-Diop,DF,West Ham,eng Premier League,23,15.3,7.25,60.0
Papakouli Diop\Papakouli-Diop,MF,Eibar,es La Liga,34,25.8,13.6,55.5
Sofiane Diop\Sofiane-Diop,MFFW,Monaco,fr Ligue 1,20,22.5,9.69,44.0
Andy Diouf\Andy-Diouf,FW,Rennes,fr Ligue 1,18,0.1,10.0,100.0
Yehvann Diouf\Yehvann-Diouf,GK,Reims,fr Ligue 1,20,1.5,7.33,
Assane Dioussé\Assane-Diousse,DF,Saint-Étienne,fr Ligue 1,22,0.0,1,
Axel Disasi\Axel-Disasi,DF,Monaco,fr Ligue 1,22,22.3,9.73,64.7
Tiago Djaló\Tiago-Djalo,DF,Lille,fr Ligue 1,20,9.7,8.66,61.1
Djené\Djene,DF,Getafe,es La Liga,28,32.7,10.9,61.7
Moussa Djenepo\Moussa-Djenepo,MF,Southampton,eng Premier League,22,13.8,8.62,25.0
Koffi Djidji\Koffi-Djidji,DF,Crotone,it Serie A,27,16.9,6.75,58.6
Alexander Djiku\Alexander-Djiku,DFMF,Strasbourg,fr Ligue 1,25,28.4,7.99,69.5
Berat Djimsiti\Berat-Djimsiti,DF,Atalanta,it Serie A,27,29.2,11.0,72.2
Marko Dmitrović\Marko-Dmitrovic,GK,Eibar,es La Liga,28,34.7,5.71,
Ritsu Doan\Ritsu-Doan,MFFW,Arminia,de Bundesliga,22,30.8,6.46,34.8
Mihai Dobre\Mihai-Dobre,FWMF,Dijon,fr Ligue 1,21,5.9,6.44,58.3
Matt Doherty\Matt-Doherty,DF,Tottenham,eng Premier League,28,13.8,8.26,70.1
Jeremy Doku\Jeremy-Doku,MFFW,Rennes,fr Ligue 1,18,25.7,6.81,34.8
Kasper Dolberg\Kasper-Dolberg,FW,Nice,fr Ligue 1,22,21.4,3.36,43.4
Keagan Dolly\Keagan-Dolly,MF,Montpellier,fr Ligue 1,27,5.0,7.20,12.5
Jaume Doménech\Jaume-Domenech,GK,Valencia,es La Liga,29,28.0,5.04,
Carlos Dominguez\Carlos-Dominguez,DF,Celta Vigo,es La Liga,19,4.0,4.25,43.5
Nicolás Domínguez\Nicolas-Dominguez,MF,Bologna,it Serie A,22,13.9,12.0,50.0
John Donald\John-Donald,DFFW,Elche,es La Liga,19,0.6,1.67,0.0
Ji Dong-won\Ji-Dong-won,FWDF,Mainz 05,de Bundesliga,29,0.7,14.3,55.6
Anastasios Donis\Anastasios-Donis,MF,Reims,fr Ligue 1,23,1.1,1.82,100.0
Gianluigi Donnarumma\Gianluigi-Donnarumma,GK,Milan,it Serie A,21,37.0,3.97,
Gabriel Dos Santos\Gabriel-Dos-Santos,DF,Arsenal,eng Premier League,22,22.2,7.97,60.5
Bas Dost\Bas-Dost,FW,Eint Frankfurt,de Bundesliga,31,9.1,3.74,68.6
Lucas Douath\Lucas-Douath,MF,Saint-Étienne,fr Ligue 1,16,14.7,11.6,58.3
Abdoulaye Doucouré\Abdoulaye-Doucoure,MF,Everton,eng Premier League,27,27.1,11.2,58.7
Cheick Doucouré\Cheick-Doucoure,MF,Lens,fr Ligue 1,20,29.2,11.4,58.5
Fodé Doucouré\Fode-Doucoure,DF,Reims,fr Ligue 1,19,3.7,8.65,33.3
Mahamadou Doucouré\Mahamadou-Doucoure,FW,Nîmes,fr Ligue 1,20,0.5,4.00,50.0
Cheick Doukouré\Cheick-Doukoure,MF,Levante,es La Liga,27,1.1,9.09,50.0
Idrissa Doumbia\Idrissa-Doumbia,MF,Huesca,es La Liga,22,8.7,9.08,28.6
Moussa Doumbia\Moussa-Doumbia,MFFW,Reims,fr Ligue 1,25,10.0,8.40,10.0
Souleyman Doumbia\Souleyman-Doumbia,DF,Angers,fr Ligue 1,23,24.7,7.73,58.0
Aleksandar Dragović\Aleksandar-Dragovic,DF,Leverkusen,de Bundesliga,29,12.6,13.3,64.3
Bartłomiej Drągowski\Bartlomiej-Dragowski,GK,Fiorentina,it Serie A,22,35.0,4.91,
Denis Drăguș\Denis-Dragus,FWMF,Crotone,it Serie A,21,2.0,7.00,25.0
Radu Drăgușin\Radu-Dragusin,DF,Juventus,it Serie A,18,0.0,0,
Mouhamadou Drammeh\Mouhamadou-Drammeh,MF,Reims,fr Ligue 1,21,1.9,8.95,25.0
Julian Draxler\Julian-Draxler,MFFW,Paris S-G,fr Ligue 1,26,11.8,5.00,66.7
Dominick Drexler\Dominick-Drexler,MFFW,Köln,de Bundesliga,30,13.7,6.93,41.7
Matthieu Dreyer\Matthieu-Dreyer,GK,Lorient,fr Ligue 1,31,15.0,4.47,
Domingos Duarte\Domingos-Duarte,DF,Granada,es La Liga,25,26.3,10.0,61.8
Léo Duarte\Leo-Duarte,DF,Milan,it Serie A,24,0.2,0.00,0.0
Óscar Duarte\Oscar-Duarte,DF,Levante,es La Liga,31,22.9,8.03,63.0
Rubén Duarte\Ruben-Duarte,DF,Alavés,es La Liga,24,28.3,8.90,67.0
Leo Dubois\Leo-Dubois,DF,Lyon,fr Ligue 1,25,32.3,10.1,61.0
Martin Dúbravka\Martin-Dubravka,GK,Newcastle Utd,eng Premier League,31,13.0,5.00,
Ondrej Duda\Ondrej-Duda,FWMF,Köln,de Bundesliga,25,28.2,7.38,34.5
Unai Dufur\Unai-Dufur,DF,Eibar,es La Liga,21,0.7,8.57,50.0
Haris Duljević\Haris-Duljevic,MFFW,Nîmes,fr Ligue 1,26,8.6,7.44,16.1
Paul Dummett\Paul-Dummett,DF,Newcastle Utd,eng Premier League,28,13.9,5.18,55.7
Alfred Duncan\Alfred-Duncan,MF,Fiorentina,it Serie A,27,1.8,8.89,28.6
Alfred Duncan\Alfred-Duncan,MF,Cagliari,it Serie A,27,11.9,11.0,46.2
Lewis Dunk\Lewis-Dunk,DF,Brighton,eng Premier League,28,32.6,12.5,63.3
Jimmy Dunne\Jimmy-Dunne,DF,Burnley,eng Premier League,22,3.0,19.7,76.7
Erik Durm\Erik-Durm,DF,Eint Frankfurt,de Bundesliga,28,16.4,7.93,48.9
Hugo Duro\Hugo-Duro,FW,Real Madrid,es La Liga,20,0.6,1.67,16.7
Jean-Kevin Duverne\Jean-Kevin-Duverne,DF,Brest,fr Ligue 1,23,22.5,9.82,51.1
Paulo Dybala\Paulo-Dybala,FW,Juventus,it Serie A,26,12.6,4.60,8.3
Edin Džeko\Edin-Dzeko,FW,Roma,it Serie A,34,20.3,3.99,63.0
Steeve-Mike Ebongue\Steeve-Mike-Ebongue,MF,Genoa,it Serie A,19,0.6,18.3,
Enzo Ebosse\Enzo-Ebosse,DF,Angers,fr Ligue 1,21,2.9,6.90,33.3
Bruno Ecuele Manga\Bruno-Ecuele-Manga,DF,Dijon,fr Ligue 1,32,38.0,9.16,69.7
Simone Edera\Simone-Edera,DFMF,Torino,it Serie A,23,0.6,8.33,
Ederson\Ederson,GK,Manchester City,eng Premier League,26,36.0,3.67,
Kyle Edwards\Kyle-Edwards,MFFW,West Brom,eng Premier League,22,1.3,6.92,
John Egan\John-Egan,DF,Sheffield Utd,eng Premier League,27,29.2,8.87,60.1
Johannes Eggestein\Johannes-Eggestein,FWMF,Werder Bremen,de Bundesliga,22,0.4,12.5,100.0
Maximilian Eggestein\Maximilian-Eggestein,MF,Werder Bremen,de Bundesliga,23,32.7,10.7,42.4
Lilian Egloff\Lilian-Egloff,MF,Stuttgart,de Bundesliga,17,0.2,5.00,0.0
Kingsley Ehizibue\Kingsley-Ehizibue,DF,Köln,de Bundesliga,25,12.6,9.29,65.8
Albin Ekdal\Albin-Ekdal,MF,Sampdoria,it Serie A,31,25.5,12.1,56.7
Hugo Ekitike\Hugo-Ekitike,MFFW,Reims,fr Ligue 1,18,1.0,5.00,75.0
Anthony Elanga\Anthony-Elanga,FW,Manchester Utd,eng Premier League,18,1.7,4.12,33.3
Niclas Eliasson\Niclas-Eliasson,MFFW,Nîmes,fr Ligue 1,24,20.0,4.90,31.9
Elif Elmas\Elif-Elmas,MFFW,Napoli,it Serie A,20,8.2,5.85,12.5
Ahmed Elmohamady\Ahmed-Elmohamady,DF,Aston Villa,eng Premier League,32,9.3,10.4,75.0
Mohamed Elneny\Mohamed-Elneny,MF,Arsenal,eng Premier League,28,17.2,8.37,29.6
Aritz Elustondo\Aritz-Elustondo,DF,Real Sociedad,es La Liga,26,20.9,10.0,58.4
Nico Elvedi\Nico-Elvedi,DF,M'Gladbach,de Bundesliga,23,28.2,9.68,65.1
Rodrigo Ely\Rodrigo-Ely,DF,Alavés,es La Liga,26,5.2,9.62,88.9
Sepe Elye Wahi\Sepe-Elye-Wahi,FW,Montpellier,fr Ligue 1,17,6.2,6.13,46.2
Breel Embolo\Breel-Embolo,FWMF,M'Gladbach,de Bundesliga,23,16.0,6.00,36.7
Emerson\Emerson,DF,Betis,es La Liga,21,33.2,7.50,60.2
Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,MF,Atalanta,it Serie A,18,0.0,0,
Renaud Emond\Renaud-Emond,FWMF,Nantes,fr Ligue 1,28,3.9,2.56,34.1
Alan Empereur\Alan-Empereur,DF,Hellas Verona,it Serie A,26,2.4,10.0,37.5
Youssef En-Nesyri\Youssef-En-Nesyri,FW,Sevilla,es La Liga,23,25.7,3.85,55.8
Keita Endo\Keita-Endo,MFFW,Union Berlin,de Bundesliga,22,5.1,7.25,36.4
Wataru Endo\Wataru-Endo,MF,Stuttgart,de Bundesliga,27,32.8,12.0,59.3
Sergi Enrich\Sergi-Enrich,FW,Eibar,es La Liga,30,15.6,5.45,47.9
Christian Eriksen\Christian-Eriksen,MF,Inter,it Serie A,28,15.4,8.31,70.6
Martin Erlic\Martin-Erlic,DF,Spezia,it Serie A,22,20.0,10.8,58.1
Patrick Erras\Patrick-Erras,MFFW,Werder Bremen,de Bundesliga,25,0.3,26.7,58.3
Gonzalo Escalante\Gonzalo-Escalante,MF,Lazio,it Serie A,27,8.1,14.6,47.1
Aarón Escandell\Aaron-Escandell,GK,Granada,es La Liga,24,5.0,5.40,
Dani Escriche\Dani-Escriche,FWMF,Huesca,es La Liga,22,9.5,6.53,34.0
Sergio Escudero\Sergio-Escudero,DF,Sevilla,es La Liga,30,6.3,6.83,66.7
Alfonso Espino\Alfonso-Espino,DF,Cádiz,es La Liga,28,28.9,8.62,46.9
Vicente Esquerdo\Vicente-Esquerdo,MF,Valencia,es La Liga,21,2.6,6.92,40.0
Nahuel Estévez\Nahuel-Estevez,MF,Spezia,it Serie A,24,19.6,8.16,39.5
Pervis Estupiñán\Pervis-Estupinan,DF,Villarreal,es La Liga,22,13.0,10.2,42.3
Yoann Etienne\Yoann-Etienne,DF,Lorient,fr Ligue 1,23,1.0,10.0,25.0
Xabier Etxeita\Xabier-Etxeita,DF,Getafe,es La Liga,32,9.8,11.4,42.9
Jonny Evans\Jonny-Evans,DF,Leicester City,eng Premier League,32,27.5,12.9,71.0
Edu Expósito\Edu-Exposito,MF,Eibar,es La Liga,23,27.3,12.2,46.2
Valentin Eysseric\Valentin-Eysseric,MFFW,Fiorentina,it Serie A,28,8.1,7.53,44.4
Eberechi Eze\Eberechi-Eze,MF,Crystal Palace,eng Premier League,22,28.4,7.15,27.3
Jokin Ezkieta\Jokin-Ezkieta,GK,Athletic Club,es La Liga,23,1.0,5.00,
Łukasz Fabiański\Lukasz-Fabianski,GK,West Ham,eng Premier League,35,35.0,4.69,
Fabinho\Fabinho,DFMF,Liverpool,eng Premier League,26,28.5,11.2,54.4
Fábio\Fabio,DF,Nantes,fr Ligue 1,30,16.7,9.22,52.2
Cesc Fàbregas\Cesc-Fabregas,MF,Monaco,fr Ligue 1,33,9.7,8.56,42.9
Bandiougou Fadiga\Bandiougou-Fadiga,FWMF,Paris S-G,fr Ligue 1,19,0.7,7.14,
Bandiougou Fadiga\Bandiougou-Fadiga,MF,Brest,fr Ligue 1,19,0.5,10.0,0.0
Wout Faes\Wout-Faes,DF,Reims,fr Ligue 1,22,32.2,8.57,67.6
Nicolò Fagioli\Nicolo-Fagioli,MF,Juventus,it Serie A,19,0.2,10.0,0.0
Ralf Fährmann\Ralf-Fahrmann,GK,Schalke 04,de Bundesliga,31,20.8,5.48,
Romain Faivre\Romain-Faivre,MFFW,Brest,fr Ligue 1,22,32.1,7.63,40.5
Fali\Fali,DFMF,Cádiz,es La Liga,26,29.3,6.18,57.1
Iago Falque\Iago-Falque,MFFW,Benevento,it Serie A,30,4.0,9.00,11.1
Andri Fannar Baldursson\Andri-Fannar-Baldursson,MF,Bologna,it Serie A,18,2.4,7.92,50.0
Paolo Faragò\Paolo-Farago,DFMF,Cagliari,it Serie A,27,4.1,7.32,63.6
Paolo Faragò\Paolo-Farago,DF,Bologna,it Serie A,27,0.3,0.00,
Davide Faraoni\Davide-Faraoni,DF,Hellas Verona,it Serie A,28,32.1,8.75,58.9
Mohamed Fares\Mohamed-Fares,DF,Lazio,it Serie A,24,12.7,7.64,48.0
Diego Farias\Diego-Farias,FW,Spezia,it Serie A,30,16.8,4.23,47.1
Wuilker Faríñez\Wuilker-Farinez,GK,Lens,fr Ligue 1,22,1.2,9.17,
Noah Fatar\Noah-Fatar,FWMF,Angers,fr Ligue 1,18,0.2,10.0,0.0
Ansu Fati\Ansu-Fati,FW,Barcelona,es La Liga,17,4.8,4.17,33.3
Julien Faussurier\Julien-Faussurier,DF,Brest,fr Ligue 1,33,10.6,8.87,50.0
Andrea Favilli\Andrea-Favilli,FW,Hellas Verona,it Serie A,23,3.8,3.42,27.5
Federico Fazio\Federico-Fazio,DF,Roma,it Serie A,33,4.5,9.78,71.4
Nabil Fekir\Nabil-Fekir,MFFW,Betis,es La Liga,27,29.1,5.36,22.1
Felipe\Felipe,DF,Atlético Madrid,es La Liga,31,22.9,9.52,80.2
Luiz Felipe\Luiz-Felipe,DF,Lazio,it Serie A,23,10.1,8.42,44.8
Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,DF,Augsburg,de Bundesliga,22,29.0,9.59,67.7
João Félix\Joao-Felix,FWMF,Atlético Madrid,es La Liga,20,17.5,5.37,43.4
Zinedine Ferhat\Zinedine-Ferhat,FWMF,Nîmes,fr Ligue 1,27,32.9,5.74,50.3
Bruno Fernandes\Bruno-Fernandes,MF,Manchester Utd,eng Premier League,25,34.4,6.95,23.2
Edimilson Fernandes\Edimilson-Fernandes,MFDF,Mainz 05,de Bundesliga,24,9.3,9.25,61.5
Aitor Fernández\Aitor-Fernandez,GK,Levante,es La Liga,29,29.0,5.10,0.0
Álex Fernández\Alex-Fernandez,MF,Cádiz,es La Liga,27,21.6,8.61,44.0
Álvaro Fernández\Alvaro-Fernandez,GK,Huesca,es La Liga,22,22.0,4.91,
Andrés Fernández\Andres-Fernandez,GK,Huesca,es La Liga,33,16.0,5.38,
Augusto Fernández\Augusto-Fernandez,MF,Cádiz,es La Liga,34,4.1,10.2,28.6
Carlos Fernández\Carlos-Fernandez,FW,Sevilla,es La Liga,24,1.6,5.63,45.5
Carlos Fernández\Carlos-Fernandez,FWMF,Real Sociedad,es La Liga,24,4.3,5.58,42.4
Federico Fernández\Federico-Fernandez,DF,Newcastle Utd,eng Premier League,31,23.1,6.84,56.1
Joaquín Fernández\Joaquin-Fernandez,DF,Valladolid,es La Liga,24,23.0,8.57,58.6
Fernandinho\Fernandinho,MF,Manchester City,eng Premier League,35,13.2,10.0,61.7
Fernando\Fernando,MF,Sevilla,es La Liga,33,28.3,10.2,59.8
Alex Ferrari\Alex-Ferrari,DF,Sampdoria,it Serie A,26,9.8,8.57,68.0
David Ferreiro\David-Ferreiro,MFFW,Huesca,es La Liga,32,28.1,7.08,31.6
Salvador Ferrer\Salvador-Ferrer,DF,Spezia,it Serie A,22,13.2,,
Facundo Ferreyra\Facundo-Ferreyra,FW,Celta Vigo,es La Liga,29,3.3,3.64,46.2
Jordan Ferri\Jordan-Ferri,MF,Montpellier,fr Ligue 1,28,28.6,11.6,42.3
Marco Festa\Marco-Festa,GK,Crotone,it Serie A,28,1.0,9.00,
Fidel\Fidel,MFDF,Elche,es La Liga,30,26.6,6.17,32.4
Sam Field\Sam-Field,MF,West Brom,eng Premier League,22,0.7,17.1,33.3
Alfreð Finnbogason\Alfred-Finnbogason,FW,Augsburg,de Bundesliga,31,6.0,6.50,39.5
Roberto Firmino\Roberto-Firmino,FW,Liverpool,eng Premier League,28,31.5,6.48,22.3
Junior Firpo\Junior-Firpo,DF,Barcelona,es La Liga,23,3.2,6.25,50.0
John Fleck\John-Fleck,MF,Sheffield Utd,eng Premier League,28,28.6,8.22,32.1
Mark Flekken\Mark-Flekken,GK,Freiburg,de Bundesliga,27,3.0,5.00,
Florian Flick\Florian-Flick,MF,Schalke 04,de Bundesliga,20,4.0,9.50,38.5
Alexis Flips\Alexis-Flips,MF,Reims,fr Ligue 1,20,0.5,4.00,
Alessandro Florenzi\Alessandro-Florenzi,DF,Paris S-G,fr Ligue 1,29,17.1,7.72,31.4
Kingsley Fobi\Kingsley-Fobi,DF,Granada,es La Liga,21,0.5,6.00,
Phil Foden\Phil-Foden,FWMF,Manchester City,eng Premier League,20,18.0,5.17,31.8
Mamadou Fofana\Mamadou-Fofana,MFDF,Metz,fr Ligue 1,22,11.9,9.66,29.4
Seko Fofana\Seko-Fofana,MF,Lens,fr Ligue 1,25,25.7,8.05,55.1
Wesley Fofana\Wesley-Fofana,DF,Leicester City,eng Premier League,19,25.1,11.1,62.7
Wesley Fofana\Wesley-Fofana,DF,Saint-Étienne,fr Ligue 1,19,3.5,9.71,58.8
Youssouf Fofana\Youssouf-Fofana,MF,Monaco,fr Ligue 1,21,31.9,9.34,54.1
Thomas Foket\Thomas-Foket,DF,Reims,fr Ligue 1,25,36.9,7.07,40.3
Ramón Folch\Ramon-Folch,MF,Elche,es La Liga,30,0.0,0,
Lamine Fomba\Lamine-Fomba,MF,Nîmes,fr Ligue 1,22,24.2,10.0,45.5
Thomas Fontaine\Thomas-Fontaine,DF,Lorient,fr Ligue 1,29,3.6,4.72,25.0
José Fontán\Jose-Fontan,DF,Celta Vigo,es La Liga,20,7.2,7.78,57.1
José Fonte\Jose-Fonte,DF,Lille,fr Ligue 1,36,35.4,10.1,73.6
Fernando Forestieri\Fernando-Forestieri,FWMF,Udinese,it Serie A,30,6.1,7.38,30.0
Pablo Fornals\Pablo-Fornals,FWMF,West Ham,eng Premier League,24,28.6,7.55,40.3
Emil Forsberg\Emil-Forsberg,FWMF,RB Leipzig,de Bundesliga,28,17.1,4.09,30.8
Fraser Forster\Fraser-Forster,GK,Southampton,eng Premier League,32,8.0,5.00,
Philipp Förster\Philipp-Forster,FWMF,Stuttgart,de Bundesliga,25,16.8,6.01,44.4
Steven Fortes\Steven-Fortes,DF,Lens,fr Ligue 1,28,15.9,7.80,66.7
Yassin Fortune\Yassin-Fortune,FW,Angers,fr Ligue 1,21,0.2,0.00,
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,Manchester Utd,eng Premier League,22,0.9,12.2,100.0
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,Leverkusen,de Bundesliga,22,4.5,8.67,78.6
Daam Foulon\Daam-Foulon,DF,Benevento,it Serie A,21,11.3,5.40,70.6
Dimitri Foulquier\Dimitri-Foulquier,DF,Granada,es La Liga,27,29.6,7.36,36.4
Juan Foyth\Juan-Foyth,DFMF,Villarreal,es La Liga,22,13.0,9.92,61.4
Gianluca Frabotta\Gianluca-Frabotta,DF,Juventus,it Serie A,21,7.7,8.31,46.4
Raphael Framberger\Raphael-Framberger,DF,Augsburg,de Bundesliga,24,17.1,9.18,40.7
Tyrese Francois\Tyrese-Francois,DF,Fulham,eng Premier League,20,0.2,0.00,0.0
Ryan Fraser\Ryan-Fraser,FWMF,Newcastle Utd,eng Premier League,26,10.3,5.63,16.1
Fred\Fred,MF,Manchester Utd,eng Premier League,27,26.6,11.7,41.7
Ryan Fredericks\Ryan-Fredericks,DFFW,West Ham,eng Premier League,27,6.3,8.89,39.1
Remo Freuler\Remo-Freuler,MF,Atalanta,it Serie A,28,30.1,12.7,48.2
Marco Friedl\Marco-Friedl,DF,Werder Bremen,de Bundesliga,22,30.9,8.38,63.1
Marvin Friedrich\Marvin-Friedrich,DF,Union Berlin,de Bundesliga,24,34.0,10.2,57.8
Jeremie Frimpong\Jeremie-Frimpong,DFFW,Leverkusen,de Bundesliga,19,4.8,6.46,33.3
Jorge de Frutos\Jorge-de-Frutos,MFFW,Levante,es La Liga,23,24.3,4.90,31.9
Christian Fuchs\Christian-Fuchs,DF,Leicester City,eng Premier League,34,7.8,10.3,63.2
Angelo Fulgini\Angelo-Fulgini,MF,Angers,fr Ligue 1,23,30.3,7.69,28.8
Niclas Füllkrug\Niclas-Fullkrug,FWMF,Werder Bremen,de Bundesliga,27,9.7,2.89,43.0
Ramiro Funes Mori\Ramiro-Funes-Mori,DF,Villarreal,es La Liga,29,8.1,8.64,66.7
Darnell Furlong\Darnell-Furlong,DF,West Brom,eng Premier League,24,32.6,6.50,63.2
Daniel Fuzato\Daniel-Fuzato,GK,Roma,it Serie A,23,5.0,3.60,
Baptiste Gabard\Baptiste-Gabard,MF,Saint-Étienne,fr Ligue 1,20,1.5,8.00,25.0
Matteo Gabbia\Matteo-Gabbia,DF,Milan,it Serie A,20,6.2,10.6,73.3
Manolo Gabbiadini\Manolo-Gabbiadini,FW,Sampdoria,it Serie A,28,9.7,4.12,28.6
Mijat Gaćinović\Mijat-Gacinovic,DFMF,Hoffenheim,de Bundesliga,25,9.1,10.9,38.9
Roberto Gagliardini\Roberto-Gagliardini,MF,Inter,it Serie A,26,13.7,5.84,61.5
Riccardo Gagliolo\Riccardo-Gagliolo,DF,Parma,it Serie A,30,21.7,8.02,49.1
Adolfo Gaich\Adolfo-Gaich,FW,Benevento,it Serie A,21,8.5,3.29,22.4
Andrey Galabinov\Andrey-Galabinov,FW,Spezia,it Serie A,31,4.8,3.54,27.3
Javi Galán\Javi-Galan,DF,Huesca,es La Liga,25,34.1,8.30,35.2
Conor Gallagher\Conor-Gallagher,MF,West Brom,eng Premier League,20,28.1,9.68,39.3
Enric Gallego\Enric-Gallego,FW,Osasuna,es La Liga,33,9.0,5.22,55.0
Kévin Gameiro\Kevin-Gameiro,FW,Valencia,es La Liga,33,12.0,3.00,24.3
Idrissa Gana Gueye\Idrissa-Gana-Gueye,MF,Paris S-G,fr Ligue 1,30,17.6,11.4,55.6
Ignatius Ganago\Ignatius-Ganago,FW,Lens,fr Ligue 1,21,14.5,3.17,41.5
Aleix García\Aleix-Garcia,MF,Eibar,es La Liga,23,4.9,8.16,75.0
Borja García\Borja-Garcia,MFFW,Huesca,es La Liga,29,12.4,7.74,42.9
Dani García\Dani-Garcia,MF,Athletic Club,es La Liga,30,21.3,12.3,55.3
David García\David-Garcia,DF,Osasuna,es La Liga,26,35.0,12.4,76.1
Eric García\Eric-Garcia,DF,Manchester City,eng Premier League,19,4.3,8.84,33.3
Manu García\Manu-Garcia,MF,Alavés,es La Liga,34,12.5,8.24,56.4
Raúl García\Raul-Garcia,FWMF,Athletic Club,es La Liga,34,19.4,6.34,60.4
Raúl García\Raul-Garcia,DFMF,Valladolid,es La Liga,31,5.6,10.2,58.1
Rubén García\Ruben-Garcia,MFFW,Osasuna,es La Liga,27,30.2,6.62,46.1
Sergi García\Sergi-Garcia,MF,Alavés,es La Liga,21,0.2,5.00,
Unai García\Unai-Garcia,DF,Osasuna,es La Liga,28,13.8,9.86,43.9
Mario Gaspar\Mario-Gaspar,DF,Villarreal,es La Liga,29,20.6,5.78,50.0
Manuel Gasparini\Manuel-Gasparini,GK,Udinese,it Serie A,18,0.0,0,
Dwight Gayle\Dwight-Gayle,FWMF,Newcastle Utd,eng Premier League,29,5.7,4.91,30.4
Paulo Gazzaniga\Paulo-Gazzaniga,GK,Elche,es La Liga,28,8.0,5.88,
Jean-Philippe Gbamin\Jean-Philippe-Gbamin,MF,Everton,eng Premier League,24,0.1,30.0,
Yann Gboho\Yann-Gboho,MFFW,Rennes,fr Ligue 1,19,3.4,7.65,28.6
David de Gea\David-de-Gea,GK,Manchester Utd,eng Premier League,29,25.5,3.25,
Christian Gebauer\Christian-Gebauer,MFFW,Arminia,de Bundesliga,26,7.6,8.82,29.0
Theodor Gebre Selassie\Theodor-Gebre-Selassie,DF,Werder Bremen,de Bundesliga,33,33.7,7.15,51.4
Emrehan Gedikli\Emrehan-Gedikli,FW,Leverkusen,de Bundesliga,17,0.3,3.33,
Dennis Geiger\Dennis-Geiger,MF,Hoffenheim,de Bundesliga,22,7.3,7.53,22.2
