Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Ahmad Benali\Ahmad-Benali,MF,Crotone,it Serie A,28,18,15,1214,13.5,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.8,0.8,1.2,2.0,0.06,0.09,0.15,0.06,0.15
Samy Benchama\Samy-Benchama,MFDF,Montpellier,fr Ligue 1,20,5,0,42,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Lars Bender\Lars-Bender,DF,Leverkusen,de Bundesliga,31,14,12,936,10.4,1,2,0,1,1,2,0,0.10,0.19,0.29,0.00,0.19,1.2,0.5,0.5,1.0,0.12,0.05,0.17,0.05,0.09
Sven Bender\Sven-Bender,DF,Leverkusen,de Bundesliga,31,18,14,1170,13.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04
Darío Benedetto\Dario-Benedetto,FW,Marseille,fr Ligue 1,30,32,19,1579,17.5,5,3,4,1,1,3,2,0.28,0.17,0.46,0.23,0.40,7.6,6.8,2.0,8.8,0.43,0.11,0.55,0.39,0.50
László Bénes\Laszlo-Benes,MFFW,Augsburg,de Bundesliga,22,12,9,660,7.3,1,1,1,0,0,3,0,0.14,0.14,0.27,0.14,0.27,0.4,0.4,0.6,1.1,0.06,0.09,0.14,0.06,0.14
László Bénes\Laszlo-Benes,MF,M'Gladbach,de Bundesliga,22,7,1,150,1.7,0,1,0,0,0,0,0,0.00,0.60,0.60,0.00,0.60,0.1,0.1,0.4,0.4,0.03,0.21,0.25,0.03,0.25
Walter Benítez\Walter-Benitez,GK,Nice,fr Ligue 1,27,38,38,3420,38.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Loris Benito\Loris-Benito,DF,Bordeaux,fr Ligue 1,28,31,30,2651,29.5,0,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.4,1.7,0.01,0.05,0.06,0.01,0.06
Sergio Benito\Sergio-Benito,FW,Valladolid,es La Liga,21,1,0,2,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Bilal Benkhedim\Bilal-Benkhedim,FW,Saint-Étienne,fr Ligue 1,19,3,1,73,0.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.26,0.26,0.00,0.26
Djamel Benlamri\Djamel-Benlamri,DF,Lyon,fr Ligue 1,30,6,0,149,1.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01
Ismaël Bennacer\Ismael-Bennacer,MF,Milan,it Serie A,22,21,17,1326,14.7,0,2,0,0,0,4,0,0.00,0.14,0.14,0.00,0.14,0.7,0.7,0.5,1.2,0.05,0.03,0.08,0.05,0.08
Saïd Benrahma\Said-Benrahma,FWMF,West Ham,eng Premier League,24,30,14,1391,15.5,1,6,1,0,0,0,0,0.06,0.39,0.45,0.06,0.45,2.3,2.3,4.4,6.6,0.15,0.28,0.43,0.15,0.43
Yassine Benrahou\Yassine-Benrahou,MF,Nîmes,fr Ligue 1,21,23,15,1239,13.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,3.0,3.7,0.06,0.22,0.27,0.06,0.27
Ramy Bensebaini\Ramy-Bensebaini,DF,M'Gladbach,de Bundesliga,25,25,20,1811,20.1,4,0,3,1,1,7,0,0.20,0.00,0.20,0.15,0.15,2.3,1.6,0.4,2.0,0.12,0.02,0.14,0.08,0.10
Josh Benson\Josh-Benson,MF,Burnley,eng Premier League,20,6,2,264,2.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.06,0.00,0.06,0.06,0.06
Nabil Bentaleb\Nabil-Bentaleb,MF,Schalke 04,de Bundesliga,25,9,6,548,6.1,0,0,0,0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.8,0.0,0.1,0.1,0.12,0.01,0.14,0.00,0.01
Rodrigo Bentancur\Rodrigo-Bentancur,MF,Juventus,it Serie A,23,33,27,2324,25.8,0,4,0,0,0,8,1,0.00,0.15,0.15,0.00,0.15,0.7,0.7,2.6,3.3,0.03,0.10,0.13,0.03,0.13
Christian Benteke\Christian-Benteke,FW,Crystal Palace,eng Premier League,29,30,21,1816,20.2,10,1,10,0,0,3,1,0.50,0.05,0.55,0.50,0.55,8.1,8.1,1.0,9.1,0.40,0.05,0.45,0.40,0.45
Karim Benzema\Karim-Benzema,FW,Real Madrid,es La Liga,32,34,33,2894,32.2,23,9,22,1,1,2,0,0.72,0.28,1.00,0.68,0.96,17.8,17.0,6.3,23.3,0.55,0.20,0.75,0.53,0.72
Yassine Benzia\Yassine-Benzia,MFFW,Dijon,fr Ligue 1,25,7,5,407,4.5,2,1,0,2,2,1,0,0.44,0.22,0.66,0.00,0.22,1.8,0.3,0.3,0.6,0.41,0.06,0.46,0.07,0.13
Alessandro Berardi\Alessandro-Berardi,GK,Hellas Verona,it Serie A,29,1,0,28,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Domenico Berardi\Domenico-Berardi,FWMF,Sassuolo,it Serie A,25,30,28,2475,27.5,17,7,10,7,8,4,0,0.62,0.25,0.87,0.36,0.62,14.6,8.5,5.2,13.7,0.53,0.19,0.72,0.31,0.50
Gaetano Berardi\Gaetano-Berardi,DF,Leeds United,eng Premier League,31,2,1,113,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03
Yuri Berchiche\Yuri-Berchiche,DF,Athletic Club,es La Liga,30,23,21,1682,18.7,1,3,1,0,0,3,0,0.05,0.16,0.21,0.05,0.21,0.8,0.8,1.9,2.7,0.04,0.10,0.14,0.04,0.14
Álex Berenguer\Alex-Berenguer,MF,Torino,it Serie A,25,2,2,131,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.22,0.00,0.22,0.22,0.22
Álex Berenguer\Alex-Berenguer,MFFW,Athletic Club,es La Liga,25,35,27,2278,25.3,8,4,8,0,0,4,0,0.32,0.16,0.47,0.32,0.47,6.1,6.1,3.8,9.9,0.24,0.15,0.39,0.24,0.39
Bartosz Bereszyński\Bartosz-Bereszynski,DF,Sampdoria,it Serie A,28,31,29,2607,29.0,1,0,1,0,0,2,0,0.03,0.00,0.03,0.03,0.03,0.1,0.1,0.7,0.8,0.00,0.02,0.03,0.00,0.03
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,MF,Burnley,eng Premier League,29,22,16,1363,15.1,2,0,2,0,0,2,0,0.13,0.00,0.13,0.13,0.13,1.7,1.7,0.5,2.2,0.11,0.03,0.14,0.11,0.14
Sander Berge\Sander-Berge,MF,Sheffield Utd,eng Premier League,22,15,13,1120,12.4,1,1,0,1,1,4,0,0.08,0.08,0.16,0.00,0.08,1.2,0.5,1.2,1.7,0.10,0.10,0.20,0.04,0.14
Steven Bergwijn\Steven-Bergwijn,FWMF,Tottenham,eng Premier League,22,21,13,1208,13.4,1,3,1,0,0,3,0,0.07,0.22,0.30,0.07,0.30,2.5,2.5,1.3,3.7,0.18,0.09,0.28,0.18,0.28
Valon Berisha\Valon-Berisha,MF,Reims,fr Ligue 1,27,24,17,1645,18.3,0,3,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,1.0,1.0,1.6,2.6,0.05,0.09,0.14,0.05,0.14
Bernard\Bernard,MFFW,Everton,eng Premier League,27,12,3,455,5.1,1,0,1,0,0,2,0,0.20,0.00,0.20,0.20,0.20,0.2,0.2,0.7,0.9,0.04,0.13,0.18,0.04,0.18
Federico Bernardeschi\Federico-Bernardeschi,DFMF,Juventus,it Serie A,26,27,8,972,10.8,0,2,0,0,0,3,0,0.00,0.19,0.19,0.00,0.19,1.5,1.5,2.1,3.7,0.14,0.20,0.34,0.14,0.34
Bernardo\Bernardo,DFMF,Brighton,eng Premier League,25,3,2,206,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.13,0.09,0.22,0.13,0.22
Paul Bernardoni\Paul-Bernardoni,GK,Angers,fr Ligue 1,23,38,38,3420,38.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Juan Bernat\Juan-Bernat,DF,Paris S-G,fr Ligue 1,27,3,2,194,2.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.13,0.13,0.00,0.13
