Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Mehdi Bourabia\Mehdi-Bourabia,MF,Sassuolo,it Serie A,28,15,4,528,5.9,1,0,1,0,0,2,0,0.17,0.00,0.17,0.17,0.17,0.6,0.6,0.6,1.2,0.10,0.10,0.20,0.10,0.20
Benjamin Bourigeaud\Benjamin-Bourigeaud,MFFW,Rennes,fr Ligue 1,26,37,29,2552,28.4,6,5,6,0,0,8,0,0.21,0.18,0.39,0.21,0.39,5.6,5.6,5.3,11.0,0.20,0.19,0.39,0.20,0.39
Edoardo Bove\Edoardo-Bove,MF,Roma,it Serie A,18,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Jarrod Bowen\Jarrod-Bowen,FWMF,West Ham,eng Premier League,23,38,30,2562,28.5,8,5,8,0,0,0,0,0.28,0.18,0.46,0.28,0.46,6.3,6.3,4.6,10.8,0.22,0.16,0.38,0.22,0.38
Dedryck Boyata\Dedryck-Boyata,DF,Hertha BSC,de Bundesliga,29,19,17,1545,17.2,1,0,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,0.6,0.6,0.7,1.3,0.04,0.04,0.08,0.04,0.08
John Boye\John-Boye,DF,Metz,fr Ligue 1,33,35,35,3041,33.8,1,2,1,0,0,6,2,0.03,0.06,0.09,0.03,0.09,1.9,1.9,0.2,2.0,0.05,0.01,0.06,0.05,0.06
Lucas Boyé\Lucas-Boye,FW,Elche,es La Liga,24,34,32,2694,29.9,7,2,7,0,0,9,1,0.23,0.07,0.30,0.23,0.30,5.9,5.9,1.0,7.0,0.20,0.03,0.23,0.20,0.23
Can Bozdogan\Can-Bozdogan,MF,Schalke 04,de Bundesliga,19,14,5,651,7.2,0,2,0,0,0,0,0,0.00,0.28,0.28,0.00,0.28,0.4,0.4,0.5,1.0,0.06,0.07,0.13,0.06,0.13
Umut Bozok\Umut-Bozok,FWMF,Lorient,fr Ligue 1,23,5,0,61,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Jayden Braaf\Jayden-Braaf,FW,Udinese,it Serie A,17,4,1,116,1.3,1,0,1,0,0,0,0,0.78,0.00,0.78,0.78,0.78,0.2,0.2,0.1,0.3,0.16,0.08,0.24,0.16,0.24
Domagoj Bradarić\Domagoj-Bradaric,DF,Lille,fr Ligue 1,20,26,14,1263,14.0,1,2,1,0,0,4,0,0.07,0.14,0.21,0.07,0.21,0.3,0.3,1.3,1.5,0.02,0.09,0.11,0.02,0.11
Robbie Brady\Robbie-Brady,MF,Burnley,eng Premier League,28,19,12,1052,11.7,1,1,1,0,0,3,0,0.09,0.09,0.17,0.09,0.17,0.8,0.8,0.9,1.7,0.07,0.08,0.15,0.07,0.15
Martin Braithwaite\Martin-Braithwaite,FW,Barcelona,es La Liga,29,29,11,1175,13.1,2,2,2,0,1,3,0,0.15,0.15,0.31,0.15,0.31,5.0,4.2,2.0,6.3,0.38,0.16,0.54,0.32,0.48
Julian Brandt\Julian-Brandt,FWMF,Dortmund,de Bundesliga,24,31,17,1495,16.6,3,2,3,0,0,0,0,0.18,0.12,0.30,0.18,0.30,3.0,3.0,2.8,5.9,0.18,0.17,0.35,0.18,0.35
Darko Brašanac\Darko-Brasanac,MF,Osasuna,es La Liga,28,16,9,909,10.1,2,0,2,0,0,4,0,0.20,0.00,0.20,0.20,0.20,1.3,1.3,0.2,1.4,0.12,0.02,0.14,0.12,0.14
Lilian Brassier\Lilian-Brassier,DF,Brest,fr Ligue 1,20,11,11,962,10.7,1,1,1,0,0,3,0,0.09,0.09,0.19,0.09,0.19,0.2,0.2,1.2,1.5,0.02,0.11,0.14,0.02,0.14
Álvaro Bravo\Alvaro-Bravo,MF,Granada,es La Liga,22,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Claudio Bravo\Claudio-Bravo,GK,Betis,es La Liga,37,20,20,1800,20.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.01,0.01,0.00,0.01
Fabian Bredlow\Fabian-Bredlow,GK,Stuttgart,de Bundesliga,25,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Josip Brekalo\Josip-Brekalo,FW,Wolfsburg,de Bundesliga,22,29,22,1814,20.2,7,3,7,0,0,1,0,0.35,0.15,0.50,0.35,0.50,3.7,3.7,3.4,7.1,0.18,0.17,0.35,0.18,0.35
Gleison Bremer\Gleison-Bremer,DF,Torino,it Serie A,23,33,33,2935,32.6,5,0,5,0,0,2,0,0.15,0.00,0.15,0.15,0.15,3.4,3.4,0.5,3.9,0.10,0.02,0.12,0.10,0.12
Joshua Brenet\Joshua-Brenet,DF,Hoffenheim,de Bundesliga,26,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Rhian Brewster\Rhian-Brewster,FW,Sheffield Utd,eng Premier League,20,27,12,1128,12.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,1.7,3.4,0.14,0.13,0.27,0.14,0.27
Anthony Briançon\Anthony-Briancon,DF,Nîmes,fr Ligue 1,25,16,14,1225,13.6,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.02,0.01,0.03,0.02,0.03
Jimmy Briand\Jimmy-Briand,FW,Bordeaux,fr Ligue 1,34,24,1,571,6.3,1,2,0,1,1,2,0,0.16,0.32,0.47,0.00,0.32,1.6,0.9,0.1,1.0,0.26,0.02,0.28,0.14,0.16
Yan Brice Eteki\Yan-Brice-Eteki,MF,Granada,es La Liga,22,25,16,1321,14.7,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.4,0.02,0.00,0.02,0.02,0.02
Nathan Broadhead\Nathan-Broadhead,MF,Everton,eng Premier League,22,1,0,3,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Dylan Bronn\Dylan-Bronn,DF,Metz,fr Ligue 1,25,38,38,3412,37.9,2,0,1,1,2,4,0,0.05,0.00,0.05,0.03,0.03,2.1,0.6,0.4,1.0,0.06,0.01,0.07,0.02,0.03
John Brooks\John-Brooks,DF,Wolfsburg,de Bundesliga,27,32,31,2774,30.8,2,0,2,0,0,5,0,0.06,0.00,0.06,0.06,0.06,1.6,1.6,0.5,2.2,0.05,0.02,0.07,0.05,0.07
Daniel Brosinski\Daniel-Brosinski,DF,Mainz 05,de Bundesliga,32,21,16,1430,15.9,2,1,0,2,2,0,0,0.13,0.06,0.19,0.00,0.06,1.8,0.3,2.4,2.7,0.12,0.15,0.27,0.02,0.17
Josh Brownhill\Josh-Brownhill,MF,Burnley,eng Premier League,24,33,32,2813,31.3,0,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,1.9,1.9,1.1,3.0,0.06,0.04,0.10,0.06,0.10
Marcelo Brozović\Marcelo-Brozovic,MF,Inter,it Serie A,27,33,29,2581,28.7,2,6,2,0,0,9,1,0.07,0.21,0.28,0.07,0.28,1.8,1.8,4.3,6.2,0.06,0.15,0.22,0.06,0.22
Gastón Brugman\Gaston-Brugman,MF,Parma,it Serie A,27,26,21,1616,18.0,1,1,1,0,0,7,0,0.06,0.06,0.11,0.06,0.11,1.2,1.2,2.4,3.6,0.06,0.13,0.20,0.06,0.20
Juan Brunet\Juan-Brunet,MF,Granada,es La Liga,22,2,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Juan Brunetta\Juan-Brunetta,FWMF,Parma,it Serie A,23,12,4,475,5.3,1,2,1,0,0,3,0,0.19,0.38,0.57,0.19,0.57,1.3,1.3,0.7,2.0,0.24,0.13,0.38,0.24,0.38
Cédric Brunner\Cedric-Brunner,DF,Arminia,de Bundesliga,26,31,30,2655,29.5,0,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,0.4,0.4,1.1,1.4,0.01,0.04,0.05,0.01,0.05
Jacob Bruun Larsen\Jacob-Bruun-Larsen,FW,Hoffenheim,de Bundesliga,21,2,1,89,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Bryan\Bryan,FW,Sevilla,es La Liga,19,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Bryan\Bryan,MFFW,Eibar,es La Liga,19,28,26,2265,25.2,4,3,4,0,0,6,0,0.16,0.12,0.28,0.16,0.28,4.0,3.6,5.2,8.8,0.16,0.21,0.36,0.14,0.35
Joe Bryan\Joe-Bryan,DFFW,Fulham,eng Premier League,26,16,7,669,7.4,1,0,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,0.4,0.4,0.4,0.8,0.05,0.06,0.11,0.05,0.11
Kean Bryan\Kean-Bryan,DF,Sheffield Utd,eng Premier League,23,13,12,1004,11.2,1,0,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,0.4,0.4,0.4,0.8,0.04,0.03,0.07,0.04,0.07
Lucas Buadés\Lucas-Buades,MF,Nîmes,fr Ligue 1,22,2,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ante Budimir\Ante-Budimir,FW,Osasuna,es La Liga,29,30,18,1625,18.1,11,0,11,0,0,3,0,0.61,0.00,0.61,0.61,0.61,7.1,7.1,0.6,7.7,0.39,0.03,0.43,0.39,0.43
Gianluigi Buffon\Gianluigi-Buffon,GK,Juventus,it Serie A,42,8,8,720,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Marius Bülter\Marius-Bulter,FWMF,Union Berlin,de Bundesliga,27,26,8,977,10.9,1,0,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,2.0,2.0,1.2,3.1,0.18,0.11,0.29,0.18,0.29
Alessandro Buongiorno\Alessandro-Buongiorno,DF,Torino,it Serie A,21,12,9,858,9.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02
Esteban Burgos\Esteban-Burgos,DF,Eibar,es La Liga,28,14,12,1111,12.3,3,1,1,2,3,5,0,0.24,0.08,0.32,0.08,0.16,3.3,1.1,0.1,1.2,0.27,0.01,0.28,0.09,0.10
Burgui\Burgui,MF,Alavés,es La Liga,26,1,0,21,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Jonathan Burkardt\Jonathan-Burkardt,FWDF,Mainz 05,de Bundesliga,20,29,16,1373,15.3,2,0,2,0,0,0,0,0.13,0.00,0.13,0.13,0.13,4.5,4.5,1.5,6.1,0.30,0.10,0.40,0.30,0.40
Nishan Burkart\Nishan-Burkart,MF,Freiburg,de Bundesliga,20,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Oliver Burke\Oliver-Burke,FW,Sheffield Utd,eng Premier League,23,25,14,1269,14.1,1,1,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,2.4,2.4,1.8,4.2,0.17,0.13,0.30,0.17,0.30
Roman Bürki\Roman-Burki,GK,Dortmund,de Bundesliga,29,19,18,1665,18.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Dan Burn\Dan-Burn,DF,Brighton,eng Premier League,28,27,23,2061,22.9,1,0,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,1.5,1.5,1.0,2.5,0.06,0.04,0.11,0.06,0.11
Patrick Burner\Patrick-Burner,DF,Nice,fr Ligue 1,24,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Patrick Burner\Patrick-Burner,DF,Nîmes,fr Ligue 1,24,22,14,1317,14.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.8,0.03,0.02,0.05,0.03,0.05
Maxime Busi\Maxime-Busi,DF,Parma,it Serie A,20,24,11,1195,13.3,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,1.4,1.9,0.04,0.10,0.14,0.04,0.14
Sergio Busquets\Sergio-Busquets,MF,Barcelona,es La Liga,32,36,32,2517,28.0,0,5,0,0,0,9,0,0.00,0.18,0.18,0.00,0.18,0.2,0.2,3.6,3.8,0.01,0.13,0.14,0.01,0.14
Jack Butland\Jack-Butland,GK,Crystal Palace,eng Premier League,27,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
David Button\David-Button,GK,West Brom,eng Premier League,31,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Oskar Buur\Oskar-Buur,DF,Wolves,eng Premier League,22,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Marcin Bułka\Marcin-Bulka,GK,Paris S-G,fr Ligue 1,20,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Erick Cabaco\Erick-Cabaco,DF,Getafe,es La Liga,25,20,15,1326,14.7,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02
Willy Caballero\Willy-Caballero,GK,Chelsea,eng Premier League,38,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Jimmy Cabot\Jimmy-Cabot,FWMF,Angers,fr Ligue 1,26,22,8,942,10.5,1,1,1,0,0,1,0,0.10,0.10,0.19,0.10,0.19,1.2,1.2,1.3,2.4,0.11,0.12,0.23,0.11,0.23
Martín Cáceres\Martin-Caceres,DF,Fiorentina,it Serie A,33,29,26,2238,24.9,2,2,2,0,0,4,0,0.08,0.08,0.16,0.08,0.16,1.3,1.3,1.1,2.4,0.05,0.04,0.09,0.05,0.09
Anthony Caci\Anthony-Caci,DF,Strasbourg,fr Ligue 1,23,33,32,2797,31.1,0,2,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,0.3,0.3,1.7,2.0,0.01,0.05,0.06,0.01,0.06
Mathieu Cafaro\Mathieu-Cafaro,MFFW,Reims,fr Ligue 1,23,31,27,2074,23.0,4,2,4,0,0,3,0,0.17,0.09,0.26,0.17,0.26,3.4,3.4,2.0,5.4,0.15,0.09,0.23,0.15,0.23
Gary Cahill\Gary-Cahill,DF,Crystal Palace,eng Premier League,34,20,20,1800,20.0,1,1,1,0,0,3,0,0.05,0.05,0.10,0.05,0.10,0.7,0.7,0.7,1.4,0.03,0.04,0.07,0.03,0.07
Yannick Cahuzac\Yannick-Cahuzac,MF,Lens,fr Ligue 1,35,30,26,2252,25.0,1,0,1,0,0,9,0,0.04,0.00,0.04,0.04,0.04,1.6,1.6,0.6,2.2,0.07,0.02,0.09,0.07,0.09
Felipe Caicedo\Felipe-Caicedo,FW,Lazio,it Serie A,31,25,9,929,10.3,8,0,7,1,1,5,0,0.78,0.00,0.78,0.68,0.68,5.3,4.6,0.7,5.2,0.52,0.06,0.58,0.44,0.51
Marc-Aurèle Caillard\Marc-Aurele-Caillard,GK,Metz,fr Ligue 1,26,5,4,361,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Tom Cairney\Tom-Cairney,MF,Fulham,eng Premier League,29,10,9,759,8.4,1,1,1,0,0,2,0,0.12,0.12,0.24,0.12,0.24,0.7,0.7,1.4,2.1,0.08,0.17,0.25,0.08,0.25
Cala\Cala,DF,Cádiz,es La Liga,30,28,26,2272,25.2,3,0,3,0,0,8,0,0.12,0.00,0.12,0.12,0.12,1.4,1.4,0.3,1.7,0.06,0.01,0.07,0.06,0.07
Arturo Calabresi\Arturo-Calabresi,DFFW,Bologna,it Serie A,24,1,0,20,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Arturo Calabresi\Arturo-Calabresi,DF,Cagliari,it Serie A,24,2,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Davide Calabria\Davide-Calabria,DF,Milan,it Serie A,23,32,30,2647,29.4,2,1,2,0,0,7,0,0.07,0.03,0.10,0.07,0.10,1.2,1.2,1.8,3.0,0.04,0.06,0.10,0.04,0.10
Riccardo Calafiori\Riccardo-Calafiori,DF,Roma,it Serie A,18,3,1,66,0.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Mattia Caldara\Mattia-Caldara,DF,Atalanta,it Serie A,26,6,1,111,1.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.20,0.00,0.20,0.20,0.20
Luca Caldirola\Luca-Caldirola,DF,Benevento,it Serie A,29,25,17,1572,17.5,2,0,2,0,0,6,1,0.11,0.00,0.11,0.11,0.11,1.0,1.0,0.2,1.2,0.06,0.01,0.07,0.06,0.07
Duje Ćaleta-Car\Duje-Caleta-Car,DF,Marseille,fr Ligue 1,23,33,32,2813,31.3,2,1,2,0,0,8,1,0.06,0.03,0.10,0.06,0.10,1.0,1.0,1.0,2.0,0.03,0.03,0.06,0.03,0.06
Hakan Çalhanoğlu\Hakan-Calhanoglu,MFFW,Milan,it Serie A,26,33,30,2614,29.0,4,9,3,1,1,4,0,0.14,0.31,0.45,0.10,0.41,5.5,4.8,8.8,13.5,0.19,0.30,0.49,0.16,0.47
Kerim Calhanoglu\Kerim-Calhanoglu,DF,Schalke 04,de Bundesliga,17,4,4,296,3.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03
Fabrizio Caligara\Fabrizio-Caligara,MF,Cagliari,it Serie A,20,10,2,183,2.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.05,0.05,0.00,0.05
Daniel Caligiuri\Daniel-Caligiuri,MFFW,Augsburg,de Bundesliga,32,33,31,2665,29.6,6,4,4,2,3,5,0,0.20,0.14,0.34,0.14,0.27,4.8,2.6,3.7,6.3,0.16,0.13,0.29,0.09,0.21
José Callejón\Jose-Callejon,FWMF,Fiorentina,it Serie A,33,20,6,664,7.4,0,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,0.3,0.3,1.3,1.6,0.04,0.18,0.22,0.04,0.22
Jonathan Calleri\Jonathan-Calleri,FW,Osasuna,es La Liga,26,25,20,1544,17.2,5,2,5,0,0,4,0,0.29,0.12,0.41,0.29,0.41,5.9,5.9,1.3,7.2,0.34,0.08,0.42,0.34,0.42
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,FW,Everton,eng Premier League,23,33,32,2871,31.9,16,0,16,0,0,3,0,0.50,0.00,0.50,0.50,0.50,15.4,15.4,2.0,17.5,0.48,0.06,0.55,0.48,0.55
Dani Calvo\Dani-Calvo,DF,Elche,es La Liga,26,23,19,1779,19.8,2,0,2,0,0,3,0,0.10,0.00,0.10,0.10,0.10,0.9,0.9,0.0,0.9,0.05,0.00,0.05,0.05,0.05
Drissa Camara\Drissa-Camara,MF,Parma,it Serie A,18,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Mahdi Camara\Mahdi-Camara,MFDF,Saint-Étienne,fr Ligue 1,22,37,37,3290,36.6,3,2,3,0,0,4,0,0.08,0.05,0.14,0.08,0.14,3.5,3.5,1.6,5.1,0.10,0.04,0.14,0.10,0.14
Eduardo Camavinga\Eduardo-Camavinga,MF,Rennes,fr Ligue 1,17,35,28,2402,26.7,1,2,1,0,0,6,0,0.04,0.07,0.11,0.04,0.11,1.9,1.9,1.3,3.2,0.07,0.05,0.12,0.07,0.12
José Campaña\Jose-Campana,MF,Levante,es La Liga,27,9,8,748,8.3,1,2,0,1,1,0,0,0.12,0.24,0.36,0.00,0.24,1.4,0.7,1.4,2.0,0.17,0.16,0.34,0.08,0.25
Emre Can\Emre-Can,DFMF,Dortmund,de Bundesliga,26,28,23,2133,23.7,1,4,1,0,0,5,0,0.04,0.17,0.21,0.04,0.21,0.8,0.8,2.4,3.2,0.03,0.10,0.13,0.03,0.13
Sergio Canales\Sergio-Canales,MFFW,Betis,es La Liga,29,31,28,2498,27.8,8,6,6,2,3,4,0,0.29,0.22,0.50,0.22,0.43,5.4,2.9,5.1,8.0,0.19,0.18,0.38,0.11,0.29
João Cancelo\Joao-Cancelo,DF,Manchester City,eng Premier League,26,28,27,2299,25.5,2,3,2,0,0,5,1,0.08,0.12,0.20,0.08,0.20,2.0,2.0,4.9,6.9,0.08,0.19,0.27,0.08,0.27
Antonio Candreva\Antonio-Candreva,MF,Sampdoria,it Serie A,33,35,28,2505,27.8,5,8,3,2,2,1,0,0.18,0.29,0.47,0.11,0.40,4.8,3.3,5.8,9.0,0.17,0.21,0.38,0.12,0.32
Álex Cantero\Alex-Cantero,FW,Levante,es La Liga,20,4,3,237,2.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,
Ander Capa\Ander-Capa,DF,Athletic Club,es La Liga,28,28,25,2131,23.7,2,1,2,0,0,5,0,0.08,0.04,0.13,0.08,0.13,1.1,1.1,1.6,2.7,0.05,0.07,0.11,0.05,0.11
Pierrick Capelle\Pierrick-Capelle,MFDF,Angers,fr Ligue 1,33,35,24,2053,22.8,3,3,3,0,0,2,0,0.13,0.13,0.26,0.13,0.26,3.6,3.6,1.3,5.0,0.16,0.06,0.22,0.16,0.22
Étienne Capoue\Etienne-Capoue,MF,Villarreal,es La Liga,32,16,15,1185,13.2,1,0,1,0,0,5,1,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.1,0.6,0.04,0.01,0.05,0.04,0.05
Elio Capradossi\Elio-Capradossi,DF,Spezia,it Serie A,24,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.13,0.00,0.13,0.13,0.13
Gianluca Caprari\Gianluca-Caprari,MFFW,Benevento,it Serie A,27,30,23,1865,20.7,5,6,5,0,1,4,1,0.24,0.29,0.53,0.24,0.53,4.2,3.4,3.2,6.6,0.20,0.16,0.36,0.16,0.32
Francesco Caputo\Francesco-Caputo,FW,Sassuolo,it Serie A,32,25,19,1697,18.9,11,5,8,3,3,1,0,0.58,0.27,0.85,0.42,0.69,9.4,7.1,1.7,8.8,0.50,0.09,0.59,0.38,0.47
Maxence Caqueret\Maxence-Caqueret,MF,Lyon,fr Ligue 1,20,29,19,1761,19.6,0,1,0,0,0,4,1,0.00,0.05,0.05,0.00,0.05,0.7,0.7,1.9,2.6,0.04,0.10,0.13,0.04,0.13
Andrea Carboni\Andrea-Carboni,DF,Cagliari,it Serie A,19,15,12,1085,12.1,0,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.2,0.2,0.7,0.9,0.02,0.06,0.08,0.02,0.08
Isaac Carcelen\Isaac-Carcelen,DF,Cádiz,es La Liga,27,32,31,2581,28.7,0,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,0.4,0.4,1.0,1.4,0.01,0.03,0.05,0.01,0.05
Cárdenas\Cardenas,GK,Levante,es La Liga,23,8,8,720,8.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Irvin Cardona\Irvin-Cardona,FWMF,Brest,fr Ligue 1,22,36,22,2029,22.5,7,1,7,0,0,2,0,0.31,0.04,0.35,0.31,0.35,7.6,7.6,1.9,9.5,0.34,0.08,0.42,0.34,0.42
Marc Cardona\Marc-Cardona,FWMF,Osasuna,es La Liga,25,3,0,53,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.30,0.00,0.30,0.30,0.30
Ian Carlo Poveda\Ian-Carlo-Poveda,MFDF,Leeds United,eng Premier League,20,14,0,355,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.8,1.2,0.09,0.21,0.30,0.09,0.30
Diego Carlos\Diego-Carlos,DF,Sevilla,es La Liga,27,33,32,2788,31.0,1,0,1,0,0,11,1,0.03,0.00,0.03,0.03,0.03,1.0,1.0,0.6,1.6,0.03,0.02,0.05,0.03,0.05
Juan Carlos\Juan-Carlos,MFFW,Huesca,es La Liga,29,15,3,291,3.2,0,1,0,0,0,0,0,0.00,0.31,0.31,0.00,0.31,0.5,0.5,0.3,0.8,0.14,0.10,0.24,0.14,0.24
Lionel Carole\Lionel-Carole,DF,Strasbourg,fr Ligue 1,29,27,14,1342,14.9,0,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.1,0.1,1.2,1.3,0.01,0.08,0.09,0.01,0.09
Yannick Carrasco\Yannick-Carrasco,DFMF,Atlético Madrid,es La Liga,26,30,25,2179,24.2,6,10,6,0,0,6,0,0.25,0.41,0.66,0.25,0.66,6.0,6.0,5.6,11.6,0.25,0.23,0.48,0.25,0.48
Sergio Carreira\Sergio-Carreira,DF,Celta Vigo,es La Liga,19,3,3,259,2.9,1,0,1,0,0,0,0,0.35,0.00,0.35,0.35,0.35,0.4,0.4,0.0,0.4,0.13,0.00,0.13,0.13,0.13
Guido Carrillo\Guido-Carrillo,FW,Elche,es La Liga,29,21,11,1002,11.1,3,2,3,0,0,3,0,0.27,0.18,0.45,0.27,0.45,2.7,2.7,1.3,4.0,0.24,0.11,0.36,0.24,0.36
Andy Carroll\Andy-Carroll,FW,Newcastle Utd,eng Premier League,31,18,4,392,4.4,1,0,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,1.2,1.2,0.1,1.2,0.27,0.02,0.29,0.27,0.29
Scott Carson\Scott-Carson,GK,Manchester City,eng Premier League,34,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
