Player,Pos,Squad,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Bernardo Silva\Bernardo-Silva,MFFW,Manchester City,25,22.9,32,21,12,14,6,11,45,24.4,34,375,111,29.6,71,174,130,20,1,0,19,21,53,9,0
Fábio Silva\Fabio-Silva,FW,Wolves,18,15.2,10,6,2,5,3,3,11,27.3,8,261,70,26.8,30,124,107,12,1,0,11,5,15,5,0
Thiago Silva\Thiago-Silva,DF,Chelsea,35,21.5,23,13,16,6,1,9,18,50,9,102,39,38.2,47,51,4,26,13,1,13,28,51,114,1
Moussa Sissoko\Moussa-Sissoko,MF,Tottenham,30,17.6,25,20,21,3,1,7,21,33.3,14,242,75,31,135,84,23,27,5,0,22,16,41,32,0
Islam Slimani\Islam-Slimani,FW,Leicester City,32,0.2,0,0,0,0,0,0,0,,0,5,2,40,0,3,2,0,0,0,0,0,0,0,0
William Smallbone\William-Smallbone,MF,Southampton,20,1.9,6,4,2,3,1,1,4,25,3,43,18,41.9,9,21,13,5,0,0,5,1,7,2,0
Emile Smith-Rowe\Emile-Smith-Rowe,MFFW,Arsenal,20,16,14,8,7,5,2,7,16,43.8,9,241,62,25.7,53,102,86,17,1,0,16,14,28,15,0
Robert Snodgrass\Robert-Snodgrass,FWDF,West Ham,32,0.1,1,1,0,0,1,0,0,,0,0,0,,0,0,0,0,0,0,0,0,1,0,0
Robert Snodgrass\Robert-Snodgrass,MFFW,West Brom,32,5.8,20,12,13,5,2,8,18,44.4,10,86,25,29.1,34,34,18,13,3,0,10,4,24,12,0
Cédric Soares\Cedric-Soares,DF,Arsenal,28,8.3,16,10,9,5,2,6,22,27.3,16,116,35,30.2,52,43,21,14,2,0,12,8,24,21,0
Tomáš Souček\Tomas-Soucek,MF,West Ham,25,38,83,50,41,34,8,25,86,29.1,61,603,163,27,221,291,91,56,21,0,35,55,138,145,1
Çağlar Söyüncü\Caglar-Soyuncu,DF,Leicester City,24,20.2,31,16,14,17,0,10,31,32.3,21,166,55,33.1,93,64,9,22,10,0,12,27,58,109,2
Zack Steffen\Zack-Steffen,GK,Manchester City,25,1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Dale Stephens\Dale-Stephens,MF,Burnley,31,2.9,10,4,3,5,2,5,8,62.5,3,48,15,31.3,15,27,6,3,0,0,3,3,13,0,0
Jack Stephens\Jack-Stephens,DF,Southampton,26,17.1,37,19,22,14,1,17,38,44.7,21,168,57,33.9,94,65,9,41,13,0,28,25,62,84,1
Raheem Sterling\Raheem-Sterling,FW,Manchester City,25,28.2,20,18,4,13,3,6,19,31.6,13,288,83,28.8,37,136,115,17,1,0,16,14,34,2,0
Enda Stevens\Enda-Stevens,DF,Sheffield Utd,30,30,53,23,29,18,6,21,58,36.2,37,417,92,22.1,195,154,68,60,14,1,46,47,100,95,2
John Stones\John-Stones,DF,Manchester City,26,21.5,20,12,13,5,2,7,14,50,7,130,51,39.2,67,54,9,31,14,0,17,20,40,77,0
Pascal Struijk\Pascal-Struijk,DFMF,Leeds United,20,23.1,56,29,37,18,1,14,29,48.3,15,382,118,30.9,204,155,23,52,23,0,29,41,97,102,1
Japhet Tanganga\Japhet-Tanganga,DF,Tottenham,21,5.4,4,4,4,0,0,1,3,33.3,2,76,22,28.9,40,24,12,9,4,0,5,2,6,19,0
Matt Targett\Matt-Targett,DF,Aston Villa,24,37.8,97,57,51,30,16,52,98,53.1,46,425,131,30.8,219,136,70,81,18,0,63,47,144,126,1
James Tarkowski\James-Tarkowski,DF,Burnley,27,36,74,42,60,10,4,30,54,55.6,24,252,104,41.3,174,68,10,70,46,2,24,57,131,236,1
Percy Tau\Percy-Tau,FWMF,Brighton,26,1.1,1,0,1,0,0,1,2,50,1,30,3,10,9,11,10,2,0,0,2,0,1,0,0
Sidnei Tavares\Sidnei-Tavares,MF,Leicester City,18,0.9,0,0,0,0,0,0,0,,0,19,7,36.8,8,9,2,1,1,0,0,1,1,0,0
Charlie Taylor\Charlie-Taylor,DF,Burnley,26,27,46,25,25,13,8,22,48,45.8,26,226,71,31.4,96,96,34,67,19,0,48,28,74,96,1
Neil Taylor\Neil-Taylor,DF,Aston Villa,31,0.2,1,0,1,0,0,0,0,,0,4,0,0,3,0,1,0,0,0,0,0,1,0,0
Allan Tchaptchet\Allan-Tchaptchet,DF,Southampton,18,0.1,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Nathan Tella\Nathan-Tella,FWMF,Southampton,21,8.3,12,8,1,5,6,5,15,33.3,10,222,56,25.2,32,107,83,13,0,0,13,9,21,5,0
Alex Telles\Alex-Telles,DF,Manchester Utd,27,7.7,12,6,10,2,0,5,14,35.7,9,68,22,32.4,38,20,10,11,1,0,10,12,24,27,0
Kenny Tete\Kenny-Tete,DF,Fulham,24,16.5,58,29,33,18,7,15,26,57.7,11,250,79,31.6,121,89,40,30,5,0,25,29,87,61,0
William Thomas Fish\William-Thomas-Fish,DF,Manchester Utd,17,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
