Player,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Ola Aina\Ola-Aina,DF,Fulham,eng Premier League,23,29.6,26,0.88,22,2,0,0,1,1,4,0.14,4,0,0,0,0,0
Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Angers,fr Ligue 1,19,2.1,8,3.85,6,0,2,0,0,0,2,0.96,1,0,1,0,0,0
Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Wolves,eng Premier League,19,15.6,30,1.92,19,3,7,0,1,0,2,0.13,1,0,1,0,0,0
Semi Ajayi\Semi-Ajayi,DF,West Brom,eng Premier League,26,30.9,14,0.45,11,0,2,1,0,0,3,0.10,2,0,0,1,0,0
Ludovic Ajorque\Ludovic-Ajorque,FW,Strasbourg,fr Ligue 1,26,33.0,68,2.06,48,0,1,11,8,0,8,0.24,4,0,1,1,2,0
Manuel Akanji\Manuel-Akanji,DF,Dortmund,de Bundesliga,25,26.1,15,0.57,10,1,0,2,1,1,1,0.04,1,0,0,0,0,0
Carlos Akapo\Carlos-Akapo,DF,Cádiz,es La Liga,27,9.6,5,0.52,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Marley Aké\Marley-Ake,FW,Marseille,fr Ligue 1,19,1.6,1,0.62,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Nathan Aké\Nathan-Ake,DF,Manchester City,eng Premier League,25,8.9,3,0.34,2,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Paul Akouokou\Paul-Akouokou,MF,Betis,es La Liga,22,4.2,5,1.19,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,MF,Lazio,it Serie A,27,11.7,19,1.62,14,0,1,0,1,3,1,0.09,1,0,0,0,0,0
Kevin Akpoguma\Kevin-Akpoguma,DF,Hoffenheim,de Bundesliga,25,13.2,5,0.38,4,1,0,0,0,0,1,0.08,1,0,0,0,0,0
David Alaba\David-Alaba,DFMF,Bayern Munich,de Bundesliga,28,29.7,49,1.65,44,1,0,3,0,1,6,0.20,5,1,0,0,0,0
Sofiane Alakouch\Sofiane-Alakouch,DF,Nîmes,fr Ligue 1,22,16.7,16,0.96,12,1,1,0,2,0,3,0.18,2,0,0,0,1,0
Jony Álamo\Jony-Alamo,MF,Elche,es La Liga,18,0.8,1,1.23,1,0,0,0,0,0,1,1.23,1,0,0,0,0,0
Lucas Alario\Lucas-Alario,FW,Leverkusen,de Bundesliga,27,13.8,27,1.95,21,0,2,1,3,0,3,0.22,2,0,0,1,0,0
Jordi Alba\Jordi-Alba,DF,Barcelona,es La Liga,31,33.6,86,2.56,83,1,1,0,0,1,9,0.27,9,0,0,0,0,0
Luis Alberto\Luis-Alberto,MF,Lazio,it Serie A,27,29.1,144,4.95,110,24,4,3,2,1,5,0.17,4,0,1,0,0,0
Raúl Albiol\Raul-Albiol,DF,Villarreal,es La Liga,34,34.6,14,0.40,14,0,0,0,0,0,2,0.06,2,0,0,0,0,0
Marc Albrighton\Marc-Albrighton,DFFW,Leicester City,eng Premier League,30,19.4,71,3.66,53,5,4,1,2,6,11,0.57,7,2,0,1,0,1
Paco Alcácer\Paco-Alcacer,FW,Villarreal,es La Liga,26,17.2,28,1.63,21,1,2,3,1,0,9,0.52,6,0,1,2,0,0
Pedro Alcalá\Pedro-Alcala,DF,Cádiz,es La Liga,31,10.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Thiago Alcántara\Thiago-Alcantara,MF,Liverpool,eng Premier League,29,20.6,61,2.96,51,2,3,2,1,2,2,0.10,2,0,0,0,0,0
Rubén Alcaraz\Ruben-Alcaraz,MF,Valladolid,es La Liga,29,24.1,22,0.91,20,0,0,2,0,0,2,0.08,2,0,0,0,0,0
Omar Alderete\Omar-Alderete,DF,Hertha BSC,de Bundesliga,23,14.4,7,0.48,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,eng Premier League,31,24.9,19,0.76,16,0,0,3,0,0,3,0.12,3,0,0,0,0,0
Iván Alejo\Ivan-Alejo,MFFW,Cádiz,es La Liga,25,9.2,20,2.18,16,1,1,1,1,0,2,0.22,1,0,0,1,0,0
Carles Aleñá\Carles-Alena,MF,Barcelona,es La Liga,22,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Carles Aleñá\Carles-Alena,MFFW,Getafe,es La Liga,22,15.2,57,3.76,29,12,4,6,5,1,2,0.13,2,0,0,0,0,0
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,Arsenal,eng Premier League,25,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,eng Premier League,21,33.7,123,3.65,78,32,7,6,0,0,13,0.39,10,2,0,1,0,0
Alfon\Alfon,MF,Celta Vigo,es La Liga,21,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mohamed Ali Cho\Mohamed-Ali-Cho,FWMF,Angers,fr Ligue 1,16,3.9,5,1.29,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Ezgjan Alioski\Ezgjan-Alioski,DF,Leeds United,eng Premier League,28,27.3,57,2.08,49,3,0,3,2,0,6,0.22,4,1,0,1,0,0
Rachid Alioui\Rachid-Alioui,FW,Angers,fr Ligue 1,28,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alisson\Alisson,GK,Liverpool,eng Premier League,27,33.0,5,0.15,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Saturnin Allagbé\Saturnin-Allagbe,GK,Dijon,fr Ligue 1,26,12.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Allan\Allan,MF,Everton,eng Premier League,29,22.8,38,1.67,32,0,4,1,1,0,2,0.09,2,0,0,0,0,0
Dele Alli\Dele-Alli,MF,Tottenham,eng Premier League,24,6.9,22,3.19,18,0,0,1,2,1,3,0.44,2,0,0,1,0,0
Miguel Almirón\Miguel-Almiron,MFFW,Newcastle Utd,eng Premier League,26,27.0,63,2.33,47,1,6,3,4,2,4,0.15,3,0,0,1,0,0
Marcos Alonso\Marcos-Alonso,DF,Chelsea,eng Premier League,29,10.7,33,3.09,24,2,0,5,1,1,2,0.19,1,0,0,1,0,0
Sergio Álvarez\Sergio-Alvarez,MFDF,Eibar,es La Liga,28,17.4,13,0.75,11,0,0,0,1,1,1,0.06,1,0,0,0,0,0
Yeray Álvarez\Yeray-Alvarez,DF,Athletic Club,es La Liga,25,21.6,12,0.55,11,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Bruno Alves\Bruno-Alves,DF,Parma,it Serie A,38,18.1,7,0.39,6,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Steven Alzate\Steven-Alzate,MFDF,Brighton,eng Premier League,21,10.0,25,2.51,20,1,1,3,0,0,1,0.10,1,0,0,0,0,0
Ibrahim Amadou\Ibrahim-Amadou,MF,Angers,fr Ligue 1,27,16.7,25,1.50,21,0,0,2,0,2,3,0.18,2,0,0,1,0,0
Romain Amalfitano\Romain-Amalfitano,FWDF,Dijon,fr Ligue 1,30,1.3,2,1.55,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,DF,Getafe,es La Liga,18,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
