Player,Pos,Squad,Comp,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Ciaran Clark\Ciaran-Clark,DF,Newcastle Utd,eng Premier League,30,21.0,6,0.29,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Alexis Claude-Maurice\Alexis-Claude-Maurice,MFFW,Nice,fr Ligue 1,22,21.2,62,2.92,40,12,4,2,4,0,11,0.52,8,1,1,1,0,0
Jonathan Clauss\Jonathan-Clauss,DF,Lens,fr Ligue 1,27,28.0,92,3.28,59,21,5,1,3,3,12,0.43,9,2,0,0,0,1
Carlos Clerc\Carlos-Clerc,DF,Levante,es La Liga,28,30.9,42,1.36,33,6,0,1,2,0,5,0.16,4,1,0,0,0,0
Nathaniel Clyne\Nathaniel-Clyne,DF,Crystal Palace,eng Premier League,29,12.7,7,0.55,5,1,0,1,0,0,1,0.08,1,0,0,0,0,0
Conor Coady\Conor-Coady,DF,Wolves,eng Premier League,27,36.7,9,0.25,7,0,0,1,0,1,0,0.00,0,0,0,0,0,0
Marcus Coco\Marcus-Coco,MFFW,Nantes,fr Ligue 1,24,16.4,35,2.14,23,1,4,1,3,3,4,0.24,2,1,0,1,0,0
Coke\Coke,DF,Levante,es La Liga,33,9.3,9,0.97,7,0,1,1,0,0,0,0.00,0,0,0,0,0,0
Séamus Coleman\Seamus-Coleman,DFMF,Everton,eng Premier League,31,17.9,33,1.84,24,1,4,1,3,0,5,0.28,4,0,0,0,1,0
Ebrima Colley\Ebrima-Colley,FWMF,Hellas Verona,it Serie A,20,8.2,12,1.47,11,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Omar Colley\Omar-Colley,DF,Sampdoria,it Serie A,27,28.8,4,0.14,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Simone Colombi\Simone-Colombi,GK,Parma,it Serie A,29,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lorenzo Colombo\Lorenzo-Colombo,FW,Milan,it Serie A,18,1.0,2,1.91,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Racine Coly\Racine-Coly,DF,Nice,fr Ligue 1,24,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kingsley Coman\Kingsley-Coman,FWMF,Bayern Munich,de Bundesliga,24,19.5,88,4.52,68,0,12,6,2,0,18,0.92,13,0,3,1,1,0
Daniel Congré\Daniel-Congre,DF,Montpellier,fr Ligue 1,35,36.6,15,0.41,12,0,0,3,0,0,2,0.05,1,0,0,1,0,0
Aaron Connolly\Aaron-Connolly,FW,Brighton,eng Premier League,20,8.8,12,1.37,7,0,3,0,2,0,1,0.11,1,0,0,0,0,0
Andrea Consigli\Andrea-Consigli,GK,Sassuolo,it Serie A,33,37.0,1,0.03,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andrea Conti\Andrea-Conti,DF,Milan,it Serie A,26,0.3,3,9.64,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andrea Conti\Andrea-Conti,DF,Parma,it Serie A,26,9.0,13,1.45,11,0,0,1,0,1,0,0.00,0,0,0,0,0,0
Liam Cooper\Liam-Cooper,DF,Leeds United,eng Premier League,28,24.3,14,0.58,9,0,0,3,0,2,2,0.08,2,0,0,0,0,0
Francis Coquelin\Francis-Coquelin,MF,Villarreal,es La Liga,29,8.2,9,1.10,8,0,0,0,1,0,0,0.00,0,0,0,0,0,0
Theo Corbeanu\Theo-Corbeanu,FW,Wolves,eng Premier League,18,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sébastien Corchia\Sebastien-Corchia,DF,Nantes,fr Ligue 1,29,23.0,38,1.66,20,16,1,0,0,1,1,0.04,1,0,0,0,0,0
Alex Cordaz\Alex-Cordaz,GK,Crotone,it Serie A,37,36.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Iñigo Córdoba\Inigo-Cordoba,FWMF,Athletic Club,es La Liga,23,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Iñigo Córdoba\Inigo-Cordoba,MF,Alavés,es La Liga,23,2.4,5,2.08,3,1,0,0,1,0,0,0.00,0,0,0,0,0,0
Jhon Córdoba\Jhon-Cordoba,FW,Hertha BSC,de Bundesliga,27,17.1,53,3.10,32,0,5,5,10,1,5,0.29,2,0,0,1,2,0
Sergio Córdova\Sergio-Cordova,FWMF,Arminia,de Bundesliga,22,12.1,29,2.39,21,0,3,2,2,1,2,0.17,2,0,0,0,0,0
Jack Cork\Jack-Cork,MF,Burnley,eng Premier League,31,15.0,18,1.20,16,0,0,1,1,0,1,0.07,1,0,0,0,0,0
Andreas Cornelius\Andreas-Cornelius,FW,Parma,it Serie A,27,21.1,43,2.04,35,0,2,3,2,1,6,0.28,5,0,0,0,1,0
Maxwel Cornet\Maxwel-Cornet,DFFW,Lyon,fr Ligue 1,23,27.2,56,2.06,39,6,0,5,6,0,13,0.48,10,0,0,1,2,0
Ángel Correa\Angel-Correa,FWMF,Atlético Madrid,es La Liga,25,26.6,80,3.01,56,2,12,5,3,2,16,0.60,11,0,4,0,1,0
Joaquín Correa\Joaquin-Correa,FW,Lazio,it Serie A,25,21.5,86,4.00,54,3,11,6,11,1,16,0.74,6,1,5,1,2,1
Rober Correa\Rober-Correa,DF,Eibar,es La Liga,27,12.6,16,1.27,11,2,0,0,2,1,2,0.16,1,0,0,0,1,0
Félix Correia\Felix-Correia,MF,Juventus,it Serie A,19,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Thierry Correia\Thierry-Correia,DF,Valencia,es La Liga,21,23.7,31,1.31,24,0,1,1,2,3,2,0.08,1,0,1,0,0,0
Angelo da Costa Júnior\Angelo-da-Costa-Junior,GK,Bologna,it Serie A,36,6.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Danny da Costa\Danny-da-Costa,DF,Mainz 05,de Bundesliga,27,13.4,22,1.64,17,0,3,0,1,1,3,0.22,2,0,1,0,0,0
Danny da Costa\Danny-da-Costa,DF,Eint Frankfurt,de Bundesliga,27,1.2,3,2.45,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0
David Pereira da Costa\David-Pereira-da-Costa,MFFW,Lens,fr Ligue 1,19,1.8,6,3.42,5,0,1,0,0,0,2,1.14,2,0,0,0,0,0
Diego Costa\Diego-Costa,FW,Atlético Madrid,es La Liga,31,2.3,9,3.89,7,0,0,1,1,0,3,1.30,2,0,0,0,1,0
Douglas Costa\Douglas-Costa,FWMF,Bayern Munich,de Bundesliga,29,3.6,17,4.78,8,7,2,0,0,0,2,0.56,1,0,1,0,0,0
Douglas Costa\Douglas-Costa,MFFW,Juventus,it Serie A,29,0.5,3,6.43,2,1,0,0,0,0,1,2.14,1,0,0,0,0,0
Hélder Costa\Helder-Costa,MFFW,Leeds United,eng Premier League,26,12.8,21,1.63,15,0,2,1,3,0,6,0.47,5,0,0,0,1,0
Jaume Costa\Jaume-Costa,DFMF,Villarreal,es La Liga,32,3.9,7,1.79,6,0,0,0,1,0,1,0.26,1,0,0,0,0,0
Charles Costes\Charles-Costes,MF,Dijon,fr Ligue 1,17,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Benoît Costil\Benoit-Costil,GK,Bordeaux,fr Ligue 1,33,38.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Vladimír Coufal\Vladimir-Coufal,DF,West Ham,eng Premier League,27,33.9,71,2.09,54,11,1,2,2,1,7,0.21,7,0,0,0,0,0
Kalifa Coulibaly\Kalifa-Coulibaly,FW,Nantes,fr Ligue 1,28,10.9,17,1.56,17,0,0,0,0,0,3,0.28,3,0,0,0,0,0
Lassana Coulibaly\Lassana-Coulibaly,MFFW,Angers,fr Ligue 1,24,18.7,20,1.07,17,0,1,0,1,1,3,0.16,2,0,0,0,0,1
Mamadou Coulibaly\Mamadou-Coulibaly,MF,Udinese,it Serie A,21,2.0,6,2.93,4,0,0,1,1,0,0,0.00,0,0,0,0,0,0
Senou Coulibaly\Senou-Coulibaly,DF,Dijon,fr Ligue 1,25,21.5,4,0.19,3,0,0,1,0,0,1,0.05,0,0,0,1,0,0
Tanguy Coulibaly\Tanguy-Coulibaly,DFFW,Stuttgart,de Bundesliga,19,16.7,38,2.27,24,0,8,2,3,1,3,0.18,3,0,0,0,0,0
Thibaut Courtois\Thibaut-Courtois,GK,Real Madrid,es La Liga,28,38.0,4,0.11,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Philippe Coutinho\Philippe-Coutinho,MFFW,Barcelona,es La Liga,28,7.3,24,3.30,18,1,1,1,3,0,4,0.55,4,0,0,0,0,0
Nicolas Cozza\Nicolas-Cozza,DF,Montpellier,fr Ligue 1,21,15.2,8,0.53,8,0,0,0,0,0,1,0.07,1,0,0,0,0,0
Alessio Cragno\Alessio-Cragno,GK,Cagliari,it Serie A,26,34.0,1,0.03,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Gian Crespi\Gian-Crespi,GK,Crotone,it Serie A,19,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Aaron Cresswell\Aaron-Cresswell,DF,West Ham,eng Premier League,30,35.2,96,2.73,48,41,1,4,2,0,14,0.40,5,6,0,2,1,0
Domenico Criscito\Domenico-Criscito,DF,Genoa,it Serie A,33,19.2,14,0.73,13,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Bryan Cristante\Bryan-Cristante,DFMF,Roma,it Serie A,25,23.9,35,1.46,28,0,2,4,0,1,5,0.21,5,0,0,0,0,0
Giovanni Crociata\Giovanni-Crociata,DFMF,Crotone,it Serie A,22,0.3,1,3.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Juan Cruz Armada\Juan-Cruz-Armada,DF,Osasuna,es La Liga,28,21.8,18,0.83,16,2,0,0,0,0,1,0.05,1,0,0,0,0,0
Juan Cuadrado\Juan-Cuadrado,DFMF,Juventus,it Serie A,32,24.2,110,4.55,65,24,12,1,7,1,17,0.70,10,4,1,0,2,0
Adrián Cubas\Adrian-Cubas,MF,Nîmes,fr Ligue 1,24,24.9,19,0.76,14,0,1,0,0,4,1,0.04,1,0,0,0,0,0
Sergio Cubero Ezcurra\Sergio-Cubero-Ezcurra,MF,Eibar,es La Liga,20,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cucho\Cucho,FWMF,Getafe,es La Liga,21,16.3,35,2.15,29,0,2,1,3,0,5,0.31,5,0,0,0,0,0
Marc Cucurella\Marc-Cucurella,MF,Getafe,es La Liga,22,36.0,80,2.22,63,4,2,0,9,2,5,0.14,3,0,1,0,0,1
Mickaël Cuisance\Mickael-Cuisance,FW,Bayern Munich,de Bundesliga,20,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mickaël Cuisance\Mickael-Cuisance,MF,Marseille,fr Ligue 1,20,11.4,18,1.58,15,0,1,1,1,0,3,0.26,3,0,0,0,0,0
Matheus Cunha\Matheus-Cunha,FWMF,Hertha BSC,de Bundesliga,21,23.9,105,4.40,42,28,14,8,8,5,9,0.38,5,1,0,2,1,0
Giuseppe Cuomo\Giuseppe-Cuomo,DF,Crotone,it Serie A,22,8.9,2,0.22,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Patrick Cutrone\Patrick-Cutrone,FWMF,Fiorentina,it Serie A,22,2.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Patrick Cutrone\Patrick-Cutrone,FWMF,Wolves,eng Premier League,22,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Patrick Cutrone\Patrick-Cutrone,FW,Valencia,es La Liga,22,1.2,2,1.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Wylan Cyprien\Wylan-Cyprien,MF,Parma,it Serie A,25,4.6,13,2.85,9,3,0,0,1,0,1,0.22,1,0,0,0,0,0
Rafael Czichos\Rafael-Czichos,DF,Köln,de Bundesliga,30,25.1,16,0.64,15,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Lennart-Marten Czyborra\Lennart-Marten-Czyborra,DF,Genoa,it Serie A,21,13.0,6,0.46,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Danilo D'Ambrosio\Danilo-DAmbrosio,DF,Inter,it Serie A,31,7.8,6,0.77,5,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Damien Da Silva\Damien-Da-Silva,DF,Rennes,fr Ligue 1,32,29.6,18,0.61,16,0,0,0,0,2,1,0.03,1,0,0,0,0,0
Bryan Dabo\Bryan-Dabo,MF,Benevento,it Serie A,28,12.4,22,1.77,20,1,0,0,1,0,2,0.16,2,0,0,0,0,0
Moanes Dabour\Moanes-Dabour,FW,Hoffenheim,de Bundesliga,28,11.1,26,2.34,19,0,3,1,3,0,3,0.27,3,0,0,0,0,0
Colin Dagba\Colin-Dagba,DF,Paris S-G,fr Ligue 1,21,15.1,22,1.46,18,0,2,0,2,0,3,0.20,3,0,0,0,0,0
Finn Dahmen\Finn-Dahmen,GK,Mainz 05,de Bundesliga,22,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mahmoud Dahoud\Mahmoud-Dahoud,MF,Dortmund,de Bundesliga,24,14.0,36,2.58,27,0,3,3,1,2,5,0.36,4,0,0,0,0,1
Leon Dajaku\Leon-Dajaku,FW,Union Berlin,de Bundesliga,19,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Stuart Dallas\Stuart-Dallas,DFMF,Leeds United,eng Premier League,29,37.9,74,1.95,63,2,4,3,0,2,6,0.16,6,0,0,0,0,0
Diogo Dalot\Diogo-Dalot,DF,Milan,it Serie A,21,12.1,18,1.49,14,0,2,1,0,1,3,0.25,2,0,0,0,0,1
Mikkel Damsgaard\Mikkel-Damsgaard,MFFW,Sampdoria,it Serie A,20,19.7,58,2.94,40,4,4,3,4,3,10,0.51,6,1,3,0,0,0
Flavius Daniliuc\Flavius-Daniliuc,DF,Nice,fr Ligue 1,19,16.4,14,0.85,10,0,1,2,0,1,0,0.00,0,0,0,0,0,0
Danilo\Danilo,DF,Juventus,it Serie A,29,32.4,60,1.85,57,1,1,1,0,0,5,0.15,5,0,0,0,0,0
Scott Dann\Scott-Dann,DF,Crystal Palace,eng Premier League,33,15.0,5,0.33,4,0,0,0,0,1,0,0.00,0,0,0,0,0,0
Tiago Dantas\Tiago-Dantas,MF,Bayern Munich,de Bundesliga,19,0.8,1,1.30,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Dante\Dante,DF,Nice,fr Ligue 1,36,8.6,8,0.93,7,0,0,1,0,0,1,0.12,1,0,0,0,0,0
Andrea Danzi\Andrea-Danzi,MFDF,Hellas Verona,it Serie A,21,1.2,1,0.87,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ebrima Darboe\Ebrima-Darboe,MF,Roma,it Serie A,19,3.6,10,2.79,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Márton Dárdai\Marton-Dardai,DF,Hertha BSC,de Bundesliga,18,9.1,10,1.10,7,3,0,0,0,0,1,0.11,0,1,0,0,0,0
Vladimír Darida\Vladimir-Darida,MF,Hertha BSC,de Bundesliga,29,21.1,66,3.12,48,11,3,0,4,0,9,0.43,9,0,0,0,0,0
Karl Darlow\Karl-Darlow,GK,Newcastle Utd,eng Premier League,29,25.0,3,0.12,1,2,0,0,0,0,1,0.04,1,0,0,0,0,0
Matteo Darmian\Matteo-Darmian,DF,Inter,it Serie A,30,12.9,25,1.94,19,1,1,0,2,2,4,0.31,3,0,0,0,1,0
Matteo Darmian\Matteo-Darmian,DF,Parma,it Serie A,30,2.3,1,0.43,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jonathan David\Jonathan-David,FW,Lille,fr Ligue 1,20,26.2,70,2.68,50,1,7,8,4,0,12,0.46,7,0,1,2,2,0
Alphonso Davies\Alphonso-Davies,DF,Bayern Munich,de Bundesliga,19,19.6,47,2.40,41,0,3,0,3,0,5,0.26,3,0,1,0,1,0
Ben Davies\Ben-Davies,DF,Tottenham,eng Premier League,27,15.0,17,1.14,12,0,1,0,2,2,4,0.27,2,0,1,0,1,0
Tom Davies\Tom-Davies,MF,Everton,eng Premier League,22,15.8,21,1.33,20,0,1,0,0,0,2,0.13,2,0,0,0,0,0
Keinan Davis\Keinan-Davis,FWMF,Aston Villa,eng Premier League,22,3.1,15,4.87,8,0,3,2,1,1,2,0.65,1,0,0,0,0,1
Leif Davis\Leif-Davis,DF,Leeds United,eng Premier League,20,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Paweł Dawidowicz\Pawel-Dawidowicz,DF,Hellas Verona,it Serie A,25,20.7,10,0.48,5,0,1,3,0,1,0,0.00,0,0,0,0,0,0
Craig Dawson\Craig-Dawson,DF,West Ham,eng Premier League,30,21.4,8,0.37,5,1,0,1,1,0,0,0.00,0,0,0,0,0,0
Kevin De Bruyne\Kevin-De-Bruyne,MF,Manchester City,eng Premier League,29,22.2,142,6.40,95,24,7,4,5,7,19,0.86,15,0,2,0,1,1
Sebastien De Maio\Sebastien-De-Maio,DF,Udinese,it Serie A,33,9.5,3,0.32,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Rodrigo De Paul\Rodrigo-De-Paul,MF,Udinese,it Serie A,26,35.6,164,4.61,92,39,13,7,11,2,20,0.56,13,2,2,2,1,0
Mattia De Sciglio\Mattia-De-Sciglio,DF,Lyon,fr Ligue 1,27,16.3,21,1.29,18,1,0,1,0,1,2,0.12,1,1,0,0,0,0
Mattia De Sciglio\Mattia-De-Sciglio,DF,Juventus,it Serie A,27,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Lorenzo De Silvestri\Lorenzo-De-Silvestri,DF,Bologna,it Serie A,32,23.8,23,0.97,18,2,0,2,0,1,0,0.00,0,0,0,0,0,0
Thibault De Smet\Thibault-De-Smet,DF,Reims,fr Ligue 1,22,5.5,11,2.00,7,1,2,0,1,0,1,0.18,1,0,0,0,0,0
Lucas Deaux\Lucas-Deaux,MFDF,Nîmes,fr Ligue 1,31,19.5,40,2.05,33,0,2,3,0,2,5,0.26,5,0,0,0,0,0
Mathieu Debuchy\Mathieu-Debuchy,DF,Saint-Étienne,fr Ligue 1,35,23.4,33,1.41,24,2,0,5,1,1,3,0.13,1,0,0,2,0,0
Grégoire Defrel\Gregoire-Defrel,FWMF,Sassuolo,it Serie A,29,14.9,38,2.56,33,1,1,1,1,1,5,0.34,4,0,0,0,1,0
Alessandro Deiola\Alessandro-Deiola,MF,Spezia,it Serie A,24,4.0,10,2.50,7,3,0,0,0,0,0,0.00,0,0,0,0,0,0
Alessandro Deiola\Alessandro-Deiola,MF,Cagliari,it Serie A,24,6.8,14,2.05,11,0,0,2,1,0,1,0.15,1,0,0,0,0,0
Romain Del Castillo\Romain-Del-Castillo,MFFW,Rennes,fr Ligue 1,24,7.2,37,5.11,21,5,6,2,1,2,6,0.83,3,2,1,0,0,0
Lorenzo Del Pinto\Lorenzo-Del-Pinto,MF,Benevento,it Serie A,30,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Thomas Delaine\Thomas-Delaine,DF,Metz,fr Ligue 1,28,19.8,26,1.32,19,0,4,1,2,0,2,0.10,2,0,0,0,0,0
Thomas Delaney\Thomas-Delaney,MF,Dortmund,de Bundesliga,28,14.3,16,1.12,12,0,0,1,1,2,0,0.00,0,0,0,0,0,0
Liam Delap\Liam-Delap,FW,Manchester City,eng Premier League,17,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Jonathan Delaplace\Jonathan-Delaplace,DF,Lorient,fr Ligue 1,34,10.1,25,2.48,22,2,0,0,1,0,2,0.20,1,0,0,0,1,0
Sacha Delaye\Sacha-Delaye,MF,Montpellier,fr Ligue 1,18,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Cristian Dell'Orco\Cristian-DellOrco,DF,Spezia,it Serie A,26,2.9,1,0.34,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Andy Delort\Andy-Delort,FW,Montpellier,fr Ligue 1,28,27.6,102,3.70,72,4,9,9,8,0,15,0.54,12,0,1,1,1,0
Fabian Delph\Fabian-Delph,MFDF,Everton,eng Premier League,30,3.0,3,1.02,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Moussa Dembélé\Moussa-Dembele,FW,Lyon,fr Ligue 1,24,7.5,23,3.06,14,0,2,4,2,1,1,0.13,1,0,0,0,0,0
Moussa Dembélé\Moussa-Dembele,FWMF,Atlético Madrid,es La Liga,24,1.1,2,1.80,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ousmane Dembélé\Ousmane-Dembele,FWDF,Barcelona,es La Liga,23,19.7,82,4.16,55,9,10,6,2,0,9,0.46,6,0,1,2,0,0
Merih Demiral\Merih-Demiral,DF,Juventus,it Serie A,22,10.4,6,0.57,4,0,0,2,0,0,1,0.10,0,0,0,1,0,0
Kerem Demirbay\Kerem-Demirbay,MF,Leverkusen,de Bundesliga,27,19.4,71,3.66,40,19,5,5,2,0,6,0.31,2,2,1,1,0,0
Ermedin Demirović\Ermedin-Demirovic,FW,Freiburg,de Bundesliga,22,16.6,34,2.04,20,0,3,3,6,2,11,0.66,6,0,1,2,1,1
Diego Demme\Diego-Demme,MF,Napoli,it Serie A,28,17.7,36,2.04,31,0,1,0,1,3,3,0.17,3,0,0,0,0,0
Jason Denayer\Jason-Denayer,DF,Lyon,fr Ligue 1,25,29.0,8,0.28,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Leander Dendoncker\Leander-Dendoncker,MFDF,Wolves,eng Premier League,25,27.8,43,1.55,36,1,1,3,1,1,6,0.22,4,0,0,2,0,0
Kevin Denkey\Kevin-Denkey,FW,Nîmes,fr Ligue 1,19,5.8,9,1.55,5,0,0,3,1,0,1,0.17,1,0,0,0,0,0
Emmanuel Dennis\Emmanuel-Dennis,FW,Köln,de Bundesliga,22,5.3,10,1.90,8,0,1,0,1,0,1,0.19,1,0,0,0,0,0
Stefano Denswil\Stefano-Denswil,DF,Bologna,it Serie A,27,1.3,2,1.57,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fabio Depaoli\Fabio-Depaoli,DF,Benevento,it Serie A,23,12.4,13,1.04,8,2,0,2,0,1,1,0.08,0,0,0,1,0,0
Fabio Depaoli\Fabio-Depaoli,MF,Sampdoria,it Serie A,23,0.9,1,1.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Fabio Depaoli\Fabio-Depaoli,DF,Atalanta,it Serie A,23,2.1,4,1.88,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Memphis Depay\Memphis-Depay,FW,Lyon,fr Ligue 1,26,32.5,167,5.14,94,30,21,8,10,4,29,0.89,17,2,6,0,3,1
Clément Depres\Clement-Depres,MF,Nîmes,fr Ligue 1,25,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Mike van der Hoorn\Mike-van-der-Hoorn,DF,Arminia,de Bundesliga,27,15.1,6,0.40,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0
Kastriot Dermaku\Kastriot-Dermaku,DF,Parma,it Serie A,28,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Kiril Despodov\Kiril-Despodov,FW,Cagliari,it Serie A,23,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Sergiño Dest\Sergino-Dest,DF,Barcelona,es La Liga,19,21.2,38,1.79,34,1,2,1,0,0,1,0.05,1,0,0,0,0,0
Mattia Destro\Mattia-Destro,FW,Genoa,it Serie A,29,17.8,16,0.90,9,0,3,2,0,2,1,0.06,1,0,0,0,0,0
Gerard Deulofeu\Gerard-Deulofeu,FW,Udinese,it Serie A,26,6.6,17,2.56,11,1,1,0,3,1,5,0.75,2,0,1,0,1,1
Deyverson\Deyverson,FW,Alavés,es La Liga,29,9.7,17,1.75,13,0,0,1,3,0,4,0.41,2,0,0,1,1,0
Jacopo Dezi\Jacopo-Dezi,FWMF,Parma,it Serie A,28,0.9,1,1.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Samuel Di Carmine\Samuel-Di-Carmine,FW,Hellas Verona,it Serie A,31,5.6,11,1.98,6,0,0,1,4,0,2,0.36,0,0,0,1,1,0
Samuel Di Carmine\Samuel-Di-Carmine,FW,Crotone,it Serie A,31,5.3,4,0.76,2,0,0,0,2,0,2,0.38,0,0,0,0,2,0
Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,DF,Napoli,it Serie A,26,36.0,103,2.86,82,5,7,3,4,2,17,0.47,11,1,2,1,2,0
Ángel Di María\Angel-Di-Maria,FWMF,Paris S-G,fr Ligue 1,32,20.6,128,6.22,75,25,8,7,9,4,19,0.92,11,1,2,1,2,2
Alessandro Di Pardo\Alessandro-Di-Pardo,MFDF,Juventus,it Serie A,21,0.2,2,12.86,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0
Giuseppe Di Serio\Giuseppe-Di-Serio,FWMF,Benevento,it Serie A,19,3.2,7,2.16,4,0,0,2,1,0,1,0.31,1,0,0,0,0,0
Boulaye Dia\Boulaye-Dia,FWMF,Reims,fr Ligue 1,23,32.6,73,2.24,49,0,11,4,7,2,9,0.28,2,0,4,2,1,0
Abdoulay Diaby\Abdoulay-Diaby,MF,Getafe,es La Liga,29,0.2,2,10.00,1,0,0,1,0,0,1,5.00,0,0,0,1,0,0
Moussa Diaby\Moussa-Diaby,FWMF,Leverkusen,de Bundesliga,21,26.5,78,2.94,56,1,14,5,1,1,17,0.64,11,0,4,2,0,0
Mbaye Diagne\Mbaye-Diagne,FW,West Brom,eng Premier League,28,13.2,29,2.20,20,1,1,2,2,3,8,0.61,4,0,0,2,0,2
Mouctar Diakhaby\Mouctar-Diakhaby,DF,Valencia,es La Liga,23,23.1,5,0.22,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Abdou Diallo\Abdou-Diallo,DF,Paris S-G,fr Ligue 1,24,16.6,6,0.36,5,0,0,0,0,1,1,0.06,1,0,0,0,0,0
Amad Diallo\Amad-Diallo,FW,Manchester Utd,eng Premier League,18,1.8,2,1.08,2,0,0,0,0,0,1,0.54,1,0,0,0,0,0
Amad Diallo\Amad-Diallo,MF,Atalanta,it Serie A,18,0.2,3,19.29,1,0,2,0,0,0,0,0.00,0,0,0,0,0,0
Habib Diallo\Habib-Diallo,FW,Strasbourg,fr Ligue 1,25,25.8,50,1.94,39,0,3,6,1,1,10,0.39,5,0,0,4,0,1
Habib Diallo\Habib-Diallo,FW,Metz,fr Ligue 1,25,1.6,1,0.63,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Ibrahima Diallo\Ibrahima-Diallo,MF,Southampton,eng Premier League,21,11.3,18,1.59,15,0,0,1,1,1,1,0.09,1,0,0,0,0,0
Ibrahima Diallo\Ibrahima-Diallo,MF,Brest,fr Ligue 1,21,4.9,11,2.25,7,0,1,0,2,1,0,0.00,0,0,0,0,0,0
Amadou Diambo\Amadou-Diambo,FW,Benevento,it Serie A,19,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
Grady Diangana\Grady-Diangana,MFFW,West Brom,eng Premier League,22,13.7,20,1.46,12,1,1,3,2,1,1,0.07,1,0,0,0,0,0
Stéphane Diarra\Stephane-Diarra,FWMF,Lorient,fr Ligue 1,21,2.2,8,3.65,6,0,2,0,0,0,0,0.00,0,0,0,0,0,0
