Player,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Angers,fr Ligue 1,19,2.1,0,0,0,2,3,0,4,1,2,0,0,0,12,2,4,33.3
Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Wolves,eng Premier League,19,15.6,1,0,0,16,19,1,30,15,16,0,1,0,118,14,21,40.0
Semi Ajayi\Semi-Ajayi,DF,West Brom,eng Premier League,26,30.9,3,1,0,28,4,1,6,41,42,0,2,0,264,85,46,64.9
Ludovic Ajorque\Ludovic-Ajorque,FW,Strasbourg,fr Ligue 1,26,33.0,5,0,0,39,49,13,33,12,16,1,0,0,121,168,139,54.7
Manuel Akanji\Manuel-Akanji,DF,Dortmund,de Bundesliga,25,26.1,4,0,0,22,18,0,0,38,30,1,1,0,242,52,38,57.8
Carlos Akapo\Carlos-Akapo,DF,Cádiz,es La Liga,27,9.6,3,1,1,10,3,0,16,13,13,0,0,0,80,17,6,73.9
Marley Aké\Marley-Ake,FW,Marseille,fr Ligue 1,19,1.6,0,0,0,6,5,0,1,1,0,0,0,0,7,4,6,40.0
Nathan Aké\Nathan-Ake,DF,Manchester City,eng Premier League,25,8.9,4,0,0,8,5,0,0,6,6,0,1,0,80,30,17,63.8
Paul Akouokou\Paul-Akouokou,MF,Betis,es La Liga,22,4.2,5,1,1,11,2,0,2,6,8,0,0,0,37,8,8,50.0
Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,MF,Lazio,it Serie A,27,11.7,9,0,0,31,12,0,1,18,28,0,0,0,93,9,9,50.0
Kevin Akpoguma\Kevin-Akpoguma,DF,Hoffenheim,de Bundesliga,25,13.2,1,0,0,15,14,0,7,10,12,0,0,0,108,23,21,52.3
David Alaba\David-Alaba,DFMF,Bayern Munich,de Bundesliga,28,29.7,4,0,0,19,10,0,29,36,30,0,0,0,320,24,26,48.0
Sofiane Alakouch\Sofiane-Alakouch,DF,Nîmes,fr Ligue 1,22,16.7,4,0,0,25,26,1,15,34,32,1,1,0,132,10,15,40.0
Jony Álamo\Jony-Alamo,MF,Elche,es La Liga,18,0.8,0,0,0,0,2,0,0,0,1,0,0,0,7,0,1,0.0
Lucas Alario\Lucas-Alario,FW,Leverkusen,de Bundesliga,27,13.8,2,0,0,18,17,12,0,3,6,0,0,0,50,34,76,30.9
Jordi Alba\Jordi-Alba,DF,Barcelona,es La Liga,31,33.6,9,0,0,21,15,10,113,43,24,0,0,1,295,7,14,33.3
Luis Alberto\Luis-Alberto,MF,Lazio,it Serie A,27,29.1,5,0,0,20,36,2,37,21,32,0,0,0,257,9,19,32.1
Raúl Albiol\Raul-Albiol,DF,Villarreal,es La Liga,34,34.6,7,0,0,13,17,1,3,23,21,0,1,0,306,65,47,58.0
Marc Albrighton\Marc-Albrighton,DFFW,Leicester City,eng Premier League,30,19.4,2,0,0,9,20,4,73,28,31,0,0,0,188,15,32,31.9
Paco Alcácer\Paco-Alcacer,FW,Villarreal,es La Liga,26,17.2,0,0,0,7,8,18,6,7,4,0,0,0,43,9,47,16.1
Pedro Alcalá\Pedro-Alcala,DF,Cádiz,es La Liga,31,10.1,2,0,0,12,5,1,0,22,7,0,0,1,55,19,17,52.8
Thiago Alcántara\Thiago-Alcantara,MF,Liverpool,eng Premier League,29,20.6,4,0,0,49,25,0,4,42,43,0,1,0,236,34,23,59.6
Rubén Alcaraz\Ruben-Alcaraz,MF,Valladolid,es La Liga,29,24.1,10,0,0,47,44,0,6,29,37,0,0,0,287,55,55,50.0
Omar Alderete\Omar-Alderete,DF,Hertha BSC,de Bundesliga,23,14.4,2,0,0,22,6,0,2,14,13,0,0,0,132,35,27,56.5
Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,eng Premier League,31,24.9,2,0,0,17,3,0,1,15,19,0,1,1,200,54,39,58.1
Iván Alejo\Ivan-Alejo,MFFW,Cádiz,es La Liga,25,9.2,5,0,0,29,22,5,46,2,15,0,0,0,59,16,9,64.0
Carles Aleñá\Carles-Alena,MF,Barcelona,es La Liga,22,0.5,1,0,0,4,0,0,0,0,0,0,0,0,3,2,0,100.0
Carles Aleñá\Carles-Alena,MFFW,Getafe,es La Liga,22,15.2,1,0,0,20,26,0,24,7,9,0,0,0,118,13,37,26.0
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,Arsenal,eng Premier League,25,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,eng Premier League,21,33.7,2,0,0,21,9,5,182,49,36,0,1,0,336,8,28,22.2
Alfon\Alfon,MF,Celta Vigo,es La Liga,21,0.4,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,
Mohamed Ali Cho\Mohamed-Ali-Cho,FWMF,Angers,fr Ligue 1,16,3.9,1,0,0,8,8,0,9,3,8,0,0,0,23,6,11,35.3
Ezgjan Alioski\Ezgjan-Alioski,DF,Leeds United,eng Premier League,28,27.3,7,0,0,39,42,6,59,36,42,0,2,0,248,43,43,50.0
Rachid Alioui\Rachid-Alioui,FW,Angers,fr Ligue 1,28,0.2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0.0
Alisson\Alisson,GK,Liverpool,eng Premier League,27,33.0,1,0,0,1,5,0,0,0,0,0,1,0,170,0,1,0.0
Saturnin Allagbé\Saturnin-Allagbe,GK,Dijon,fr Ligue 1,26,12.0,2,0,0,2,1,0,0,0,0,0,1,1,75,0,0,
Allan\Allan,MF,Everton,eng Premier League,29,22.8,6,0,0,37,30,0,3,23,54,0,0,0,221,6,13,31.6
Dele Alli\Dele-Alli,MF,Tottenham,eng Premier League,24,6.9,0,0,0,10,12,1,7,10,15,0,0,0,66,10,13,43.5
Miguel Almirón\Miguel-Almiron,MFFW,Newcastle Utd,eng Premier League,26,27.0,3,0,0,18,39,6,29,27,29,0,0,0,189,8,20,28.6
Marcos Alonso\Marcos-Alonso,DF,Chelsea,eng Premier League,29,10.7,2,0,0,13,12,2,13,11,8,0,0,0,86,27,19,58.7
Sergio Álvarez\Sergio-Alvarez,MFDF,Eibar,es La Liga,28,17.4,3,0,0,38,17,0,6,13,23,0,0,0,222,42,46,47.7
Yeray Álvarez\Yeray-Alvarez,DF,Athletic Club,es La Liga,25,21.6,6,0,0,20,17,1,2,39,19,0,0,0,212,76,44,63.3
Bruno Alves\Bruno-Alves,DF,Parma,it Serie A,38,18.1,3,0,0,20,9,1,7,15,6,0,0,0,162,45,7,86.5
Steven Alzate\Steven-Alzate,MFDF,Brighton,eng Premier League,21,10.0,2,0,0,20,7,1,2,7,15,0,0,0,68,6,14,30.0
Ibrahim Amadou\Ibrahim-Amadou,MF,Angers,fr Ligue 1,27,16.7,6,0,0,34,6,0,3,29,30,0,0,0,145,24,16,60.0
Romain Amalfitano\Romain-Amalfitano,FWDF,Dijon,fr Ligue 1,30,1.3,0,0,0,2,1,0,4,1,1,0,0,0,9,1,1,50.0
Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,DF,Getafe,es La Liga,18,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,100.0
Daniel Amartey\Daniel-Amartey,DF,Leicester City,eng Premier League,25,8.0,3,0,0,3,1,0,0,12,6,0,0,0,94,21,15,58.3
Jordan Amavi\Jordan-Amavi,DF,Marseille,fr Ligue 1,26,9.0,3,1,0,12,14,1,9,13,12,1,0,0,85,22,12,64.7
Thierry Ambrose\Thierry-Ambrose,FW,Metz,fr Ligue 1,23,8.4,4,0,0,23,9,3,14,3,5,0,0,0,46,21,26,44.7
Wisdom Amey\Wisdom-Amey,DF,Bologna,it Serie A,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Nadiem Amiri\Nadiem-Amiri,MF,Leverkusen,de Bundesliga,23,21.0,5,0,0,22,26,4,22,19,13,0,0,0,159,6,25,19.4
Ethan Ampadu\Ethan-Ampadu,DFMF,Sheffield Utd,eng Premier League,19,23.2,3,0,0,25,25,1,11,39,36,0,1,1,220,66,30,68.8
Sofyan Amrabat\Sofyan-Amrabat,MF,Fiorentina,it Serie A,23,27.1,7,0,0,59,44,0,10,21,42,0,0,0,256,16,36,30.8
Jon Ander Garrido\Jon-Ander-Garrido,MF,Cádiz,es La Liga,30,8.9,1,0,0,13,6,0,2,9,15,1,0,0,86,21,32,39.6
Joachim Andersen\Joachim-Andersen,DF,Lyon,fr Ligue 1,24,2.1,1,0,0,5,2,0,0,0,1,0,0,0,23,6,0,100.0
Joachim Andersen\Joachim-Andersen,DF,Fulham,eng Premier League,24,30.3,7,1,0,39,15,1,4,51,26,0,1,0,335,118,40,74.7
Djavan Anderson\Djavan-Anderson,DF,Lazio,it Serie A,25,0.8,0,0,0,1,1,0,1,0,0,0,0,0,10,1,0,100.0
Elliot Anderson\Elliot-Anderson,MF,Newcastle Utd,eng Premier League,17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Felipe Anderson\Felipe-Anderson,FWMF,West Ham,eng Premier League,27,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,
Sebastian Andersson\Sebastian-Andersson,FW,Köln,de Bundesliga,29,12.5,1,0,0,21,7,7,4,3,2,1,0,0,51,80,69,53.7
