Player,Pos,Squad,Comp,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Sofiane Diop\Sofiane-Diop,MFFW,Monaco,fr Ligue 1,20,22.5,4,0,0,33,56,4,24,16,41,0,0,0,218,22,28,44.0
Andy Diouf\Andy-Diouf,FW,Rennes,fr Ligue 1,18,0.1,1,0,0,2,1,0,0,0,0,0,0,0,1,1,0,100.0
Yehvann Diouf\Yehvann-Diouf,GK,Reims,fr Ligue 1,20,1.5,0,0,0,0,1,0,0,0,0,0,0,0,11,0,0,
Assane Dioussé\Assane-Diousse,DF,Saint-Étienne,fr Ligue 1,22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Axel Disasi\Axel-Disasi,DF,Monaco,fr Ligue 1,22,22.3,4,2,0,28,19,1,3,27,23,0,0,1,217,55,30,64.7
Tiago Djaló\Tiago-Djalo,DF,Lille,fr Ligue 1,20,9.7,4,1,1,15,9,1,6,11,17,0,0,0,84,11,7,61.1
Djené\Djene,DF,Getafe,es La Liga,28,32.7,8,2,1,35,36,1,7,55,36,1,2,0,357,71,44,61.7
Moussa Djenepo\Moussa-Djenepo,MF,Southampton,eng Premier League,22,13.8,5,0,0,29,39,3,10,11,22,1,1,0,119,11,33,25.0
Koffi Djidji\Koffi-Djidji,DF,Crotone,it Serie A,27,16.9,4,0,0,22,3,1,3,28,22,0,0,0,114,34,24,58.6
Alexander Djiku\Alexander-Djiku,DFMF,Strasbourg,fr Ligue 1,25,28.4,8,0,0,51,37,2,5,80,44,0,2,0,227,66,29,69.5
Berat Djimsiti\Berat-Djimsiti,DF,Atalanta,it Serie A,27,29.2,8,0,0,31,26,1,9,48,26,0,0,0,321,78,30,72.2
Marko Dmitrović\Marko-Dmitrovic,GK,Eibar,es La Liga,28,34.7,0,0,0,1,4,0,0,0,1,0,0,0,198,0,0,
Ritsu Doan\Ritsu-Doan,MFFW,Arminia,de Bundesliga,22,30.8,1,0,0,31,64,5,64,26,44,1,0,0,199,32,60,34.8
Mihai Dobre\Mihai-Dobre,FW,Dijon,fr Ligue 1,21,5.9,0,0,0,5,6,2,6,9,8,0,0,0,38,14,10,58.3
Matt Doherty\Matt-Doherty,DF,Tottenham,eng Premier League,28,13.8,4,1,1,20,12,0,24,18,8,0,1,0,114,54,23,70.1
Jeremy Doku\Jeremy-Doku,MFFW,Rennes,fr Ligue 1,18,25.7,1,1,0,36,69,6,69,12,38,0,0,0,175,8,15,34.8
Kasper Dolberg\Kasper-Dolberg,FW,Nice,fr Ligue 1,22,21.4,2,0,0,20,49,5,4,4,6,0,0,0,72,23,30,43.4
Keagan Dolly\Keagan-Dolly,MF,Montpellier,fr Ligue 1,27,5.0,2,0,0,5,3,2,4,4,8,0,0,0,36,1,7,12.5
Jaume Doménech\Jaume-Domenech,GK,Valencia,es La Liga,29,28.0,1,0,0,0,1,0,0,0,0,0,0,0,141,0,0,
Carlos Dominguez\Carlos-Dominguez,DF,Celta Vigo,es La Liga,19,4.0,2,0,0,7,2,0,0,7,4,0,0,0,17,10,13,43.5
Nicolás Domínguez\Nicolas-Dominguez,MF,Bologna,it Serie A,22,13.9,8,0,0,23,15,1,11,25,35,0,1,0,167,24,24,50.0
John Donald\John-Donald,DF,Elche,es La Liga,19,0.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0
Ji Dong-won\Ji-Dong-won,FW,Mainz 05,de Bundesliga,29,0.7,1,0,0,3,1,0,0,0,0,0,0,0,10,5,4,55.6
Anastasios Donis\Anastasios-Donis,MF,Reims,fr Ligue 1,23,1.1,0,1,0,3,0,3,3,0,0,0,0,0,2,1,0,100.0
Gianluigi Donnarumma\Gianluigi-Donnarumma,GK,Milan,it Serie A,21,37.0,1,0,0,1,4,0,0,0,0,0,0,0,147,0,0,
Gabriel Dos Santos\Gabriel-Dos-Santos,DF,Arsenal,eng Premier League,22,22.2,4,1,1,24,26,0,3,23,17,0,1,0,177,69,45,60.5
Bas Dost\Bas-Dost,FW,Eint Frankfurt,de Bundesliga,31,9.1,3,0,0,16,9,3,4,2,4,0,0,0,34,70,32,68.6
Lucas Douath\Lucas-Douath,MF,Saint-Étienne,fr Ligue 1,16,14.7,8,0,0,33,28,0,3,22,28,0,0,0,170,21,15,58.3
Abdoulaye Doucouré\Abdoulaye-Doucoure,MF,Everton,eng Premier League,27,27.1,6,0,0,23,12,0,10,35,42,0,0,0,304,37,26,58.7
Cheick Doucouré\Cheick-Doucoure,MF,Lens,fr Ligue 1,20,29.2,8,0,0,46,16,0,3,55,59,0,0,0,333,31,22,58.5
Fodé Doucouré\Fode-Doucoure,DF,Reims,fr Ligue 1,19,3.7,0,0,0,4,1,0,4,4,1,0,0,0,32,2,4,33.3
Mahamadou Doucouré\Mahamadou-Doucoure,FW,Nîmes,fr Ligue 1,20,0.5,0,0,0,0,1,0,2,1,0,0,0,0,2,1,1,50.0
Cheick Doukouré\Cheick-Doukoure,MF,Levante,es La Liga,27,1.1,1,0,0,7,3,1,0,2,4,0,0,0,10,1,1,50.0
Idrissa Doumbia\Idrissa-Doumbia,MF,Huesca,es La Liga,22,8.7,4,0,0,12,5,0,0,9,10,0,0,0,79,2,5,28.6
Moussa Doumbia\Moussa-Doumbia,MFFW,Reims,fr Ligue 1,25,10.0,1,0,0,8,31,2,21,16,3,0,0,0,84,2,18,10.0
Souleyman Doumbia\Souleyman-Doumbia,DF,Angers,fr Ligue 1,23,24.7,8,0,0,32,16,0,35,40,34,1,1,1,191,29,21,58.0
Aleksandar Dragović\Aleksandar-Dragovic,DF,Leverkusen,de Bundesliga,29,12.6,3,0,0,12,7,0,5,15,10,0,0,0,168,27,15,64.3
Bartłomiej Drągowski\Bartlomiej-Dragowski,GK,Fiorentina,it Serie A,22,35.0,0,1,0,1,5,0,0,0,0,0,1,0,172,0,0,
Denis Drăguș\Denis-Dragus,FWMF,Crotone,it Serie A,21,2.0,1,0,0,4,4,2,3,1,3,0,0,0,14,1,3,25.0
Radu Drăgușin\Radu-Dragusin,DF,Juventus,it Serie A,18,0.0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,
Mouhamadou Drammeh\Mouhamadou-Drammeh,MF,Reims,fr Ligue 1,21,1.9,1,0,0,1,4,0,0,2,1,0,0,0,17,2,6,25.0
Julian Draxler\Julian-Draxler,MFFW,Paris S-G,fr Ligue 1,26,11.8,3,0,0,8,13,4,22,16,7,0,0,0,59,6,3,66.7
Dominick Drexler\Dominick-Drexler,MFFW,Köln,de Bundesliga,30,13.7,1,0,0,20,23,6,37,18,23,0,0,0,95,15,21,41.7
Matthieu Dreyer\Matthieu-Dreyer,GK,Lorient,fr Ligue 1,31,15.0,1,0,0,0,1,0,0,0,0,0,0,0,67,0,0,
Domingos Duarte\Domingos-Duarte,DF,Granada,es La Liga,25,26.3,5,1,0,22,20,0,2,31,19,0,1,0,264,55,34,61.8
Léo Duarte\Leo-Duarte,DF,Milan,it Serie A,24,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0
Óscar Duarte\Oscar-Duarte,DF,Levante,es La Liga,31,22.9,2,0,0,34,6,2,2,25,14,0,1,0,184,85,50,63.0
Rubén Duarte\Ruben-Duarte,DF,Alavés,es La Liga,24,28.3,5,1,1,42,39,0,58,42,34,0,1,0,252,59,29,67.0
Leo Dubois\Leo-Dubois,DF,Lyon,fr Ligue 1,25,32.3,3,0,0,21,33,2,129,30,34,1,1,0,327,36,23,61.0
Martin Dúbravka\Martin-Dubravka,GK,Newcastle Utd,eng Premier League,31,13.0,0,0,0,0,5,0,0,0,0,0,0,0,65,0,0,
Ondrej Duda\Ondrej-Duda,FWMF,Köln,de Bundesliga,25,28.2,8,1,1,54,56,5,51,19,29,0,0,0,208,41,78,34.5
Unai Dufur\Unai-Dufur,DF,Eibar,es La Liga,21,0.7,0,0,0,1,0,0,0,0,2,0,0,0,6,1,1,50.0
Haris Duljević\Haris-Duljevic,MFFW,Nîmes,fr Ligue 1,26,8.6,1,0,0,10,12,1,14,13,14,0,0,0,64,5,26,16.1
Paul Dummett\Paul-Dummett,DF,Newcastle Utd,eng Premier League,28,13.9,2,0,0,9,4,0,9,17,11,0,0,0,72,39,31,55.7
Alfred Duncan\Alfred-Duncan,MF,Fiorentina,it Serie A,27,1.8,0,0,0,2,2,0,1,3,1,0,0,0,16,2,5,28.6
Alfred Duncan\Alfred-Duncan,MF,Cagliari,it Serie A,27,11.9,2,0,0,16,12,0,9,16,15,0,0,0,131,12,14,46.2
Lewis Dunk\Lewis-Dunk,DF,Brighton,eng Premier League,28,32.6,5,2,0,21,20,2,1,29,19,0,0,1,408,69,40,63.3
Jimmy Dunne\Jimmy-Dunne,DF,Burnley,eng Premier League,22,3.0,1,0,0,2,3,0,0,3,2,0,0,0,59,23,7,76.7
Erik Durm\Erik-Durm,DF,Eint Frankfurt,de Bundesliga,28,16.4,1,0,0,9,14,1,38,23,16,0,0,0,130,22,23,48.9
Hugo Duro\Hugo-Duro,FW,Real Madrid,es La Liga,20,0.6,0,0,0,1,1,0,1,0,0,0,0,0,1,1,5,16.7
Jean-Kevin Duverne\Jean-Kevin-Duverne,DF,Brest,fr Ligue 1,23,22.5,4,0,0,22,14,0,8,18,24,0,2,0,221,47,45,51.1
Paulo Dybala\Paulo-Dybala,FW,Juventus,it Serie A,26,12.6,0,0,0,10,30,4,24,3,11,0,0,0,58,1,11,8.3
Edin Džeko\Edin-Dzeko,FW,Roma,it Serie A,34,20.3,2,0,0,26,37,10,17,4,7,1,0,0,81,92,54,63.0
Eric Junior Dina Ebimbe\Eric-Junior-Dina-Ebimbe,FWMF,Dijon,fr Ligue 1,19,23.8,5,0,0,44,36,2,25,17,32,0,0,0,157,15,29,34.1
Steeve-Mike Ebongue\Steeve-Mike-Ebongue,MF,Genoa,it Serie A,19,0.6,0,0,0,0,0,0,0,1,1,0,0,0,11,0,0,
Enzo Ebosse\Enzo-Ebosse,DF,Angers,fr Ligue 1,21,2.9,1,0,0,3,4,0,3,1,3,0,0,0,20,1,2,33.3
Bruno Ecuele Manga\Bruno-Ecuele-Manga,DF,Dijon,fr Ligue 1,32,38.0,3,0,0,19,27,1,1,82,45,0,1,0,348,122,53,69.7
Simone Edera\Simone-Edera,DFMF,Torino,it Serie A,23,0.6,0,0,0,1,1,0,2,0,0,0,0,0,5,0,0,
Ederson\Ederson,GK,Manchester City,eng Premier League,26,36.0,3,0,0,1,4,0,0,0,0,0,0,0,132,0,0,
Kyle Edwards\Kyle-Edwards,MFFW,West Brom,eng Premier League,22,1.3,0,0,0,1,1,0,1,1,0,0,0,0,9,0,0,
John Egan\John-Egan,DF,Sheffield Utd,eng Premier League,27,29.2,7,1,0,29,11,0,2,41,30,0,0,0,259,86,57,60.1
Johannes Eggestein\Johannes-Eggestein,FWMF,Werder Bremen,de Bundesliga,22,0.4,0,0,0,1,0,0,1,0,0,0,0,0,5,1,0,100.0
Maximilian Eggestein\Maximilian-Eggestein,MF,Werder Bremen,de Bundesliga,23,32.7,5,0,0,32,39,1,15,43,44,0,0,0,351,42,57,42.4
Lilian Egloff\Lilian-Egloff,MF,Stuttgart,de Bundesliga,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0
Kingsley Ehizibue\Kingsley-Ehizibue,DF,Köln,de Bundesliga,25,12.6,5,0,0,19,16,2,29,17,21,0,1,0,117,25,13,65.8
Albin Ekdal\Albin-Ekdal,MF,Sampdoria,it Serie A,31,25.5,9,0,0,49,57,0,3,34,49,0,1,0,309,38,29,56.7
Hugo Ekitike\Hugo-Ekitike,MFFW,Reims,fr Ligue 1,18,1.0,1,0,0,3,1,0,0,0,1,0,0,0,5,3,1,75.0
Anthony Elanga\Anthony-Elanga,FW,Manchester Utd,eng Premier League,18,1.7,0,0,0,2,4,1,1,1,1,0,0,0,7,2,4,33.3
Niclas Eliasson\Niclas-Eliasson,MFFW,Nîmes,fr Ligue 1,24,20.0,1,0,0,26,40,4,68,22,24,0,0,0,98,23,49,31.9
Elif Elmas\Elif-Elmas,MFFW,Napoli,it Serie A,20,8.2,3,0,0,10,8,1,4,5,9,0,0,0,48,1,7,12.5
Ahmed Elmohamady\Ahmed-Elmohamady,DF,Aston Villa,eng Premier League,32,9.3,2,0,0,6,3,0,32,27,13,0,0,0,97,27,9,75.0
Mohamed Elneny\Mohamed-Elneny,MF,Arsenal,eng Premier League,28,17.2,3,0,0,10,10,0,3,20,11,0,0,0,144,8,19,29.6
Aritz Elustondo\Aritz-Elustondo,DF,Real Sociedad,es La Liga,26,20.9,5,0,0,22,27,1,7,8,17,0,1,1,209,59,42,58.4
Nico Elvedi\Nico-Elvedi,DF,M'Gladbach,de Bundesliga,23,28.2,1,0,0,14,14,1,2,64,33,0,0,0,273,95,51,65.1
Rodrigo Ely\Rodrigo-Ely,DF,Alavés,es La Liga,26,5.2,1,0,0,8,2,0,0,2,3,0,0,0,50,16,2,88.9
Sepe Elye Wahi\Sepe-Elye-Wahi,FW,Montpellier,fr Ligue 1,17,6.2,1,0,0,7,15,5,6,2,2,0,0,0,38,12,14,46.2
Breel Embolo\Breel-Embolo,FWMF,M'Gladbach,de Bundesliga,23,16.0,4,0,0,34,55,11,10,6,14,3,0,0,96,36,62,36.7
Emerson\Emerson,DF,Betis,es La Liga,21,33.2,9,1,0,56,73,3,74,67,60,1,1,1,249,56,37,60.2
Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,MF,Atalanta,it Serie A,18,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Renaud Emond\Renaud-Emond,FW,Nantes,fr Ligue 1,28,3.9,1,0,0,5,12,0,3,1,2,1,0,0,10,14,27,34.1
Alan Empereur\Alan-Empereur,DF,Hellas Verona,it Serie A,26,2.4,1,0,0,3,1,0,0,5,1,0,0,0,24,3,5,37.5
Youssef En-Nesyri\Youssef-En-Nesyri,FW,Sevilla,es La Liga,23,25.7,2,0,0,28,36,25,17,8,17,1,0,0,99,101,80,55.8
Keita Endo\Keita-Endo,MFFW,Union Berlin,de Bundesliga,22,5.1,0,0,0,9,13,2,10,9,4,0,0,0,37,8,14,36.4
Wataru Endo\Wataru-Endo,MF,Stuttgart,de Bundesliga,27,32.8,5,0,0,45,54,0,5,47,62,1,0,0,394,67,46,59.3
Sergi Enrich\Sergi-Enrich,FW,Eibar,es La Liga,30,15.6,1,0,0,31,19,8,7,11,15,1,0,0,85,92,100,47.9
Christian Eriksen\Christian-Eriksen,MF,Inter,it Serie A,28,15.4,1,0,0,13,4,1,26,10,8,0,1,0,128,12,5,70.6
Martin Erlic\Martin-Erlic,DF,Spezia,it Serie A,22,20.0,6,0,0,37,13,0,1,30,18,0,0,0,216,50,36,58.1
Patrick Erras\Patrick-Erras,FWMF,Werder Bremen,de Bundesliga,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5,58.3
Gonzalo Escalante\Gonzalo-Escalante,MF,Lazio,it Serie A,27,8.1,5,0,0,14,9,0,0,9,19,0,0,0,118,16,18,47.1
Aarón Escandell\Aaron-Escandell,GK,Granada,es La Liga,24,5.0,1,0,0,0,0,0,0,0,0,0,0,0,27,0,0,
Dani Escriche\Dani-Escriche,FWMF,Huesca,es La Liga,22,9.5,5,1,0,20,16,6,4,8,13,1,0,0,62,17,33,34.0
Sergio Escudero\Sergio-Escudero,DF,Sevilla,es La Liga,30,6.3,3,0,0,8,7,1,13,7,8,0,0,0,43,12,6,66.7
Alfonso Espino\Alfonso-Espino,DF,Cádiz,es La Liga,28,28.9,6,0,0,32,21,3,61,46,58,0,0,0,249,38,43,46.9
Vicente Esquerdo\Vicente-Esquerdo,MF,Valencia,es La Liga,21,2.6,1,0,0,3,0,0,2,5,6,0,0,0,18,2,3,40.0
Nahuel Estévez\Nahuel-Estevez,MF,Spezia,it Serie A,24,19.6,7,0,0,33,22,0,51,32,13,0,0,0,160,15,23,39.5
Pervis Estupiñán\Pervis-Estupinan,DF,Villarreal,es La Liga,22,13.0,1,0,0,24,20,6,61,29,24,1,1,0,132,11,15,42.3
Yoann Etienne\Yoann-Etienne,DF,Lorient,fr Ligue 1,23,1.0,1,0,0,2,1,0,2,2,1,0,0,0,10,1,3,25.0
Xabier Etxeita\Xabier-Etxeita,DF,Getafe,es La Liga,32,9.8,3,0,0,14,2,0,0,10,6,0,0,1,112,18,24,42.9
Jonny Evans\Jonny-Evans,DF,Leicester City,eng Premier League,32,27.5,7,0,0,18,12,1,2,41,12,0,0,1,354,93,38,71.0
Edu Expósito\Edu-Exposito,MF,Eibar,es La Liga,23,27.3,4,0,0,29,28,0,36,32,27,0,0,0,332,36,42,46.2
Valentin Eysseric\Valentin-Eysseric,MFFW,Fiorentina,it Serie A,28,8.1,2,0,0,12,11,0,18,9,10,0,0,0,61,8,10,44.4
Eberechi Eze\Eberechi-Eze,MF,Crystal Palace,eng Premier League,22,28.4,3,0,0,18,71,1,26,29,22,0,0,0,203,12,32,27.3
Jokin Ezkieta\Jokin-Ezkieta,GK,Athletic Club,es La Liga,23,1.0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,
Łukasz Fabiański\Lukasz-Fabianski,GK,West Ham,eng Premier League,35,35.0,2,0,0,1,2,0,0,0,0,0,1,0,164,0,0,
Fabinho\Fabinho,DFMF,Liverpool,eng Premier League,26,28.5,6,0,0,29,27,0,2,49,51,1,2,0,319,62,52,54.4
Fábio\Fabio,DF,Nantes,fr Ligue 1,30,16.7,5,1,1,36,13,1,22,21,39,1,2,0,154,36,33,52.2
Cesc Fàbregas\Cesc-Fabregas,MF,Monaco,fr Ligue 1,33,9.7,2,0,0,15,13,0,15,3,14,0,0,0,83,9,12,42.9
Bandiougou Fadiga\Bandiougou-Fadiga,FWMF,Paris S-G,fr Ligue 1,19,0.7,1,0,0,2,2,0,1,1,1,0,0,0,5,0,0,
Bandiougou Fadiga\Bandiougou-Fadiga,MF,Brest,fr Ligue 1,19,0.5,0,0,0,0,1,0,1,1,0,0,0,0,5,0,1,0.0
Wout Faes\Wout-Faes,DF,Reims,fr Ligue 1,22,32.2,13,2,1,23,15,0,1,55,32,0,1,0,276,69,33,67.6
Nicolò Fagioli\Nicolo-Fagioli,MF,Juventus,it Serie A,19,0.2,0,0,0,1,2,0,0,0,0,0,0,0,2,0,2,0.0
Ralf Fährmann\Ralf-Fahrmann,GK,Schalke 04,de Bundesliga,31,20.8,2,0,0,0,3,0,0,0,0,0,0,0,114,0,0,
Romain Faivre\Romain-Faivre,MFFW,Brest,fr Ligue 1,22,32.1,0,0,0,36,72,0,46,33,47,0,1,1,245,17,25,40.5
Fali\Fali,DFMF,Cádiz,es La Liga,26,29.3,11,0,0,21,25,0,13,24,21,0,1,0,181,44,33,57.1
Iago Falque\Iago-Falque,MFFW,Benevento,it Serie A,30,4.0,0,0,0,0,3,0,14,3,2,0,0,0,36,1,8,11.1
Andri Fannar Baldursson\Andri-Fannar-Baldursson,MF,Bologna,it Serie A,18,2.4,2,0,0,9,3,1,0,1,3,0,0,0,19,5,5,50.0
Paolo Faragò\Paolo-Farago,DF,Bologna,it Serie A,27,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Paolo Faragò\Paolo-Farago,DFMF,Cagliari,it Serie A,27,4.1,2,0,0,7,2,0,7,9,3,0,0,0,30,7,4,63.6
Davide Faraoni\Davide-Faraoni,DF,Hellas Verona,it Serie A,28,32.1,8,0,0,47,38,10,50,56,37,0,0,0,281,53,37,58.9
Mohamed Fares\Mohamed-Fares,DF,Lazio,it Serie A,24,12.7,5,0,0,28,8,2,47,13,9,0,1,0,97,12,13,48.0
Diego Farias\Diego-Farias,FW,Spezia,it Serie A,30,16.8,5,0,0,18,16,2,25,13,8,0,0,0,71,8,9,47.1
Wuilker Faríñez\Wuilker-Farinez,GK,Lens,fr Ligue 1,22,1.2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,
Noah Fatar\Noah-Fatar,FWMF,Angers,fr Ligue 1,18,0.2,0,0,0,3,0,0,0,1,0,0,0,0,2,0,1,0.0
Ansu Fati\Ansu-Fati,FW,Barcelona,es La Liga,17,4.8,1,0,0,6,11,2,5,1,3,2,0,0,20,2,4,33.3
Julien Faussurier\Julien-Faussurier,DF,Brest,fr Ligue 1,33,10.6,2,0,0,12,6,1,44,8,15,0,1,0,94,10,10,50.0
Andrea Favilli\Andrea-Favilli,FW,Hellas Verona,it Serie A,23,3.8,1,0,0,14,8,9,0,0,3,0,0,0,13,11,29,27.5
Federico Fazio\Federico-Fazio,DF,Roma,it Serie A,33,4.5,2,0,0,6,3,0,2,5,4,0,1,0,44,20,8,71.4
Nabil Fekir\Nabil-Fekir,MFFW,Betis,es La Liga,27,29.1,5,1,0,80,93,13,56,12,36,3,0,0,156,21,74,22.1
Felipe\Felipe,DF,Atlético Madrid,es La Liga,31,22.9,8,0,0,29,14,0,2,43,23,0,0,1,218,89,22,80.2
Luiz Felipe\Luiz-Felipe,DF,Lazio,it Serie A,23,10.1,5,0,0,14,8,1,1,21,26,0,0,0,85,13,16,44.8
Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,DF,Augsburg,de Bundesliga,22,29.0,5,0,0,24,24,1,7,36,24,0,1,1,278,109,52,67.7
João Félix\Joao-Felix,FWMF,Atlético Madrid,es La Liga,20,17.5,6,0,0,16,48,6,13,9,6,1,0,0,94,23,30,43.4
Zinedine Ferhat\Zinedine-Ferhat,FWMF,Nîmes,fr Ligue 1,27,32.9,2,0,0,23,66,9,83,34,19,3,0,0,189,74,73,50.3
Bruno Fernandes\Bruno-Fernandes,MF,Manchester Utd,eng Premier League,25,34.4,6,0,0,43,53,3,91,22,39,0,1,0,239,13,43,23.2
Edimilson Fernandes\Edimilson-Fernandes,MFDF,Mainz 05,de Bundesliga,24,9.3,1,0,0,7,5,1,13,23,5,0,0,0,86,8,5,61.5
Aitor Fernández\Aitor-Fernandez,GK,Levante,es La Liga,29,29.0,0,0,0,0,2,0,0,0,0,0,0,0,148,0,1,0.0
Álex Fernández\Alex-Fernandez,MF,Cádiz,es La Liga,27,21.6,1,0,0,11,31,1,41,21,15,0,0,0,186,22,28,44.0
Álvaro Fernández\Alvaro-Fernandez,GK,Huesca,es La Liga,22,22.0,0,0,0,0,3,0,0,0,0,0,0,0,108,0,0,
Andrés Fernández\Andres-Fernandez,GK,Huesca,es La Liga,33,16.0,0,0,0,0,3,0,0,0,0,0,0,0,86,0,0,
Augusto Fernández\Augusto-Fernandez,MF,Cádiz,es La Liga,34,4.1,1,0,0,6,2,0,0,11,6,0,0,0,42,2,5,28.6
Carlos Fernández\Carlos-Fernandez,FW,Sevilla,es La Liga,24,1.6,0,0,0,4,7,0,2,1,0,0,0,0,9,5,6,45.5
Carlos Fernández\Carlos-Fernandez,FWMF,Real Sociedad,es La Liga,24,4.3,5,0,0,18,9,0,2,3,1,0,1,0,24,14,19,42.4
Federico Fernández\Federico-Fernandez,DF,Newcastle Utd,eng Premier League,31,23.1,4,0,0,15,14,0,10,17,17,0,1,1,158,46,36,56.1
Joaquín Fernández\Joaquin-Fernandez,DF,Valladolid,es La Liga,24,23.0,8,0,0,28,13,3,1,33,18,1,1,0,197,65,46,58.6
Fernandinho\Fernandinho,MF,Manchester City,eng Premier League,35,13.2,6,0,0,22,10,0,6,26,22,0,0,0,132,29,18,61.7
Fernando\Fernando,MF,Sevilla,es La Liga,33,28.3,6,0,0,40,16,1,2,40,52,0,0,0,289,58,39,59.8
Alex Ferrari\Alex-Ferrari,DF,Sampdoria,it Serie A,26,9.8,3,0,0,9,10,0,4,17,23,0,0,0,84,17,8,68.0
David Ferreiro\David-Ferreiro,MFFW,Huesca,es La Liga,32,28.1,5,0,0,53,38,15,112,18,14,0,0,0,199,12,26,31.6
Salvador Ferrer\Salvador-Ferrer,DF,Spezia,it Serie A,22,13.2,4,0,0,15,8,0,56,22,9,,,0,,,,
Facundo Ferreyra\Facundo-Ferreyra,FW,Celta Vigo,es La Liga,29,3.3,5,1,1,22,6,1,1,0,2,0,0,0,12,12,14,46.2
Jordan Ferri\Jordan-Ferri,MF,Montpellier,fr Ligue 1,28,28.6,6,0,0,52,35,0,15,17,61,0,0,0,332,22,30,42.3
Marco Festa\Marco-Festa,GK,Crotone,it Serie A,28,1.0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,
Fidel\Fidel,MFDF,Elche,es La Liga,30,26.6,8,0,0,30,42,5,77,13,30,0,0,0,164,12,25,32.4
Sam Field\Sam-Field,MF,West Brom,eng Premier League,22,0.7,0,0,0,2,1,0,0,0,7,0,0,0,12,1,2,33.3
Alfreð Finnbogason\Alfred-Finnbogason,FW,Augsburg,de Bundesliga,31,6.0,0,0,0,10,5,2,10,1,1,0,0,0,39,17,26,39.5
Roberto Firmino\Roberto-Firmino,FW,Liverpool,eng Premier League,28,31.5,2,0,0,22,17,4,32,10,22,0,0,0,204,25,87,22.3
Junior Firpo\Junior-Firpo,DF,Barcelona,es La Liga,23,3.2,2,0,0,9,6,3,4,4,2,0,0,0,20,2,2,50.0
John Fleck\John-Fleck,MF,Sheffield Utd,eng Premier League,28,28.6,4,0,0,33,28,1,35,39,27,0,0,0,235,9,19,32.1
Mark Flekken\Mark-Flekken,GK,Freiburg,de Bundesliga,27,3.0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,
Florian Flick\Florian-Flick,MF,Schalke 04,de Bundesliga,20,4.0,1,0,0,4,2,0,0,6,7,0,0,0,38,5,8,38.5
Alexis Flips\Alexis-Flips,MF,Reims,fr Ligue 1,20,0.5,0,0,0,1,1,0,4,0,0,0,0,0,2,0,0,
Alessandro Florenzi\Alessandro-Florenzi,DF,Paris S-G,fr Ligue 1,29,17.1,1,0,0,10,7,2,71,16,19,0,0,0,132,11,24,31.4
Kingsley Fobi\Kingsley-Fobi,DF,Granada,es La Liga,21,0.5,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,
Phil Foden\Phil-Foden,FWMF,Manchester City,eng Premier League,20,18.0,0,0,0,13,34,3,36,12,16,0,0,0,93,14,30,31.8
Mamadou Fofana\Mamadou-Fofana,MFDF,Metz,fr Ligue 1,22,11.9,2,0,0,13,2,0,0,15,14,0,1,0,115,5,12,29.4
Seko Fofana\Seko-Fofana,MF,Lens,fr Ligue 1,25,25.7,2,0,0,21,23,1,21,32,11,1,1,0,207,27,22,55.1
Wesley Fofana\Wesley-Fofana,DF,Leicester City,eng Premier League,19,25.1,7,0,0,37,29,2,1,51,41,1,1,0,279,94,56,62.7
Wesley Fofana\Wesley-Fofana,DF,Saint-Étienne,fr Ligue 1,19,3.5,1,0,0,6,5,1,1,4,5,0,0,0,34,10,7,58.8
Youssouf Fofana\Youssouf-Fofana,MF,Monaco,fr Ligue 1,21,31.9,10,1,1,46,34,0,12,43,80,0,1,0,298,20,17,54.1
Thomas Foket\Thomas-Foket,DF,Reims,fr Ligue 1,25,36.9,4,0,0,34,34,4,51,57,46,1,0,1,261,29,43,40.3
Ramón Folch\Ramon-Folch,MF,Elche,es La Liga,30,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lamine Fomba\Lamine-Fomba,MF,Nîmes,fr Ligue 1,22,24.2,8,0,0,45,16,0,3,42,49,0,1,0,243,30,36,45.5
Thomas Fontaine\Thomas-Fontaine,DF,Lorient,fr Ligue 1,29,3.6,0,0,0,1,3,0,0,1,2,0,1,0,17,2,6,25.0
José Fontán\Jose-Fontan,DF,Celta Vigo,es La Liga,20,7.2,3,1,1,17,3,1,7,9,7,0,0,0,56,12,9,57.1
