,,,,,,Pass,Pass,Pass,Pass
Player,Pos,Squad,Comp,Age,90s,TB,Press,Sw,Crs
,,,,,,,,,
Jony Álamo\Jony-Alamo,MF,Elche,es La Liga,18,0.8,0.00,2.50,0.00,0.00
Lucas Alario\Lucas-Alario,FW,Leverkusen,de Bundesliga,27,13.8,0.00,6.01,0.07,0.00
Jordi Alba\Jordi-Alba,DF,Barcelona,es La Liga,31,33.6,0.21,5.98,1.25,3.36
Luis Alberto\Luis-Alberto,MF,Lazio,it Serie A,27,29.1,0.52,10.8,2.37,1.27
Raúl Albiol\Raul-Albiol,DF,Villarreal,es La Liga,34,34.6,0.00,5.35,1.94,0.09
Marc Albrighton\Marc-Albrighton,DFFW,Leicester City,eng Premier League,30,19.4,0.31,7.78,1.70,3.76
Paco Alcácer\Paco-Alcacer,FW,Villarreal,es La Liga,26,17.2,0.35,2.33,0.35,0.35
Pedro Alcalá\Pedro-Alcala,DF,Cádiz,es La Liga,31,10.1,0.00,2.67,2.38,0.00
Thiago Alcántara\Thiago-Alcantara,MF,Liverpool,eng Premier League,29,20.6,0.44,11.2,4.13,0.19
Rubén Alcaraz\Ruben-Alcaraz,MF,Valladolid,es La Liga,29,24.1,0.04,8.38,2.95,0.25
Omar Alderete\Omar-Alderete,DF,Hertha BSC,de Bundesliga,23,14.4,0.00,4.10,1.74,0.14
Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,eng Premier League,31,24.9,0.08,3.94,2.05,0.04
Iván Alejo\Ivan-Alejo,MFFW,Cádiz,es La Liga,25,9.2,0.11,6.20,1.30,5.00
Carles Aleñá\Carles-Alena,MF,Barcelona,es La Liga,22,0.5,0.00,12.0,4.00,0.00
Carles Aleñá\Carles-Alena,MFFW,Getafe,es La Liga,22,15.2,0.07,6.12,1.91,1.58
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,Arsenal,eng Premier League,25,0.2,0.00,5.00,0.00,0.00
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,eng Premier League,21,33.7,0.27,7.36,4.36,5.40
Alfon\Alfon,MF,Celta Vigo,es La Liga,21,0.4,0.00,5.00,0.00,0.00
Mohamed Ali Cho\Mohamed-Ali-Cho,FWMF,Angers,fr Ligue 1,16,3.9,0.00,6.41,0.26,2.31
Ezgjan Alioski\Ezgjan-Alioski,DF,Leeds United,eng Premier League,28,27.3,0.07,6.23,0.81,2.16
Rachid Alioui\Rachid-Alioui,FW,Angers,fr Ligue 1,28,0.2,0.00,10.0,0.00,0.00
Alisson\Alisson,GK,Liverpool,eng Premier League,27,33.0,0.00,2.48,1.06,0.00
Saturnin Allagbé\Saturnin-Allagbe,GK,Dijon,fr Ligue 1,26,12.0,0.00,1.92,0.67,0.00
Allan\Allan,MF,Everton,eng Premier League,29,22.8,0.00,6.49,0.61,0.13
Dele Alli\Dele-Alli,MF,Tottenham,eng Premier League,24,6.9,0.43,9.71,0.58,1.01
Miguel Almirón\Miguel-Almiron,MFFW,Newcastle Utd,eng Premier League,26,27.0,0.07,5.22,0.63,1.07
Marcos Alonso\Marcos-Alonso,DF,Chelsea,eng Premier League,29,10.7,0.00,7.94,0.37,1.21
Sergio Álvarez\Sergio-Alvarez,MFDF,Eibar,es La Liga,28,17.4,0.00,7.64,1.38,0.34
Yeray Álvarez\Yeray-Alvarez,DF,Athletic Club,es La Liga,25,21.6,0.05,4.86,2.41,0.09
Bruno Alves\Bruno-Alves,DF,Parma,it Serie A,38,18.1,0.00,3.37,3.04,0.39
Steven Alzate\Steven-Alzate,MFDF,Brighton,eng Premier League,21,10.0,0.00,7.50,1.20,0.20
Ibrahim Amadou\Ibrahim-Amadou,MF,Angers,fr Ligue 1,27,16.7,0.12,6.23,0.84,0.18
Romain Amalfitano\Romain-Amalfitano,FWDF,Dijon,fr Ligue 1,30,1.3,0.00,8.46,0.77,3.08
Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,DF,Getafe,es La Liga,18,0.5,0.00,6.00,0.00,0.00
Daniel Amartey\Daniel-Amartey,DF,Leicester City,eng Premier League,25,8.0,0.00,5.88,0.38,0.00
Jordan Amavi\Jordan-Amavi,DF,Marseille,fr Ligue 1,26,9.0,0.00,7.11,1.44,1.00
Thierry Ambrose\Thierry-Ambrose,FW,Metz,fr Ligue 1,23,8.4,0.12,9.76,1.31,1.67
Wisdom Amey\Wisdom-Amey,DF,Bologna,it Serie A,14,0.0,0,0,1,0
Nadiem Amiri\Nadiem-Amiri,MF,Leverkusen,de Bundesliga,23,21.0,0.10,8.90,1.10,1.05
Ethan Ampadu\Ethan-Ampadu,DFMF,Sheffield Utd,eng Premier League,19,23.2,0.13,5.22,1.81,0.47
Sofyan Amrabat\Sofyan-Amrabat,MF,Fiorentina,it Serie A,23,27.1,0.00,6.61,2.40,0.37
Jon Ander Garrido\Jon-Ander-Garrido,MF,Cádiz,es La Liga,30,8.9,0.00,5.39,0.67,0.22
Joachim Andersen\Joachim-Andersen,DF,Fulham,eng Premier League,24,30.3,0.03,5.38,3.17,0.13
Joachim Andersen\Joachim-Andersen,DF,Lyon,fr Ligue 1,24,2.1,0.00,5.24,1.90,0.00
Djavan Anderson\Djavan-Anderson,DF,Lazio,it Serie A,25,0.8,0.00,6.25,0.00,1.25
Elliot Anderson\Elliot-Anderson,MF,Newcastle Utd,eng Premier League,17,0.0,0,0,0,0
Felipe Anderson\Felipe-Anderson,FWMF,West Ham,eng Premier League,27,0.0,0,0,0,1
Sebastian Andersson\Sebastian-Andersson,FW,Köln,de Bundesliga,29,12.5,0.00,7.44,0.08,0.32
Nícolas Andrade\Nicolas-Andrade,GK,Udinese,it Serie A,32,2.0,0.00,1.50,0.00,0.00
Benjamin André\Benjamin-Andre,MF,Lille,fr Ligue 1,29,32.1,0.09,9.66,1.40,0.37
Robert Andrich\Robert-Andrich,MF,Union Berlin,de Bundesliga,25,28.1,0.07,8.90,1.03,0.28
Victorien Angban\Victorien-Angban,MF,Metz,fr Ligue 1,23,18.6,0.00,7.20,1.45,0.32
Ángel\Angel,GK,Granada,es La Liga,18,1.0,0.00,3.00,1.00,0.00
Miguel Ángel Rubio\Miguel-Angel-Rubio,DF,Valladolid,es La Liga,22,1.5,0.00,4.67,0.67,0.00
José Ángel\Jose-Angel,DF,Eibar,es La Liga,30,10.0,0.00,8.70,2.60,3.70
Angeliño\Angelino,DFFW,RB Leipzig,de Bundesliga,23,24.0,0.17,6.79,2.17,4.67
Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,DF,Atalanta,it Serie A,19,0.1,0.00,0.00,0.00,0.00
Philip Ankhrah\Philip-Ankhrah,MF,Hellas Verona,it Serie A,17,0.1,0.00,0.00,0.00,0.00
Cristian Ansaldi\Cristian-Ansaldi,DF,Torino,it Serie A,33,21.6,0.00,5.23,3.80,6.16
Waldemar Anton\Waldemar-Anton,DF,Stuttgart,de Bundesliga,24,30.1,0.07,6.88,1.06,0.27
José Antonio Miranda\Jose-Antonio-Miranda,MFDF,Getafe,es La Liga,22,0.3,0.00,6.67,0.00,0.00
Michail Antonio\Michail-Antonio,FW,West Ham,eng Premier League,30,21.9,0.00,7.81,0.64,1.37
Valentin Antov\Valentin-Antov,DF,Bologna,it Serie A,19,2.6,0.00,1.92,2.69,0.00
Houssem Aouar\Houssem-Aouar,MFFW,Lyon,fr Ligue 1,22,19.8,0.20,6.57,0.86,1.01
Adil Aouchiche\Adil-Aouchiche,MFFW,Saint-Étienne,fr Ligue 1,18,19.2,0.36,6.88,3.18,2.14
Dennis Appiah\Dennis-Appiah,DF,Nantes,fr Ligue 1,28,17.3,0.00,5.66,0.75,2.37
Aritz Arambarri\Aritz-Arambarri,DF,Real Sociedad,es La Liga,22,0.3,0.00,6.67,0.00,0.00
Mauro Arambarri\Mauro-Arambarri,MF,Getafe,es La Liga,24,33.1,0.03,4.92,2.96,1.51
Charles Aránguiz\Charles-Aranguiz,MF,Leverkusen,de Bundesliga,31,18.5,0.22,9.19,1.41,0.11
Luiz Araújo\Luiz-Araujo,MF,Lille,fr Ligue 1,24,16.6,0.24,6.63,1.51,1.51
Néstor Araujo\Nestor-Araujo,DF,Celta Vigo,es La Liga,28,27.0,0.04,4.74,1.11,0.11
Ronald Araújo\Ronald-Araujo,DF,Barcelona,es La Liga,21,16.8,0.06,5.65,0.77,0.00
Anaitz Arbilla\Anaitz-Arbilla,DF,Eibar,es La Liga,33,31.2,0.06,7.44,4.81,0.96
Alphonse Areola\Alphonse-Areola,GK,Fulham,eng Premier League,27,36.0,0.00,1.25,0.53,0.00
Santiago Arias\Santiago-Arias,DF,Leverkusen,de Bundesliga,28,1.0,0.00,12.0,0.00,0.00
Karim Aribi\Karim-Aribi,FW,Nîmes,fr Ligue 1,26,3.3,0.00,6.06,0.00,0.30
Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,FWMF,Eibar,es La Liga,21,0.5,0.00,0.00,0.00,0.00
Nicolò Armini\Nicolo-Armini,DF,Lazio,it Serie A,19,0.1,0.00,10.0,0.00,10.0
Stuart Armstrong\Stuart-Armstrong,MF,Southampton,eng Premier League,28,30.7,0.23,8.73,0.62,0.85
Maximilian Arnold\Maximilian-Arnold,MF,Wolfsburg,de Bundesliga,26,28.7,0.21,8.89,4.22,1.15
