,,,,,,Pass,Pass,Pass,Pass
Player,Pos,Squad,Comp,Age,90s,TB,Press,Sw,Crs
,,,,,,,,,
Sergiño Dest\Sergino-Dest,DF,Barcelona,es La Liga,19,21.2,0.05,5.47,0.19,1.84
Mattia Destro\Mattia-Destro,FW,Genoa,it Serie A,29,17.8,0.06,4.10,0.34,0.22
Gerard Deulofeu\Gerard-Deulofeu,FWMF,Udinese,it Serie A,26,6.6,0.30,6.97,1.21,2.12
Deyverson\Deyverson,FW,Alavés,es La Liga,29,9.7,0.41,9.59,1.55,1.34
Jacopo Dezi\Jacopo-Dezi,FWMF,Parma,it Serie A,28,0.9,0.00,3.33,1.11,3.33
Samuel Di Carmine\Samuel-Di-Carmine,FW,Hellas Verona,it Serie A,31,5.6,0.00,12.0,0.00,0.89
Samuel Di Carmine\Samuel-Di-Carmine,FW,Crotone,it Serie A,31,5.3,0.00,7.17,0.57,0.57
Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,DF,Napoli,it Serie A,26,36.0,0.00,6.92,1.22,1.61
Ángel Di María\Angel-Di-Maria,FWMF,Paris S-G,fr Ligue 1,32,20.6,0.97,7.91,3.20,5.00
Alessandro Di Pardo\Alessandro-Di-Pardo,MFDF,Juventus,it Serie A,21,0.2,0.00,10.0,0.00,5.00
Giuseppe Di Serio\Giuseppe-Di-Serio,FWMF,Benevento,it Serie A,19,3.2,0.00,9.69,0.31,0.63
Boulaye Dia\Boulaye-Dia,FWMF,Reims,fr Ligue 1,23,32.6,0.03,4.63,0.46,0.40
Abdoulay Diaby\Abdoulay-Diaby,MF,Getafe,es La Liga,29,0.2,0.00,10.0,5.00,10.0
Moussa Diaby\Moussa-Diaby,FWMF,Leverkusen,de Bundesliga,21,26.5,0.08,6.19,1.09,3.85
Mbaye Diagne\Mbaye-Diagne,FW,West Brom,eng Premier League,28,13.2,0.08,6.67,0.45,0.38
Mouctar Diakhaby\Mouctar-Diakhaby,DF,Valencia,es La Liga,23,23.1,0.00,4.11,1.60,0.09
Abdou Diallo\Abdou-Diallo,DF,Paris S-G,fr Ligue 1,24,16.6,0.06,4.76,1.45,0.60
Amad Diallo\Amad-Diallo,FW,Manchester Utd,eng Premier League,18,1.8,0.56,7.78,0.56,0.00
Amad Diallo\Amad-Diallo,MF,Atalanta,it Serie A,18,0.2,0.00,0.00,0.00,0.00
Habib Diallo\Habib-Diallo,FW,Strasbourg,fr Ligue 1,25,25.8,0.12,6.82,0.62,0.66
Habib Diallo\Habib-Diallo,FW,Metz,fr Ligue 1,25,1.6,0.00,11.9,0.00,0.63
Ibrahima Diallo\Ibrahima-Diallo,MF,Southampton,eng Premier League,21,11.3,0.09,9.65,0.62,0.62
Ibrahima Diallo\Ibrahima-Diallo,MF,Brest,fr Ligue 1,21,4.9,0.00,5.51,2.04,0.61
Amadou Diambo\Amadou-Diambo,FW,Benevento,it Serie A,19,0.0,0,0,0,0
Grady Diangana\Grady-Diangana,MFFW,West Brom,eng Premier League,22,13.7,0.15,5.11,0.22,1.09
Stéphane Diarra\Stephane-Diarra,FWMF,Lorient,fr Ligue 1,21,2.2,0.00,8.18,1.36,5.91
Raphael Dias Belloli\Raphael-Dias-Belloli,MF,Leeds United,eng Premier League,23,26.2,0.19,4.43,2.25,2.86
Raphael Dias Belloli\Raphael-Dias-Belloli,FWMF,Rennes,fr Ligue 1,23,4.5,0.89,4.22,2.22,1.56
Rúben Dias\Ruben-Dias,DF,Manchester City,eng Premier League,23,31.6,0.03,6.20,1.87,0.06
Krepin Diatta\Krepin-Diatta,MFDF,Monaco,fr Ligue 1,21,4.3,0.00,7.67,0.70,1.86
Amadou Diawara\Amadou-Diawara,MF,Roma,it Serie A,23,7.3,0.14,9.04,0.68,0.00
Brahim Díaz\Brahim-Diaz,MFFW,Milan,it Serie A,20,13.6,0.15,5.74,0.74,0.59
Víctor Díaz\Victor-Diaz,DF,Granada,es La Liga,32,9.2,0.00,5.76,1.30,2.39
Daniel Didavi\Daniel-Didavi,FWMF,Stuttgart,de Bundesliga,30,10.8,0.19,6.02,0.93,1.76
Eric Dier\Eric-Dier,DF,Tottenham,eng Premier League,26,28.0,0.00,5.50,2.11,0.14
Daan Dierckx\Daan-Dierckx,DF,Parma,it Serie A,17,5.2,0.00,2.88,1.92,0.00
Lucas Digne\Lucas-Digne,DF,Everton,eng Premier League,27,29.8,0.00,7.52,1.88,4.43
Virgil van Dijk\Virgil-van-Dijk,DF,Liverpool,eng Premier League,29,4.1,0.00,7.80,4.15,0.00
Mitchell Dijks\Mitchell-Dijks,DF,Bologna,it Serie A,27,16.5,0.00,3.64,0.42,2.00
Javairô Dilrosun\Javairo-Dilrosun,FWMF,Hertha BSC,de Bundesliga,22,5.9,0.00,4.58,0.85,1.53
Federico Dimarco\Federico-Dimarco,DF,Hellas Verona,it Serie A,22,29.0,0.03,6.59,3.31,3.55
Junior Dina Ebimbe\Junior-Dina-Ebimbe,FWMF,Dijon,fr Ligue 1,19,23.8,0.13,6.60,1.09,1.05
Tristan Dingomé\Tristan-Dingome,MF,Reims,fr Ligue 1,29,0.2,0.00,10.0,0.00,0.00
Eren Dinkçi\Eren-Dinkci,FWMF,Werder Bremen,de Bundesliga,18,1.2,0.00,8.33,0.00,0.83
Sinaly Diomande\Sinaly-Diomande,DF,Lyon,fr Ligue 1,19,12.6,0.08,4.52,1.11,0.24
Lois Diony\Lois-Diony,FW,Angers,fr Ligue 1,27,19.4,0.05,6.49,0.52,1.55
Issa Diop\Issa-Diop,DF,West Ham,eng Premier League,23,15.3,0.07,3.73,0.20,0.07
Papakouli Diop\Papakouli-Diop,MF,Eibar,es La Liga,34,25.8,0.08,7.64,1.24,0.27
Sofiane Diop\Sofiane-Diop,MFFW,Monaco,fr Ligue 1,20,22.5,0.00,8.40,0.89,1.07
Andy Diouf\Andy-Diouf,FW,Rennes,fr Ligue 1,18,0.1,0.00,10.0,0.00,0.00
Yehvann Diouf\Yehvann-Diouf,GK,Reims,fr Ligue 1,20,1.5,0.00,1.33,1.33,0.00
Assane Dioussé\Assane-Diousse,DF,Saint-Étienne,fr Ligue 1,22,0.0,0,0,0,0
Axel Disasi\Axel-Disasi,DF,Monaco,fr Ligue 1,22,22.3,0.04,4.53,2.11,0.13
Tiago Djaló\Tiago-Djalo,DF,Lille,fr Ligue 1,20,9.7,0.10,4.54,1.44,0.62
Djené\Djene,DF,Getafe,es La Liga,28,32.7,0.00,3.91,0.89,0.21
Moussa Djenepo\Moussa-Djenepo,MF,Southampton,eng Premier League,22,13.8,0.07,4.20,0.29,0.72
Koffi Djidji\Koffi-Djidji,DF,Crotone,it Serie A,27,16.9,0.00,4.20,1.01,0.18
Alexander Djiku\Alexander-Djiku,DFMF,Strasbourg,fr Ligue 1,25,28.4,0.07,3.73,1.73,0.18
Berat Djimsiti\Berat-Djimsiti,DF,Atalanta,it Serie A,27,29.2,0.03,6.47,0.79,0.31
Marko Dmitrović\Marko-Dmitrovic,GK,Eibar,es La Liga,28,34.7,0.00,1.70,1.61,0.00
Ritsu Doan\Ritsu-Doan,MFFW,Arminia,de Bundesliga,22,30.8,0.03,6.01,1.53,2.08
Mihai Dobre\Mihai-Dobre,FWMF,Dijon,fr Ligue 1,21,5.9,0.00,7.97,0.34,1.02
Matt Doherty\Matt-Doherty,DF,Tottenham,eng Premier League,28,13.8,0.00,6.59,0.80,1.74
Jeremy Doku\Jeremy-Doku,MFFW,Rennes,fr Ligue 1,18,25.7,0.19,7.43,0.66,2.68
Kasper Dolberg\Kasper-Dolberg,FW,Nice,fr Ligue 1,22,21.4,0.00,4.30,0.14,0.19
Keagan Dolly\Keagan-Dolly,MF,Montpellier,fr Ligue 1,27,5.0,0.00,6.20,1.60,0.80
Jaume Doménech\Jaume-Domenech,GK,Valencia,es La Liga,29,28.0,0.00,2.07,1.00,0.00
Carlos Dominguez\Carlos-Dominguez,DF,Celta Vigo,es La Liga,19,4.0,0.00,5.75,0.50,0.00
Nicolás Domínguez\Nicolas-Dominguez,MF,Bologna,it Serie A,22,13.9,0.22,5.47,0.79,0.79
John Donald\John-Donald,DFFW,Elche,es La Liga,19,0.6,0.00,3.33,1.67,0.00
Ji Dong-won\Ji-Dong-won,FWDF,Mainz 05,de Bundesliga,29,0.7,0.00,11.4,0.00,0.00
Anastasios Donis\Anastasios-Donis,MF,Reims,fr Ligue 1,23,1.1,0.00,3.64,0.00,2.73
Gianluigi Donnarumma\Gianluigi-Donnarumma,GK,Milan,it Serie A,21,37.0,0.00,2.59,0.43,0.00
Gabriel Dos Santos\Gabriel-Dos-Santos,DF,Arsenal,eng Premier League,22,22.2,0.00,5.99,1.31,0.14
Bas Dost\Bas-Dost,FW,Eint Frankfurt,de Bundesliga,31,9.1,0.00,11.6,0.33,0.44
Lucas Douath\Lucas-Douath,MF,Saint-Étienne,fr Ligue 1,16,14.7,0.00,7.41,0.82,0.20
Abdoulaye Doucouré\Abdoulaye-Doucoure,MF,Everton,eng Premier League,27,27.1,0.11,7.56,0.63,0.37
Cheick Doucouré\Cheick-Doucoure,MF,Lens,fr Ligue 1,20,29.2,0.14,8.80,1.85,0.10
Fodé Doucouré\Fode-Doucoure,DF,Reims,fr Ligue 1,19,3.7,0.00,3.51,0.81,1.08
Mahamadou Doucouré\Mahamadou-Doucoure,FW,Nîmes,fr Ligue 1,20,0.5,0.00,4.00,0.00,4.00
Cheick Doukouré\Cheick-Doukoure,MF,Levante,es La Liga,27,1.1,0.00,13.6,0.91,0.00
Idrissa Doumbia\Idrissa-Doumbia,MF,Huesca,es La Liga,22,8.7,0.00,6.09,0.80,0.00
Moussa Doumbia\Moussa-Doumbia,MFFW,Reims,fr Ligue 1,25,10.0,0.00,5.60,1.30,2.10
Souleyman Doumbia\Souleyman-Doumbia,DF,Angers,fr Ligue 1,23,24.7,0.00,4.94,0.69,1.42
Aleksandar Dragović\Aleksandar-Dragovic,DF,Leverkusen,de Bundesliga,29,12.6,0.08,8.41,3.25,0.40
Bartłomiej Drągowski\Bartlomiej-Dragowski,GK,Fiorentina,it Serie A,22,35.0,0.00,1.31,0.66,0.00
Denis Drăguș\Denis-Dragus,FWMF,Crotone,it Serie A,21,2.0,0.00,4.00,1.50,1.50
Radu Drăgușin\Radu-Dragusin,DF,Juventus,it Serie A,18,0.0,0,0,0,0
Mouhamadou Drammeh\Mouhamadou-Drammeh,MF,Reims,fr Ligue 1,21,1.9,0.00,3.68,0.00,0.00
Julian Draxler\Julian-Draxler,MFFW,Paris S-G,fr Ligue 1,26,11.8,0.25,10.2,1.53,1.86
Dominick Drexler\Dominick-Drexler,MFFW,Köln,de Bundesliga,30,13.7,0.15,8.83,0.44,2.70
Matthieu Dreyer\Matthieu-Dreyer,GK,Lorient,fr Ligue 1,31,15.0,0.00,1.00,0.53,0.00
Domingos Duarte\Domingos-Duarte,DF,Granada,es La Liga,25,26.3,0.00,4.52,1.29,0.08
Léo Duarte\Leo-Duarte,DF,Milan,it Serie A,24,0.2,0.00,0.00,0.00,0.00
Óscar Duarte\Oscar-Duarte,DF,Levante,es La Liga,31,22.9,0.04,5.24,1.79,0.09
Rubén Duarte\Ruben-Duarte,DF,Alavés,es La Liga,24,28.3,0.11,6.04,1.80,2.05
Leo Dubois\Leo-Dubois,DF,Lyon,fr Ligue 1,25,32.3,0.03,6.10,1.70,3.99
Martin Dúbravka\Martin-Dubravka,GK,Newcastle Utd,eng Premier League,31,13.0,0.00,3.00,1.38,0.00
Ondrej Duda\Ondrej-Duda,FWMF,Köln,de Bundesliga,25,28.2,0.11,8.62,2.87,1.81
Unai Dufur\Unai-Dufur,DF,Eibar,es La Liga,21,0.7,0.00,1.43,0.00,0.00
Haris Duljević\Haris-Duljevic,MFFW,Nîmes,fr Ligue 1,26,8.6,0.00,5.70,1.51,1.63
Paul Dummett\Paul-Dummett,DF,Newcastle Utd,eng Premier League,28,13.9,0.00,4.46,0.36,0.65
Alfred Duncan\Alfred-Duncan,MF,Fiorentina,it Serie A,27,1.8,0.00,5.56,3.33,0.56
Alfred Duncan\Alfred-Duncan,MF,Cagliari,it Serie A,27,11.9,0.08,6.97,1.26,0.76
Lewis Dunk\Lewis-Dunk,DF,Brighton,eng Premier League,28,32.6,0.03,5.00,2.18,0.03
Jimmy Dunne\Jimmy-Dunne,DF,Burnley,eng Premier League,22,3.0,0.00,7.00,1.33,0.00
Erik Durm\Erik-Durm,DF,Eint Frankfurt,de Bundesliga,28,16.4,0.12,6.59,1.22,2.32
Hugo Duro\Hugo-Duro,FW,Real Madrid,es La Liga,20,0.6,0.00,5.00,0.00,1.67
Jean-Kevin Duverne\Jean-Kevin-Duverne,DF,Brest,fr Ligue 1,23,22.5,0.04,5.20,2.31,0.36
Paulo Dybala\Paulo-Dybala,FW,Juventus,it Serie A,26,12.6,0.00,8.17,2.78,1.90
Edin Džeko\Edin-Dzeko,FW,Roma,it Serie A,34,20.3,0.20,9.26,0.74,0.84
Steeve-Mike Ebongue\Steeve-Mike-Ebongue,MF,Genoa,it Serie A,19,0.6,0.00,10.0,0.00,0.00
Enzo Ebosse\Enzo-Ebosse,DF,Angers,fr Ligue 1,21,2.9,0.00,4.14,1.03,1.03
Bruno Ecuele Manga\Bruno-Ecuele-Manga,DF,Dijon,fr Ligue 1,32,38.0,0.00,4.58,1.39,0.03
Simone Edera\Simone-Edera,DFMF,Torino,it Serie A,23,0.6,0.00,5.00,1.67,3.33
Ederson\Ederson,GK,Manchester City,eng Premier League,26,36.0,0.03,2.22,0.83,0.00
Kyle Edwards\Kyle-Edwards,MFFW,West Brom,eng Premier League,22,1.3,0.00,3.85,0.77,0.77
John Egan\John-Egan,DF,Sheffield Utd,eng Premier League,27,29.2,0.03,3.84,0.99,0.07
Johannes Eggestein\Johannes-Eggestein,FWMF,Werder Bremen,de Bundesliga,22,0.4,0.00,12.5,0.00,2.50
Maximilian Eggestein\Maximilian-Eggestein,MF,Werder Bremen,de Bundesliga,23,32.7,0.15,7.49,1.04,0.46
Lilian Egloff\Lilian-Egloff,MF,Stuttgart,de Bundesliga,17,0.2,0.00,0.00,0.00,0.00
Kingsley Ehizibue\Kingsley-Ehizibue,DF,Köln,de Bundesliga,25,12.6,0.00,5.79,0.48,2.30
Albin Ekdal\Albin-Ekdal,MF,Sampdoria,it Serie A,31,25.5,0.08,6.78,0.86,0.12
Hugo Ekitike\Hugo-Ekitike,MFFW,Reims,fr Ligue 1,18,1.0,0.00,8.00,0.00,0.00
Anthony Elanga\Anthony-Elanga,FW,Manchester Utd,eng Premier League,18,1.7,0.00,6.47,0.59,0.59
Niclas Eliasson\Niclas-Eliasson,MFFW,Nîmes,fr Ligue 1,24,20.0,0.00,3.70,1.55,3.40
Elif Elmas\Elif-Elmas,MFFW,Napoli,it Serie A,20,8.2,0.00,6.59,0.37,0.49
Ahmed Elmohamady\Ahmed-Elmohamady,DF,Aston Villa,eng Premier League,32,9.3,0.00,7.85,1.61,3.44
Mohamed Elneny\Mohamed-Elneny,MF,Arsenal,eng Premier League,28,17.2,0.06,6.92,1.40,0.17
Aritz Elustondo\Aritz-Elustondo,DF,Real Sociedad,es La Liga,26,20.9,0.00,5.41,1.34,0.33
Nico Elvedi\Nico-Elvedi,DF,M'Gladbach,de Bundesliga,23,28.2,0.04,6.17,1.38,0.07
Rodrigo Ely\Rodrigo-Ely,DF,Alavés,es La Liga,26,5.2,0.00,2.88,1.35,0.00
Sepe Elye Wahi\Sepe-Elye-Wahi,FW,Montpellier,fr Ligue 1,17,6.2,0.00,4.35,0.32,0.97
Breel Embolo\Breel-Embolo,FWMF,M'Gladbach,de Bundesliga,23,16.0,0.00,8.06,0.25,0.63
Emerson\Emerson,DF,Betis,es La Liga,21,33.2,0.03,6.66,0.69,2.23
Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,MF,Atalanta,it Serie A,18,0.0,0,0,0,0
Renaud Emond\Renaud-Emond,FWMF,Nantes,fr Ligue 1,28,3.9,0.00,7.44,0.00,0.77
Alan Empereur\Alan-Empereur,DF,Hellas Verona,it Serie A,26,2.4,0.00,2.92,0.83,0.00
Youssef En-Nesyri\Youssef-En-Nesyri,FW,Sevilla,es La Liga,23,25.7,0.04,4.71,0.31,0.66
Keita Endo\Keita-Endo,MFFW,Union Berlin,de Bundesliga,22,5.1,0.00,4.71,0.20,1.96
Wataru Endo\Wataru-Endo,MF,Stuttgart,de Bundesliga,27,32.8,0.12,11.0,1.01,0.15
Sergi Enrich\Sergi-Enrich,FW,Eibar,es La Liga,30,15.6,0.06,10.6,0.77,0.45
Christian Eriksen\Christian-Eriksen,MF,Inter,it Serie A,28,15.4,0.00,9.87,2.79,1.69
Martin Erlic\Martin-Erlic,DF,Spezia,it Serie A,22,20.0,0.05,4.95,3.25,0.05
Patrick Erras\Patrick-Erras,MFFW,Werder Bremen,de Bundesliga,25,0.3,0.00,26.7,0.00,0.00
Gonzalo Escalante\Gonzalo-Escalante,MF,Lazio,it Serie A,27,8.1,0.00,7.53,1.36,0.00
Aarón Escandell\Aaron-Escandell,GK,Granada,es La Liga,24,5.0,0.00,1.00,0.80,0.00
Dani Escriche\Dani-Escriche,FWMF,Huesca,es La Liga,22,9.5,0.11,6.74,0.42,0.42
Sergio Escudero\Sergio-Escudero,DF,Sevilla,es La Liga,30,6.3,0.32,7.46,1.43,2.06
Alfonso Espino\Alfonso-Espino,DF,Cádiz,es La Liga,28,28.9,0.00,4.64,1.31,2.11
Vicente Esquerdo\Vicente-Esquerdo,MF,Valencia,es La Liga,21,2.6,0.00,6.92,1.92,0.77
Nahuel Estévez\Nahuel-Estevez,MF,Spezia,it Serie A,24,19.6,0.10,7.50,2.14,2.60
Pervis Estupiñán\Pervis-Estupinan,DF,Villarreal,es La Liga,22,13.0,0.00,6.54,2.08,4.69
Yoann Etienne\Yoann-Etienne,DF,Lorient,fr Ligue 1,23,1.0,0.00,12.0,0.00,2.00
Xabier Etxeita\Xabier-Etxeita,DF,Getafe,es La Liga,32,9.8,0.00,3.37,1.33,0.00
Jonny Evans\Jonny-Evans,DF,Leicester City,eng Premier League,32,27.5,0.00,7.31,1.16,0.07
Edu Expósito\Edu-Exposito,MF,Eibar,es La Liga,23,27.3,0.04,7.80,1.68,1.32
Valentin Eysseric\Valentin-Eysseric,MFFW,Fiorentina,it Serie A,28,8.1,0.00,7.16,2.59,2.22
Eberechi Eze\Eberechi-Eze,MF,Crystal Palace,eng Premier League,22,28.4,0.07,6.73,1.09,0.92
Jokin Ezkieta\Jokin-Ezkieta,GK,Athletic Club,es La Liga,23,1.0,0.00,0.00,0.00,0.00
Łukasz Fabiański\Lukasz-Fabianski,GK,West Ham,eng Premier League,35,35.0,0.00,1.46,0.80,0.00
Fabinho\Fabinho,DFMF,Liverpool,eng Premier League,26,28.5,0.11,6.60,1.30,0.07
Fábio\Fabio,DF,Nantes,fr Ligue 1,30,16.7,0.06,4.73,0.78,1.32
Cesc Fàbregas\Cesc-Fabregas,MF,Monaco,fr Ligue 1,33,9.7,0.41,10.6,4.33,1.55
Bandiougou Fadiga\Bandiougou-Fadiga,FWMF,Paris S-G,fr Ligue 1,19,0.7,1.43,8.57,0.00,1.43
Bandiougou Fadiga\Bandiougou-Fadiga,MF,Brest,fr Ligue 1,19,0.5,0.00,6.00,2.00,2.00
Wout Faes\Wout-Faes,DF,Reims,fr Ligue 1,22,32.2,0.03,4.19,2.02,0.03
Nicolò Fagioli\Nicolo-Fagioli,MF,Juventus,it Serie A,19,0.2,0.00,5.00,5.00,0.00
Ralf Fährmann\Ralf-Fahrmann,GK,Schalke 04,de Bundesliga,31,20.8,0.00,2.26,1.06,0.00
Romain Faivre\Romain-Faivre,MFFW,Brest,fr Ligue 1,22,32.1,0.09,5.92,1.74,1.43
Fali\Fali,DFMF,Cádiz,es La Liga,26,29.3,0.10,2.94,1.57,0.44
Iago Falque\Iago-Falque,MFFW,Benevento,it Serie A,30,4.0,0.25,9.50,2.25,3.50
Andri Fannar Baldursson\Andri-Fannar-Baldursson,MF,Bologna,it Serie A,18,2.4,0.00,4.17,0.42,0.00
Paolo Faragò\Paolo-Farago,DFMF,Cagliari,it Serie A,27,4.1,0.24,6.34,0.73,1.71
Paolo Faragò\Paolo-Farago,DF,Bologna,it Serie A,27,0.3,0.00,3.33,0.00,3.33
Davide Faraoni\Davide-Faraoni,DF,Hellas Verona,it Serie A,28,32.1,0.06,5.33,0.69,1.56
Mohamed Fares\Mohamed-Fares,DF,Lazio,it Serie A,24,12.7,0.00,4.33,0.94,3.70
Diego Farias\Diego-Farias,FW,Spezia,it Serie A,30,16.8,0.12,6.96,0.95,1.49
Wuilker Faríñez\Wuilker-Farinez,GK,Lens,fr Ligue 1,22,1.2,0.00,0.83,0.83,0.00
Noah Fatar\Noah-Fatar,FWMF,Angers,fr Ligue 1,18,0.2,0.00,0.00,0.00,0.00
Ansu Fati\Ansu-Fati,FW,Barcelona,es La Liga,17,4.8,0.21,7.29,0.00,1.04
Julien Faussurier\Julien-Faussurier,DF,Brest,fr Ligue 1,33,10.6,0.09,4.53,3.21,4.15
Andrea Favilli\Andrea-Favilli,FW,Hellas Verona,it Serie A,23,3.8,0.00,7.89,0.53,0.00
Federico Fazio\Federico-Fazio,DF,Roma,it Serie A,33,4.5,0.22,7.11,2.00,0.44
Nabil Fekir\Nabil-Fekir,MFFW,Betis,es La Liga,27,29.1,0.21,8.21,1.82,1.92
Felipe\Felipe,DF,Atlético Madrid,es La Liga,31,22.9,0.04,5.24,1.27,0.09
Luiz Felipe\Luiz-Felipe,DF,Lazio,it Serie A,23,10.1,0.00,3.47,1.29,0.10
Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,DF,Augsburg,de Bundesliga,22,29.0,0.00,6.55,1.41,0.24
João Félix\Joao-Felix,FWMF,Atlético Madrid,es La Liga,20,17.5,0.46,9.03,0.69,0.74
Zinedine Ferhat\Zinedine-Ferhat,FWMF,Nîmes,fr Ligue 1,27,32.9,0.33,6.72,1.37,2.52
Bruno Fernandes\Bruno-Fernandes,MF,Manchester Utd,eng Premier League,25,34.4,0.58,10.1,3.63,2.65
Edimilson Fernandes\Edimilson-Fernandes,MFDF,Mainz 05,de Bundesliga,24,9.3,0.00,4.52,1.94,1.40
Aitor Fernández\Aitor-Fernandez,GK,Levante,es La Liga,29,29.0,0.00,2.28,0.86,0.00
Álex Fernández\Alex-Fernandez,MF,Cádiz,es La Liga,27,21.6,0.00,6.94,2.13,1.90
Álvaro Fernández\Alvaro-Fernandez,GK,Huesca,es La Liga,22,22.0,0.00,2.73,1.05,0.00
Andrés Fernández\Andres-Fernandez,GK,Huesca,es La Liga,33,16.0,0.00,4.06,0.94,0.00
Augusto Fernández\Augusto-Fernandez,MF,Cádiz,es La Liga,34,4.1,0.00,4.39,1.95,0.00
Carlos Fernández\Carlos-Fernandez,FW,Sevilla,es La Liga,24,1.6,0.00,3.75,0.00,1.25
Carlos Fernández\Carlos-Fernandez,FWMF,Real Sociedad,es La Liga,24,4.3,0.00,9.53,0.00,0.47
Federico Fernández\Federico-Fernandez,DF,Newcastle Utd,eng Premier League,31,23.1,0.00,2.73,1.39,0.43
Joaquín Fernández\Joaquin-Fernandez,DF,Valladolid,es La Liga,24,23.0,0.00,3.87,1.04,0.04
Fernandinho\Fernandinho,MF,Manchester City,eng Premier League,35,13.2,0.15,9.24,2.50,0.45
Fernando\Fernando,MF,Sevilla,es La Liga,33,28.3,0.07,6.29,1.91,0.07
Alex Ferrari\Alex-Ferrari,DF,Sampdoria,it Serie A,26,9.8,0.00,4.90,1.12,0.41
David Ferreiro\David-Ferreiro,MFFW,Huesca,es La Liga,32,28.1,0.00,7.05,2.95,3.99
Salvador Ferrer\Salvador-Ferrer,DF,Spezia,it Serie A,22,13.2,,,,4.24
Facundo Ferreyra\Facundo-Ferreyra,FW,Celta Vigo,es La Liga,29,3.3,0.00,6.67,0.00,0.30
Jordan Ferri\Jordan-Ferri,MF,Montpellier,fr Ligue 1,28,28.6,0.10,6.85,3.08,0.52
Marco Festa\Marco-Festa,GK,Crotone,it Serie A,28,1.0,0.00,2.00,1.00,0.00
Fidel\Fidel,MFDF,Elche,es La Liga,30,26.6,0.00,8.23,2.37,2.89
Sam Field\Sam-Field,MF,West Brom,eng Premier League,22,0.7,0.00,7.14,0.00,0.00
Alfreð Finnbogason\Alfred-Finnbogason,FW,Augsburg,de Bundesliga,31,6.0,0.33,8.33,0.50,1.67
Roberto Firmino\Roberto-Firmino,FW,Liverpool,eng Premier League,28,31.5,0.25,9.11,0.29,1.02
Junior Firpo\Junior-Firpo,DF,Barcelona,es La Liga,23,3.2,0.00,9.38,0.00,1.25
John Fleck\John-Fleck,MF,Sheffield Utd,eng Premier League,28,28.6,0.07,5.38,1.33,1.22
Mark Flekken\Mark-Flekken,GK,Freiburg,de Bundesliga,27,3.0,0.00,2.33,2.00,0.00
Florian Flick\Florian-Flick,MF,Schalke 04,de Bundesliga,20,4.0,0.00,8.00,0.50,0.00
Alexis Flips\Alexis-Flips,MF,Reims,fr Ligue 1,20,0.5,0.00,10.0,10.0,8.00
Alessandro Florenzi\Alessandro-Florenzi,DF,Paris S-G,fr Ligue 1,29,17.1,0.00,4.04,1.58,4.15
Kingsley Fobi\Kingsley-Fobi,DF,Granada,es La Liga,21,0.5,0.00,2.00,0.00,0.00
Phil Foden\Phil-Foden,FWMF,Manchester City,eng Premier League,20,18.0,0.00,7.33,1.56,2.00
Mamadou Fofana\Mamadou-Fofana,MFDF,Metz,fr Ligue 1,22,11.9,0.00,4.87,0.67,0.00
Seko Fofana\Seko-Fofana,MF,Lens,fr Ligue 1,25,25.7,0.12,7.55,0.89,0.82
Wesley Fofana\Wesley-Fofana,DF,Leicester City,eng Premier League,19,25.1,0.08,5.82,1.51,0.04
Wesley Fofana\Wesley-Fofana,DF,Saint-Étienne,fr Ligue 1,19,3.5,0.00,4.57,0.57,0.29
Youssouf Fofana\Youssouf-Fofana,MF,Monaco,fr Ligue 1,21,31.9,0.13,7.15,2.01,0.38
Thomas Foket\Thomas-Foket,DF,Reims,fr Ligue 1,25,36.9,0.00,5.61,1.22,1.38
Ramón Folch\Ramon-Folch,MF,Elche,es La Liga,30,0.0,0,0,0,0
Lamine Fomba\Lamine-Fomba,MF,Nîmes,fr Ligue 1,22,24.2,0.04,4.46,0.70,0.12
Thomas Fontaine\Thomas-Fontaine,DF,Lorient,fr Ligue 1,29,3.6,0.00,1.94,1.39,0.00
José Fontán\Jose-Fontan,DF,Celta Vigo,es La Liga,20,7.2,0.00,5.56,1.53,0.97
José Fonte\Jose-Fonte,DF,Lille,fr Ligue 1,36,35.4,0.00,4.66,2.40,0.31
Fernando Forestieri\Fernando-Forestieri,FWMF,Udinese,it Serie A,30,6.1,0.16,6.72,0.82,1.48
Pablo Fornals\Pablo-Fornals,FWMF,West Ham,eng Premier League,24,28.6,0.07,7.20,0.63,1.15
Emil Forsberg\Emil-Forsberg,FWMF,RB Leipzig,de Bundesliga,28,17.1,0.41,7.31,1.11,0.76
Fraser Forster\Fraser-Forster,GK,Southampton,eng Premier League,32,8.0,0.00,3.88,1.00,0.00
Philipp Förster\Philipp-Forster,FWMF,Stuttgart,de Bundesliga,25,16.8,0.00,9.82,0.30,1.13
Steven Fortes\Steven-Fortes,DF,Lens,fr Ligue 1,28,15.9,0.00,5.47,1.89,0.06
Yassin Fortune\Yassin-Fortune,FW,Angers,fr Ligue 1,21,0.2,0.00,5.00,0.00,0.00
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,Manchester Utd,eng Premier League,22,0.9,0.00,8.89,0.00,5.56
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,Leverkusen,de Bundesliga,22,4.5,0.00,12.0,2.22,1.11
