,,,,,,Drib,Carr,Carr
Player,Pos,Squad,Comp,Age,90s,Succ,PrgDist,Mis
,,,,,,,,
Jason Denayer\Jason-Denayer,DF,Lyon,fr Ligue 1,25,29.0,0.24,129.7,0.17
Leander Dendoncker\Leander-Dendoncker,MFDF,Wolves,eng Premier League,25,27.8,0.40,67.8,0.68
Kevin Denkey\Kevin-Denkey,FW,Nîmes,fr Ligue 1,19,5.8,0.86,29.3,2.59
Emmanuel Dennis\Emmanuel-Dennis,FW,Köln,de Bundesliga,22,5.3,2.64,77.7,3.40
Stefano Denswil\Stefano-Denswil,DF,Bologna,it Serie A,27,1.3,0.77,106.9,0.00
Fabio Depaoli\Fabio-Depaoli,DF,Benevento,it Serie A,23,12.4,0.32,51.0,0.56
Fabio Depaoli\Fabio-Depaoli,MF,Sampdoria,it Serie A,23,0.9,0.00,53.3,2.22
Fabio Depaoli\Fabio-Depaoli,DF,Atalanta,it Serie A,23,2.1,0.48,81.4,1.90
Memphis Depay\Memphis-Depay,FW,Lyon,fr Ligue 1,26,32.5,2.71,98.8,3.57
Clément Depres\Clement-Depres,MF,Nîmes,fr Ligue 1,25,0.2,0.00,0.00,0.00
Mike van der Hoorn\Mike-van-der-Hoorn,DF,Arminia,de Bundesliga,27,15.1,0.07,104.2,0.13
Kastriot Dermaku\Kastriot-Dermaku,DF,Parma,it Serie A,28,1.1,0.00,69.1,0.00
Kiril Despodov\Kiril-Despodov,FW,Cagliari,it Serie A,23,0.1,0.00,0.00,0.00
Sergiño Dest\Sergino-Dest,DF,Barcelona,es La Liga,19,21.2,1.56,137.6,1.23
Mattia Destro\Mattia-Destro,FW,Genoa,it Serie A,29,17.8,1.24,30.2,2.75
Gerard Deulofeu\Gerard-Deulofeu,FWMF,Udinese,it Serie A,26,6.6,1.52,169.7,2.27
Deyverson\Deyverson,FW,Alavés,es La Liga,29,9.7,0.62,26.6,2.89
Jacopo Dezi\Jacopo-Dezi,FWMF,Parma,it Serie A,28,0.9,1.11,23.3,0.00
Samuel Di Carmine\Samuel-Di-Carmine,FW,Hellas Verona,it Serie A,31,5.6,0.18,38.2,3.57
Samuel Di Carmine\Samuel-Di-Carmine,FW,Crotone,it Serie A,31,5.3,0.00,16.8,2.45
Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,DF,Napoli,it Serie A,26,36.0,0.78,163.6,0.69
Ángel Di María\Angel-Di-Maria,FWMF,Paris S-G,fr Ligue 1,32,20.6,2.23,166.4,2.23
Alessandro Di Pardo\Alessandro-Di-Pardo,MFDF,Juventus,it Serie A,21,0.2,10.0,140.0,0.00
Giuseppe Di Serio\Giuseppe-Di-Serio,FWMF,Benevento,it Serie A,19,3.2,1.25,89.4,3.13
Boulaye Dia\Boulaye-Dia,FWMF,Reims,fr Ligue 1,23,32.6,1.47,63.9,2.61
Abdoulay Diaby\Abdoulay-Diaby,MF,Getafe,es La Liga,29,0.2,0.00,435.0,0.00
Moussa Diaby\Moussa-Diaby,FWMF,Leverkusen,de Bundesliga,21,26.5,2.15,143.5,2.00
Mbaye Diagne\Mbaye-Diagne,FW,West Brom,eng Premier League,28,13.2,0.98,17.2,1.82
Mouctar Diakhaby\Mouctar-Diakhaby,DF,Valencia,es La Liga,23,23.1,0.13,93.6,0.35
Abdou Diallo\Abdou-Diallo,DF,Paris S-G,fr Ligue 1,24,16.6,1.20,170.2,0.66
Amad Diallo\Amad-Diallo,FW,Manchester Utd,eng Premier League,18,1.8,1.67,101.1,2.22
Amad Diallo\Amad-Diallo,MF,Atalanta,it Serie A,18,0.2,10.0,250.0,0.00
Habib Diallo\Habib-Diallo,FW,Strasbourg,fr Ligue 1,25,25.8,0.62,43.7,3.06
Habib Diallo\Habib-Diallo,FW,Metz,fr Ligue 1,25,1.6,0.00,63.8,5.00
Ibrahima Diallo\Ibrahima-Diallo,MF,Southampton,eng Premier League,21,11.3,0.97,94.2,0.88
Ibrahima Diallo\Ibrahima-Diallo,MF,Brest,fr Ligue 1,21,4.9,1.43,121.2,0.82
Amadou Diambo\Amadou-Diambo,FW,Benevento,it Serie A,19,0.0,2,2,0
Grady Diangana\Grady-Diangana,MFFW,West Brom,eng Premier League,22,13.7,1.75,98.6,2.48
Stéphane Diarra\Stephane-Diarra,FWMF,Lorient,fr Ligue 1,21,2.2,1.82,82.7,3.18
Raphael Dias Belloli\Raphael-Dias-Belloli,MF,Leeds United,eng Premier League,23,26.2,2.33,118.9,2.75
Raphael Dias Belloli\Raphael-Dias-Belloli,FWMF,Rennes,fr Ligue 1,23,4.5,2.89,102.2,1.11
Rúben Dias\Ruben-Dias,DF,Manchester City,eng Premier League,23,31.6,0.09,255.0,0.22
Krepin Diatta\Krepin-Diatta,MFDF,Monaco,fr Ligue 1,21,4.3,2.09,107.4,2.09
Amadou Diawara\Amadou-Diawara,MF,Roma,it Serie A,23,7.3,0.41,114.2,0.14
Brahim Díaz\Brahim-Diaz,MFFW,Milan,it Serie A,20,13.6,2.43,100.5,2.50
Víctor Díaz\Victor-Diaz,DF,Granada,es La Liga,32,9.2,0.11,43.9,0.43
Daniel Didavi\Daniel-Didavi,FWMF,Stuttgart,de Bundesliga,30,10.8,0.93,94.8,1.20
Eric Dier\Eric-Dier,DF,Tottenham,eng Premier League,26,28.0,0.11,136.7,0.14
Daan Dierckx\Daan-Dierckx,DF,Parma,it Serie A,17,5.2,0.00,79.0,0.19
Lucas Digne\Lucas-Digne,DF,Everton,eng Premier League,27,29.8,0.47,84.2,0.84
Virgil van Dijk\Virgil-van-Dijk,DF,Liverpool,eng Premier League,29,4.1,0.00,100.7,0.24
Mitchell Dijks\Mitchell-Dijks,DF,Bologna,it Serie A,27,16.5,1.76,116.8,1.09
Javairô Dilrosun\Javairo-Dilrosun,FWMF,Hertha BSC,de Bundesliga,22,5.9,2.03,108.5,1.53
Federico Dimarco\Federico-Dimarco,DF,Hellas Verona,it Serie A,22,29.0,0.48,149.3,0.69
Junior Dina Ebimbe\Junior-Dina-Ebimbe,FWMF,Dijon,fr Ligue 1,19,23.8,2.56,123.3,2.94
Tristan Dingomé\Tristan-Dingome,MF,Reims,fr Ligue 1,29,0.2,0.00,25.0,5.00
Eren Dinkçi\Eren-Dinkci,FWMF,Werder Bremen,de Bundesliga,18,1.2,0.83,34.2,5.83
Sinaly Diomande\Sinaly-Diomande,DF,Lyon,fr Ligue 1,19,12.6,0.48,127.1,0.08
Lois Diony\Lois-Diony,FW,Angers,fr Ligue 1,27,19.4,0.72,53.2,2.84
Issa Diop\Issa-Diop,DF,West Ham,eng Premier League,23,15.3,0.33,65.8,0.20
Papakouli Diop\Papakouli-Diop,MF,Eibar,es La Liga,34,25.8,0.31,29.8,0.50
Sofiane Diop\Sofiane-Diop,MFFW,Monaco,fr Ligue 1,20,22.5,1.69,121.8,1.60
Andy Diouf\Andy-Diouf,FW,Rennes,fr Ligue 1,18,0.1,0.00,140.0,20.0
Yehvann Diouf\Yehvann-Diouf,GK,Reims,fr Ligue 1,20,1.5,0.67,55.3,0.00
Assane Dioussé\Assane-Diousse,DF,Saint-Étienne,fr Ligue 1,22,0.0,0,2,0
Axel Disasi\Axel-Disasi,DF,Monaco,fr Ligue 1,22,22.3,0.36,186.3,0.13
Tiago Djaló\Tiago-Djalo,DF,Lille,fr Ligue 1,20,9.7,0.82,126.5,0.41
Djené\Djene,DF,Getafe,es La Liga,28,32.7,0.28,52.5,0.24
Moussa Djenepo\Moussa-Djenepo,MF,Southampton,eng Premier League,22,13.8,2.54,72.1,2.83
Koffi Djidji\Koffi-Djidji,DF,Crotone,it Serie A,27,16.9,0.47,92.2,0.24
Alexander Djiku\Alexander-Djiku,DFMF,Strasbourg,fr Ligue 1,25,28.4,0.25,83.8,0.21
Berat Djimsiti\Berat-Djimsiti,DF,Atalanta,it Serie A,27,29.2,0.24,133.8,0.58
Marko Dmitrović\Marko-Dmitrovic,GK,Eibar,es La Liga,28,34.7,0.03,45.3,0.00
Ritsu Doan\Ritsu-Doan,MFFW,Arminia,de Bundesliga,22,30.8,2.21,97.5,2.47
Mihai Dobre\Mihai-Dobre,FWMF,Dijon,fr Ligue 1,21,5.9,2.54,107.6,2.37
Matt Doherty\Matt-Doherty,DF,Tottenham,eng Premier League,28,13.8,0.51,95.1,0.94
Jeremy Doku\Jeremy-Doku,MFFW,Rennes,fr Ligue 1,18,25.7,3.42,184.7,2.65
Kasper Dolberg\Kasper-Dolberg,FW,Nice,fr Ligue 1,22,21.4,0.65,25.9,2.24
Keagan Dolly\Keagan-Dolly,MF,Montpellier,fr Ligue 1,27,5.0,0.80,103.0,1.40
Jaume Doménech\Jaume-Domenech,GK,Valencia,es La Liga,29,28.0,0.04,37.5,0.00
Carlos Dominguez\Carlos-Dominguez,DF,Celta Vigo,es La Liga,19,4.0,0.00,79.8,0.25
Nicolás Domínguez\Nicolas-Dominguez,MF,Bologna,it Serie A,22,13.9,0.65,85.8,1.22
John Donald\John-Donald,DFFW,Elche,es La Liga,19,0.6,0.00,108.3,1.67
Ji Dong-won\Ji-Dong-won,FWDF,Mainz 05,de Bundesliga,29,0.7,0.00,20.0,1.43
Anastasios Donis\Anastasios-Donis,MF,Reims,fr Ligue 1,23,1.1,0.91,60.0,4.55
Gianluigi Donnarumma\Gianluigi-Donnarumma,GK,Milan,it Serie A,21,37.0,0.05,61.1,0.00
Gabriel Dos Santos\Gabriel-Dos-Santos,DF,Arsenal,eng Premier League,22,22.2,0.18,196.7,0.14
Bas Dost\Bas-Dost,FW,Eint Frankfurt,de Bundesliga,31,9.1,0.11,17.1,1.10
Lucas Douath\Lucas-Douath,MF,Saint-Étienne,fr Ligue 1,16,14.7,0.88,118.5,0.68
Abdoulaye Doucouré\Abdoulaye-Doucoure,MF,Everton,eng Premier League,27,27.1,0.63,89.9,1.11
Cheick Doucouré\Cheick-Doucoure,MF,Lens,fr Ligue 1,20,29.2,1.06,120.3,0.65
Fodé Doucouré\Fode-Doucoure,DF,Reims,fr Ligue 1,19,3.7,0.81,178.6,0.81
Mahamadou Doucouré\Mahamadou-Doucoure,FW,Nîmes,fr Ligue 1,20,0.5,0.00,214.0,8.00
Cheick Doukouré\Cheick-Doukoure,MF,Levante,es La Liga,27,1.1,0.91,56.4,0.91
Idrissa Doumbia\Idrissa-Doumbia,MF,Huesca,es La Liga,22,8.7,1.72,86.9,0.92
Moussa Doumbia\Moussa-Doumbia,MFFW,Reims,fr Ligue 1,25,10.0,2.40,196.3,2.70
Souleyman Doumbia\Souleyman-Doumbia,DF,Angers,fr Ligue 1,23,24.7,1.34,120.6,1.21
Aleksandar Dragović\Aleksandar-Dragovic,DF,Leverkusen,de Bundesliga,29,12.6,0.40,154.8,0.24
Bartłomiej Drągowski\Bartlomiej-Dragowski,GK,Fiorentina,it Serie A,22,35.0,0.00,50.5,0.00
Denis Drăguș\Denis-Dragus,FWMF,Crotone,it Serie A,21,2.0,3.00,78.0,6.00
Radu Drăgușin\Radu-Dragusin,DF,Juventus,it Serie A,18,0.0,0,0,0
Mouhamadou Drammeh\Mouhamadou-Drammeh,MF,Reims,fr Ligue 1,21,1.9,2.63,65.8,0.53
Julian Draxler\Julian-Draxler,MFFW,Paris S-G,fr Ligue 1,26,11.8,1.78,166.9,0.51
Dominick Drexler\Dominick-Drexler,MFFW,Köln,de Bundesliga,30,13.7,0.73,90.7,1.53
Matthieu Dreyer\Matthieu-Dreyer,GK,Lorient,fr Ligue 1,31,15.0,0.00,32.3,0.00
Domingos Duarte\Domingos-Duarte,DF,Granada,es La Liga,25,26.3,0.15,84.0,0.11
Léo Duarte\Leo-Duarte,DF,Milan,it Serie A,24,0.2,0.00,85.0,0.00
Óscar Duarte\Oscar-Duarte,DF,Levante,es La Liga,31,22.9,0.13,85.9,0.09
Rubén Duarte\Ruben-Duarte,DF,Alavés,es La Liga,24,28.3,0.18,59.6,0.28
Leo Dubois\Leo-Dubois,DF,Lyon,fr Ligue 1,25,32.3,1.08,161.7,0.96
Martin Dúbravka\Martin-Dubravka,GK,Newcastle Utd,eng Premier League,31,13.0,0.00,42.1,0.08
Ondrej Duda\Ondrej-Duda,FWMF,Köln,de Bundesliga,25,28.2,1.99,69.5,2.48
Unai Dufur\Unai-Dufur,DF,Eibar,es La Liga,21,0.7,0.00,44.3,1.43
Haris Duljević\Haris-Duljevic,MFFW,Nîmes,fr Ligue 1,26,8.6,3.72,144.3,1.86
Paul Dummett\Paul-Dummett,DF,Newcastle Utd,eng Premier League,28,13.9,0.14,50.3,0.36
Alfred Duncan\Alfred-Duncan,MF,Fiorentina,it Serie A,27,1.8,2.78,56.7,0.56
Alfred Duncan\Alfred-Duncan,MF,Cagliari,it Serie A,27,11.9,1.09,113.4,1.09
Lewis Dunk\Lewis-Dunk,DF,Brighton,eng Premier League,28,32.6,0.15,129.7,0.18
Jimmy Dunne\Jimmy-Dunne,DF,Burnley,eng Premier League,22,3.0,0.33,16.3,0.67
Erik Durm\Erik-Durm,DF,Eint Frankfurt,de Bundesliga,28,16.4,0.67,82.1,1.46
Hugo Duro\Hugo-Duro,FW,Real Madrid,es La Liga,20,0.6,0.00,10.0,3.33
Jean-Kevin Duverne\Jean-Kevin-Duverne,DF,Brest,fr Ligue 1,23,22.5,0.76,168.9,0.27
Paulo Dybala\Paulo-Dybala,FW,Juventus,it Serie A,26,12.6,2.14,119.8,2.94
Edin Džeko\Edin-Dzeko,FW,Roma,it Serie A,34,20.3,1.23,63.4,3.00
Steeve-Mike Ebongue\Steeve-Mike-Ebongue,MF,Genoa,it Serie A,19,0.6,0.00,98.3,5.00
Enzo Ebosse\Enzo-Ebosse,DF,Angers,fr Ligue 1,21,2.9,0.00,77.2,0.34
Bruno Ecuele Manga\Bruno-Ecuele-Manga,DF,Dijon,fr Ligue 1,32,38.0,0.26,89.5,0.16
Simone Edera\Simone-Edera,DFMF,Torino,it Serie A,23,0.6,3.33,66.7,1.67
Ederson\Ederson,GK,Manchester City,eng Premier League,26,36.0,0.00,53.8,0.03
Kyle Edwards\Kyle-Edwards,MFFW,West Brom,eng Premier League,22,1.3,0.77,134.6,1.54
John Egan\John-Egan,DF,Sheffield Utd,eng Premier League,27,29.2,0.07,105.1,0.14
Johannes Eggestein\Johannes-Eggestein,FWMF,Werder Bremen,de Bundesliga,22,0.4,0.00,122.5,0.00
Maximilian Eggestein\Maximilian-Eggestein,MF,Werder Bremen,de Bundesliga,23,32.7,0.49,77.9,0.92
Lilian Egloff\Lilian-Egloff,MF,Stuttgart,de Bundesliga,17,0.2,5.00,5.00,5.00
Kingsley Ehizibue\Kingsley-Ehizibue,DF,Köln,de Bundesliga,25,12.6,1.51,94.0,1.03
Albin Ekdal\Albin-Ekdal,MF,Sampdoria,it Serie A,31,25.5,0.86,74.9,0.47
Hugo Ekitike\Hugo-Ekitike,MFFW,Reims,fr Ligue 1,18,1.0,2.00,46.0,3.00
Anthony Elanga\Anthony-Elanga,FW,Manchester Utd,eng Premier League,18,1.7,2.35,60.0,6.47
Niclas Eliasson\Niclas-Eliasson,MFFW,Nîmes,fr Ligue 1,24,20.0,0.60,57.3,1.80
Elif Elmas\Elif-Elmas,MFFW,Napoli,it Serie A,20,8.2,1.34,101.3,1.22
Ahmed Elmohamady\Ahmed-Elmohamady,DF,Aston Villa,eng Premier League,32,9.3,0.43,90.0,0.22
Mohamed Elneny\Mohamed-Elneny,MF,Arsenal,eng Premier League,28,17.2,0.41,115.2,0.29
Aritz Elustondo\Aritz-Elustondo,DF,Real Sociedad,es La Liga,26,20.9,0.29,186.7,0.29
Nico Elvedi\Nico-Elvedi,DF,M'Gladbach,de Bundesliga,23,28.2,0.07,134.1,0.21
Rodrigo Ely\Rodrigo-Ely,DF,Alavés,es La Liga,26,5.2,0.19,18.8,0.19
Sepe Elye Wahi\Sepe-Elye-Wahi,FW,Montpellier,fr Ligue 1,17,6.2,1.29,85.2,2.90
Breel Embolo\Breel-Embolo,FWMF,M'Gladbach,de Bundesliga,23,16.0,2.56,75.8,3.44
Emerson\Emerson,DF,Betis,es La Liga,21,33.2,0.69,107.0,1.33
Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,MF,Atalanta,it Serie A,18,0.0,0,5,0
Renaud Emond\Renaud-Emond,FWMF,Nantes,fr Ligue 1,28,3.9,0.00,23.8,1.54
Alan Empereur\Alan-Empereur,DF,Hellas Verona,it Serie A,26,2.4,0.00,114.6,0.00
Youssef En-Nesyri\Youssef-En-Nesyri,FW,Sevilla,es La Liga,23,25.7,0.58,23.3,2.96
Keita Endo\Keita-Endo,MFFW,Union Berlin,de Bundesliga,22,5.1,0.59,97.8,1.37
Wataru Endo\Wataru-Endo,MF,Stuttgart,de Bundesliga,27,32.8,0.88,122.0,1.04
Sergi Enrich\Sergi-Enrich,FW,Eibar,es La Liga,30,15.6,0.77,27.2,2.56
Christian Eriksen\Christian-Eriksen,MF,Inter,it Serie A,28,15.4,0.65,120.4,1.43
Martin Erlic\Martin-Erlic,DF,Spezia,it Serie A,22,20.0,0.20,101.0,0.00
Patrick Erras\Patrick-Erras,MFFW,Werder Bremen,de Bundesliga,25,0.3,0.00,110.0,0.00
Gonzalo Escalante\Gonzalo-Escalante,MF,Lazio,it Serie A,27,8.1,0.99,111.1,0.25
Aarón Escandell\Aaron-Escandell,GK,Granada,es La Liga,24,5.0,0.00,64.2,0.00
Dani Escriche\Dani-Escriche,FWMF,Huesca,es La Liga,22,9.5,2.00,93.8,2.42
Sergio Escudero\Sergio-Escudero,DF,Sevilla,es La Liga,30,6.3,0.32,109.7,0.79
Alfonso Espino\Alfonso-Espino,DF,Cádiz,es La Liga,28,28.9,0.55,51.9,0.62
Vicente Esquerdo\Vicente-Esquerdo,MF,Valencia,es La Liga,21,2.6,0.77,31.5,0.38
Nahuel Estévez\Nahuel-Estevez,MF,Spezia,it Serie A,24,19.6,0.51,87.3,1.17
Pervis Estupiñán\Pervis-Estupinan,DF,Villarreal,es La Liga,22,13.0,1.08,120.7,1.77
Yoann Etienne\Yoann-Etienne,DF,Lorient,fr Ligue 1,23,1.0,0.00,48.0,2.00
Xabier Etxeita\Xabier-Etxeita,DF,Getafe,es La Liga,32,9.8,0.20,47.1,0.20
Jonny Evans\Jonny-Evans,DF,Leicester City,eng Premier League,32,27.5,0.22,118.7,0.18
Edu Expósito\Edu-Exposito,MF,Eibar,es La Liga,23,27.3,1.54,86.9,1.32
Valentin Eysseric\Valentin-Eysseric,MFFW,Fiorentina,it Serie A,28,8.1,0.49,105.6,1.23
Eberechi Eze\Eberechi-Eze,MF,Crystal Palace,eng Premier League,22,28.4,2.43,139.9,1.48
Jokin Ezkieta\Jokin-Ezkieta,GK,Athletic Club,es La Liga,23,1.0,0.00,19.0,0.00
Łukasz Fabiański\Lukasz-Fabianski,GK,West Ham,eng Premier League,35,35.0,0.00,43.9,0.00
Fabinho\Fabinho,DFMF,Liverpool,eng Premier League,26,28.5,0.18,147.9,0.28
Fábio\Fabio,DF,Nantes,fr Ligue 1,30,16.7,0.42,84.3,0.72
Cesc Fàbregas\Cesc-Fabregas,MF,Monaco,fr Ligue 1,33,9.7,0.62,120.1,1.03
Bandiougou Fadiga\Bandiougou-Fadiga,FWMF,Paris S-G,fr Ligue 1,19,0.7,2.86,164.3,2.86
Bandiougou Fadiga\Bandiougou-Fadiga,MF,Brest,fr Ligue 1,19,0.5,0.00,144.0,4.00
Wout Faes\Wout-Faes,DF,Reims,fr Ligue 1,22,32.2,0.40,116.0,0.37
Nicolò Fagioli\Nicolo-Fagioli,MF,Juventus,it Serie A,19,0.2,10.0,285.0,0.00
Ralf Fährmann\Ralf-Fahrmann,GK,Schalke 04,de Bundesliga,31,20.8,0.00,47.5,0.00
Romain Faivre\Romain-Faivre,MFFW,Brest,fr Ligue 1,22,32.1,2.77,183.8,1.87
Fali\Fali,DFMF,Cádiz,es La Liga,26,29.3,0.27,34.3,0.27
Iago Falque\Iago-Falque,MFFW,Benevento,it Serie A,30,4.0,1.50,173.5,2.25
Andri Fannar Baldursson\Andri-Fannar-Baldursson,MF,Bologna,it Serie A,18,2.4,0.42,52.1,2.08
Paolo Faragò\Paolo-Farago,DF,Bologna,it Serie A,27,0.3,0.00,10.0,0.00
Paolo Faragò\Paolo-Farago,DFMF,Cagliari,it Serie A,27,4.1,0.49,88.3,0.49
Davide Faraoni\Davide-Faraoni,DF,Hellas Verona,it Serie A,28,32.1,0.72,57.3,0.81
Mohamed Fares\Mohamed-Fares,DF,Lazio,it Serie A,24,12.7,0.55,94.6,1.34
Diego Farias\Diego-Farias,FW,Spezia,it Serie A,30,16.8,1.43,100.4,1.61
Wuilker Faríñez\Wuilker-Farinez,GK,Lens,fr Ligue 1,22,1.2,0.00,23.3,0.00
Noah Fatar\Noah-Fatar,FWMF,Angers,fr Ligue 1,18,0.2,0.00,110.0,5.00
Ansu Fati\Ansu-Fati,FW,Barcelona,es La Liga,17,4.8,3.13,189.2,1.04
Julien Faussurier\Julien-Faussurier,DF,Brest,fr Ligue 1,33,10.6,0.57,106.1,0.66
Andrea Favilli\Andrea-Favilli,FW,Hellas Verona,it Serie A,23,3.8,0.79,37.6,4.74
Federico Fazio\Federico-Fazio,DF,Roma,it Serie A,33,4.5,0.67,183.6,0.67
Nabil Fekir\Nabil-Fekir,MFFW,Betis,es La Liga,27,29.1,2.06,133.1,2.30
Felipe\Felipe,DF,Atlético Madrid,es La Liga,31,22.9,0.13,79.3,0.04
Luiz Felipe\Luiz-Felipe,DF,Lazio,it Serie A,23,10.1,0.20,162.8,0.40
Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,DF,Augsburg,de Bundesliga,22,29.0,0.55,118.8,0.41
João Félix\Joao-Felix,FWMF,Atlético Madrid,es La Liga,20,17.5,1.94,108.3,2.17
Zinedine Ferhat\Zinedine-Ferhat,FWMF,Nîmes,fr Ligue 1,27,32.9,1.95,98.4,2.10
Bruno Fernandes\Bruno-Fernandes,MF,Manchester Utd,eng Premier League,25,34.4,0.76,123.8,1.37
Edimilson Fernandes\Edimilson-Fernandes,MFDF,Mainz 05,de Bundesliga,24,9.3,0.43,60.1,0.65
Aitor Fernández\Aitor-Fernandez,GK,Levante,es La Liga,29,29.0,0.00,34.2,0.00
Álex Fernández\Alex-Fernandez,MF,Cádiz,es La Liga,27,21.6,0.60,77.0,0.83
Álvaro Fernández\Alvaro-Fernandez,GK,Huesca,es La Liga,22,22.0,0.00,41.4,0.00
Andrés Fernández\Andres-Fernandez,GK,Huesca,es La Liga,33,16.0,0.19,40.8,0.00
Augusto Fernández\Augusto-Fernandez,MF,Cádiz,es La Liga,34,4.1,0.00,45.6,0.49
Carlos Fernández\Carlos-Fernandez,FW,Sevilla,es La Liga,24,1.6,0.63,53.8,2.50
Carlos Fernández\Carlos-Fernandez,FWMF,Real Sociedad,es La Liga,24,4.3,0.70,47.2,3.02
Federico Fernández\Federico-Fernandez,DF,Newcastle Utd,eng Premier League,31,23.1,0.00,39.6,0.13
Joaquín Fernández\Joaquin-Fernandez,DF,Valladolid,es La Liga,24,23.0,0.09,45.1,0.13
Fernandinho\Fernandinho,MF,Manchester City,eng Premier League,35,13.2,0.76,184.6,0.30
Fernando\Fernando,MF,Sevilla,es La Liga,33,28.3,0.49,75.9,0.49
Alex Ferrari\Alex-Ferrari,DF,Sampdoria,it Serie A,26,9.8,0.10,80.8,0.71
David Ferreiro\David-Ferreiro,MFFW,Huesca,es La Liga,32,28.1,1.46,115.5,1.42
Salvador Ferrer\Salvador-Ferrer,DF,Spezia,it Serie A,22,13.2,,,
Facundo Ferreyra\Facundo-Ferreyra,FW,Celta Vigo,es La Liga,29,3.3,0.30,13.0,1.82
Jordan Ferri\Jordan-Ferri,MF,Montpellier,fr Ligue 1,28,28.6,0.56,119.9,0.80
Marco Festa\Marco-Festa,GK,Crotone,it Serie A,28,1.0,0.00,64.0,0.00
Fidel\Fidel,MFDF,Elche,es La Liga,30,26.6,1.80,126.6,1.62
Sam Field\Sam-Field,MF,West Brom,eng Premier League,22,0.7,1.43,27.1,0.00
Alfreð Finnbogason\Alfred-Finnbogason,FW,Augsburg,de Bundesliga,31,6.0,0.83,54.3,3.33
Roberto Firmino\Roberto-Firmino,FW,Liverpool,eng Premier League,28,31.5,1.59,89.4,1.87
Junior Firpo\Junior-Firpo,DF,Barcelona,es La Liga,23,3.2,0.94,155.6,1.25
John Fleck\John-Fleck,MF,Sheffield Utd,eng Premier League,28,28.6,1.26,93.7,0.73
Mark Flekken\Mark-Flekken,GK,Freiburg,de Bundesliga,27,3.0,0.00,50.3,0.00
Florian Flick\Florian-Flick,MF,Schalke 04,de Bundesliga,20,4.0,0.00,39.0,0.25
Alexis Flips\Alexis-Flips,MF,Reims,fr Ligue 1,20,0.5,0.00,66.0,4.00
Alessandro Florenzi\Alessandro-Florenzi,DF,Paris S-G,fr Ligue 1,29,17.1,0.35,105.3,0.58
Kingsley Fobi\Kingsley-Fobi,DF,Granada,es La Liga,21,0.5,0.00,52.0,0.00
Phil Foden\Phil-Foden,FWMF,Manchester City,eng Premier League,20,18.0,2.39,124.3,2.17
Mamadou Fofana\Mamadou-Fofana,MFDF,Metz,fr Ligue 1,22,11.9,0.25,67.1,0.17
Seko Fofana\Seko-Fofana,MF,Lens,fr Ligue 1,25,25.7,1.56,147.9,1.83
Wesley Fofana\Wesley-Fofana,DF,Leicester City,eng Premier League,19,25.1,0.52,207.5,0.68
Wesley Fofana\Wesley-Fofana,DF,Saint-Étienne,fr Ligue 1,19,3.5,0.57,134.6,0.29
Youssouf Fofana\Youssouf-Fofana,MF,Monaco,fr Ligue 1,21,31.9,1.10,115.8,0.72
Thomas Foket\Thomas-Foket,DF,Reims,fr Ligue 1,25,36.9,0.57,128.8,0.62
Ramón Folch\Ramon-Folch,MF,Elche,es La Liga,30,0.0,0,0,0
Lamine Fomba\Lamine-Fomba,MF,Nîmes,fr Ligue 1,22,24.2,0.83,60.2,0.95
Thomas Fontaine\Thomas-Fontaine,DF,Lorient,fr Ligue 1,29,3.6,0.00,42.2,0.00
José Fontán\Jose-Fontan,DF,Celta Vigo,es La Liga,20,7.2,0.56,140.6,0.14
José Fonte\Jose-Fonte,DF,Lille,fr Ligue 1,36,35.4,0.25,140.9,0.23
Fernando Forestieri\Fernando-Forestieri,FWMF,Udinese,it Serie A,30,6.1,1.97,63.6,2.30
Pablo Fornals\Pablo-Fornals,FWMF,West Ham,eng Premier League,24,28.6,0.73,91.7,1.01
Emil Forsberg\Emil-Forsberg,FWMF,RB Leipzig,de Bundesliga,28,17.1,1.58,56.7,1.99
Fraser Forster\Fraser-Forster,GK,Southampton,eng Premier League,32,8.0,0.00,40.6,0.00
Philipp Förster\Philipp-Forster,FWMF,Stuttgart,de Bundesliga,25,16.8,0.89,172.4,2.50
Steven Fortes\Steven-Fortes,DF,Lens,fr Ligue 1,28,15.9,0.25,181.9,0.13
Yassin Fortune\Yassin-Fortune,FW,Angers,fr Ligue 1,21,0.2,0.00,25.0,5.00
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,Manchester Utd,eng Premier League,22,0.9,0.00,174.4,1.11
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,Leverkusen,de Bundesliga,22,4.5,0.89,90.7,0.44
Daam Foulon\Daam-Foulon,DF,Benevento,it Serie A,21,11.3,0.44,88.4,0.88
Dimitri Foulquier\Dimitri-Foulquier,DF,Granada,es La Liga,27,29.6,0.88,77.3,0.64
Juan Foyth\Juan-Foyth,DFMF,Villarreal,es La Liga,22,13.0,2.00,129.7,0.31
Gianluca Frabotta\Gianluca-Frabotta,DF,Juventus,it Serie A,21,7.7,0.65,104.0,0.78
Raphael Framberger\Raphael-Framberger,DF,Augsburg,de Bundesliga,24,17.1,0.76,107.9,1.11
