,,,,,,Drib,Carr,Carr
Player,Pos,Squad,Comp,Age,90s,Succ,PrgDist,Mis
,,,,,,,,
Raúl Albiol\Raul-Albiol,DF,Villarreal,es La Liga,34,34.6,0.14,202.6,0.17
Marc Albrighton\Marc-Albrighton,DFFW,Leicester City,eng Premier League,30,19.4,1.55,95.2,1.13
Paco Alcácer\Paco-Alcacer,FW,Villarreal,es La Liga,26,17.2,0.41,20.6,1.51
Pedro Alcalá\Pedro-Alcala,DF,Cádiz,es La Liga,31,10.1,0.00,55.0,0.00
Thiago Alcántara\Thiago-Alcantara,MF,Liverpool,eng Premier League,29,20.6,1.36,156.4,0.73
Rubén Alcaraz\Ruben-Alcaraz,MF,Valladolid,es La Liga,29,24.1,0.54,88.8,0.41
Omar Alderete\Omar-Alderete,DF,Hertha BSC,de Bundesliga,23,14.4,1.18,159.9,0.28
Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,eng Premier League,31,24.9,0.12,99.3,0.08
Iván Alejo\Ivan-Alejo,MFFW,Cádiz,es La Liga,25,9.2,1.63,146.0,2.28
Carles Aleñá\Carles-Alena,MF,Barcelona,es La Liga,22,0.5,0.00,160.0,0.00
Carles Aleñá\Carles-Alena,MFFW,Getafe,es La Liga,22,15.2,1.18,85.3,1.12
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,Arsenal,eng Premier League,25,0.2,0.00,150.0,0.00
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,eng Premier League,21,33.7,1.13,156.1,0.50
Alfon\Alfon,MF,Celta Vigo,es La Liga,21,0.4,2.50,102.5,2.50
Mohamed Ali Cho\Mohamed-Ali-Cho,FWMF,Angers,fr Ligue 1,16,3.9,1.28,119.0,4.87
Ezgjan Alioski\Ezgjan-Alioski,DF,Leeds United,eng Premier League,28,27.3,0.55,138.8,0.88
Rachid Alioui\Rachid-Alioui,FW,Angers,fr Ligue 1,28,0.2,5.00,10.0,15.0
Alisson\Alisson,GK,Liverpool,eng Premier League,27,33.0,0.09,38.6,0.00
Saturnin Allagbé\Saturnin-Allagbe,GK,Dijon,fr Ligue 1,26,12.0,0.17,31.9,0.00
Allan\Allan,MF,Everton,eng Premier League,29,22.8,1.23,128.7,0.61
Dele Alli\Dele-Alli,MF,Tottenham,eng Premier League,24,6.9,1.45,106.1,1.30
Miguel Almirón\Miguel-Almiron,MFFW,Newcastle Utd,eng Premier League,26,27.0,1.33,121.2,1.52
Marcos Alonso\Marcos-Alonso,DF,Chelsea,eng Premier League,29,10.7,0.65,119.2,0.37
Sergio Álvarez\Sergio-Alvarez,MFDF,Eibar,es La Liga,28,17.4,0.34,45.8,0.63
Yeray Álvarez\Yeray-Alvarez,DF,Athletic Club,es La Liga,25,21.6,0.37,129.0,0.09
Bruno Alves\Bruno-Alves,DF,Parma,it Serie A,38,18.1,0.11,102.3,0.11
Steven Alzate\Steven-Alzate,MFDF,Brighton,eng Premier League,21,10.0,0.80,103.0,1.10
Ibrahim Amadou\Ibrahim-Amadou,MF,Angers,fr Ligue 1,27,16.7,0.42,70.1,0.42
Romain Amalfitano\Romain-Amalfitano,FWDF,Dijon,fr Ligue 1,30,1.3,0.77,144.6,0.00
Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,DF,Getafe,es La Liga,18,0.5,0.00,82.0,2.00
Daniel Amartey\Daniel-Amartey,DF,Leicester City,eng Premier League,25,8.0,0.13,91.5,0.50
Jordan Amavi\Jordan-Amavi,DF,Marseille,fr Ligue 1,26,9.0,1.44,81.9,0.78
Thierry Ambrose\Thierry-Ambrose,FW,Metz,fr Ligue 1,23,8.4,2.14,86.3,2.50
Wisdom Amey\Wisdom-Amey,DF,Bologna,it Serie A,14,0.0,0,21,0
Nadiem Amiri\Nadiem-Amiri,MF,Leverkusen,de Bundesliga,23,21.0,0.86,125.5,2.24
