,,,,,,Stan,Expe,Expe
Player,Pos,Squad,Comp,Age,90s,SoT%,npxG/Sh,G-xG
,,,,,,,,
Marc Albrighton\Marc-Albrighton,DFFW,Leicester City,eng Premier League,30,19.4,42.9,0.06,-0.02
Paco Alcácer\Paco-Alcacer,FW,Villarreal,es La Liga,26,17.2,50.0,0.20,-0.13
Pedro Alcalá\Pedro-Alcala,DF,Cádiz,es La Liga,31,10.1,0.0,0.05,-0.01
Thiago Alcántara\Thiago-Alcantara,MF,Liverpool,eng Premier League,29,20.6,22.7,0.06,-0.02
Rubén Alcaraz\Ruben-Alcaraz,MF,Valladolid,es La Liga,29,24.1,11.1,0.06,-0.03
Omar Alderete\Omar-Alderete,DF,Hertha BSC,de Bundesliga,23,14.4,28.6,0.07,-0.03
Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,eng Premier League,31,24.9,27.3,0.08,0.01
Iván Alejo\Ivan-Alejo,MFFW,Cádiz,es La Liga,25,9.2,23.1,0.07,0.00
Carles Aleñá\Carles-Alena,MF,Barcelona,es La Liga,22,0.5,0.0,0.02,0.00
Carles Aleñá\Carles-Alena,MFFW,Getafe,es La Liga,22,15.2,26.7,0.06,0.01
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,Arsenal,eng Premier League,25,0.2,,,0.00
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,eng Premier League,21,33.7,19.6,0.05,-0.02
Alfon\Alfon,MF,Celta Vigo,es La Liga,21,0.4,100.0,0.05,0.00
Mohamed Ali Cho\Mohamed-Ali-Cho,FWMF,Angers,fr Ligue 1,16,3.9,0.0,0.14,-0.36
Ezgjan Alioski\Ezgjan-Alioski,DF,Leeds United,eng Premier League,28,27.3,32.0,0.06,0.02
Rachid Alioui\Rachid-Alioui,FW,Angers,fr Ligue 1,28,0.2,,,0.00
Alisson\Alisson,GK,Liverpool,eng Premier League,27,33.0,100.0,0.10,0.03
Saturnin Allagbé\Saturnin-Allagbe,GK,Dijon,fr Ligue 1,26,12.0,,,0.00
Allan\Allan,MF,Everton,eng Premier League,29,22.8,28.6,0.03,-0.01
Dele Alli\Dele-Alli,MF,Tottenham,eng Premier League,24,6.9,33.3,0.11,-0.19
Miguel Almirón\Miguel-Almiron,MFFW,Newcastle Utd,eng Premier League,26,27.0,39.4,0.10,0.03
Marcos Alonso\Marcos-Alonso,DF,Chelsea,eng Premier League,29,10.7,40.9,0.08,0.03
Sergio Álvarez\Sergio-Alvarez,MFDF,Eibar,es La Liga,28,17.4,33.3,0.05,-0.02
Yeray Álvarez\Yeray-Alvarez,DF,Athletic Club,es La Liga,25,21.6,9.1,0.05,0.02
Bruno Alves\Bruno-Alves,DF,Parma,it Serie A,38,18.1,30.0,0.03,0.04
Steven Alzate\Steven-Alzate,MFDF,Brighton,eng Premier League,21,10.0,28.6,0.10,0.03
Ibrahim Amadou\Ibrahim-Amadou,MF,Angers,fr Ligue 1,27,16.7,33.3,0.14,-0.13
Romain Amalfitano\Romain-Amalfitano,FWDF,Dijon,fr Ligue 1,30,1.3,0.0,0.02,0.00
Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,DF,Getafe,es La Liga,18,0.5,,,0.00
Daniel Amartey\Daniel-Amartey,DF,Leicester City,eng Premier League,25,8.0,33.3,0.13,0.07
Jordan Amavi\Jordan-Amavi,DF,Marseille,fr Ligue 1,26,9.0,25.0,0.05,0.09
Thierry Ambrose\Thierry-Ambrose,FW,Metz,fr Ligue 1,23,8.4,36.8,0.07,-0.17
Wisdom Amey\Wisdom-Amey,DF,Bologna,it Serie A,14,0.0,,,0.0
Nadiem Amiri\Nadiem-Amiri,MF,Leverkusen,de Bundesliga,23,21.0,32.6,0.05,-0.00
Ethan Ampadu\Ethan-Ampadu,DFMF,Sheffield Utd,eng Premier League,19,23.2,28.6,0.05,-0.01
Sofyan Amrabat\Sofyan-Amrabat,MF,Fiorentina,it Serie A,23,27.1,33.3,0.05,-0.01
Jon Ander Garrido\Jon-Ander-Garrido,MF,Cádiz,es La Liga,30,8.9,20.0,0.07,-0.04
Joachim Andersen\Joachim-Andersen,DF,Fulham,eng Premier League,24,30.3,23.1,0.08,-0.00
Joachim Andersen\Joachim-Andersen,DF,Lyon,fr Ligue 1,24,2.1,0.0,0.06,-0.14
Djavan Anderson\Djavan-Anderson,DF,Lazio,it Serie A,25,0.8,,,0.00
Elliot Anderson\Elliot-Anderson,MF,Newcastle Utd,eng Premier League,17,0.0,,,0.0
Felipe Anderson\Felipe-Anderson,FWMF,West Ham,eng Premier League,27,0.0,,,0.0
Sebastian Andersson\Sebastian-Andersson,FW,Köln,de Bundesliga,29,12.5,35.9,0.12,-0.20
Nícolas Andrade\Nicolas-Andrade,GK,Udinese,it Serie A,32,2.0,,,0.00
Benjamin André\Benjamin-Andre,MF,Lille,fr Ligue 1,29,32.1,35.0,0.06,-0.03
Robert Andrich\Robert-Andrich,MF,Union Berlin,de Bundesliga,25,28.1,22.5,0.06,0.09
Victorien Angban\Victorien-Angban,MF,Metz,fr Ligue 1,23,18.6,16.7,0.05,-0.02
Ángel\Angel,GK,Granada,es La Liga,18,1.0,,,0.00
Miguel Ángel Rubio\Miguel-Angel-Rubio,DF,Valladolid,es La Liga,22,1.5,0.0,0.03,0.00
José Ángel\Jose-Angel,DF,Eibar,es La Liga,30,10.0,0.0,0.01,0.00
Angeliño\Angelino,DFFW,RB Leipzig,de Bundesliga,23,24.0,37.1,0.11,0.01
Davide Angelo Ghislandi\Davide-Angelo-Ghislandi,DF,Atalanta,it Serie A,19,0.1,,,0.00
Philip Ankhrah\Philip-Ankhrah,MF,Hellas Verona,it Serie A,17,0.1,,,0.00
Cristian Ansaldi\Cristian-Ansaldi,DF,Torino,it Serie A,33,21.6,37.5,0.06,-0.03
Waldemar Anton\Waldemar-Anton,DF,Stuttgart,de Bundesliga,24,30.1,33.3,0.10,-0.04
José Antonio Miranda\Jose-Antonio-Miranda,MFDF,Getafe,es La Liga,22,0.3,0.0,0.10,-0.67
Michail Antonio\Michail-Antonio,FW,West Ham,eng Premier League,30,21.9,35.9,0.18,-0.06
Valentin Antov\Valentin-Antov,DF,Bologna,it Serie A,19,2.6,0.0,0.02,0.00
Houssem Aouar\Houssem-Aouar,MFFW,Lyon,fr Ligue 1,22,19.8,35.2,0.12,-0.17
Adil Aouchiche\Adil-Aouchiche,MFFW,Saint-Étienne,fr Ligue 1,18,19.2,44.4,0.12,-0.07
Dennis Appiah\Dennis-Appiah,DF,Nantes,fr Ligue 1,28,17.3,0.0,0.03,-0.01
Aritz Arambarri\Aritz-Arambarri,DF,Real Sociedad,es La Liga,22,0.3,0.0,0.14,-0.33
Mauro Arambarri\Mauro-Arambarri,MF,Getafe,es La Liga,24,33.1,19.1,0.05,0.02
Charles Aránguiz\Charles-Aranguiz,MF,Leverkusen,de Bundesliga,31,18.5,50.0,0.17,-0.04
Luiz Araújo\Luiz-Araujo,MF,Lille,fr Ligue 1,24,16.6,20.0,0.07,0.02
Néstor Araujo\Nestor-Araujo,DF,Celta Vigo,es La Liga,28,27.0,0.0,0.06,-0.01
Ronald Araújo\Ronald-Araujo,DF,Barcelona,es La Liga,21,16.8,33.3,0.13,0.02
Anaitz Arbilla\Anaitz-Arbilla,DF,Eibar,es La Liga,33,31.2,7.4,0.05,-0.04
Alphonse Areola\Alphonse-Areola,GK,Fulham,eng Premier League,27,36.0,,,0.00
Santiago Arias\Santiago-Arias,DF,Leverkusen,de Bundesliga,28,1.0,,,0.00
Karim Aribi\Karim-Aribi,FW,Nîmes,fr Ligue 1,26,3.3,22.2,0.11,-0.30
Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,FWMF,Eibar,es La Liga,21,0.5,0.0,0.02,0.00
Nicolò Armini\Nicolo-Armini,DF,Lazio,it Serie A,19,0.1,,,0.00
Stuart Armstrong\Stuart-Armstrong,MF,Southampton,eng Premier League,28,30.7,22.2,0.05,0.03
Maximilian Arnold\Maximilian-Arnold,MF,Wolfsburg,de Bundesliga,26,28.7,29.6,0.04,0.03
Toluwalas Arokodare\Toluwalas-Arokodare,FW,Köln,de Bundesliga,19,1.2,25.0,0.11,-0.33
Sergio Arribas\Sergio-Arribas,FWDF,Real Madrid,es La Liga,18,1.5,100.0,0.04,0.00
Kepa Arrizabalaga\Kepa-Arrizabalaga,GK,Chelsea,eng Premier League,25,6.5,,,0.00
Tolgay Arslan\Tolgay-Arslan,MF,Udinese,it Serie A,29,20.2,27.3,0.05,0.10
Kwadwo Asamoah\Kwadwo-Asamoah,DFMF,Cagliari,it Serie A,31,2.5,50.0,0.03,-0.04
Santiago Ascacíbar\Santiago-Ascacibar,MF,Hertha BSC,de Bundesliga,23,8.5,42.9,0.08,0.05
Sergio Asenjo\Sergio-Asenjo,GK,Villarreal,es La Liga,31,36.0,,,0.00
Marco Asensio\Marco-Asensio,FWMF,Real Madrid,es La Liga,24,20.8,26.2,0.12,0.00
Kristoffer Askildsen\Kristoffer-Askildsen,MF,Sampdoria,it Serie A,19,1.1,0.0,0.01,0.00
Iago Aspas\Iago-Aspas,FW,Celta Vigo,es La Liga,32,31.8,51.2,0.20,0.05
Roger Assalé\Roger-Assale,FWMF,Dijon,fr Ligue 1,26,9.2,45.5,0.07,0.02
Miguel Atienza\Miguel-Atienza,MF,Eibar,es La Liga,21,9.3,0.0,0.04,-0.02
Youcef Attal\Youcef-Attal,DFMF,Nice,fr Ligue 1,24,10.6,62.5,0.07,0.04
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,eng Premier League,31,25.9,33.9,0.16,-0.02
Emil Audero\Emil-Audero,GK,Sampdoria,it Serie A,23,37.0,,,0.00
Tommaso Augello\Tommaso-Augello,DF,Sampdoria,it Serie A,25,35.7,25.0,0.04,0.02
Jean-Kévin Augustin\Jean-Kevin-Augustin,FW,Nantes,fr Ligue 1,23,0.4,,,0.00
Ludwig Augustinsson\Ludwig-Augustinsson,DF,Werder Bremen,de Bundesliga,26,21.7,35.3,0.05,-0.04
Serge Aurier\Serge-Aurier,DF,Tottenham,eng Premier League,27,17.8,42.9,0.10,0.03
Charlie Austin\Charlie-Austin,FW,West Brom,eng Premier League,31,1.5,0.0,0.07,-0.13
Ezequiel Ávila\Ezequiel-Avila,MFFW,Osasuna,es La Liga,26,2.2,25.0,0.09,-0.32
Taiwo Awoniyi\Taiwo-Awoniyi,FW,Union Berlin,de Bundesliga,22,15.1,44.8,0.24,-0.13
Mehmet-Can Aydin\Mehmet-Can-Aydin,DF,Schalke 04,de Bundesliga,18,5.6,0.0,0.01,0.00
Jordan Ayew\Jordan-Ayew,FWMF,Crystal Palace,eng Premier League,28,23.3,44.0,0.09,-0.06
