,,,,,,Stan,Expe,Expe
Player,Pos,Squad,Comp,Age,90s,SoT%,npxG/Sh,G-xG
,,,,,,,,
Brahim Díaz\Brahim-Diaz,MFFW,Milan,it Serie A,20,13.6,34.6,0.13,0.05
Víctor Díaz\Victor-Diaz,DF,Granada,es La Liga,32,9.2,20.0,0.05,-0.03
Daniel Didavi\Daniel-Didavi,FWMF,Stuttgart,de Bundesliga,30,10.8,29.2,0.13,0.07
Eric Dier\Eric-Dier,DF,Tottenham,eng Premier League,26,28.0,14.3,0.06,-0.03
Daan Dierckx\Daan-Dierckx,DF,Parma,it Serie A,17,5.2,,,0.00
Lucas Digne\Lucas-Digne,DF,Everton,eng Premier League,27,29.8,0.0,0.04,-0.02
Virgil van Dijk\Virgil-van-Dijk,DF,Liverpool,eng Premier League,29,4.1,50.0,0.08,0.17
Mitchell Dijks\Mitchell-Dijks,DF,Bologna,it Serie A,27,16.5,0.0,0.02,0.00
Javairô Dilrosun\Javairo-Dilrosun,FWMF,Hertha BSC,de Bundesliga,22,5.9,12.5,0.10,-0.14
Federico Dimarco\Federico-Dimarco,DF,Hellas Verona,it Serie A,22,29.0,36.8,0.06,0.09
Junior Dina Ebimbe\Junior-Dina-Ebimbe,FWMF,Dijon,fr Ligue 1,19,23.8,28.3,0.08,-0.12
Tristan Dingomé\Tristan-Dingome,MF,Reims,fr Ligue 1,29,0.2,,,0.00
Eren Dinkçi\Eren-Dinkci,FWMF,Werder Bremen,de Bundesliga,18,1.2,66.7,0.15,0.50
Sinaly Diomande\Sinaly-Diomande,DF,Lyon,fr Ligue 1,19,12.6,18.8,0.06,-0.08
Lois Diony\Lois-Diony,FW,Angers,fr Ligue 1,27,19.4,50.0,0.13,0.04
Issa Diop\Issa-Diop,DF,West Ham,eng Premier League,23,15.3,66.7,0.11,0.11
Papakouli Diop\Papakouli-Diop,MF,Eibar,es La Liga,34,25.8,32.1,0.07,-0.03
Sofiane Diop\Sofiane-Diop,MFFW,Monaco,fr Ligue 1,20,22.5,39.5,0.10,0.12
Andy Diouf\Andy-Diouf,FW,Rennes,fr Ligue 1,18,0.1,,,0.00
Yehvann Diouf\Yehvann-Diouf,GK,Reims,fr Ligue 1,20,1.5,,,0.00
Assane Dioussé\Assane-Diousse,DF,Saint-Étienne,fr Ligue 1,22,0.0,,,0.0
Axel Disasi\Axel-Disasi,DF,Monaco,fr Ligue 1,22,22.3,31.6,0.12,0.03
Tiago Djaló\Tiago-Djalo,DF,Lille,fr Ligue 1,20,9.7,0.0,0.01,0.00
Djené\Djene,DF,Getafe,es La Liga,28,32.7,0.0,0.09,-0.01
Moussa Djenepo\Moussa-Djenepo,MF,Southampton,eng Premier League,22,13.8,14.3,0.06,0.01
Koffi Djidji\Koffi-Djidji,DF,Crotone,it Serie A,27,16.9,50.0,0.11,0.04
Alexander Djiku\Alexander-Djiku,DFMF,Strasbourg,fr Ligue 1,25,28.4,13.3,0.13,-0.06
Berat Djimsiti\Berat-Djimsiti,DF,Atalanta,it Serie A,27,29.2,4.8,0.10,-0.07
Marko Dmitrović\Marko-Dmitrovic,GK,Eibar,es La Liga,28,34.7,0.0,0.07,-0.02
Ritsu Doan\Ritsu-Doan,MFFW,Arminia,de Bundesliga,22,30.8,28.6,0.07,-0.01
Mihai Dobre\Mihai-Dobre,FWMF,Dijon,fr Ligue 1,21,5.9,11.1,0.06,-0.08
Matt Doherty\Matt-Doherty,DF,Tottenham,eng Premier League,28,13.8,33.3,0.14,-0.03
Jeremy Doku\Jeremy-Doku,MFFW,Rennes,fr Ligue 1,18,25.7,19.4,0.10,-0.07
Kasper Dolberg\Kasper-Dolberg,FW,Nice,fr Ligue 1,22,21.4,47.2,0.16,-0.07
Keagan Dolly\Keagan-Dolly,MF,Montpellier,fr Ligue 1,27,5.0,0.0,0.02,-0.02
Jaume Doménech\Jaume-Domenech,GK,Valencia,es La Liga,29,28.0,,,0.00
Carlos Dominguez\Carlos-Dominguez,DF,Celta Vigo,es La Liga,19,4.0,100.0,0.11,-0.03
Nicolás Domínguez\Nicolas-Dominguez,MF,Bologna,it Serie A,22,13.9,27.8,0.08,-0.04
John Donald\John-Donald,DFFW,Elche,es La Liga,19,0.6,,,0.00
Ji Dong-won\Ji-Dong-won,FWDF,Mainz 05,de Bundesliga,29,0.7,,,0.00
Anastasios Donis\Anastasios-Donis,MF,Reims,fr Ligue 1,23,1.1,0.0,0.03,0.00
Gianluigi Donnarumma\Gianluigi-Donnarumma,GK,Milan,it Serie A,21,37.0,,,0.00
Gabriel Dos Santos\Gabriel-Dos-Santos,DF,Arsenal,eng Premier League,22,22.2,25.0,0.06,0.05
Bas Dost\Bas-Dost,FW,Eint Frankfurt,de Bundesliga,31,9.1,50.0,0.25,-0.03
Lucas Douath\Lucas-Douath,MF,Saint-Étienne,fr Ligue 1,16,14.7,20.0,0.09,-0.03
Abdoulaye Doucouré\Abdoulaye-Doucoure,MF,Everton,eng Premier League,27,27.1,27.8,0.12,-0.00
Cheick Doucouré\Cheick-Doucoure,MF,Lens,fr Ligue 1,20,29.2,14.3,0.03,0.03
Fodé Doucouré\Fode-Doucoure,DF,Reims,fr Ligue 1,19,3.7,66.7,0.06,-0.05
Mahamadou Doucouré\Mahamadou-Doucoure,FW,Nîmes,fr Ligue 1,20,0.5,,,0.00
Cheick Doukouré\Cheick-Doukoure,MF,Levante,es La Liga,27,1.1,,,0.00
Idrissa Doumbia\Idrissa-Doumbia,MF,Huesca,es La Liga,22,8.7,0.0,0.10,-0.05
Moussa Doumbia\Moussa-Doumbia,MFFW,Reims,fr Ligue 1,25,10.0,17.6,0.04,-0.06
Souleyman Doumbia\Souleyman-Doumbia,DF,Angers,fr Ligue 1,23,24.7,28.6,0.07,-0.02
Aleksandar Dragović\Aleksandar-Dragovic,DF,Leverkusen,de Bundesliga,29,12.6,66.7,0.10,0.06
Bartłomiej Drągowski\Bartlomiej-Dragowski,GK,Fiorentina,it Serie A,22,35.0,,,0.00
Denis Drăguș\Denis-Dragus,FWMF,Crotone,it Serie A,21,2.0,0.0,0.02,-0.05
Radu Drăgușin\Radu-Dragusin,DF,Juventus,it Serie A,18,0.0,,,0.0
Mouhamadou Drammeh\Mouhamadou-Drammeh,MF,Reims,fr Ligue 1,21,1.9,0.0,0.02,0.00
Julian Draxler\Julian-Draxler,MFFW,Paris S-G,fr Ligue 1,26,11.8,41.7,0.18,0.15
Dominick Drexler\Dominick-Drexler,MFFW,Köln,de Bundesliga,30,13.7,16.7,0.23,-0.06
Matthieu Dreyer\Matthieu-Dreyer,GK,Lorient,fr Ligue 1,31,15.0,,,0.00
Domingos Duarte\Domingos-Duarte,DF,Granada,es La Liga,25,26.3,28.6,0.19,-0.01
Léo Duarte\Leo-Duarte,DF,Milan,it Serie A,24,0.2,,,0.00
Óscar Duarte\Oscar-Duarte,DF,Levante,es La Liga,31,22.9,50.0,0.19,-0.00
Rubén Duarte\Ruben-Duarte,DF,Alavés,es La Liga,24,28.3,8.3,0.11,-0.01
Leo Dubois\Leo-Dubois,DF,Lyon,fr Ligue 1,25,32.3,15.0,0.05,0.03
Martin Dúbravka\Martin-Dubravka,GK,Newcastle Utd,eng Premier League,31,13.0,,,0.00
Ondrej Duda\Ondrej-Duda,FWMF,Köln,de Bundesliga,25,28.2,27.7,0.06,0.04
Unai Dufur\Unai-Dufur,DF,Eibar,es La Liga,21,0.7,,,0.00
Haris Duljević\Haris-Duljevic,MFFW,Nîmes,fr Ligue 1,26,8.6,35.7,0.08,-0.13
Paul Dummett\Paul-Dummett,DF,Newcastle Utd,eng Premier League,28,13.9,33.3,0.10,0.05
Alfred Duncan\Alfred-Duncan,MF,Fiorentina,it Serie A,27,1.8,0.0,0.02,0.00
Alfred Duncan\Alfred-Duncan,MF,Cagliari,it Serie A,27,11.9,0.0,0.03,-0.02
Lewis Dunk\Lewis-Dunk,DF,Brighton,eng Premier League,28,32.6,43.3,0.08,0.08
Jimmy Dunne\Jimmy-Dunne,DF,Burnley,eng Premier League,22,3.0,14.3,0.06,0.20
Erik Durm\Erik-Durm,DF,Eint Frankfurt,de Bundesliga,28,16.4,30.0,0.08,-0.04
Hugo Duro\Hugo-Duro,FW,Real Madrid,es La Liga,20,0.6,0.0,0.14,-0.17
Jean-Kevin Duverne\Jean-Kevin-Duverne,DF,Brest,fr Ligue 1,23,22.5,11.1,0.07,0.01
Paulo Dybala\Paulo-Dybala,FW,Juventus,it Serie A,26,12.6,28.8,0.09,-0.05
Edin Džeko\Edin-Dzeko,FW,Roma,it Serie A,34,20.3,34.3,0.17,-0.30
Steeve-Mike Ebongue\Steeve-Mike-Ebongue,MF,Genoa,it Serie A,19,0.6,,,0.00
Enzo Ebosse\Enzo-Ebosse,DF,Angers,fr Ligue 1,21,2.9,,,0.00
Bruno Ecuele Manga\Bruno-Ecuele-Manga,DF,Dijon,fr Ligue 1,32,38.0,23.3,0.05,0.01
Simone Edera\Simone-Edera,DFMF,Torino,it Serie A,23,0.6,33.3,0.06,-0.33
Ederson\Ederson,GK,Manchester City,eng Premier League,26,36.0,,,0.00
Kyle Edwards\Kyle-Edwards,MFFW,West Brom,eng Premier League,22,1.3,50.0,0.07,-0.08
John Egan\John-Egan,DF,Sheffield Utd,eng Premier League,27,29.2,21.4,0.05,-0.02
Johannes Eggestein\Johannes-Eggestein,FWMF,Werder Bremen,de Bundesliga,22,0.4,,,0.00
Maximilian Eggestein\Maximilian-Eggestein,MF,Werder Bremen,de Bundesliga,23,32.7,22.7,0.05,0.03
Lilian Egloff\Lilian-Egloff,MF,Stuttgart,de Bundesliga,17,0.2,,,0.00
Kingsley Ehizibue\Kingsley-Ehizibue,DF,Köln,de Bundesliga,25,12.6,11.1,0.05,-0.04
Albin Ekdal\Albin-Ekdal,MF,Sampdoria,it Serie A,31,25.5,23.1,0.06,0.05
Hugo Ekitike\Hugo-Ekitike,MFFW,Reims,fr Ligue 1,18,1.0,33.3,0.06,-0.20
Anthony Elanga\Anthony-Elanga,FW,Manchester Utd,eng Premier League,18,1.7,33.3,0.09,0.41
Niclas Eliasson\Niclas-Eliasson,MFFW,Nîmes,fr Ligue 1,24,20.0,40.0,0.16,0.00
Elif Elmas\Elif-Elmas,MFFW,Napoli,it Serie A,20,8.2,46.2,0.14,0.02
Ahmed Elmohamady\Ahmed-Elmohamady,DF,Aston Villa,eng Premier League,32,9.3,11.1,0.05,-0.05
Mohamed Elneny\Mohamed-Elneny,MF,Arsenal,eng Premier League,28,17.2,22.2,0.06,0.03
Aritz Elustondo\Aritz-Elustondo,DF,Real Sociedad,es La Liga,26,20.9,20.0,0.06,0.03
Nico Elvedi\Nico-Elvedi,DF,M'Gladbach,de Bundesliga,23,28.2,50.0,0.16,0.04
Rodrigo Ely\Rodrigo-Ely,DF,Alavés,es La Liga,26,5.2,66.7,0.07,0.15
Sepe Elye Wahi\Sepe-Elye-Wahi,FW,Montpellier,fr Ligue 1,17,6.2,58.3,0.17,0.16
Breel Embolo\Breel-Embolo,FWMF,M'Gladbach,de Bundesliga,23,16.0,46.3,0.18,-0.13
Emerson\Emerson,DF,Betis,es La Liga,21,33.2,18.2,0.11,-0.01
Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,MF,Atalanta,it Serie A,18,0.0,,,0.0
Renaud Emond\Renaud-Emond,FWMF,Nantes,fr Ligue 1,28,3.9,71.4,0.19,0.18
Alan Empereur\Alan-Empereur,DF,Hellas Verona,it Serie A,26,2.4,0.0,0.06,-0.04
Youssef En-Nesyri\Youssef-En-Nesyri,FW,Sevilla,es La Liga,23,25.7,35.1,0.19,0.12
Keita Endo\Keita-Endo,MFFW,Union Berlin,de Bundesliga,22,5.1,44.4,0.13,-0.04
Wataru Endo\Wataru-Endo,MF,Stuttgart,de Bundesliga,27,32.8,51.9,0.08,0.02
Sergi Enrich\Sergi-Enrich,FW,Eibar,es La Liga,30,15.6,28.6,0.12,-0.18
Christian Eriksen\Christian-Eriksen,MF,Inter,it Serie A,28,15.4,36.7,0.06,0.08
Martin Erlic\Martin-Erlic,DF,Spezia,it Serie A,22,20.0,33.3,0.14,0.08
Patrick Erras\Patrick-Erras,MFFW,Werder Bremen,de Bundesliga,25,0.3,,,0.00
Gonzalo Escalante\Gonzalo-Escalante,MF,Lazio,it Serie A,27,8.1,42.9,0.09,-0.07
Aarón Escandell\Aaron-Escandell,GK,Granada,es La Liga,24,5.0,,,0.00
Dani Escriche\Dani-Escriche,FWMF,Huesca,es La Liga,22,9.5,10.0,0.14,-0.04
Sergio Escudero\Sergio-Escudero,DF,Sevilla,es La Liga,30,6.3,16.7,0.03,0.13
Alfonso Espino\Alfonso-Espino,DF,Cádiz,es La Liga,28,28.9,44.4,0.03,-0.01
Vicente Esquerdo\Vicente-Esquerdo,MF,Valencia,es La Liga,21,2.6,0.0,0.02,0.00
Nahuel Estévez\Nahuel-Estevez,MF,Spezia,it Serie A,24,19.6,33.3,0.07,-0.09
Pervis Estupiñán\Pervis-Estupinan,DF,Villarreal,es La Liga,22,13.0,45.5,0.05,-0.04
Yoann Etienne\Yoann-Etienne,DF,Lorient,fr Ligue 1,23,1.0,,,0.00
Xabier Etxeita\Xabier-Etxeita,DF,Getafe,es La Liga,32,9.8,0.0,0.13,-0.05
Jonny Evans\Jonny-Evans,DF,Leicester City,eng Premier League,32,27.5,37.5,0.21,0.01
Edu Expósito\Edu-Exposito,MF,Eibar,es La Liga,23,27.3,22.0,0.04,-0.12
Valentin Eysseric\Valentin-Eysseric,MFFW,Fiorentina,it Serie A,28,8.1,38.5,0.17,-0.02
Eberechi Eze\Eberechi-Eze,MF,Crystal Palace,eng Premier League,22,28.4,35.1,0.06,0.06
Jokin Ezkieta\Jokin-Ezkieta,GK,Athletic Club,es La Liga,23,1.0,,,0.00
Łukasz Fabiański\Lukasz-Fabianski,GK,West Ham,eng Premier League,35,35.0,,,0.00
Fabinho\Fabinho,DFMF,Liverpool,eng Premier League,26,28.5,10.0,0.04,-0.01
Fábio\Fabio,DF,Nantes,fr Ligue 1,30,16.7,14.3,0.04,-0.02
Cesc Fàbregas\Cesc-Fabregas,MF,Monaco,fr Ligue 1,33,9.7,25.0,0.19,-0.11
Bandiougou Fadiga\Bandiougou-Fadiga,FWMF,Paris S-G,fr Ligue 1,19,0.7,100.0,0.05,-0.14
Bandiougou Fadiga\Bandiougou-Fadiga,MF,Brest,fr Ligue 1,19,0.5,,,0.00
Wout Faes\Wout-Faes,DF,Reims,fr Ligue 1,22,32.2,12.5,0.09,0.01
Nicolò Fagioli\Nicolo-Fagioli,MF,Juventus,it Serie A,19,0.2,,,0.00
Ralf Fährmann\Ralf-Fahrmann,GK,Schalke 04,de Bundesliga,31,20.8,0.0,0.06,-0.00
Romain Faivre\Romain-Faivre,MFFW,Brest,fr Ligue 1,22,32.1,36.1,0.10,-0.03
Fali\Fali,DFMF,Cádiz,es La Liga,26,29.3,18.2,0.07,-0.02
Iago Falque\Iago-Falque,MFFW,Benevento,it Serie A,30,4.0,9.1,0.03,0.17
Andri Fannar Baldursson\Andri-Fannar-Baldursson,MF,Bologna,it Serie A,18,2.4,0.0,0.11,-0.08
Paolo Faragò\Paolo-Farago,DFMF,Cagliari,it Serie A,27,4.1,0.0,0.04,-0.02
Paolo Faragò\Paolo-Farago,DF,Bologna,it Serie A,27,0.3,0.0,0.07,-0.33
Davide Faraoni\Davide-Faraoni,DF,Hellas Verona,it Serie A,28,32.1,25.0,0.11,-0.00
Mohamed Fares\Mohamed-Fares,DF,Lazio,it Serie A,24,12.7,28.6,0.05,-0.07
Diego Farias\Diego-Farias,FW,Spezia,it Serie A,30,16.8,31.3,0.11,0.04
Wuilker Faríñez\Wuilker-Farinez,GK,Lens,fr Ligue 1,22,1.2,,,0.00
Noah Fatar\Noah-Fatar,FWMF,Angers,fr Ligue 1,18,0.2,,,0.00
Ansu Fati\Ansu-Fati,FW,Barcelona,es La Liga,17,4.8,50.0,0.13,0.46
Julien Faussurier\Julien-Faussurier,DF,Brest,fr Ligue 1,33,10.6,42.9,0.07,-0.05
Andrea Favilli\Andrea-Favilli,FW,Hellas Verona,it Serie A,23,3.8,33.3,0.15,0.05
Federico Fazio\Federico-Fazio,DF,Roma,it Serie A,33,4.5,66.7,0.05,0.18
Nabil Fekir\Nabil-Fekir,MFFW,Betis,es La Liga,27,29.1,27.4,0.06,-0.09
Felipe\Felipe,DF,Atlético Madrid,es La Liga,31,22.9,18.2,0.08,-0.04
Luiz Felipe\Luiz-Felipe,DF,Lazio,it Serie A,23,10.1,0.0,0.08,-0.02
Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,DF,Augsburg,de Bundesliga,22,29.0,23.1,0.09,-0.01
João Félix\Joao-Felix,FWMF,Atlético Madrid,es La Liga,20,17.5,38.9,0.10,0.11
Zinedine Ferhat\Zinedine-Ferhat,FWMF,Nîmes,fr Ligue 1,27,32.9,36.1,0.07,0.02
Bruno Fernandes\Bruno-Fernandes,MF,Manchester Utd,eng Premier League,25,34.4,36.4,0.07,0.08
Edimilson Fernandes\Edimilson-Fernandes,MFDF,Mainz 05,de Bundesliga,24,9.3,30.8,0.05,-0.08
Aitor Fernández\Aitor-Fernandez,GK,Levante,es La Liga,29,29.0,,,0.00
Álex Fernández\Alex-Fernandez,MF,Cádiz,es La Liga,27,21.6,25.0,0.21,0.04
Álvaro Fernández\Alvaro-Fernandez,GK,Huesca,es La Liga,22,22.0,0.0,0.05,0.00
Andrés Fernández\Andres-Fernandez,GK,Huesca,es La Liga,33,16.0,,,0.00
Augusto Fernández\Augusto-Fernandez,MF,Cádiz,es La Liga,34,4.1,,,0.00
Carlos Fernández\Carlos-Fernandez,FW,Sevilla,es La Liga,24,1.6,50.0,0.07,-0.06
Carlos Fernández\Carlos-Fernandez,FWMF,Real Sociedad,es La Liga,24,4.3,57.1,0.16,-0.02
Federico Fernández\Federico-Fernandez,DF,Newcastle Utd,eng Premier League,31,23.1,60.0,0.07,-0.01
Joaquín Fernández\Joaquin-Fernandez,DF,Valladolid,es La Liga,24,23.0,40.0,0.13,-0.01
Fernandinho\Fernandinho,MF,Manchester City,eng Premier League,35,13.2,20.0,0.06,-0.06
Fernando\Fernando,MF,Sevilla,es La Liga,33,28.3,80.0,0.13,0.08
Alex Ferrari\Alex-Ferrari,DF,Sampdoria,it Serie A,26,9.8,,,0.00
David Ferreiro\David-Ferreiro,MFFW,Huesca,es La Liga,32,28.1,46.4,0.07,0.00
Salvador Ferrer\Salvador-Ferrer,DF,Spezia,it Serie A,22,13.2,33.3,,
Facundo Ferreyra\Facundo-Ferreyra,FW,Celta Vigo,es La Liga,29,3.3,28.6,0.21,-0.12
Jordan Ferri\Jordan-Ferri,MF,Montpellier,fr Ligue 1,28,28.6,50.0,0.05,-0.01
Marco Festa\Marco-Festa,GK,Crotone,it Serie A,28,1.0,,,0.00
Fidel\Fidel,MFDF,Elche,es La Liga,30,26.6,43.8,0.12,0.07
Sam Field\Sam-Field,MF,West Brom,eng Premier League,22,0.7,,,0.00
Alfreð Finnbogason\Alfred-Finnbogason,FW,Augsburg,de Bundesliga,31,6.0,54.5,0.15,-0.52
Roberto Firmino\Roberto-Firmino,FW,Liverpool,eng Premier League,28,31.5,38.6,0.16,-0.11
Junior Firpo\Junior-Firpo,DF,Barcelona,es La Liga,23,3.2,100.0,0.83,0.06
John Fleck\John-Fleck,MF,Sheffield Utd,eng Premier League,28,28.6,29.4,0.05,-0.03
Mark Flekken\Mark-Flekken,GK,Freiburg,de Bundesliga,27,3.0,,,0.00
Florian Flick\Florian-Flick,MF,Schalke 04,de Bundesliga,20,4.0,100.0,0.48,0.13
Alexis Flips\Alexis-Flips,MF,Reims,fr Ligue 1,20,0.5,50.0,0.03,1.80
Alessandro Florenzi\Alessandro-Florenzi,DF,Paris S-G,fr Ligue 1,29,17.1,38.1,0.10,-0.01
Kingsley Fobi\Kingsley-Fobi,DF,Granada,es La Liga,21,0.5,,,0.00
Phil Foden\Phil-Foden,FWMF,Manchester City,eng Premier League,20,18.0,44.4,0.12,0.19
Mamadou Fofana\Mamadou-Fofana,MFDF,Metz,fr Ligue 1,22,11.9,0.0,0.11,-0.03
Seko Fofana\Seko-Fofana,MF,Lens,fr Ligue 1,25,25.7,30.0,0.08,-0.05
Wesley Fofana\Wesley-Fofana,DF,Leicester City,eng Premier League,19,25.1,18.2,0.09,-0.04
Wesley Fofana\Wesley-Fofana,DF,Saint-Étienne,fr Ligue 1,19,3.5,0.0,0.10,-0.06
Youssouf Fofana\Youssouf-Fofana,MF,Monaco,fr Ligue 1,21,31.9,13.2,0.05,-0.07
Thomas Foket\Thomas-Foket,DF,Reims,fr Ligue 1,25,36.9,42.9,0.03,-0.01
Ramón Folch\Ramon-Folch,MF,Elche,es La Liga,30,0.0,,,0.0
Lamine Fomba\Lamine-Fomba,MF,Nîmes,fr Ligue 1,22,24.2,29.2,0.09,-0.05
Thomas Fontaine\Thomas-Fontaine,DF,Lorient,fr Ligue 1,29,3.6,50.0,0.07,-0.03
José Fontán\Jose-Fontan,DF,Celta Vigo,es La Liga,20,7.2,60.0,0.11,-0.08
José Fonte\Jose-Fonte,DF,Lille,fr Ligue 1,36,35.4,34.6,0.05,0.05
Fernando Forestieri\Fernando-Forestieri,FWMF,Udinese,it Serie A,30,6.1,27.3,0.11,-0.03
Pablo Fornals\Pablo-Fornals,FWMF,West Ham,eng Premier League,24,28.6,30.0,0.13,-0.05
Emil Forsberg\Emil-Forsberg,FWMF,RB Leipzig,de Bundesliga,28,17.1,43.8,0.11,0.07
Fraser Forster\Fraser-Forster,GK,Southampton,eng Premier League,32,8.0,,,0.00
Philipp Förster\Philipp-Forster,FWMF,Stuttgart,de Bundesliga,25,16.8,55.0,0.16,-0.07
Steven Fortes\Steven-Fortes,DF,Lens,fr Ligue 1,28,15.9,20.0,0.05,-0.01
Yassin Fortune\Yassin-Fortune,FW,Angers,fr Ligue 1,21,0.2,,,0.00
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,Manchester Utd,eng Premier League,22,0.9,0.0,0.03,0.00
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,Leverkusen,de Bundesliga,22,4.5,33.3,0.07,-0.04
Daam Foulon\Daam-Foulon,DF,Benevento,it Serie A,21,11.3,0.0,0.02,0.00
Dimitri Foulquier\Dimitri-Foulquier,DF,Granada,es La Liga,27,29.6,57.1,0.04,-0.01
Juan Foyth\Juan-Foyth,DFMF,Villarreal,es La Liga,22,13.0,0.0,0.10,-0.01
Gianluca Frabotta\Gianluca-Frabotta,DF,Juventus,it Serie A,21,7.7,50.0,0.05,-0.03
Raphael Framberger\Raphael-Framberger,DF,Augsburg,de Bundesliga,24,17.1,100.0,0.02,0.00
Tyrese Francois\Tyrese-Francois,DF,Fulham,eng Premier League,20,0.2,,,0.00
Ryan Fraser\Ryan-Fraser,FWMF,Newcastle Utd,eng Premier League,26,10.3,46.2,0.07,-0.09
Fred\Fred,MF,Manchester Utd,eng Premier League,27,26.6,28.0,0.08,-0.03
Ryan Fredericks\Ryan-Fredericks,DFFW,West Ham,eng Premier League,27,6.3,66.7,0.10,0.11
Remo Freuler\Remo-Freuler,MF,Atalanta,it Serie A,28,30.1,28.6,0.10,-0.01
Marco Friedl\Marco-Friedl,DF,Werder Bremen,de Bundesliga,22,30.9,12.5,0.08,-0.02
Marvin Friedrich\Marvin-Friedrich,DF,Union Berlin,de Bundesliga,24,34.0,25.0,0.06,0.11
Jeremie Frimpong\Jeremie-Frimpong,DFFW,Leverkusen,de Bundesliga,19,4.8,0.0,0.04,-0.02
Jorge de Frutos\Jorge-de-Frutos,MFFW,Levante,es La Liga,23,24.3,37.0,0.12,0.03
Christian Fuchs\Christian-Fuchs,DF,Leicester City,eng Premier League,34,7.8,0.0,0.02,-0.01
Angelo Fulgini\Angelo-Fulgini,MF,Angers,fr Ligue 1,23,30.3,42.6,0.08,0.05
Niclas Füllkrug\Niclas-Fullkrug,FWMF,Werder Bremen,de Bundesliga,27,9.7,45.5,0.14,0.00
Ramiro Funes Mori\Ramiro-Funes-Mori,DF,Villarreal,es La Liga,29,8.1,25.0,0.31,-0.15
Darnell Furlong\Darnell-Furlong,DF,West Brom,eng Premier League,24,32.6,19.2,0.08,-0.03
Daniel Fuzato\Daniel-Fuzato,GK,Roma,it Serie A,23,5.0,,,0.00
Baptiste Gabard\Baptiste-Gabard,MF,Saint-Étienne,fr Ligue 1,20,1.5,,,0.00
Matteo Gabbia\Matteo-Gabbia,DF,Milan,it Serie A,20,6.2,0.0,0.12,-0.10
Manolo Gabbiadini\Manolo-Gabbiadini,FW,Sampdoria,it Serie A,28,9.7,46.4,0.10,-0.06
Mijat Gaćinović\Mijat-Gacinovic,DFMF,Hoffenheim,de Bundesliga,25,9.1,15.4,0.14,-0.20
Roberto Gagliardini\Roberto-Gagliardini,MF,Inter,it Serie A,26,13.7,29.4,0.07,0.13
Riccardo Gagliolo\Riccardo-Gagliolo,DF,Parma,it Serie A,30,21.7,15.0,0.12,-0.02
Adolfo Gaich\Adolfo-Gaich,FW,Benevento,it Serie A,21,8.5,30.4,0.11,-0.06
Andrey Galabinov\Andrey-Galabinov,FW,Spezia,it Serie A,31,4.8,42.9,0.20,0.19
Javi Galán\Javi-Galan,DF,Huesca,es La Liga,25,34.1,14.3,0.03,0.02
Conor Gallagher\Conor-Gallagher,MF,West Brom,eng Premier League,20,28.1,24.1,0.06,0.01
Enric Gallego\Enric-Gallego,FW,Osasuna,es La Liga,33,9.0,28.6,0.10,-0.17
Kévin Gameiro\Kevin-Gameiro,FW,Valencia,es La Liga,33,12.0,46.7,0.23,0.05
Idrissa Gana Gueye\Idrissa-Gana-Gueye,MF,Paris S-G,fr Ligue 1,30,17.6,36.8,0.04,0.07
Ignatius Ganago\Ignatius-Ganago,FW,Lens,fr Ligue 1,21,14.5,45.0,0.18,0.00
Aleix García\Aleix-Garcia,MF,Eibar,es La Liga,23,4.9,40.0,0.07,-0.08
Borja García\Borja-Garcia,MFFW,Huesca,es La Liga,29,12.4,14.3,0.09,-0.02
Dani García\Dani-Garcia,MF,Athletic Club,es La Liga,30,21.3,14.3,0.06,-0.02
David García\David-Garcia,DF,Osasuna,es La Liga,26,35.0,7.1,0.11,-0.01
Eric García\Eric-Garcia,DF,Manchester City,eng Premier League,19,4.3,0.0,0.06,-0.02
Manu García\Manu-Garcia,MF,Alavés,es La Liga,34,12.5,18.2,0.07,-0.06
Raúl García\Raul-Garcia,FWMF,Athletic Club,es La Liga,34,19.4,27.3,0.09,-0.07
Raúl García\Raul-Garcia,DFMF,Valladolid,es La Liga,31,5.6,100.0,0.04,0.16
Rubén García\Ruben-Garcia,MFFW,Osasuna,es La Liga,27,30.2,23.3,0.09,-0.01
Sergi García\Sergi-Garcia,MF,Alavés,es La Liga,21,0.2,,,0.00
Unai García\Unai-Garcia,DF,Osasuna,es La Liga,28,13.8,0.0,0.12,-0.04
Mario Gaspar\Mario-Gaspar,DF,Villarreal,es La Liga,29,20.6,26.7,0.05,-0.04
Manuel Gasparini\Manuel-Gasparini,GK,Udinese,it Serie A,18,0.0,,,0.0
Dwight Gayle\Dwight-Gayle,FWMF,Newcastle Utd,eng Premier League,29,5.7,37.5,0.13,-0.18
Paulo Gazzaniga\Paulo-Gazzaniga,GK,Elche,es La Liga,28,8.0,,,0.00
Jean-Philippe Gbamin\Jean-Philippe-Gbamin,MF,Everton,eng Premier League,24,0.1,,,0.00
Yann Gboho\Yann-Gboho,MFFW,Rennes,fr Ligue 1,19,3.4,33.3,0.10,-0.26
David de Gea\David-de-Gea,GK,Manchester Utd,eng Premier League,29,25.5,,,0.00
Christian Gebauer\Christian-Gebauer,MFFW,Arminia,de Bundesliga,26,7.6,40.0,0.20,-0.13
