,Player,Position,Team,Comp,Age,MP,Min,Goals,Ast,G+A,xG,xA,SoT%,npxG/Sh,G-xG,Pass Cmp%,Prog Passes,Through Balls,Passes Under Pressure,Switch Passes,Crosses,Shot Creating Actions,Dribbles to Shot,Def Action to Shot,Tackles,Press,Shots Blocked,Interceptions,Clearances,Errors,Dribbles Successful,Dribble Distance,Mistakes,Ball Recoveries,Air Duels Won%,Values
1159,Renan Lodi,DF,atletico madrid,es La Liga,22,23,1129,0.08,0.16,0.24,0.06,0.09,33.3,0.06,0.02,78.0,3.04,0.0,6.88,1.68,3.92,2.24,0.16,0.08,2.56,15.2,0.0,1.84,2.0,0.0,1.92,128.2,1.76,8.4,45.5,27500000.0
1160,Rhian Brewster,FW,sheffield utd,eng Premier League,20,27,1128,0.0,0.0,0.0,0.14,0.14,28.0,0.07,-0.14,69.3,1.12,0.24,4.48,0.48,1.04,1.76,0.0,0.0,1.12,19.0,0.24,0.48,0.24,0.0,0.72,31.2,1.76,4.88,21.1,13200000.0
1161,Shinji Okazaki,FWMF,huesca,es La Liga,34,25,1128,0.08,0.08,0.16,0.16,0.02,21.1,0.1,-0.08,76.3,0.72,0.0,4.4,0.08,0.24,1.2,0.16,0.0,0.56,16.6,0.16,0.32,0.4,0.0,0.4,18.2,2.08,2.32,33.8,1100000.0
1162,Kelyan Guessoum,DF,nimes,fr Ligue 1,21,15,1128,0.0,0.0,0.0,0.02,0.0,40.0,0.04,-0.02,90.5,1.12,0.08,1.44,1.6,0.08,0.24,0.0,0.0,1.36,7.04,0.56,1.76,5.76,0.0,0.08,130.9,0.0,6.24,56.5,550000.0
1163,Karlan Grant,FWMF,west brom,eng Premier League,22,21,1127,0.08,0.0,0.08,0.17,0.0,56.3,0.13,-0.09,73.2,0.72,0.08,4.0,0.16,0.72,0.88,0.08,0.0,0.48,13.4,0.0,0.88,1.04,0.0,0.96,35.7,2.48,4.24,17.1,8800000.0
1164,Sebastian Andersson,FW,koln,de Bundesliga,29,16,1126,0.24,0.0,0.24,0.44,0.02,35.9,0.12,-0.2,71.1,0.72,0.0,7.44,0.08,0.32,0.96,0.0,0.08,0.4,13.2,0.16,0.24,0.72,0.0,0.32,19.4,4.16,4.08,53.7,4950000.0
1165,Manu Garcia,MF,alaves,es La Liga,34,25,1124,0.0,0.0,0.0,0.06,0.02,18.2,0.07,-0.06,71.5,2.0,0.0,7.2,0.8,0.56,0.88,0.0,0.08,2.08,20.0,0.24,1.04,2.4,0.0,0.16,37.4,0.64,8.24,56.4,880000.0
1166,Mario Pasalic,MFFW,atalanta,it Serie A,25,25,1122,0.48,0.16,0.64,0.36,0.22,63.2,0.24,0.12,85.9,4.96,0.24,6.8,1.84,0.64,3.92,0.32,0.16,2.16,21.3,0.16,0.72,0.8,0.0,1.2,131.0,1.52,8.08,48.7,25300000.0
1167,Yoshinori Muto,FWMF,eibar,es La Liga,28,26,1122,0.08,0.08,0.16,0.16,0.09,28.6,0.1,-0.08,67.6,1.12,0.08,5.04,0.08,0.56,2.24,0.24,0.24,1.04,14.8,0.0,0.4,0.08,0.0,1.36,43.4,2.24,5.76,41.2,2750000.0
1168,Nemanja Radoja,MF,levante,es La Liga,27,21,1121,0.0,0.16,0.16,0.02,0.02,0.0,0.04,-0.02,88.3,4.16,0.0,9.2,1.52,0.24,0.64,0.0,0.0,1.44,13.0,0.32,1.04,1.84,0.08,0.48,105.6,0.48,10.4,64.1,2750000.0
