,Player,Position,Team,Comp,Age,MP,Min,Goals,Ast,G+A,xG,xA,SoT%,npxG/Sh,G-xG,Pass Cmp%,Prog Passes,Through Balls,Passes Under Pressure,Switch Passes,Crosses,Shot Creating Actions,Dribbles to Shot,Def Action to Shot,Tackles,Press,Shots Blocked,Interceptions,Clearances,Errors,Dribbles Successful,Dribble Distance,Mistakes,Ball Recoveries,Air Duels Won%,Values
0,Bruno Ecuele Manga,DF,dijon,fr Ligue 1,32,38,3420,0.05,0.0,0.05,0.04,0.0,23.3,0.05,0.01,86.3,1.74,0.0,4.58,1.39,0.03,0.18,0.03,0.0,1.63,5.92,1.0,2.16,5.5,0.05,0.26,89.5,0.16,9.16,69.7,1320000.0
1,Pierre Hojbjerg,MF,tottenham,eng Premier League,24,38,3420,0.05,0.11,0.16,0.03,0.05,50.0,0.08,0.02,88.9,5.08,0.08,6.42,1.79,0.29,1.37,0.03,0.08,3.13,21.2,0.26,1.29,2.16,0.0,0.66,114.1,0.74,11.3,56.5,38500000.0
2,James Ward-Prowse,MF,southampton,eng Premier League,25,38,3420,0.21,0.18,0.39,0.14,0.11,46.2,0.06,0.07,80.8,4.08,0.11,8.18,2.89,1.37,2.21,0.0,0.0,2.21,16.6,0.13,1.16,2.0,0.0,0.39,91.4,0.42,12.7,43.4,33000000.0
3,Dylan Bronn,DF,metz,fr Ligue 1,25,38,3412,0.05,0.0,0.05,0.06,0.01,23.1,0.05,-0.0,84.4,2.3,0.05,4.51,1.48,0.13,0.63,0.03,0.03,1.98,10.9,0.42,1.0,4.3,0.08,0.42,117.3,0.13,8.42,57.1,6600000.0
4,Ashley Westwood,MF,burnley,eng Premier League,30,38,3410,0.08,0.08,0.16,0.03,0.13,31.6,0.06,0.05,73.7,5.33,0.05,7.26,2.9,1.87,2.22,0.03,0.05,0.66,13.0,0.26,1.27,1.29,0.0,0.32,64.6,0.5,11.1,31.1,5500000.0
5,Stuart Dallas,DFMF,leeds united,eng Premier League,29,38,3409,0.21,0.05,0.26,0.12,0.06,37.5,0.1,0.09,82.0,4.8,0.05,7.92,1.45,1.48,1.95,0.11,0.05,2.08,15.5,0.08,1.56,1.45,0.03,0.58,130.3,0.98,9.68,52.6,4400000.0
6,Matt Targett,DF,aston villa,eng Premier League,24,38,3404,0.0,0.05,0.05,0.01,0.08,33.3,0.04,-0.01,77.0,5.87,0.0,7.72,1.35,2.59,2.12,0.0,0.03,2.57,11.2,0.48,1.24,3.33,0.03,0.42,63.4,0.42,9.39,60.9,18700000.0
7,Luke Ayling,DF,leeds united,eng Premier League,28,38,3399,0.0,0.0,0.0,0.04,0.07,24.0,0.06,-0.04,79.3,5.37,0.11,6.46,2.38,1.85,1.3,0.08,0.03,3.02,14.1,0.9,1.53,2.94,0.05,1.01,218.1,0.93,10.7,51.8,5500000.0
8,Andrew Robertson,DF,liverpool,eng Premier League,26,38,3383,0.03,0.19,0.21,0.04,0.18,26.3,0.07,-0.01,79.9,7.05,0.08,6.2,3.06,3.91,2.82,0.11,0.05,1.41,9.39,0.27,0.9,2.42,0.03,0.77,167.3,1.04,10.1,59.1,71500000.0
9,Youri Tielemans,MF,leicester city,eng Premier League,23,38,3357,0.16,0.11,0.27,0.12,0.09,38.3,0.06,0.04,78.6,5.52,0.19,8.66,2.49,1.21,2.92,0.05,0.11,2.06,13.5,0.29,0.97,0.78,0.0,1.07,115.3,0.78,11.0,51.4,60500000.0
10,John McGinn,MF,aston villa,eng Premier League,25,37,3330,0.08,0.14,0.22,0.06,0.08,23.9,0.05,0.02,77.3,4.84,0.22,6.81,2.32,0.81,2.7,0.08,0.05,2.0,17.5,0.14,1.22,0.81,0.05,1.51,78.5,1.0,8.22,35.1,33000000.0
11,Ollie Watkins,FW,aston villa,eng Premier League,24,37,3328,0.38,0.14,0.51,0.43,0.11,45.9,0.15,-0.05,72.8,1.22,0.0,8.54,0.3,0.97,2.65,0.11,0.11,0.95,16.9,0.08,0.32,0.68,0.0,1.3,59.2,3.0,3.27,43.8,35200000.0
12,Thomas Foket,DF,reims,fr Ligue 1,25,37,3324,0.0,0.08,0.08,0.01,0.05,42.9,0.03,-0.01,79.7,2.9,0.0,5.61,1.22,1.38,1.22,0.0,0.03,2.25,11.9,0.16,1.54,2.55,0.03,0.57,128.8,0.62,7.07,40.3,6600000.0
13,Conor Coady,DF,wolves,eng Premier League,27,37,3303,0.03,0.0,0.03,0.04,0.0,25.0,0.16,-0.01,88.1,1.61,0.05,3.68,2.32,0.03,0.25,0.0,0.03,0.84,5.53,1.06,0.68,4.44,0.03,0.19,71.9,0.05,7.36,58.0,27500000.0
14,Daniel Congre,DF,montpellier,fr Ligue 1,35,38,3292,0.05,0.0,0.05,0.04,0.0,23.1,0.1,0.02,87.4,2.24,0.03,3.44,0.96,0.08,0.41,0.0,0.0,1.58,8.99,0.96,1.23,5.16,0.08,0.11,88.6,0.14,8.22,59.7,550000.0
15,Mahdi Camara,MFDF,saint-etienne,fr Ligue 1,22,37,3290,0.08,0.05,0.14,0.1,0.04,45.5,0.16,-0.01,86.3,2.84,0.0,6.72,1.17,0.77,1.67,0.11,0.08,2.98,18.9,0.36,1.56,1.97,0.03,0.9,109.5,0.71,8.69,60.8,5500000.0
16,Gaetan Laborde,FWMF,montpellier,fr Ligue 1,26,38,3256,0.44,0.22,0.66,0.32,0.14,41.6,0.12,0.12,66.8,2.04,0.08,7.4,0.44,1.49,2.15,0.19,0.06,1.46,14.3,0.08,0.44,0.77,0.0,0.94,78.3,2.76,5.91,51.2,16500000.0
17,Joao Pedro,FWMF,cagliari,it Serie A,28,37,3253,0.44,0.08,0.53,0.36,0.15,40.3,0.13,0.08,72.8,2.19,0.14,6.95,0.83,0.94,2.38,0.08,0.06,0.5,12.4,0.3,0.28,0.78,0.0,0.94,53.7,1.99,4.79,42.1,19800000.0
18,Roberto Soriano,MF,bologna,it Serie A,29,37,3250,0.25,0.17,0.42,0.17,0.18,31.1,0.1,0.08,81.2,4.76,0.3,6.29,0.64,0.78,2.83,0.08,0.11,1.3,16.8,0.19,0.75,1.3,0.0,1.14,114.6,1.05,5.9,36.8,11000000.0
19,James Tarkowski,DF,burnley,eng Premier League,27,36,3240,0.03,0.0,0.03,0.07,0.02,27.3,0.12,-0.04,72.0,2.11,0.06,5.36,1.61,0.14,0.69,0.0,0.03,2.06,7.0,1.28,1.58,6.56,0.03,0.31,50.1,0.33,9.94,74.8,27500000.0
20,Giovanni Di Lorenzo,DF,napoli,it Serie A,26,36,3240,0.08,0.17,0.25,0.11,0.13,38.7,0.12,-0.02,87.2,7.17,0.0,6.92,1.22,1.61,2.86,0.19,0.06,2.36,12.1,0.36,1.11,1.78,0.0,0.78,163.6,0.69,6.0,56.4,26400000.0
21,Franck Kessie,MF,milan,it Serie A,23,37,3226,0.36,0.11,0.47,0.38,0.08,22.2,0.1,-0.02,88.9,3.44,0.17,7.54,1.82,0.45,2.12,0.06,0.11,2.01,14.9,0.5,1.2,1.65,0.0,1.34,121.3,1.28,9.83,51.5,60500000.0
22,Fabien Centonze,DF,metz,fr Ligue 1,24,36,3221,0.03,0.0,0.03,0.03,0.04,28.0,0.05,-0.01,78.1,3.16,0.0,5.73,0.75,2.63,1.37,0.08,0.11,3.02,13.5,0.42,1.84,4.86,0.03,1.98,159.4,1.09,8.97,63.7,8800000.0
23,Tommaso Augello,DF,sampdoria,it Serie A,25,37,3216,0.03,0.08,0.11,0.01,0.09,25.0,0.04,0.02,76.6,4.62,0.0,5.69,0.78,3.31,1.37,0.06,0.0,1.4,9.58,0.06,1.09,2.49,0.03,0.81,132.8,0.92,8.8,56.5,4400000.0
24,Junior Messias,MFFW,crotone,it Serie A,29,36,3215,0.25,0.11,0.36,0.21,0.08,32.7,0.08,0.04,73.7,3.0,0.03,6.69,1.15,1.68,3.05,0.56,0.14,1.76,16.9,0.31,1.06,1.15,0.0,2.61,173.7,2.69,6.64,31.4,3850000.0
25,Kamil Glik,DF,benevento,it Serie A,32,36,3206,0.06,0.03,0.08,0.09,0.03,37.9,0.11,-0.04,89.7,1.18,0.0,3.03,1.43,0.03,0.37,0.03,0.0,1.63,8.57,1.04,1.1,6.18,0.03,0.11,59.3,0.17,6.97,65.0,2200000.0
26,Rodrigo De Paul,MF,udinese,it Serie A,26,36,3201,0.25,0.25,0.51,0.19,0.28,23.8,0.06,0.07,73.2,7.42,0.25,8.76,3.65,3.2,4.61,0.37,0.06,1.24,13.7,0.06,0.53,0.62,0.03,3.15,222.2,1.91,7.5,31.6,41800000.0
27,Ezri Konsa,DF,aston villa,eng Premier League,22,36,3196,0.06,0.0,0.06,0.06,0.01,31.8,0.1,-0.0,86.5,1.01,0.03,3.97,0.87,0.06,0.14,0.0,0.0,0.96,6.34,1.27,0.76,5.44,0.0,0.17,38.9,0.14,8.14,59.2,27500000.0
28,Tyrone Mings,DF,aston villa,eng Premier League,27,36,3194,0.06,0.06,0.11,0.05,0.02,36.8,0.1,0.0,79.6,3.04,0.0,5.3,1.55,0.06,0.39,0.03,0.0,0.93,7.1,1.32,1.07,6.48,0.14,0.23,95.7,0.25,10.4,75.7,33000000.0
29,Jose Fonte,DF,lille,fr Ligue 1,36,36,3185,0.08,0.0,0.08,0.03,0.01,34.6,0.05,0.05,90.6,3.59,0.0,4.66,2.4,0.31,0.73,0.0,0.0,1.38,5.48,0.88,0.96,5.06,0.03,0.25,140.9,0.23,10.1,73.6,1650000.0
30,Aaron Cresswell,DF,west ham,eng Premier League,30,36,3170,0.0,0.23,0.23,0.03,0.17,21.1,0.05,-0.03,74.8,3.41,0.06,4.49,2.39,2.59,2.73,0.03,0.0,0.88,6.53,0.4,1.02,2.78,0.0,0.17,74.3,0.2,8.72,55.9,5500000.0
31,Frenkie de Jong,MFDF,barcelona,es La Liga,23,37,3154,0.09,0.11,0.2,0.16,0.16,35.3,0.36,-0.07,91.8,5.31,0.23,10.5,1.09,0.57,2.46,0.06,0.0,1.17,10.3,0.09,1.06,0.89,0.03,1.37,232.1,0.6,8.57,62.5,99000000.0
32,Nayef Aguerd,DF,rennes,fr Ligue 1,24,35,3147,0.09,0.03,0.11,0.08,0.03,20.7,0.1,0.0,91.4,3.89,0.03,4.8,2.03,0.03,0.4,0.0,0.0,1.57,7.71,0.69,1.11,5.17,0.03,0.23,154.0,0.11,9.46,69.2,8800000.0
33,Romain Perraud,DF,brest,fr Ligue 1,22,36,3140,0.09,0.2,0.29,0.06,0.09,25.6,0.05,0.03,79.6,4.04,0.03,5.99,1.32,3.15,2.18,0.11,0.0,2.12,13.5,0.2,0.97,2.55,0.03,0.92,150.6,0.77,8.34,34.3,8800000.0
34,Cheikhou Kouyate,DF,crystal palace,eng Premier League,30,36,3121,0.03,0.0,0.03,0.02,0.01,28.6,0.11,0.01,78.8,0.95,0.0,4.41,0.37,0.12,0.46,0.0,0.0,2.02,10.1,0.81,1.1,4.67,0.06,0.17,45.9,0.12,8.93,64.8,6600000.0
35,Raul Albiol,DF,villarreal,es La Liga,34,35,3115,0.0,0.0,0.0,0.02,0.03,12.5,0.08,-0.02,89.4,3.21,0.0,5.35,1.94,0.09,0.4,0.0,0.0,0.84,5.78,0.69,0.66,4.91,0.03,0.14,202.6,0.17,8.84,58.0,2750000.0
36,Son Heung-min,FW,tottenham,eng Premier League,28,37,3114,0.49,0.29,0.78,0.3,0.26,51.5,0.14,0.19,76.7,1.85,0.09,5.92,1.45,1.56,3.38,0.23,0.0,0.84,17.8,0.09,0.66,0.12,0.0,1.1,85.0,1.45,4.65,26.4,93500000.0
37,Daniel Parejo,MF,villarreal,es La Liga,31,36,3112,0.09,0.14,0.23,0.04,0.16,34.6,0.05,0.05,88.4,7.46,0.17,10.1,3.55,1.24,2.95,0.03,0.06,2.11,19.5,0.23,0.98,0.84,0.0,0.92,117.0,0.58,9.34,51.0,11000000.0
38,Yves Bissouma,MF,brighton,eng Premier League,23,36,3111,0.03,0.0,0.03,0.03,0.03,7.1,0.03,-0.01,87.2,3.29,0.14,7.66,1.27,0.23,1.5,0.03,0.12,3.29,15.6,0.23,1.73,1.94,0.0,1.45,118.3,0.9,10.5,63.3,27500000.0
39,Jan Bednarek,DF,southampton,eng Premier League,24,36,3100,0.03,0.03,0.06,0.03,0.01,50.0,0.1,0.0,84.6,2.33,0.03,7.27,0.87,0.0,0.41,0.0,0.0,1.4,8.26,0.81,2.27,6.28,0.03,0.06,104.5,0.15,11.9,68.3,27500000.0
40,Harry Kane,FW,tottenham,eng Premier League,27,35,3082,0.67,0.41,1.08,0.6,0.22,35.1,0.13,0.07,70.1,3.65,0.35,6.99,1.58,1.08,3.3,0.53,0.06,0.53,11.4,0.38,0.44,1.2,0.0,1.35,74.2,1.78,4.53,41.1,132000000.0
41,Mohamed Salah,FW,liverpool,eng Premier League,28,37,3078,0.64,0.15,0.79,0.61,0.18,38.3,0.14,0.03,83.2,4.01,0.23,6.43,0.44,1.37,3.42,0.18,0.12,0.76,16.2,0.03,0.26,0.32,0.03,1.46,101.2,3.36,5.58,28.8,110000000.0
42,Dimitris Siovas,DF,huesca,es La Liga,31,36,3071,0.06,0.0,0.06,0.06,0.01,27.6,0.07,0.0,82.8,2.23,0.0,6.69,1.09,0.35,0.5,0.0,0.0,1.38,7.74,0.59,1.2,5.43,0.03,0.32,127.2,0.44,10.1,68.8,2750000.0
43,Dwight McNeil,MF,burnley,eng Premier League,20,36,3069,0.06,0.15,0.21,0.03,0.19,34.6,0.04,0.03,68.9,2.26,0.15,7.3,3.2,3.34,2.35,0.06,0.06,1.26,17.2,0.18,1.11,0.79,0.03,1.94,101.9,1.23,7.98,42.3,24200000.0
44,Javi Galan,DF,huesca,es La Liga,25,37,3065,0.03,0.06,0.09,0.01,0.09,14.3,0.03,0.02,78.2,3.34,0.0,5.81,1.5,3.05,2.02,0.09,0.0,3.2,16.3,0.12,0.82,1.64,0.0,3.34,155.7,1.41,8.3,35.2,6600000.0
45,Aurelien Tchouameni,MF,monaco,fr Ligue 1,20,36,3063,0.06,0.12,0.18,0.12,0.06,19.2,0.08,-0.06,83.8,4.76,0.26,9.97,1.68,0.71,1.59,0.03,0.06,4.18,19.3,0.35,1.88,2.06,0.0,0.97,106.0,0.71,11.8,69.2,33000000.0
46,Aaron Wan-Bissaka,DF,manchester utd,eng Premier League,22,34,3060,0.06,0.12,0.18,0.03,0.07,50.0,0.11,0.03,86.0,3.68,0.0,6.5,0.32,1.68,1.68,0.06,0.09,2.85,12.8,0.5,1.94,3.18,0.0,1.18,133.6,0.5,7.85,56.8,44000000.0
47,Marvin Friedrich,DF,union berlin,de Bundesliga,24,34,3060,0.15,0.06,0.21,0.04,0.02,25.0,0.06,0.11,80.9,3.62,0.03,6.38,1.56,0.26,0.76,0.03,0.0,1.79,11.3,0.62,1.29,3.97,0.0,0.35,127.3,0.35,10.2,57.8,11000000.0
48,Matthias Ginter,DF,m'gladbach,de Bundesliga,26,34,3060,0.06,0.03,0.09,0.06,0.06,36.4,0.09,-0.0,85.8,5.38,0.09,5.18,1.32,0.47,0.88,0.03,0.0,0.88,5.24,0.94,1.15,5.38,0.0,0.29,173.0,0.12,9.94,61.8,33000000.0
49,Matthew Lowton,DF,burnley,eng Premier League,31,34,3060,0.03,0.03,0.06,0.02,0.07,19.0,0.03,0.01,68.8,3.85,0.06,4.56,1.56,1.68,1.44,0.03,0.06,1.97,8.53,0.41,1.62,3.41,0.06,0.71,80.6,0.56,9.26,61.3,2750000.0
50,Renaud Ripart,MFFW,nimes,fr Ligue 1,27,38,3054,0.32,0.0,0.32,0.27,0.04,30.0,0.07,0.05,68.6,2.68,0.06,7.2,0.94,1.3,1.42,0.24,0.03,1.45,21.6,0.35,1.12,1.65,0.0,1.18,68.4,1.89,7.79,48.1,5500000.0
51,Vladimir Coufal,DF,west ham,eng Premier League,27,34,3054,0.0,0.21,0.21,0.04,0.14,33.3,0.08,-0.04,70.9,3.51,0.0,5.49,0.86,3.01,2.09,0.03,0.03,2.27,13.5,0.15,1.15,3.6,0.03,0.53,71.3,0.59,9.5,54.3,13200000.0
52,Patrick Bamford,FW,leeds united,eng Premier League,26,38,3050,0.5,0.21,0.71,0.51,0.12,42.9,0.15,-0.01,76.3,0.91,0.12,2.98,0.0,0.15,1.77,0.15,0.06,0.77,17.8,0.27,0.38,1.03,0.0,0.5,26.6,2.42,2.74,40.0,24200000.0
53,Harry Maguire,DF,manchester utd,eng Premier League,27,34,3047,0.06,0.03,0.09,0.06,0.01,25.0,0.06,-0.0,89.0,3.07,0.03,6.7,2.15,0.12,0.91,0.03,0.06,0.88,5.63,0.71,1.8,5.19,0.03,0.18,191.7,0.18,11.6,77.5,49500000.0
54,Robin Knoche,DF,union berlin,de Bundesliga,28,34,3042,0.03,0.0,0.03,0.03,0.01,36.4,0.09,0.0,86.6,2.43,0.03,5.3,2.19,0.0,0.47,0.0,0.03,1.48,10.2,0.86,1.27,5.68,0.06,0.15,140.3,0.24,12.7,52.9,8250000.0
55,John Boye,DF,metz,fr Ligue 1,33,35,3041,0.03,0.06,0.09,0.06,0.01,15.4,0.14,-0.03,86.8,0.95,0.03,2.96,1.86,0.0,0.38,0.0,0.03,1.98,10.9,0.74,1.69,5.98,0.03,0.18,31.2,0.27,7.72,56.2,880000.0
56,Theodor Gebre Selassie,DF,werder bremen,de Bundesliga,33,34,3032,0.09,0.03,0.12,0.04,0.04,40.0,0.07,0.05,76.3,3.23,0.0,6.11,0.5,0.98,1.13,0.0,0.0,2.11,14.5,0.39,1.81,3.62,0.03,0.15,53.1,0.62,7.15,51.4,880000.0
57,Trent Alexander-Arnold,DF,liverpool,eng Premier League,21,36,3031,0.06,0.21,0.27,0.08,0.24,19.6,0.05,-0.02,75.3,8.25,0.27,7.36,4.36,5.4,3.65,0.21,0.0,1.72,9.73,0.12,1.45,2.11,0.06,1.13,156.1,0.5,9.97,22.2,82500000.0
58,Randal Kolo Muani,FW,nantes,fr Ligue 1,21,37,3029,0.27,0.12,0.39,0.31,0.18,41.0,0.17,-0.04,68.4,1.04,0.06,4.78,0.15,1.04,2.61,0.45,0.09,0.89,15.5,0.09,0.56,0.83,0.03,1.66,78.4,3.12,5.07,31.5,9900000.0
59,Joselu,FW,alaves,es La Liga,30,37,3026,0.33,0.09,0.42,0.41,0.09,33.7,0.12,-0.08,59.5,2.44,0.15,12.9,0.71,0.68,1.73,0.15,0.09,0.86,16.7,0.18,0.51,1.67,0.0,0.89,21.9,2.29,4.79,65.7,8800000.0
60,Jordi Alba,DF,barcelona,es La Liga,31,35,3025,0.09,0.15,0.24,0.07,0.22,40.7,0.09,0.02,85.5,6.28,0.21,5.98,1.25,3.36,2.56,0.03,0.03,1.46,10.3,0.12,1.28,1.37,0.0,0.51,121.5,0.65,8.78,33.3,22000000.0
61,Romain Thomas,DF,angers,fr Ligue 1,32,34,3024,0.12,0.0,0.12,0.07,0.0,53.3,0.14,0.05,87.3,2.02,0.0,4.55,1.88,0.0,0.24,0.0,0.0,1.82,10.1,0.74,1.37,6.13,0.03,0.12,70.7,0.21,9.73,67.9,1980000.0
62,Lionel Messi,FWMF,barcelona,es La Liga,33,35,3023,0.89,0.27,1.16,0.7,0.32,44.7,0.1,0.19,82.3,9.43,0.68,12.8,1.61,1.96,7.17,1.16,0.06,0.65,8.66,0.03,0.21,0.0,0.0,4.43,246.1,1.19,3.63,52.2,88000000.0
63,Koke,MF,atletico madrid,es La Liga,28,37,3021,0.03,0.06,0.09,0.06,0.08,41.2,0.11,-0.03,87.7,6.46,0.15,9.58,2.2,0.57,2.14,0.03,0.06,2.32,18.3,0.18,1.13,1.31,0.0,0.83,103.9,0.77,10.0,45.8,66000000.0
64,Marten de Roon,MF,atalanta,it Serie A,29,35,3021,0.03,0.03,0.06,0.02,0.06,16.7,0.04,0.01,87.0,5.92,0.06,6.76,1.76,0.39,2.05,0.0,0.09,2.83,20.0,0.21,2.05,2.32,0.0,0.42,115.9,0.39,12.4,60.7,25300000.0
65,Florian Lejeune,DF,alaves,es La Liga,29,34,3015,0.03,0.03,0.06,0.07,0.01,26.1,0.11,-0.04,80.5,1.34,0.03,4.0,2.87,0.15,0.51,0.0,0.03,1.43,7.85,0.72,1.73,6.81,0.0,0.3,58.1,0.15,9.07,67.5,4950000.0
66,Gian Marco Ferrari,DF,sassuolo,it Serie A,28,34,3014,0.0,0.12,0.12,0.05,0.03,20.8,0.07,-0.05,92.7,4.0,0.03,6.27,0.93,0.09,1.04,0.0,0.03,1.22,6.63,1.25,1.1,4.03,0.03,0.15,243.6,0.27,8.9,63.8,13200000.0
67,Hamari Traore,DF,rennes,fr Ligue 1,28,35,3000,0.03,0.03,0.06,0.04,0.1,20.8,0.06,-0.01,83.3,5.89,0.03,5.14,1.2,3.0,2.1,0.03,0.0,2.22,11.7,0.12,1.83,1.98,0.03,0.75,137.5,0.69,9.58,42.6,8800000.0
68,Ismael Traore,DF,angers,fr Ligue 1,33,34,2993,0.09,0.09,0.18,0.05,0.02,41.7,0.13,0.05,85.9,2.04,0.0,5.26,0.96,0.12,0.57,0.0,0.03,1.44,9.43,0.51,1.26,4.44,0.03,0.42,87.3,0.24,8.8,48.7,1100000.0
69,Philipp Lienhart,DF,freiburg,de Bundesliga,24,34,2993,0.12,0.0,0.12,0.06,0.01,40.0,0.21,0.06,85.7,2.25,0.0,4.83,2.16,0.03,0.39,0.0,0.0,0.84,6.28,0.69,1.32,4.11,0.03,0.18,167.1,0.24,8.77,58.6,15400000.0
70,Michael Keane,DF,everton,eng Premier League,27,35,2991,0.09,0.03,0.12,0.04,0.03,37.5,0.08,0.05,88.9,2.62,0.09,4.61,1.36,0.0,0.66,0.0,0.0,0.93,6.14,1.14,1.3,5.96,0.06,0.12,132.5,0.09,8.13,72.7,27500000.0
71,Jonathan Bamba,MF,lille,fr Ligue 1,24,38,2985,0.18,0.27,0.45,0.13,0.15,33.3,0.07,0.05,78.7,3.43,0.27,7.71,2.14,1.87,3.61,0.21,0.06,1.3,14.1,0.03,0.84,0.39,0.0,1.63,138.1,2.17,8.1,30.0,27500000.0
72,Mauro Arambarri,MF,getafe,es La Liga,24,34,2983,0.09,0.0,0.09,0.07,0.06,19.1,0.05,0.02,70.1,2.66,0.03,4.92,2.96,1.51,1.63,0.09,0.06,2.24,22.5,0.15,1.63,1.48,0.0,0.94,65.7,0.94,10.3,47.8,22000000.0
73,Nelson Semedo,DF,wolves,eng Premier League,26,34,2983,0.03,0.03,0.06,0.06,0.03,47.8,0.08,-0.03,81.4,3.02,0.06,7.4,0.76,1.45,1.75,0.06,0.06,2.57,16.7,0.36,1.36,2.69,0.0,1.69,151.8,1.39,7.95,50.6,30800000.0
74,Daniel Wass,MFDF,valencia,es La Liga,31,35,2979,0.12,0.03,0.15,0.1,0.07,27.0,0.07,0.02,77.2,4.23,0.06,6.37,1.36,1.42,1.99,0.03,0.03,1.63,10.5,0.45,0.88,2.21,0.0,0.36,75.4,0.66,8.76,47.7,7700000.0
75,Jules Kounde,DF,sevilla,es La Liga,21,34,2975,0.06,0.03,0.09,0.06,0.02,28.6,0.1,-0.0,90.7,4.26,0.03,6.95,1.75,0.42,0.85,0.03,0.0,0.94,7.31,0.57,1.27,4.23,0.03,0.97,176.4,0.57,9.43,63.8,66000000.0
76,Pau Torres,DF,villarreal,es La Liga,23,33,2970,0.06,0.06,0.12,0.04,0.03,37.5,0.16,0.02,89.2,4.18,0.09,6.61,2.76,0.12,0.45,0.0,0.0,0.52,4.7,0.79,0.91,4.36,0.09,0.88,218.5,0.45,9.03,60.6,55000000.0
77,Ludovic Ajorque,FW,strasbourg,fr Ligue 1,26,35,2967,0.48,0.12,0.61,0.5,0.11,44.8,0.19,-0.02,71.1,1.82,0.06,8.91,1.33,1.0,2.06,0.03,0.0,1.0,12.0,0.21,0.36,1.42,0.0,0.42,40.2,2.79,3.67,54.7,13200000.0
78,Razvan Marin,MF,cagliari,it Serie A,24,37,2965,0.09,0.18,0.27,0.05,0.15,35.7,0.06,0.05,81.7,3.62,0.03,6.96,1.85,1.4,2.98,0.03,0.06,2.01,17.4,0.27,0.79,0.7,0.0,0.97,119.6,0.94,8.69,40.5,16500000.0
79,Laurent Abergel,MF,lorient,fr Ligue 1,27,38,2963,0.09,0.03,0.12,0.04,0.04,33.3,0.04,0.05,83.5,3.37,0.06,9.7,1.61,0.55,1.7,0.03,0.15,4.86,29.1,0.18,1.4,0.4,0.0,0.67,87.9,1.25,9.06,29.6,2750000.0
80,Hassane Kamara,DF,nice,fr Ligue 1,25,36,2960,0.06,0.03,0.09,0.03,0.07,14.8,0.04,0.03,82.3,4.13,0.09,7.29,1.61,2.8,1.61,0.12,0.03,2.04,11.2,0.27,1.31,2.28,0.03,1.06,150.0,1.12,7.63,60.8,8800000.0
81,Zinedine Ferhat,FWMF,nimes,fr Ligue 1,27,33,2957,0.18,0.3,0.49,0.16,0.18,36.1,0.07,0.02,66.3,3.59,0.33,6.72,1.37,2.52,3.43,0.43,0.06,1.12,11.5,0.03,1.03,1.06,0.0,1.95,98.4,2.1,5.74,50.3,8800000.0
82,Marcos Llorente,MFDF,atletico madrid,es La Liga,25,37,2956,0.37,0.34,0.7,0.13,0.16,44.9,0.09,0.23,82.5,3.02,0.12,8.17,1.01,2.2,2.29,0.12,0.09,2.23,19.8,0.15,0.95,0.95,0.0,1.16,100.3,1.19,7.23,39.7,88000000.0
83,Tosin Adarabioyo,DF,fulham,eng Premier League,22,33,2953,0.0,0.0,0.0,0.03,0.01,25.0,0.05,-0.03,87.4,2.23,0.06,5.34,1.49,0.09,0.52,0.0,0.0,1.25,5.55,0.7,1.68,7.35,0.03,0.24,105.3,0.15,8.48,71.9,13200000.0
84,Stefan Savic,DF,atletico madrid,es La Liga,29,33,2953,0.03,0.0,0.03,0.03,0.01,28.6,0.13,0.0,86.3,2.26,0.03,5.49,1.77,0.06,0.4,0.0,0.0,1.46,6.86,0.55,1.07,4.54,0.0,0.18,125.8,0.12,9.51,68.0,27500000.0
85,Gonzalo Verdu,DF,elche,es La Liga,31,33,2944,0.0,0.06,0.06,0.02,0.04,33.3,0.06,-0.02,86.6,1.83,0.06,4.56,1.16,0.09,0.4,0.0,0.0,1.13,8.04,0.95,1.31,5.2,0.03,0.31,92.0,0.12,6.67,62.8,880000.0
86,Maximilian Eggestein,MF,werder bremen,de Bundesliga,23,33,2942,0.06,0.15,0.21,0.03,0.1,22.7,0.05,0.03,78.6,4.89,0.15,7.49,1.04,0.46,1.77,0.0,0.06,1.83,15.7,0.12,1.31,1.44,0.0,0.49,77.9,0.92,10.7,42.4,8250000.0
87,Georginio Wijnaldum,MF,liverpool,eng Premier League,29,38,2941,0.06,0.0,0.06,0.1,0.05,29.0,0.1,-0.04,93.3,2.84,0.03,8.07,0.76,0.12,1.62,0.06,0.0,0.92,13.0,0.09,0.76,0.73,0.03,1.04,124.0,0.73,9.02,42.5,33000000.0
88,Wout Weghorst,FW,wolfsburg,de Bundesliga,27,34,2941,0.61,0.24,0.86,0.55,0.15,46.7,0.17,0.06,67.8,1.65,0.09,8.26,0.37,0.28,2.17,0.06,0.03,0.4,17.8,0.15,0.18,0.76,0.03,0.64,27.8,2.26,4.62,58.5,33000000.0
89,Djene,DF,getafe,es La Liga,28,34,2941,0.0,0.03,0.03,0.01,0.0,0.0,0.09,-0.01,77.0,1.8,0.0,3.91,0.89,0.21,0.43,0.03,0.03,1.87,8.41,0.4,1.68,6.42,0.03,0.28,52.5,0.24,10.9,61.7,19800000.0
90,Theo Hernandez,DF,milan,it Serie A,22,33,2933,0.21,0.15,0.37,0.11,0.16,27.7,0.08,0.1,81.2,4.91,0.09,7.12,0.89,1.47,2.42,0.09,0.03,1.99,11.8,0.25,1.38,1.78,0.06,2.02,235.0,1.32,8.44,66.3,55000000.0
