Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Jack Butland\Jack-Butland,GK,Crystal Palace,eng Premier League,27,1,1,90,1.0,2,2.00,5,3,60.0,1,0,0,0,0.0,0,0,0,0,
David Button\David-Button,GK,West Brom,eng Premier League,31,1,1,90,1.0,2,2.00,7,5,71.4,1,0,0,0,0.0,0,0,0,0,
Marcin Bułka\Marcin-Bulka,GK,Paris S-G,fr Ligue 1,20,1,1,90,1.0,1,1.00,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
Willy Caballero\Willy-Caballero,GK,Chelsea,eng Premier League,38,1,1,90,1.0,3,3.00,3,0,0.0,0,1,0,0,0.0,0,0,0,0,
Marc-Aurèle Caillard\Marc-Aurele-Caillard,GK,Metz,fr Ligue 1,26,5,4,361,4.0,10,2.49,20,13,65.0,0,1,3,0,0.0,3,3,0,0,0.0
Cárdenas\Cardenas,GK,Levante,es La Liga,23,8,8,720,8.0,11,1.37,41,26,73.2,1,3,4,1,12.5,1,0,0,1,
Scott Carson\Scott-Carson,GK,Manchester City,eng Premier League,34,1,1,90,1.0,3,3.00,3,1,33.3,1,0,0,0,0.0,2,1,1,0,50.0
Kiko Casilla\Kiko-Casilla,GK,Leeds United,eng Premier League,33,3,3,270,3.0,2,0.67,12,10,83.3,2,0,1,1,33.3,0,0,0,0,
Koen Casteels\Koen-Casteels,GK,Wolfsburg,de Bundesliga,28,32,32,2880,32.0,33,1.03,101,72,70.3,17,9,6,14,43.8,5,3,2,0,40.0
Sébastien Cibois\Sebastien-Cibois,GK,Brest,fr Ligue 1,22,3,3,270,3.0,4,1.33,10,7,70.0,1,1,1,1,33.3,1,1,0,0,0.0
Alberto Cifuentes\Alberto-Cifuentes,GK,Cádiz,es La Liga,41,2,2,180,2.0,3,1.50,6,3,50.0,1,0,1,1,50.0,0,0,0,0,
Jasper Cillessen\Jasper-Cillessen,GK,Valencia,es La Liga,31,10,10,900,10.0,11,1.10,45,33,77.8,5,1,4,3,30.0,2,1,1,0,50.0
Simone Colombi\Simone-Colombi,GK,Parma,it Serie A,29,2,2,180,2.0,7,3.50,9,3,33.3,0,0,2,0,0.0,1,1,0,0,0.0
Andrea Consigli\Andrea-Consigli,GK,Sassuolo,it Serie A,33,37,37,3330,37.0,56,1.51,180,127,71.1,17,10,10,7,18.9,5,4,1,0,20.0
Alex Cordaz\Alex-Cordaz,GK,Crotone,it Serie A,37,36,36,3240,36.0,91,2.53,203,115,57.6,6,3,27,2,5.6,5,5,0,0,0.0
Angelo da Costa Júnior\Angelo-da-Costa-Junior,GK,Bologna,it Serie A,36,6,6,540,6.0,9,1.50,26,17,69.2,0,5,1,1,16.7,1,1,0,0,0.0
Benoît Costil\Benoit-Costil,GK,Bordeaux,fr Ligue 1,33,38,38,3420,38.0,57,1.50,148,98,66.2,13,6,19,14,36.8,8,7,1,0,12.5
Thibaut Courtois\Thibaut-Courtois,GK,Real Madrid,es La Liga,28,38,38,3420,38.0,28,0.74,111,90,81.1,25,9,4,17,44.7,9,7,2,0,22.2
Alessio Cragno\Alessio-Cragno,GK,Cagliari,it Serie A,26,34,34,3060,34.0,53,1.56,177,125,72.9,6,10,18,6,17.6,5,5,0,0,0.0
Gian Crespi\Gian-Crespi,GK,Crotone,it Serie A,19,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,
Finn Dahmen\Finn-Dahmen,GK,Mainz 05,de Bundesliga,22,3,3,270,3.0,10,3.33,20,11,55.0,1,0,2,0,0.0,1,1,0,0,0.0
Karl Darlow\Karl-Darlow,GK,Newcastle Utd,eng Premier League,29,25,25,2250,25.0,43,1.72,120,81,66.7,7,4,14,4,16.0,4,3,1,0,25.0
Yehvann Diouf\Yehvann-Diouf,GK,Reims,fr Ligue 1,20,2,1,135,1.5,1,0.67,5,5,100.0,0,0,1,0,0.0,1,1,0,0,0.0
Marko Dmitrović\Marko-Dmitrovic,GK,Eibar,es La Liga,28,35,35,3120,34.7,49,1.41,128,80,64.1,6,11,18,9,25.7,5,3,1,1,25.0
Jaume Doménech\Jaume-Domenech,GK,Valencia,es La Liga,29,28,28,2520,28.0,42,1.50,124,86,69.4,5,12,11,4,14.3,6,4,2,0,33.3
Gianluigi Donnarumma\Gianluigi-Donnarumma,GK,Milan,it Serie A,21,37,37,3330,37.0,38,1.03,125,90,71.2,24,6,7,14,37.8,4,2,1,1,33.3
Bartłomiej Drągowski\Bartlomiej-Dragowski,GK,Fiorentina,it Serie A,22,36,36,3148,35.0,55,1.57,128,82,63.3,9,12,15,8,22.2,10,8,2,0,20.0
Matthieu Dreyer\Matthieu-Dreyer,GK,Lorient,fr Ligue 1,31,15,15,1350,15.0,25,1.67,51,33,62.7,5,5,5,2,13.3,6,6,0,0,0.0
Martin Dúbravka\Martin-Dubravka,GK,Newcastle Utd,eng Premier League,31,13,13,1170,13.0,19,1.46,59,42,69.5,5,5,3,3,23.1,1,1,0,0,0.0
Ederson\Ederson,GK,Manchester City,eng Premier League,26,36,36,3240,36.0,28,0.78,84,63,75.0,25,5,6,19,52.8,8,7,1,0,12.5
Aarón Escandell\Aaron-Escandell,GK,Granada,es La Liga,24,5,5,450,5.0,8,1.60,24,16,66.7,1,1,3,1,20.0,0,0,0,0,
Jokin Ezkieta\Jokin-Ezkieta,GK,Athletic Club,es La Liga,23,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,
Łukasz Fabiański\Lukasz-Fabianski,GK,West Ham,eng Premier League,35,35,35,3150,35.0,44,1.26,134,96,69.4,17,8,10,10,28.6,6,3,2,1,40.0
Ralf Fährmann\Ralf-Fahrmann,GK,Schalke 04,de Bundesliga,31,22,22,1876,20.8,50,2.40,139,94,66.2,3,3,16,3,13.6,4,3,1,0,25.0
Wuilker Faríñez\Wuilker-Farinez,GK,Lens,fr Ligue 1,22,3,1,107,1.2,3,2.52,6,3,66.7,0,0,1,0,0.0,1,1,0,0,0.0
Aitor Fernández\Aitor-Fernandez,GK,Levante,es La Liga,29,29,29,2610,29.0,44,1.52,118,78,65.3,8,11,10,3,10.3,3,3,0,0,0.0
Álvaro Fernández\Alvaro-Fernandez,GK,Huesca,es La Liga,22,22,22,1980,22.0,32,1.45,92,62,67.4,5,5,12,5,22.7,2,2,0,0,0.0
Andrés Fernández\Andres-Fernandez,GK,Huesca,es La Liga,33,16,16,1440,16.0,21,1.31,50,32,64.0,2,8,6,4,25.0,3,3,0,0,0.0
Marco Festa\Marco-Festa,GK,Crotone,it Serie A,28,1,1,90,1.0,1,1.00,8,7,87.5,0,1,0,0,0.0,0,0,0,0,
Mark Flekken\Mark-Flekken,GK,Freiburg,de Bundesliga,27,3,3,270,3.0,6,2.00,16,12,75.0,1,1,1,0,0.0,3,2,0,1,0.0
Fraser Forster\Fraser-Forster,GK,Southampton,eng Premier League,32,8,8,720,8.0,11,1.37,28,19,67.9,4,0,4,2,25.0,3,2,1,0,33.3
Daniel Fuzato\Daniel-Fuzato,GK,Roma,it Serie A,23,5,5,450,5.0,7,1.40,26,19,73.1,2,1,2,2,40.0,0,0,0,0,
Manuel Gasparini\Manuel-Gasparini,GK,Udinese,it Serie A,18,1,0,3,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,
Paulo Gazzaniga\Paulo-Gazzaniga,GK,Elche,es La Liga,28,8,8,720,8.0,9,1.13,21,14,61.9,3,1,4,2,25.0,1,1,0,0,0.0
