Player,Pos,Squad,Comp,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Juan Pérez\Juan-Perez,GK,Osasuna,es La Liga,24,3,3,270,3.0,3,1.00,7,4,71.4,1,1,1,1,33.3,1,1,0,0,0.0
Mattia Perin\Mattia-Perin,GK,Genoa,it Serie A,27,32,32,2879,32.0,44,1.38,151,113,75.5,9,11,12,8,25.0,7,7,0,0,0.0
Pavao Pervan\Pavao-Pervan,GK,Wolfsburg,de Bundesliga,32,2,2,180,2.0,4,2.00,14,9,71.4,0,1,1,0,0.0,0,0,0,0,
Jordan Pickford\Jordan-Pickford,GK,Everton,eng Premier League,26,31,31,2742,30.5,39,1.28,128,90,71.1,15,5,11,10,32.3,3,2,0,1,0.0
Carlo Pinsoglio\Carlo-Pinsoglio,GK,Juventus,it Serie A,30,1,0,23,0.3,1,3.91,2,1,50.0,0,0,0,0,,0,0,0,0,
Nick Pope\Nick-Pope,GK,Burnley,eng Premier League,28,32,32,2880,32.0,37,1.16,148,114,77.0,10,9,13,11,34.4,3,3,0,0,0.0
Ivan Provedel\Ivan-Provedel,GK,Spezia,it Serie A,26,29,29,2610,29.0,55,1.90,124,74,60.5,6,10,13,4,13.8,7,6,1,0,14.3
Anthony Racioppi\Anthony-Racioppi,GK,Dijon,fr Ligue 1,21,21,21,1890,21.0,33,1.57,93,62,67.7,2,6,13,3,14.3,4,3,1,0,25.0
Ionuț Radu\Ionut-Radu,GK,Inter,it Serie A,23,2,1,135,1.5,1,0.67,6,5,83.3,1,0,0,0,0.0,0,0,0,0,
Rafael\Rafael,GK,Spezia,it Serie A,38,3,2,207,2.3,5,2.17,19,14,73.7,0,1,1,1,50.0,0,0,0,0,
Predrag Rajković\Predrag-Rajkovic,GK,Reims,fr Ligue 1,24,37,37,3285,36.5,49,1.34,157,113,71.3,9,15,13,10,27.0,7,4,2,1,33.3
Aaron Ramsdale\Aaron-Ramsdale,GK,Sheffield Utd,eng Premier League,22,38,38,3420,38.0,63,1.66,205,145,70.7,7,2,29,5,13.2,4,3,0,1,0.0
Darren Randolph\Darren-Randolph,GK,West Ham,eng Premier League,33,3,3,270,3.0,3,1.00,9,6,66.7,2,0,1,1,33.3,0,0,0,0,
Federico Ravaglia\Federico-Ravaglia,GK,Bologna,it Serie A,20,4,4,360,4.0,10,2.50,18,9,50.0,0,1,3,0,0.0,1,1,0,0,0.0
Pepe Reina\Pepe-Reina,GK,Lazio,it Serie A,37,29,29,2610,29.0,41,1.41,107,75,69.2,18,3,8,9,31.0,8,8,0,0,0.0
Álex Remiro\Alex-Remiro,GK,Real Sociedad,es La Liga,25,38,38,3420,38.0,38,1.00,100,66,65.0,17,11,10,14,36.8,5,3,1,1,25.0
