,,,,,Play,Play,Perf,Perf,Per,Expe,Expe
Player,Pos,Squad,Comp,Age,MP,Min,Gls,Ast,G+A,xG,xA
,,,,,,,,,,,
Kevin Denkey\Kevin-Denkey,FW,Nîmes,fr Ligue 1,19,10,524,0.17,0.17,0.34,0.31,0.10
Emmanuel Dennis\Emmanuel-Dennis,FW,Köln,de Bundesliga,22,9,474,0.00,0.19,0.19,0.11,0.23
Stefano Denswil\Stefano-Denswil,DF,Bologna,it Serie A,27,5,115,0.00,0.00,0.00,0.00,0.00
Fabio Depaoli\Fabio-Depaoli,DF,Benevento,it Serie A,23,15,1120,0.00,0.00,0.00,0.02,0.03
Fabio Depaoli\Fabio-Depaoli,MF,Sampdoria,it Serie A,23,2,77,0.00,0.00,0.00,0.22,0.11
Fabio Depaoli\Fabio-Depaoli,DF,Atalanta,it Serie A,23,5,191,0.00,0.00,0.00,0.00,0.05
Memphis Depay\Memphis-Depay,FW,Lyon,fr Ligue 1,26,37,2923,0.62,0.37,0.99,0.54,0.43
Clément Depres\Clement-Depres,MF,Nîmes,fr Ligue 1,25,1,14,0.00,0.00,0.00,0.00,0.00
Mike van der Hoorn\Mike-van-der-Hoorn,DF,Arminia,de Bundesliga,27,22,1356,0.00,0.00,0.00,0.02,0.01
Kastriot Dermaku\Kastriot-Dermaku,DF,Parma,it Serie A,28,2,100,0.00,0.00,0.00,0.00,0.00
Kiril Despodov\Kiril-Despodov,FW,Cagliari,it Serie A,23,1,11,0.00,0.00,0.00,0.00,0.00
Sergiño Dest\Sergino-Dest,DF,Barcelona,es La Liga,19,30,1909,0.09,0.05,0.14,0.12,0.12
Mattia Destro\Mattia-Destro,FW,Genoa,it Serie A,29,29,1606,0.62,0.06,0.67,0.38,0.03
Gerard Deulofeu\Gerard-Deulofeu,FWMF,Udinese,it Serie A,26,13,598,0.15,0.15,0.30,0.20,0.17
Deyverson\Deyverson,FW,Alavés,es La Liga,29,27,874,0.10,0.31,0.41,0.19,0.16
Jacopo Dezi\Jacopo-Dezi,FWMF,Parma,it Serie A,28,2,79,0.00,0.00,0.00,0.00,0.22
Samuel Di Carmine\Samuel-Di-Carmine,FW,Hellas Verona,it Serie A,31,11,500,0.00,0.00,0.00,0.29,0.02
Samuel Di Carmine\Samuel-Di-Carmine,FW,Crotone,it Serie A,31,11,475,0.00,0.00,0.00,0.08,0.00
Giovanni Di Lorenzo\Giovanni-Di-Lorenzo,DF,Napoli,it Serie A,26,36,3240,0.08,0.17,0.25,0.11,0.13
Ángel Di María\Angel-Di-Maria,FWMF,Paris S-G,fr Ligue 1,32,27,1853,0.24,0.44,0.68,0.25,0.51
Alessandro Di Pardo\Alessandro-Di-Pardo,MFDF,Juventus,it Serie A,21,4,14,0.00,0.00,0.00,0.00,0.00
Giuseppe Di Serio\Giuseppe-Di-Serio,FWMF,Benevento,it Serie A,19,16,292,0.00,0.00,0.00,0.19,0.00
Boulaye Dia\Boulaye-Dia,FWMF,Reims,fr Ligue 1,23,36,2930,0.43,0.03,0.46,0.40,0.06
Abdoulay Diaby\Abdoulay-Diaby,MF,Getafe,es La Liga,29,1,18,0.00,0.00,0.00,1.50,0.50
Moussa Diaby\Moussa-Diaby,FWMF,Leverkusen,de Bundesliga,21,32,2388,0.15,0.42,0.57,0.21,0.26
Mbaye Diagne\Mbaye-Diagne,FW,West Brom,eng Premier League,28,16,1189,0.23,0.15,0.38,0.38,0.13
Mouctar Diakhaby\Mouctar-Diakhaby,DF,Valencia,es La Liga,23,26,2079,0.04,0.00,0.04,0.05,0.00
Abdou Diallo\Abdou-Diallo,DF,Paris S-G,fr Ligue 1,24,22,1490,0.00,0.06,0.06,0.02,0.03
Amad Diallo\Amad-Diallo,FW,Manchester Utd,eng Premier League,18,3,166,0.00,0.56,0.54,0.00,0.28
Amad Diallo\Amad-Diallo,MF,Atalanta,it Serie A,18,1,14,0.00,0.00,0.00,0.00,0.50
Habib Diallo\Habib-Diallo,FW,Strasbourg,fr Ligue 1,25,32,2322,0.35,0.12,0.47,0.28,0.12
Habib Diallo\Habib-Diallo,FW,Metz,fr Ligue 1,25,4,143,0.00,0.00,0.00,0.25,0.19
Ibrahima Diallo\Ibrahima-Diallo,MF,Southampton,eng Premier League,21,22,1020,0.00,0.00,0.00,0.05,0.05
Ibrahima Diallo\Ibrahima-Diallo,MF,Brest,fr Ligue 1,21,5,440,0.00,0.00,0.00,0.00,0.08
Amadou Diambo\Amadou-Diambo,FW,Benevento,it Serie A,19,1,3,0,0,0.00,0.0,0.0
Grady Diangana\Grady-Diangana,MFFW,West Brom,eng Premier League,22,20,1235,0.07,0.00,0.07,0.09,0.01
Stéphane Diarra\Stephane-Diarra,FWMF,Lorient,fr Ligue 1,21,13,197,0.00,0.00,0.00,0.05,0.14
Raphael Dias Belloli\Raphael-Dias-Belloli,MF,Leeds United,eng Premier League,23,30,2360,0.23,0.34,0.57,0.23,0.31
Raphael Dias Belloli\Raphael-Dias-Belloli,FWMF,Rennes,fr Ligue 1,23,6,404,0.22,0.44,0.67,0.27,0.22
Rúben Dias\Ruben-Dias,DF,Manchester City,eng Premier League,23,32,2843,0.03,0.00,0.03,0.08,0.00
Krepin Diatta\Krepin-Diatta,MFDF,Monaco,fr Ligue 1,21,12,389,0.23,0.00,0.23,0.12,0.02
Amadou Diawara\Amadou-Diawara,MF,Roma,it Serie A,23,18,658,0.14,0.00,0.14,0.15,0.08
Brahim Díaz\Brahim-Diaz,MFFW,Milan,it Serie A,20,27,1228,0.29,0.22,0.51,0.24,0.12
Víctor Díaz\Victor-Diaz,DF,Granada,es La Liga,32,17,828,0.00,0.22,0.22,0.03,0.03
Daniel Didavi\Daniel-Didavi,FWMF,Stuttgart,de Bundesliga,30,23,970,0.37,0.28,0.65,0.30,0.28
Eric Dier\Eric-Dier,DF,Tottenham,eng Premier League,26,28,2520,0.00,0.00,0.00,0.03,0.00
Daan Dierckx\Daan-Dierckx,DF,Parma,it Serie A,17,7,471,0.00,0.00,0.00,0.00,0.00
Lucas Digne\Lucas-Digne,DF,Everton,eng Premier League,27,30,2681,0.00,0.23,0.23,0.02,0.18
Virgil van Dijk\Virgil-van-Dijk,DF,Liverpool,eng Premier League,29,5,370,0.24,0.00,0.24,0.07,0.00
Mitchell Dijks\Mitchell-Dijks,DF,Bologna,it Serie A,27,20,1481,0.00,0.00,0.00,0.00,0.01
Javairô Dilrosun\Javairo-Dilrosun,FWMF,Hertha BSC,de Bundesliga,22,12,529,0.00,0.17,0.17,0.14,0.08
Federico Dimarco\Federico-Dimarco,DF,Hellas Verona,it Serie A,22,35,2613,0.17,0.10,0.28,0.08,0.23
Junior Dina Ebimbe\Junior-Dina-Ebimbe,FWMF,Dijon,fr Ligue 1,19,30,2144,0.04,0.04,0.08,0.16,0.08
Tristan Dingomé\Tristan-Dingome,MF,Reims,fr Ligue 1,29,1,15,0.00,0.00,0.00,0.00,0.00
Eren Dinkçi\Eren-Dinkci,FWMF,Werder Bremen,de Bundesliga,18,8,108,0.83,0.00,0.83,0.33,0.08
Sinaly Diomande\Sinaly-Diomande,DF,Lyon,fr Ligue 1,19,27,1133,0.00,0.00,0.00,0.08,0.02
Lois Diony\Lois-Diony,FW,Angers,fr Ligue 1,27,36,1749,0.26,0.05,0.31,0.22,0.07
Issa Diop\Issa-Diop,DF,West Ham,eng Premier League,23,18,1381,0.13,0.00,0.13,0.02,0.00
Papakouli Diop\Papakouli-Diop,MF,Eibar,es La Liga,34,33,2324,0.04,0.04,0.08,0.07,0.04
Sofiane Diop\Sofiane-Diop,MFFW,Monaco,fr Ligue 1,20,32,2023,0.31,0.04,0.36,0.20,0.10
Andy Diouf\Andy-Diouf,FW,Rennes,fr Ligue 1,18,1,12,0.00,0.00,0.00,0.00,0.00
Yehvann Diouf\Yehvann-Diouf,GK,Reims,fr Ligue 1,20,2,135,0.00,0.00,0.00,0.00,0.00
Assane Dioussé\Assane-Diousse,DF,Saint-Étienne,fr Ligue 1,22,1,1,0,0,0.00,0.0,0.0
Axel Disasi\Axel-Disasi,DF,Monaco,fr Ligue 1,22,29,2011,0.13,0.00,0.13,0.10,0.02
Tiago Djaló\Tiago-Djalo,DF,Lille,fr Ligue 1,20,17,873,0.00,0.00,0.00,0.00,0.02
Djené\Djene,DF,Getafe,es La Liga,28,34,2941,0.00,0.03,0.03,0.01,0.00
Moussa Djenepo\Moussa-Djenepo,MF,Southampton,eng Premier League,22,27,1240,0.07,0.00,0.07,0.07,0.04
Koffi Djidji\Koffi-Djidji,DF,Crotone,it Serie A,27,20,1524,0.06,0.00,0.06,0.02,0.01
Alexander Djiku\Alexander-Djiku,DFMF,Strasbourg,fr Ligue 1,25,30,2552,0.00,0.00,0.00,0.06,0.02
Berat Djimsiti\Berat-Djimsiti,DF,Atalanta,it Serie A,27,33,2625,0.00,0.10,0.10,0.07,0.08
Marko Dmitrović\Marko-Dmitrovic,GK,Eibar,es La Liga,28,35,3120,0.03,0.00,0.03,0.05,0.01
Ritsu Doan\Ritsu-Doan,MFFW,Arminia,de Bundesliga,22,34,2768,0.16,0.06,0.23,0.17,0.11
Mihai Dobre\Mihai-Dobre,FWMF,Dijon,fr Ligue 1,21,22,529,0.00,0.00,0.00,0.08,0.05
Matt Doherty\Matt-Doherty,DF,Tottenham,eng Premier League,28,17,1240,0.00,0.14,0.15,0.03,0.06
Jeremy Doku\Jeremy-Doku,MFFW,Rennes,fr Ligue 1,18,30,2313,0.08,0.12,0.19,0.14,0.14
Kasper Dolberg\Kasper-Dolberg,FW,Nice,fr Ligue 1,22,25,1928,0.28,0.09,0.37,0.35,0.05
Keagan Dolly\Keagan-Dolly,MF,Montpellier,fr Ligue 1,27,18,452,0.00,0.00,0.00,0.02,0.04
Jaume Doménech\Jaume-Domenech,GK,Valencia,es La Liga,29,28,2520,0.00,0.00,0.00,0.00,0.00
Carlos Dominguez\Carlos-Dominguez,DF,Celta Vigo,es La Liga,19,4,360,0.00,0.00,0.00,0.03,0.03
Nicolás Domínguez\Nicolas-Dominguez,MF,Bologna,it Serie A,22,28,1255,0.07,0.00,0.07,0.11,0.17
John Donald\John-Donald,DFFW,Elche,es La Liga,19,2,50,0.00,0.00,0.00,0.00,0.00
Ji Dong-won\Ji-Dong-won,FWDF,Mainz 05,de Bundesliga,29,6,62,0.00,0.00,0.00,0.00,0.00
Anastasios Donis\Anastasios-Donis,MF,Reims,fr Ligue 1,23,3,97,0.00,0.00,0.00,0.00,0.00
Gianluigi Donnarumma\Gianluigi-Donnarumma,GK,Milan,it Serie A,21,37,3330,0.00,0.00,0.00,0.00,0.00
Gabriel Dos Santos\Gabriel-Dos-Santos,DF,Arsenal,eng Premier League,22,23,1996,0.09,0.00,0.09,0.05,0.00
Bas Dost\Bas-Dost,FW,Eint Frankfurt,de Bundesliga,31,12,817,0.44,0.22,0.66,0.47,0.25
Lucas Douath\Lucas-Douath,MF,Saint-Étienne,fr Ligue 1,16,30,1327,0.00,0.00,0.00,0.03,0.01
Abdoulaye Doucouré\Abdoulaye-Doucoure,MF,Everton,eng Premier League,27,29,2443,0.07,0.11,0.18,0.08,0.08
Cheick Doucouré\Cheick-Doucoure,MF,Lens,fr Ligue 1,20,33,2627,0.07,0.03,0.10,0.04,0.06
Fodé Doucouré\Fode-Doucoure,DF,Reims,fr Ligue 1,19,7,333,0.00,0.00,0.00,0.05,0.14
Mahamadou Doucouré\Mahamadou-Doucoure,FW,Nîmes,fr Ligue 1,20,3,45,0.00,0.00,0.00,0.00,0.00
Cheick Doukouré\Cheick-Doukoure,MF,Levante,es La Liga,27,7,101,0.00,0.00,0.00,0.00,0.09
Idrissa Doumbia\Idrissa-Doumbia,MF,Huesca,es La Liga,22,23,779,0.00,0.00,0.00,0.05,0.00
Moussa Doumbia\Moussa-Doumbia,MFFW,Reims,fr Ligue 1,25,23,899,0.00,0.10,0.10,0.06,0.12
Souleyman Doumbia\Souleyman-Doumbia,DF,Angers,fr Ligue 1,23,27,2222,0.00,0.04,0.04,0.02,0.11
Aleksandar Dragović\Aleksandar-Dragovic,DF,Leverkusen,de Bundesliga,29,18,1136,0.08,0.00,0.08,0.02,0.03
Bartłomiej Drągowski\Bartlomiej-Dragowski,GK,Fiorentina,it Serie A,22,36,3148,0.00,0.03,0.03,0.00,0.00
Denis Drăguș\Denis-Dragus,FWMF,Crotone,it Serie A,21,9,177,0.00,0.00,0.00,0.05,0.00
Radu Drăgușin\Radu-Dragusin,DF,Juventus,it Serie A,18,1,1,0,0,0.00,0.0,0.0
Mouhamadou Drammeh\Mouhamadou-Drammeh,MF,Reims,fr Ligue 1,21,6,173,0.00,0.00,0.00,0.00,0.00
Julian Draxler\Julian-Draxler,MFFW,Paris S-G,fr Ligue 1,26,24,1064,0.34,0.25,0.59,0.19,0.24
Dominick Drexler\Dominick-Drexler,MFFW,Köln,de Bundesliga,30,27,1233,0.15,0.07,0.22,0.20,0.12
Matthieu Dreyer\Matthieu-Dreyer,GK,Lorient,fr Ligue 1,31,15,1350,0.00,0.00,0.00,0.00,0.00
Domingos Duarte\Domingos-Duarte,DF,Granada,es La Liga,25,29,2363,0.04,0.00,0.04,0.05,0.04
Léo Duarte\Leo-Duarte,DF,Milan,it Serie A,24,1,19,0.00,0.00,0.00,0.00,0.00
Óscar Duarte\Oscar-Duarte,DF,Levante,es La Liga,31,29,2060,0.04,0.00,0.04,0.05,0.01
Rubén Duarte\Ruben-Duarte,DF,Alavés,es La Liga,24,31,2545,0.04,0.04,0.07,0.05,0.08
Leo Dubois\Leo-Dubois,DF,Lyon,fr Ligue 1,25,37,2903,0.06,0.12,0.19,0.03,0.18
Martin Dúbravka\Martin-Dubravka,GK,Newcastle Utd,eng Premier League,31,13,1170,0.00,0.00,0.00,0.00,0.00
Ondrej Duda\Ondrej-Duda,FWMF,Köln,de Bundesliga,25,32,2537,0.25,0.18,0.43,0.21,0.15
Unai Dufur\Unai-Dufur,DF,Eibar,es La Liga,21,1,62,0.00,0.00,0.00,0.00,0.00
Haris Duljević\Haris-Duljevic,MFFW,Nîmes,fr Ligue 1,26,20,773,0.00,0.23,0.23,0.13,0.15
Paul Dummett\Paul-Dummett,DF,Newcastle Utd,eng Premier League,28,15,1255,0.07,0.00,0.07,0.02,0.04
Alfred Duncan\Alfred-Duncan,MF,Fiorentina,it Serie A,27,4,162,0.00,0.00,0.00,0.00,0.00
Alfred Duncan\Alfred-Duncan,MF,Cagliari,it Serie A,27,19,1068,0.00,0.08,0.08,0.02,0.09
Lewis Dunk\Lewis-Dunk,DF,Brighton,eng Premier League,28,33,2931,0.15,0.00,0.15,0.08,0.03
Jimmy Dunne\Jimmy-Dunne,DF,Burnley,eng Premier League,22,3,270,0.33,0.00,0.33,0.13,0.03
Erik Durm\Erik-Durm,DF,Eint Frankfurt,de Bundesliga,28,21,1480,0.06,0.12,0.18,0.10,0.13
Hugo Duro\Hugo-Duro,FW,Real Madrid,es La Liga,20,2,55,0.00,0.00,0.00,0.17,0.17
Jean-Kevin Duverne\Jean-Kevin-Duverne,DF,Brest,fr Ligue 1,23,27,2029,0.04,0.00,0.04,0.03,0.03
Paulo Dybala\Paulo-Dybala,FW,Juventus,it Serie A,26,20,1132,0.32,0.24,0.56,0.37,0.23
Edin Džeko\Edin-Dzeko,FW,Roma,it Serie A,34,27,1824,0.34,0.15,0.49,0.64,0.12
Steeve-Mike Ebongue\Steeve-Mike-Ebongue,MF,Genoa,it Serie A,19,3,52,0.00,1.67,1.73,0.00,0.83
Enzo Ebosse\Enzo-Ebosse,DF,Angers,fr Ligue 1,21,6,260,0.00,0.00,0.00,0.00,0.21
Bruno Ecuele Manga\Bruno-Ecuele-Manga,DF,Dijon,fr Ligue 1,32,38,3420,0.05,0.00,0.05,0.04,0.00
Simone Edera\Simone-Edera,DFMF,Torino,it Serie A,23,2,52,0.00,0.00,0.00,0.33,0.33
Ederson\Ederson,GK,Manchester City,eng Premier League,26,36,3240,0.00,0.03,0.03,0.00,0.01
Kyle Edwards\Kyle-Edwards,MFFW,West Brom,eng Premier League,22,5,118,0.00,0.00,0.00,0.08,0.00
John Egan\John-Egan,DF,Sheffield Utd,eng Premier League,27,31,2629,0.00,0.03,0.03,0.02,0.01
Johannes Eggestein\Johannes-Eggestein,FWMF,Werder Bremen,de Bundesliga,22,2,33,0.00,0.00,0.00,0.00,0.00
Maximilian Eggestein\Maximilian-Eggestein,MF,Werder Bremen,de Bundesliga,23,33,2942,0.06,0.15,0.21,0.03,0.10
Lilian Egloff\Lilian-Egloff,MF,Stuttgart,de Bundesliga,17,2,16,0.00,0.00,0.00,0.00,0.00
Kingsley Ehizibue\Kingsley-Ehizibue,DF,Köln,de Bundesliga,25,21,1133,0.00,0.08,0.08,0.04,0.06
Albin Ekdal\Albin-Ekdal,MF,Sampdoria,it Serie A,31,32,2299,0.08,0.04,0.12,0.03,0.04
Hugo Ekitike\Hugo-Ekitike,MFFW,Reims,fr Ligue 1,18,2,88,0.00,0.00,0.00,0.20,0.00
Anthony Elanga\Anthony-Elanga,FW,Manchester Utd,eng Premier League,18,2,155,0.59,0.00,0.58,0.18,0.00
Niclas Eliasson\Niclas-Eliasson,MFFW,Nîmes,fr Ligue 1,24,30,1799,0.20,0.15,0.35,0.20,0.17
Elif Elmas\Elif-Elmas,MFFW,Napoli,it Serie A,20,33,740,0.24,0.12,0.36,0.22,0.09
Ahmed Elmohamady\Ahmed-Elmohamady,DF,Aston Villa,eng Premier League,32,14,839,0.00,0.00,0.00,0.05,0.06
Mohamed Elneny\Mohamed-Elneny,MF,Arsenal,eng Premier League,28,23,1544,0.06,0.00,0.06,0.03,0.01
Aritz Elustondo\Aritz-Elustondo,DF,Real Sociedad,es La Liga,26,23,1884,0.05,0.00,0.05,0.01,0.01
Nico Elvedi\Nico-Elvedi,DF,M'Gladbach,de Bundesliga,23,29,2536,0.11,0.04,0.14,0.07,0.01
Rodrigo Ely\Rodrigo-Ely,DF,Alavés,es La Liga,26,8,468,0.19,0.00,0.19,0.04,0.02
Sepe Elye Wahi\Sepe-Elye-Wahi,FW,Montpellier,fr Ligue 1,17,18,555,0.48,0.16,0.65,0.32,0.11
Breel Embolo\Breel-Embolo,FWMF,M'Gladbach,de Bundesliga,23,31,1440,0.31,0.13,0.44,0.44,0.06
Emerson\Emerson,DF,Betis,es La Liga,21,34,2991,0.03,0.12,0.15,0.04,0.07
Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,MF,Atalanta,it Serie A,18,1,2,0,0,0.00,0.0,0.0
Renaud Emond\Renaud-Emond,FWMF,Nantes,fr Ligue 1,28,22,354,0.51,0.00,0.51,0.33,0.03
Alan Empereur\Alan-Empereur,DF,Hellas Verona,it Serie A,26,4,219,0.00,0.00,0.00,0.04,0.00
Youssef En-Nesyri\Youssef-En-Nesyri,FW,Sevilla,es La Liga,23,38,2311,0.70,0.00,0.70,0.58,0.05
Keita Endo\Keita-Endo,MFFW,Union Berlin,de Bundesliga,22,16,456,0.20,0.00,0.20,0.24,0.22
Wataru Endo\Wataru-Endo,MF,Stuttgart,de Bundesliga,27,33,2955,0.09,0.09,0.18,0.07,0.06
Sergi Enrich\Sergi-Enrich,FW,Eibar,es La Liga,30,27,1404,0.19,0.00,0.19,0.37,0.06
Christian Eriksen\Christian-Eriksen,MF,Inter,it Serie A,28,26,1385,0.19,0.00,0.19,0.11,0.17
Martin Erlic\Martin-Erlic,DF,Spezia,it Serie A,22,27,1798,0.15,0.05,0.20,0.07,0.03
Patrick Erras\Patrick-Erras,MFFW,Werder Bremen,de Bundesliga,25,4,26,0.00,0.00,0.00,0.00,0.00
Gonzalo Escalante\Gonzalo-Escalante,MF,Lazio,it Serie A,27,24,733,0.00,0.12,0.12,0.07,0.00
Aarón Escandell\Aaron-Escandell,GK,Granada,es La Liga,24,5,450,0.00,0.00,0.00,0.00,0.00
Dani Escriche\Dani-Escriche,FWMF,Huesca,es La Liga,22,23,857,0.11,0.11,0.21,0.15,0.14
Sergio Escudero\Sergio-Escudero,DF,Sevilla,es La Liga,30,9,565,0.16,0.00,0.16,0.03,0.08
Alfonso Espino\Alfonso-Espino,DF,Cádiz,es La Liga,28,32,2601,0.00,0.10,0.10,0.01,0.04
Vicente Esquerdo\Vicente-Esquerdo,MF,Valencia,es La Liga,21,4,231,0.00,0.00,0.00,0.00,0.04
Nahuel Estévez\Nahuel-Estevez,MF,Spezia,it Serie A,24,27,1768,0.00,0.15,0.15,0.09,0.10
Pervis Estupiñán\Pervis-Estupinan,DF,Villarreal,es La Liga,22,25,1168,0.00,0.00,0.00,0.04,0.10
Yoann Etienne\Yoann-Etienne,DF,Lorient,fr Ligue 1,23,1,90,0.00,0.00,0.00,0.00,0.10
Xabier Etxeita\Xabier-Etxeita,DF,Getafe,es La Liga,32,11,883,0.00,0.00,0.00,0.05,0.02
Jonny Evans\Jonny-Evans,DF,Leicester City,eng Premier League,32,28,2473,0.07,0.07,0.15,0.06,0.01
Edu Expósito\Edu-Exposito,MF,Eibar,es La Liga,23,31,2455,0.00,0.11,0.11,0.12,0.10
Valentin Eysseric\Valentin-Eysseric,MFFW,Fiorentina,it Serie A,28,16,729,0.25,0.00,0.25,0.27,0.06
Eberechi Eze\Eberechi-Eze,MF,Crystal Palace,eng Premier League,22,34,2559,0.14,0.21,0.35,0.08,0.10
Jokin Ezkieta\Jokin-Ezkieta,GK,Athletic Club,es La Liga,23,1,90,0.00,0.00,0.00,0.00,0.00
Łukasz Fabiański\Lukasz-Fabianski,GK,West Ham,eng Premier League,35,35,3150,0.00,0.00,0.00,0.00,0.00
Fabinho\Fabinho,DFMF,Liverpool,eng Premier League,26,30,2567,0.00,0.00,0.00,0.01,0.01
Fábio\Fabio,DF,Nantes,fr Ligue 1,30,22,1507,0.00,0.06,0.06,0.02,0.03
Cesc Fàbregas\Cesc-Fabregas,MF,Monaco,fr Ligue 1,33,21,877,0.21,0.31,0.51,0.32,0.30
Bandiougou Fadiga\Bandiougou-Fadiga,FWMF,Paris S-G,fr Ligue 1,19,6,63,0.00,0.00,0.00,0.14,0.00
Bandiougou Fadiga\Bandiougou-Fadiga,MF,Brest,fr Ligue 1,19,4,43,0.00,0.00,0.00,0.00,0.00
Wout Faes\Wout-Faes,DF,Reims,fr Ligue 1,22,33,2899,0.03,0.00,0.03,0.02,0.00
Nicolò Fagioli\Nicolo-Fagioli,MF,Juventus,it Serie A,19,1,21,0.00,0.00,0.00,0.00,0.00
Ralf Fährmann\Ralf-Fahrmann,GK,Schalke 04,de Bundesliga,31,22,1876,0.00,0.00,0.00,0.00,0.00
Romain Faivre\Romain-Faivre,MFFW,Brest,fr Ligue 1,22,36,2891,0.19,0.16,0.34,0.22,0.18
Fali\Fali,DFMF,Cádiz,es La Liga,26,34,2637,0.00,0.00,0.00,0.02,0.02
Iago Falque\Iago-Falque,MFFW,Benevento,it Serie A,30,11,358,0.25,0.25,0.50,0.07,0.33
Andri Fannar Baldursson\Andri-Fannar-Baldursson,MF,Bologna,it Serie A,18,8,217,0.00,0.00,0.00,0.08,0.04
Paolo Faragò\Paolo-Farago,DF,Bologna,it Serie A,27,1,23,0.00,0.00,0.00,0.33,0.00
Paolo Faragò\Paolo-Farago,DFMF,Cagliari,it Serie A,27,8,369,0.00,0.00,0.00,0.02,0.17
Davide Faraoni\Davide-Faraoni,DF,Hellas Verona,it Serie A,28,34,2891,0.12,0.22,0.34,0.13,0.12
Mohamed Fares\Mohamed-Fares,DF,Lazio,it Serie A,24,21,1139,0.00,0.08,0.08,0.07,0.12
Diego Farias\Diego-Farias,FW,Spezia,it Serie A,30,29,1514,0.24,0.12,0.36,0.20,0.18
Wuilker Faríñez\Wuilker-Farinez,GK,Lens,fr Ligue 1,22,3,107,0.00,0.00,0.00,0.00,0.00
Noah Fatar\Noah-Fatar,FWMF,Angers,fr Ligue 1,18,2,21,0.00,0.00,0.00,0.00,0.00
Ansu Fati\Ansu-Fati,FW,Barcelona,es La Liga,17,7,431,0.83,0.00,0.84,0.38,0.29
Julien Faussurier\Julien-Faussurier,DF,Brest,fr Ligue 1,33,17,955,0.00,0.28,0.28,0.05,0.21
Andrea Favilli\Andrea-Favilli,FW,Hellas Verona,it Serie A,23,11,339,0.53,0.00,0.53,0.47,0.03
Federico Fazio\Federico-Fazio,DF,Roma,it Serie A,33,6,406,0.22,0.00,0.22,0.04,0.00
Nabil Fekir\Nabil-Fekir,MFFW,Betis,es La Liga,27,33,2622,0.17,0.21,0.38,0.26,0.18
Felipe\Felipe,DF,Atlético Madrid,es La Liga,31,31,2057,0.00,0.00,0.00,0.04,0.01
Luiz Felipe\Luiz-Felipe,DF,Lazio,it Serie A,23,14,909,0.00,0.00,0.00,0.02,0.02
Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,DF,Augsburg,de Bundesliga,22,29,2610,0.03,0.00,0.03,0.04,0.01
João Félix\Joao-Felix,FWMF,Atlético Madrid,es La Liga,20,31,1572,0.40,0.29,0.69,0.29,0.22
Zinedine Ferhat\Zinedine-Ferhat,FWMF,Nîmes,fr Ligue 1,27,33,2957,0.18,0.30,0.49,0.16,0.18
Bruno Fernandes\Bruno-Fernandes,MF,Manchester Utd,eng Premier League,25,37,3099,0.52,0.35,0.87,0.45,0.32
Edimilson Fernandes\Edimilson-Fernandes,MFDF,Mainz 05,de Bundesliga,24,14,841,0.00,0.11,0.11,0.08,0.10
Aitor Fernández\Aitor-Fernandez,GK,Levante,es La Liga,29,29,2610,0.00,0.00,0.00,0.00,0.00
Álex Fernández\Alex-Fernandez,MF,Cádiz,es La Liga,27,25,1946,0.19,0.05,0.23,0.15,0.08
Álvaro Fernández\Alvaro-Fernandez,GK,Huesca,es La Liga,22,22,1980,0.00,0.00,0.00,0.00,0.00
Andrés Fernández\Andres-Fernandez,GK,Huesca,es La Liga,33,16,1440,0.00,0.00,0.00,0.00,0.00
Augusto Fernández\Augusto-Fernandez,MF,Cádiz,es La Liga,34,12,369,0.00,0.00,0.00,0.00,0.00
Carlos Fernández\Carlos-Fernandez,FW,Sevilla,es La Liga,24,5,143,0.00,0.00,0.00,0.06,0.06
Carlos Fernández\Carlos-Fernandez,FWMF,Real Sociedad,es La Liga,24,11,390,0.23,0.47,0.69,0.26,0.14
Federico Fernández\Federico-Fernandez,DF,Newcastle Utd,eng Premier League,31,24,2079,0.00,0.00,0.00,0.01,0.01
Joaquín Fernández\Joaquin-Fernandez,DF,Valladolid,es La Liga,24,25,2073,0.04,0.00,0.04,0.06,0.01
Fernandinho\Fernandinho,MF,Manchester City,eng Premier League,35,21,1188,0.00,0.15,0.15,0.06,0.07
Fernando\Fernando,MF,Sevilla,es La Liga,33,31,2546,0.11,0.14,0.25,0.02,0.12
Alex Ferrari\Alex-Ferrari,DF,Sampdoria,it Serie A,26,12,880,0.00,0.10,0.10,0.00,0.04
David Ferreiro\David-Ferreiro,MFFW,Huesca,es La Liga,32,37,2527,0.07,0.14,0.21,0.07,0.20
Salvador Ferrer\Salvador-Ferrer,DF,Spezia,it Serie A,22,18,1190,0.00,0.08,0.08,,
Facundo Ferreyra\Facundo-Ferreyra,FW,Celta Vigo,es La Liga,29,13,300,0.30,0.00,0.30,0.42,0.00
Jordan Ferri\Jordan-Ferri,MF,Montpellier,fr Ligue 1,28,34,2577,0.00,0.10,0.10,0.01,0.05
Marco Festa\Marco-Festa,GK,Crotone,it Serie A,28,1,90,0.00,0.00,0.00,0.00,0.00
Fidel\Fidel,MFDF,Elche,es La Liga,30,30,2396,0.23,0.11,0.34,0.15,0.19
Sam Field\Sam-Field,MF,West Brom,eng Premier League,22,3,62,0.00,0.00,0.00,0.00,0.00
Alfreð Finnbogason\Alfred-Finnbogason,FW,Augsburg,de Bundesliga,31,17,544,0.00,0.17,0.17,0.52,0.23
