,,,,,Play,Play,Perf,Perf,Per,Expe,Expe
Player,Pos,Squad,Comp,Age,MP,Min,Gls,Ast,G+A,xG,xA
,,,,,,,,,,,
Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,MF,Lazio,it Serie A,27,32,1056,0.00,0.09,0.09,0.08,0.08
Kevin Akpoguma\Kevin-Akpoguma,DF,Hoffenheim,de Bundesliga,25,16,1184,0.08,0.00,0.08,0.01,0.03
David Alaba\David-Alaba,DFMF,Bayern Munich,de Bundesliga,28,32,2675,0.07,0.13,0.20,0.04,0.08
Sofiane Alakouch\Sofiane-Alakouch,DF,Nîmes,fr Ligue 1,22,22,1505,0.00,0.12,0.12,0.01,0.07
Jony Álamo\Jony-Alamo,MF,Elche,es La Liga,18,1,73,0.00,0.00,0.00,0.00,0.00
Lucas Alario\Lucas-Alario,FW,Leverkusen,de Bundesliga,27,25,1245,0.80,0.14,0.94,0.47,0.05
Jordi Alba\Jordi-Alba,DF,Barcelona,es La Liga,31,35,3025,0.09,0.15,0.24,0.07,0.22
Luis Alberto\Luis-Alberto,MF,Lazio,it Serie A,27,34,2618,0.31,0.07,0.38,0.19,0.28
Raúl Albiol\Raul-Albiol,DF,Villarreal,es La Liga,34,35,3115,0.00,0.00,0.00,0.02,0.03
Marc Albrighton\Marc-Albrighton,DFFW,Leicester City,eng Premier League,30,31,1746,0.05,0.26,0.31,0.07,0.23
Paco Alcácer\Paco-Alcacer,FW,Villarreal,es La Liga,26,27,1544,0.35,0.23,0.58,0.48,0.19
Pedro Alcalá\Pedro-Alcala,DF,Cádiz,es La Liga,31,13,909,0.00,0.00,0.00,0.01,0.00
Thiago Alcántara\Thiago-Alcantara,MF,Liverpool,eng Premier League,29,24,1854,0.05,0.00,0.05,0.07,0.11
Rubén Alcaraz\Ruben-Alcaraz,MF,Valladolid,es La Liga,29,30,2165,0.04,0.00,0.04,0.07,0.02
Omar Alderete\Omar-Alderete,DF,Hertha BSC,de Bundesliga,23,17,1299,0.00,0.00,0.00,0.03,0.01
Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,eng Premier League,31,25,2240,0.04,0.00,0.04,0.03,0.01
Iván Alejo\Ivan-Alejo,MFFW,Cádiz,es La Liga,25,22,827,0.11,0.11,0.22,0.11,0.09
Carles Aleñá\Carles-Alena,MF,Barcelona,es La Liga,22,2,48,0.00,0.00,0.00,0.00,0.00
Carles Aleñá\Carles-Alena,MFFW,Getafe,es La Liga,22,22,1366,0.13,0.13,0.26,0.13,0.13
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,Arsenal,eng Premier League,25,1,16,0.00,0.00,0.00,0.00,0.00
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,eng Premier League,21,36,3031,0.06,0.21,0.27,0.08,0.24
Alfon\Alfon,MF,Celta Vigo,es La Liga,21,2,34,0.00,0.00,0.00,0.00,0.25
Mohamed Ali Cho\Mohamed-Ali-Cho,FWMF,Angers,fr Ligue 1,16,21,348,0.00,0.00,0.00,0.36,0.03
Ezgjan Alioski\Ezgjan-Alioski,DF,Leeds United,eng Premier League,28,36,2461,0.07,0.11,0.18,0.05,0.11
Rachid Alioui\Rachid-Alioui,FW,Angers,fr Ligue 1,28,1,15,0.00,0.00,0.00,0.00,0.00
Alisson\Alisson,GK,Liverpool,eng Premier League,27,33,2970,0.03,0.00,0.03,0.00,0.00
Saturnin Allagbé\Saturnin-Allagbe,GK,Dijon,fr Ligue 1,26,12,1080,0.00,0.00,0.00,0.00,0.00
Allan\Allan,MF,Everton,eng Premier League,29,24,2051,0.00,0.00,0.00,0.01,0.04
Dele Alli\Dele-Alli,MF,Tottenham,eng Premier League,24,15,620,0.00,0.14,0.15,0.19,0.13
Miguel Almirón\Miguel-Almiron,MFFW,Newcastle Utd,eng Premier League,26,34,2429,0.15,0.04,0.19,0.12,0.10
Marcos Alonso\Marcos-Alonso,DF,Chelsea,eng Premier League,29,13,960,0.19,0.00,0.19,0.16,0.10
Sergio Álvarez\Sergio-Alvarez,MFDF,Eibar,es La Liga,28,27,1568,0.00,0.00,0.00,0.02,0.05
Yeray Álvarez\Yeray-Alvarez,DF,Athletic Club,es La Liga,25,23,1948,0.05,0.00,0.05,0.02,0.02
Bruno Alves\Bruno-Alves,DF,Parma,it Serie A,38,19,1632,0.06,0.00,0.06,0.02,0.01
Steven Alzate\Steven-Alzate,MFDF,Brighton,eng Premier League,21,15,896,0.10,0.00,0.10,0.07,0.05
Ibrahim Amadou\Ibrahim-Amadou,MF,Angers,fr Ligue 1,27,24,1504,0.00,0.00,0.00,0.13,0.02
Romain Amalfitano\Romain-Amalfitano,FWDF,Dijon,fr Ligue 1,30,2,116,0.00,0.00,0.00,0.00,0.00
Emmanuel Amankwaa Akurugu\Emmanuel-Amankwaa-Akurugu,DF,Getafe,es La Liga,18,1,45,0.00,0.00,0.00,0.00,0.00
Daniel Amartey\Daniel-Amartey,DF,Leicester City,eng Premier League,25,12,722,0.13,0.00,0.12,0.05,0.00
Jordan Amavi\Jordan-Amavi,DF,Marseille,fr Ligue 1,26,13,813,0.11,0.00,0.11,0.02,0.03
Thierry Ambrose\Thierry-Ambrose,FW,Metz,fr Ligue 1,23,23,753,0.00,0.12,0.12,0.17,0.18
Wisdom Amey\Wisdom-Amey,DF,Bologna,it Serie A,14,1,2,0,0,0.00,0.0,0.0
Nadiem Amiri\Nadiem-Amiri,MF,Leverkusen,de Bundesliga,23,29,1890,0.10,0.29,0.38,0.10,0.14
Ethan Ampadu\Ethan-Ampadu,DFMF,Sheffield Utd,eng Premier League,19,25,2089,0.00,0.00,0.00,0.01,0.04
Sofyan Amrabat\Sofyan-Amrabat,MF,Fiorentina,it Serie A,23,31,2441,0.00,0.00,0.00,0.01,0.02
Jon Ander Garrido\Jon-Ander-Garrido,MF,Cádiz,es La Liga,30,23,800,0.00,0.00,0.00,0.04,0.01
Joachim Andersen\Joachim-Andersen,DF,Lyon,fr Ligue 1,24,3,192,0.00,0.00,0.00,0.14,0.00
Joachim Andersen\Joachim-Andersen,DF,Fulham,eng Premier League,24,31,2730,0.03,0.03,0.07,0.04,0.02
