,,,,,,Tack,Pres,Bloc,,,
Player,Pos,Squad,Comp,Age,90s,Tkl,Press,Sh,Int,Clr,Err
,,,,,,,,,,,
Habib Diallo\Habib-Diallo,FW,Strasbourg,fr Ligue 1,25,25.8,0.47,10.2,0.12,0.50,0.54,0.04
Habib Diallo\Habib-Diallo,FW,Metz,fr Ligue 1,25,1.6,0.63,11.9,0.00,0.00,3.13,0.00
Ibrahima Diallo\Ibrahima-Diallo,MF,Southampton,eng Premier League,21,11.3,2.65,21.4,0.09,1.42,1.42,0.00
Ibrahima Diallo\Ibrahima-Diallo,MF,Brest,fr Ligue 1,21,4.9,1.84,17.3,0.00,0.61,0.61,0.00
Amadou Diambo\Amadou-Diambo,FW,Benevento,it Serie A,19,0.0,0,0,0,0,0,0
Grady Diangana\Grady-Diangana,MFFW,West Brom,eng Premier League,22,13.7,2.55,22.6,0.15,1.02,0.36,0.07
Stéphane Diarra\Stephane-Diarra,FWMF,Lorient,fr Ligue 1,21,2.2,0.45,21.8,0.45,0.00,0.00,0.00
Raphael Dias Belloli\Raphael-Dias-Belloli,MF,Leeds United,eng Premier League,23,26.2,1.45,15.3,0.04,1.18,1.26,0.00
Raphael Dias Belloli\Raphael-Dias-Belloli,FWMF,Rennes,fr Ligue 1,23,4.5,1.33,14.2,0.00,0.89,0.44,0.00
Rúben Dias\Ruben-Dias,DF,Manchester City,eng Premier League,23,31.6,0.98,5.73,0.79,0.70,3.73,0.00
Krepin Diatta\Krepin-Diatta,MFDF,Monaco,fr Ligue 1,21,4.3,1.16,16.5,0.23,0.23,0.70,0.00
Amadou Diawara\Amadou-Diawara,MF,Roma,it Serie A,23,7.3,1.92,26.7,0.27,1.23,1.51,0.00
Brahim Díaz\Brahim-Diaz,MFFW,Milan,it Serie A,20,13.6,1.62,20.0,0.07,0.44,0.15,0.00
Víctor Díaz\Victor-Diaz,DF,Granada,es La Liga,32,9.2,2.17,12.3,1.09,1.74,5.22,0.00
Daniel Didavi\Daniel-Didavi,FWMF,Stuttgart,de Bundesliga,30,10.8,1.39,16.4,0.00,0.56,0.83,0.00
Eric Dier\Eric-Dier,DF,Tottenham,eng Premier League,26,28.0,0.86,5.93,1.21,0.82,6.04,0.00
Daan Dierckx\Daan-Dierckx,DF,Parma,it Serie A,17,5.2,1.15,10.6,1.35,2.12,4.81,0.00
Lucas Digne\Lucas-Digne,DF,Everton,eng Premier League,27,29.8,2.62,13.8,0.13,0.87,3.22,0.00
Virgil van Dijk\Virgil-van-Dijk,DF,Liverpool,eng Premier League,29,4.1,0.73,3.41,0.49,0.00,2.93,0.24
Mitchell Dijks\Mitchell-Dijks,DF,Bologna,it Serie A,27,16.5,1.82,13.8,0.12,1.21,2.18,0.00
Javairô Dilrosun\Javairo-Dilrosun,FWMF,Hertha BSC,de Bundesliga,22,5.9,1.36,20.5,0.00,1.02,0.34,0.00
Federico Dimarco\Federico-Dimarco,DF,Hellas Verona,it Serie A,22,29.0,1.38,9.48,0.34,1.45,2.66,0.03
Junior Dina Ebimbe\Junior-Dina-Ebimbe,FWMF,Dijon,fr Ligue 1,19,23.8,1.76,17.7,0.13,0.71,0.46,0.00
Tristan Dingomé\Tristan-Dingome,MF,Reims,fr Ligue 1,29,0.2,0.00,15.0,0.00,0.00,0.00,0.00
Eren Dinkçi\Eren-Dinkci,FWMF,Werder Bremen,de Bundesliga,18,1.2,1.67,34.2,0.00,2.50,0.83,0.00
Sinaly Diomande\Sinaly-Diomande,DF,Lyon,fr Ligue 1,19,12.6,0.95,8.73,1.11,1.83,6.75,0.08
Lois Diony\Lois-Diony,FW,Angers,fr Ligue 1,27,19.4,0.88,17.0,0.10,0.15,0.77,0.00
Issa Diop\Issa-Diop,DF,West Ham,eng Premier League,23,15.3,1.70,7.39,1.57,0.92,5.36,0.13
Papakouli Diop\Papakouli-Diop,MF,Eibar,es La Liga,34,25.8,1.86,13.3,0.23,1.51,2.09,0.08
Sofiane Diop\Sofiane-Diop,MFFW,Monaco,fr Ligue 1,20,22.5,2.84,21.1,0.04,0.71,0.49,0.00
Andy Diouf\Andy-Diouf,FW,Rennes,fr Ligue 1,18,0.1,0.00,50.0,0.00,0.00,0.00,0.00
Yehvann Diouf\Yehvann-Diouf,GK,Reims,fr Ligue 1,20,1.5,0.00,0.00,0.00,0.00,0.00,0.00
Assane Dioussé\Assane-Diousse,DF,Saint-Étienne,fr Ligue 1,22,0.0,0,0,0,0,0,0
Axel Disasi\Axel-Disasi,DF,Monaco,fr Ligue 1,22,22.3,1.30,7.67,0.58,1.21,4.57,0.04
Tiago Djaló\Tiago-Djalo,DF,Lille,fr Ligue 1,20,9.7,2.78,11.4,0.41,1.13,3.51,0.00
Djené\Djene,DF,Getafe,es La Liga,28,32.7,1.87,8.41,0.40,1.68,6.42,0.03
Moussa Djenepo\Moussa-Djenepo,MF,Southampton,eng Premier League,22,13.8,3.33,24.1,0.07,0.80,1.16,0.00
Koffi Djidji\Koffi-Djidji,DF,Crotone,it Serie A,27,16.9,2.78,16.3,1.30,1.66,4.97,0.00
Alexander Djiku\Alexander-Djiku,DFMF,Strasbourg,fr Ligue 1,25,28.4,2.29,10.8,0.49,2.82,5.92,0.07
Berat Djimsiti\Berat-Djimsiti,DF,Atalanta,it Serie A,27,29.2,1.40,10.5,0.65,1.64,3.97,0.00
Marko Dmitrović\Marko-Dmitrovic,GK,Eibar,es La Liga,28,34.7,0.03,0.20,0.00,0.00,0.03,0.03
Ritsu Doan\Ritsu-Doan,MFFW,Arminia,de Bundesliga,22,30.8,2.05,21.1,0.13,0.84,0.39,0.00
Mihai Dobre\Mihai-Dobre,FWMF,Dijon,fr Ligue 1,21,5.9,1.86,17.5,0.17,1.53,1.02,0.00
Matt Doherty\Matt-Doherty,DF,Tottenham,eng Premier League,28,13.8,1.67,13.5,0.36,1.30,3.91,0.00
Jeremy Doku\Jeremy-Doku,MFFW,Rennes,fr Ligue 1,18,25.7,1.98,17.1,0.08,0.47,0.23,0.00
Kasper Dolberg\Kasper-Dolberg,FW,Nice,fr Ligue 1,22,21.4,0.33,12.3,0.14,0.19,1.03,0.05
Keagan Dolly\Keagan-Dolly,MF,Montpellier,fr Ligue 1,27,5.0,2.60,16.2,0.00,0.80,0.40,0.00
Jaume Doménech\Jaume-Domenech,GK,Valencia,es La Liga,29,28.0,0.00,0.14,0.00,0.00,0.11,0.04
Carlos Dominguez\Carlos-Dominguez,DF,Celta Vigo,es La Liga,19,4.0,1.50,10.8,1.00,1.75,7.25,0.00
Nicolás Domínguez\Nicolas-Dominguez,MF,Bologna,it Serie A,22,13.9,3.74,25.2,0.50,1.80,1.51,0.00
John Donald\John-Donald,DFFW,Elche,es La Liga,19,0.6,0.00,3.33,0.00,0.00,0.00,0.00
Ji Dong-won\Ji-Dong-won,FWDF,Mainz 05,de Bundesliga,29,0.7,2.86,15.7,0.00,0.00,0.00,0.00
Anastasios Donis\Anastasios-Donis,MF,Reims,fr Ligue 1,23,1.1,0.91,14.5,0.00,0.00,0.00,0.00
Gianluigi Donnarumma\Gianluigi-Donnarumma,GK,Milan,it Serie A,21,37.0,0.00,0.00,0.00,0.00,0.03,0.03
Gabriel Dos Santos\Gabriel-Dos-Santos,DF,Arsenal,eng Premier League,22,22.2,1.26,6.80,1.04,1.04,4.77,0.09
Bas Dost\Bas-Dost,FW,Eint Frankfurt,de Bundesliga,31,9.1,0.44,9.78,0.11,0.22,0.88,0.00
Lucas Douath\Lucas-Douath,MF,Saint-Étienne,fr Ligue 1,16,14.7,2.59,16.1,0.00,1.50,1.84,0.07
Abdoulaye Doucouré\Abdoulaye-Doucoure,MF,Everton,eng Premier League,27,27.1,2.07,20.1,0.33,1.29,1.07,0.04
Cheick Doucouré\Cheick-Doucoure,MF,Lens,fr Ligue 1,20,29.2,3.05,16.1,0.17,1.88,1.44,0.00
Fodé Doucouré\Fode-Doucoure,DF,Reims,fr Ligue 1,19,3.7,2.70,17.3,0.00,1.08,4.32,0.00
Mahamadou Doucouré\Mahamadou-Doucoure,FW,Nîmes,fr Ligue 1,20,0.5,2.00,28.0,0.00,2.00,0.00,0.00
Cheick Doukouré\Cheick-Doukoure,MF,Levante,es La Liga,27,1.1,5.45,39.1,0.91,1.82,1.82,0.00
Idrissa Doumbia\Idrissa-Doumbia,MF,Huesca,es La Liga,22,8.7,1.95,13.4,0.34,1.03,1.26,0.00
Moussa Doumbia\Moussa-Doumbia,MFFW,Reims,fr Ligue 1,25,10.0,0.60,12.6,0.30,1.60,0.30,0.00
Souleyman Doumbia\Souleyman-Doumbia,DF,Angers,fr Ligue 1,23,24.7,2.31,10.8,0.20,1.62,2.39,0.04
Aleksandar Dragović\Aleksandar-Dragovic,DF,Leverkusen,de Bundesliga,29,12.6,1.35,9.76,0.48,1.19,3.89,0.00
Bartłomiej Drągowski\Bartlomiej-Dragowski,GK,Fiorentina,it Serie A,22,35.0,0.00,0.23,0.00,0.00,0.00,0.03
Denis Drăguș\Denis-Dragus,FWMF,Crotone,it Serie A,21,2.0,1.50,23.5,0.00,0.50,0.00,0.00
Radu Drăgușin\Radu-Dragusin,DF,Juventus,it Serie A,18,0.0,0,2,0,0,1,0
Mouhamadou Drammeh\Mouhamadou-Drammeh,MF,Reims,fr Ligue 1,21,1.9,0.53,12.1,0.53,1.05,3.68,0.00
Julian Draxler\Julian-Draxler,MFFW,Paris S-G,fr Ligue 1,26,11.8,1.10,10.8,0.00,1.36,0.25,0.00
Dominick Drexler\Dominick-Drexler,MFFW,Köln,de Bundesliga,30,13.7,2.41,20.5,0.36,1.31,1.24,0.00
Matthieu Dreyer\Matthieu-Dreyer,GK,Lorient,fr Ligue 1,31,15.0,0.00,0.07,0.00,0.00,0.00,0.07
Domingos Duarte\Domingos-Duarte,DF,Granada,es La Liga,25,26.3,1.52,5.32,0.76,1.18,4.26,0.04
Léo Duarte\Leo-Duarte,DF,Milan,it Serie A,24,0.2,5.00,25.0,0.00,0.00,0.00,0.00
Óscar Duarte\Oscar-Duarte,DF,Levante,es La Liga,31,22.9,1.00,7.86,0.83,1.09,8.03,0.04
Rubén Duarte\Ruben-Duarte,DF,Alavés,es La Liga,24,28.3,2.16,13.1,0.25,1.48,4.10,0.04
Leo Dubois\Leo-Dubois,DF,Lyon,fr Ligue 1,25,32.3,1.52,11.0,0.40,0.93,1.95,0.06
Martin Dúbravka\Martin-Dubravka,GK,Newcastle Utd,eng Premier League,31,13.0,0.00,0.15,0.00,0.00,0.00,0.00
Ondrej Duda\Ondrej-Duda,FWMF,Köln,de Bundesliga,25,28.2,1.81,18.7,0.07,0.67,0.71,0.00
Unai Dufur\Unai-Dufur,DF,Eibar,es La Liga,21,0.7,2.86,15.7,0.00,0.00,8.57,0.00
Haris Duljević\Haris-Duljevic,MFFW,Nîmes,fr Ligue 1,26,8.6,2.44,13.7,0.00,1.51,0.23,0.00
Paul Dummett\Paul-Dummett,DF,Newcastle Utd,eng Premier League,28,13.9,1.51,8.56,0.72,1.22,6.83,0.07
Alfred Duncan\Alfred-Duncan,MF,Fiorentina,it Serie A,27,1.8,0.56,11.1,0.00,1.67,2.22,0.00
Alfred Duncan\Alfred-Duncan,MF,Cagliari,it Serie A,27,11.9,1.93,17.5,0.00,1.34,1.18,0.00
Lewis Dunk\Lewis-Dunk,DF,Brighton,eng Premier League,28,32.6,1.04,5.77,0.74,0.89,3.87,0.06
Jimmy Dunne\Jimmy-Dunne,DF,Burnley,eng Premier League,22,3.0,1.33,8.00,1.33,1.00,6.33,0.00
Erik Durm\Erik-Durm,DF,Eint Frankfurt,de Bundesliga,28,16.4,1.28,13.8,0.37,1.40,1.52,0.00
Hugo Duro\Hugo-Duro,FW,Real Madrid,es La Liga,20,0.6,0.00,6.67,0.00,0.00,0.00,0.00
Jean-Kevin Duverne\Jean-Kevin-Duverne,DF,Brest,fr Ligue 1,23,22.5,1.82,9.78,0.76,0.80,4.40,0.04
Paulo Dybala\Paulo-Dybala,FW,Juventus,it Serie A,26,12.6,1.19,16.3,0.00,0.24,0.08,0.00
Edin Džeko\Edin-Dzeko,FW,Roma,it Serie A,34,20.3,0.34,9.36,0.25,0.20,0.54,0.00
Steeve-Mike Ebongue\Steeve-Mike-Ebongue,MF,Genoa,it Serie A,19,0.6,1.67,26.7,0.00,1.67,1.67,0.00
Enzo Ebosse\Enzo-Ebosse,DF,Angers,fr Ligue 1,21,2.9,2.07,13.4,0.69,0.34,4.14,0.00
Bruno Ecuele Manga\Bruno-Ecuele-Manga,DF,Dijon,fr Ligue 1,32,38.0,1.63,5.92,1.00,2.16,5.50,0.05
Simone Edera\Simone-Edera,DFMF,Torino,it Serie A,23,0.6,5.00,16.7,0.00,0.00,1.67,0.00
Ederson\Ederson,GK,Manchester City,eng Premier League,26,36.0,0.00,0.14,0.00,0.00,0.06,0.03
Kyle Edwards\Kyle-Edwards,MFFW,West Brom,eng Premier League,22,1.3,2.31,11.5,0.00,0.77,0.00,0.00
John Egan\John-Egan,DF,Sheffield Utd,eng Premier League,27,29.2,1.61,8.46,1.13,1.40,5.48,0.03
Johannes Eggestein\Johannes-Eggestein,FWMF,Werder Bremen,de Bundesliga,22,0.4,0.00,37.5,0.00,0.00,5.00,0.00
Maximilian Eggestein\Maximilian-Eggestein,MF,Werder Bremen,de Bundesliga,23,32.7,1.83,15.7,0.12,1.31,1.44,0.00
Lilian Egloff\Lilian-Egloff,MF,Stuttgart,de Bundesliga,17,0.2,0.00,15.0,0.00,0.00,0.00,0.00
Kingsley Ehizibue\Kingsley-Ehizibue,DF,Köln,de Bundesliga,25,12.6,2.86,15.2,0.32,1.35,3.81,0.08
Albin Ekdal\Albin-Ekdal,MF,Sampdoria,it Serie A,31,25.5,2.43,23.0,0.51,1.33,1.73,0.00
Hugo Ekitike\Hugo-Ekitike,MFFW,Reims,fr Ligue 1,18,1.0,1.00,22.0,0.00,0.00,0.00,0.00
Anthony Elanga\Anthony-Elanga,FW,Manchester Utd,eng Premier League,18,1.7,2.35,28.8,0.59,0.59,0.59,0.00
Niclas Eliasson\Niclas-Eliasson,MFFW,Nîmes,fr Ligue 1,24,20.0,1.85,18.9,0.05,1.10,1.00,0.00
Elif Elmas\Elif-Elmas,MFFW,Napoli,it Serie A,20,8.2,1.83,17.1,0.12,0.61,0.49,0.00
Ahmed Elmohamady\Ahmed-Elmohamady,DF,Aston Villa,eng Premier League,32,9.3,1.94,7.96,0.43,2.90,3.44,0.00
Mohamed Elneny\Mohamed-Elneny,MF,Arsenal,eng Premier League,28,17.2,0.93,11.5,0.23,1.16,1.40,0.06
Aritz Elustondo\Aritz-Elustondo,DF,Real Sociedad,es La Liga,26,20.9,1.48,7.27,0.24,0.38,5.93,0.00
Nico Elvedi\Nico-Elvedi,DF,M'Gladbach,de Bundesliga,23,28.2,2.16,7.94,0.82,2.27,6.17,0.00
Rodrigo Ely\Rodrigo-Ely,DF,Alavés,es La Liga,26,5.2,1.35,5.38,0.19,0.38,6.35,0.19
Sepe Elye Wahi\Sepe-Elye-Wahi,FW,Montpellier,fr Ligue 1,17,6.2,0.65,14.2,0.00,0.32,0.81,0.00
Breel Embolo\Breel-Embolo,FWMF,M'Gladbach,de Bundesliga,23,16.0,1.38,17.7,0.06,0.38,0.38,0.00
Emerson\Emerson,DF,Betis,es La Liga,21,33.2,2.89,16.1,0.21,2.02,3.49,0.03
Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,MF,Atalanta,it Serie A,18,0.0,0,1,0,0,0,0
Renaud Emond\Renaud-Emond,FWMF,Nantes,fr Ligue 1,28,3.9,0.77,17.4,0.26,0.26,0.26,0.00
Alan Empereur\Alan-Empereur,DF,Hellas Verona,it Serie A,26,2.4,0.83,6.25,0.42,2.08,2.08,0.83
Youssef En-Nesyri\Youssef-En-Nesyri,FW,Sevilla,es La Liga,23,25.7,0.97,15.4,0.04,0.31,0.82,0.00
Keita Endo\Keita-Endo,MFFW,Union Berlin,de Bundesliga,22,5.1,1.57,19.2,0.39,1.76,1.18,0.00
Wataru Endo\Wataru-Endo,MF,Stuttgart,de Bundesliga,27,32.8,2.71,19.5,0.37,1.43,2.23,0.03
Sergi Enrich\Sergi-Enrich,FW,Eibar,es La Liga,30,15.6,1.41,20.1,0.00,0.71,0.51,0.00
Christian Eriksen\Christian-Eriksen,MF,Inter,it Serie A,28,15.4,0.78,11.5,0.13,0.65,0.91,0.06
Martin Erlic\Martin-Erlic,DF,Spezia,it Serie A,22,20.0,1.30,10.9,0.75,1.50,5.25,0.20
Patrick Erras\Patrick-Erras,MFFW,Werder Bremen,de Bundesliga,25,0.3,0.00,10.0,0.00,0.00,0.00,0.00
Gonzalo Escalante\Gonzalo-Escalante,MF,Lazio,it Serie A,27,8.1,3.46,21.0,0.25,1.11,2.84,0.00
Aarón Escandell\Aaron-Escandell,GK,Granada,es La Liga,24,5.0,0.00,0.20,0.00,0.00,0.40,0.00
Dani Escriche\Dani-Escriche,FWMF,Huesca,es La Liga,22,9.5,1.68,14.9,0.00,0.84,0.42,0.00
Sergio Escudero\Sergio-Escudero,DF,Sevilla,es La Liga,30,6.3,1.90,14.0,0.32,1.11,2.06,0.00
Alfonso Espino\Alfonso-Espino,DF,Cádiz,es La Liga,28,28.9,3.18,18.2,0.24,1.59,2.98,0.00
Vicente Esquerdo\Vicente-Esquerdo,MF,Valencia,es La Liga,21,2.6,2.69,17.7,1.15,1.92,2.31,0.00
Nahuel Estévez\Nahuel-Estevez,MF,Spezia,it Serie A,24,19.6,0.87,16.1,0.26,1.63,1.48,0.00
Pervis Estupiñán\Pervis-Estupinan,DF,Villarreal,es La Liga,22,13.0,2.85,13.5,0.15,2.23,1.77,0.15
Yoann Etienne\Yoann-Etienne,DF,Lorient,fr Ligue 1,23,1.0,2.00,21.0,0.00,2.00,0.00,0.00
Xabier Etxeita\Xabier-Etxeita,DF,Getafe,es La Liga,32,9.8,1.22,7.86,0.31,1.02,7.86,0.10
Jonny Evans\Jonny-Evans,DF,Leicester City,eng Premier League,32,27.5,0.76,6.11,0.22,1.49,5.31,0.00
Edu Expósito\Edu-Exposito,MF,Eibar,es La Liga,23,27.3,1.58,16.2,0.15,1.17,0.84,0.04
Valentin Eysseric\Valentin-Eysseric,MFFW,Fiorentina,it Serie A,28,8.1,2.22,20.0,0.00,1.11,0.62,0.00
Eberechi Eze\Eberechi-Eze,MF,Crystal Palace,eng Premier League,22,28.4,1.34,11.2,0.11,1.02,0.21,0.00
Jokin Ezkieta\Jokin-Ezkieta,GK,Athletic Club,es La Liga,23,1.0,0.00,0.00,0.00,0.00,0.00,0.00
Łukasz Fabiański\Lukasz-Fabianski,GK,West Ham,eng Premier League,35,35.0,0.00,0.31,0.00,0.00,0.03,0.03
Fabinho\Fabinho,DFMF,Liverpool,eng Premier League,26,28.5,2.53,12.3,0.42,1.72,3.72,0.00
Fábio\Fabio,DF,Nantes,fr Ligue 1,30,16.7,4.43,19.3,0.54,1.26,3.95,0.00
Cesc Fàbregas\Cesc-Fabregas,MF,Monaco,fr Ligue 1,33,9.7,2.27,16.3,0.21,0.31,0.62,0.00
Bandiougou Fadiga\Bandiougou-Fadiga,FWMF,Paris S-G,fr Ligue 1,19,0.7,1.43,24.3,0.00,1.43,0.00,0.00
Bandiougou Fadiga\Bandiougou-Fadiga,MF,Brest,fr Ligue 1,19,0.5,0.00,16.0,0.00,2.00,0.00,0.00
Wout Faes\Wout-Faes,DF,Reims,fr Ligue 1,22,32.2,1.52,7.05,0.96,1.71,5.65,0.12
Nicolò Fagioli\Nicolo-Fagioli,MF,Juventus,it Serie A,19,0.2,0.00,25.0,0.00,0.00,0.00,0.00
Ralf Fährmann\Ralf-Fahrmann,GK,Schalke 04,de Bundesliga,31,20.8,0.00,0.19,0.00,0.00,0.00,0.00
Romain Faivre\Romain-Faivre,MFFW,Brest,fr Ligue 1,22,32.1,2.09,16.2,0.00,1.03,0.53,0.00
Fali\Fali,DFMF,Cádiz,es La Liga,26,29.3,1.47,9.56,0.55,0.82,5.05,0.00
Iago Falque\Iago-Falque,MFFW,Benevento,it Serie A,30,4.0,1.00,9.75,0.25,0.75,0.50,0.00
Andri Fannar Baldursson\Andri-Fannar-Baldursson,MF,Bologna,it Serie A,18,2.4,2.08,30.8,0.42,0.42,3.33,0.00
Paolo Faragò\Paolo-Farago,DF,Bologna,it Serie A,27,0.3,0.00,20.0,0.00,0.00,0.00,0.00
Paolo Faragò\Paolo-Farago,DFMF,Cagliari,it Serie A,27,4.1,2.68,17.8,0.49,2.20,4.39,0.00
Davide Faraoni\Davide-Faraoni,DF,Hellas Verona,it Serie A,28,32.1,2.21,12.2,0.53,1.74,2.90,0.03
Mohamed Fares\Mohamed-Fares,DF,Lazio,it Serie A,24,12.7,1.42,13.7,0.08,1.02,1.10,0.00
Diego Farias\Diego-Farias,FW,Spezia,it Serie A,30,16.8,0.71,11.8,0.00,0.77,0.18,0.00
Wuilker Faríñez\Wuilker-Farinez,GK,Lens,fr Ligue 1,22,1.2,0.00,0.00,0.00,0.00,0.00,0.00
Noah Fatar\Noah-Fatar,FWMF,Angers,fr Ligue 1,18,0.2,0.00,25.0,0.00,5.00,0.00,0.00
Ansu Fati\Ansu-Fati,FW,Barcelona,es La Liga,17,4.8,1.67,16.7,0.00,0.21,0.21,0.00
Julien Faussurier\Julien-Faussurier,DF,Brest,fr Ligue 1,33,10.6,2.17,12.5,0.47,0.75,1.89,0.00
Andrea Favilli\Andrea-Favilli,FW,Hellas Verona,it Serie A,23,3.8,0.79,10.5,0.26,0.00,0.79,0.00
Federico Fazio\Federico-Fazio,DF,Roma,it Serie A,33,4.5,1.11,8.67,0.89,1.11,7.11,0.00
Nabil Fekir\Nabil-Fekir,MFFW,Betis,es La Liga,27,29.1,1.55,20.8,0.03,0.41,0.10,0.00
Felipe\Felipe,DF,Atlético Madrid,es La Liga,31,22.9,1.66,8.03,0.74,1.88,6.94,0.00
Luiz Felipe\Luiz-Felipe,DF,Lazio,it Serie A,23,10.1,3.66,12.0,0.99,2.08,2.67,0.10
Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,DF,Augsburg,de Bundesliga,22,29.0,1.38,9.48,0.93,1.24,7.55,0.10
João Félix\Joao-Felix,FWMF,Atlético Madrid,es La Liga,20,17.5,0.51,10.4,0.00,0.51,0.17,0.00
Zinedine Ferhat\Zinedine-Ferhat,FWMF,Nîmes,fr Ligue 1,27,32.9,1.12,11.5,0.03,1.03,1.06,0.00
Bruno Fernandes\Bruno-Fernandes,MF,Manchester Utd,eng Premier League,25,34.4,1.74,20.9,0.03,0.64,0.78,0.00
Edimilson Fernandes\Edimilson-Fernandes,MFDF,Mainz 05,de Bundesliga,24,9.3,0.97,12.4,0.65,2.47,2.80,0.00
Aitor Fernández\Aitor-Fernandez,GK,Levante,es La Liga,29,29.0,0.00,0.21,0.00,0.00,0.14,0.00
Álex Fernández\Alex-Fernandez,MF,Cádiz,es La Liga,27,21.6,1.16,15.2,0.05,0.97,1.11,0.00
Álvaro Fernández\Alvaro-Fernandez,GK,Huesca,es La Liga,22,22.0,0.00,0.23,0.00,0.00,0.05,0.00
Andrés Fernández\Andres-Fernandez,GK,Huesca,es La Liga,33,16.0,0.00,0.00,0.00,0.00,0.00,0.13
Augusto Fernández\Augusto-Fernandez,MF,Cádiz,es La Liga,34,4.1,2.68,29.3,0.24,2.68,1.95,0.00
Carlos Fernández\Carlos-Fernandez,FW,Sevilla,es La Liga,24,1.6,0.63,10.6,0.63,0.63,0.00,0.00
Carlos Fernández\Carlos-Fernandez,FWMF,Real Sociedad,es La Liga,24,4.3,0.47,25.8,0.47,0.70,1.40,0.00
Federico Fernández\Federico-Fernandez,DF,Newcastle Utd,eng Premier League,31,23.1,1.52,7.92,1.39,0.74,7.19,0.04
Joaquín Fernández\Joaquin-Fernandez,DF,Valladolid,es La Liga,24,23.0,1.26,7.87,0.65,1.43,6.57,0.04
Fernandinho\Fernandinho,MF,Manchester City,eng Premier League,35,13.2,2.35,16.9,0.08,1.97,2.42,0.00
Fernando\Fernando,MF,Sevilla,es La Liga,33,28.3,2.40,12.9,0.32,1.41,2.76,0.00
Alex Ferrari\Alex-Ferrari,DF,Sampdoria,it Serie A,26,9.8,3.27,14.9,0.71,1.73,3.47,0.00
David Ferreiro\David-Ferreiro,MFFW,Huesca,es La Liga,32,28.1,1.07,17.4,0.04,0.64,0.39,0.00
Salvador Ferrer\Salvador-Ferrer,DF,Spezia,it Serie A,22,13.2,,,,1.67,,
Facundo Ferreyra\Facundo-Ferreyra,FW,Celta Vigo,es La Liga,29,3.3,0.61,20.3,0.00,0.00,0.61,0.00
Jordan Ferri\Jordan-Ferri,MF,Montpellier,fr Ligue 1,28,28.6,2.87,20.2,0.21,0.59,0.77,0.00
Marco Festa\Marco-Festa,GK,Crotone,it Serie A,28,1.0,0.00,0.00,0.00,0.00,0.00,0.00
Fidel\Fidel,MFDF,Elche,es La Liga,30,26.6,1.80,15.3,0.15,0.49,0.86,0.00
Sam Field\Sam-Field,MF,West Brom,eng Premier League,22,0.7,12.9,31.4,1.43,0.00,5.71,0.00
Alfreð Finnbogason\Alfred-Finnbogason,FW,Augsburg,de Bundesliga,31,6.0,0.50,14.0,0.33,0.17,0.67,0.00
Roberto Firmino\Roberto-Firmino,FW,Liverpool,eng Premier League,28,31.5,1.11,18.9,0.16,0.32,0.35,0.00
Junior Firpo\Junior-Firpo,DF,Barcelona,es La Liga,23,3.2,0.63,10.0,0.94,1.25,1.88,0.00
John Fleck\John-Fleck,MF,Sheffield Utd,eng Premier League,28,28.6,1.61,17.7,0.17,1.36,0.63,0.03
Mark Flekken\Mark-Flekken,GK,Freiburg,de Bundesliga,27,3.0,0.00,0.00,0.00,0.00,0.00,0.00
Florian Flick\Florian-Flick,MF,Schalke 04,de Bundesliga,20,4.0,2.25,27.8,0.50,1.50,2.75,0.00
Alexis Flips\Alexis-Flips,MF,Reims,fr Ligue 1,20,0.5,0.00,26.0,0.00,0.00,4.00,0.00
Alessandro Florenzi\Alessandro-Florenzi,DF,Paris S-G,fr Ligue 1,29,17.1,1.70,9.88,0.06,0.94,1.58,0.00
Kingsley Fobi\Kingsley-Fobi,DF,Granada,es La Liga,21,0.5,0.00,2.00,0.00,0.00,2.00,0.00
Phil Foden\Phil-Foden,FWMF,Manchester City,eng Premier League,20,18.0,1.44,17.1,0.06,0.67,0.67,0.00
Mamadou Fofana\Mamadou-Fofana,MFDF,Metz,fr Ligue 1,22,11.9,2.61,14.5,0.25,1.26,3.45,0.00
Seko Fofana\Seko-Fofana,MF,Lens,fr Ligue 1,25,25.7,0.86,13.5,0.19,1.25,0.82,0.00
Wesley Fofana\Wesley-Fofana,DF,Leicester City,eng Premier League,19,25.1,2.51,9.88,0.84,2.03,4.98,0.00
Wesley Fofana\Wesley-Fofana,DF,Saint-Étienne,fr Ligue 1,19,3.5,1.71,7.71,0.86,1.14,5.14,0.00
Youssouf Fofana\Youssouf-Fofana,MF,Monaco,fr Ligue 1,21,31.9,3.01,18.4,0.25,1.35,0.88,0.03
Thomas Foket\Thomas-Foket,DF,Reims,fr Ligue 1,25,36.9,2.25,11.9,0.16,1.54,2.55,0.03
Ramón Folch\Ramon-Folch,MF,Elche,es La Liga,30,0.0,0,0,0,0,0,0
Lamine Fomba\Lamine-Fomba,MF,Nîmes,fr Ligue 1,22,24.2,2.93,26.9,0.87,1.74,1.65,0.08
Thomas Fontaine\Thomas-Fontaine,DF,Lorient,fr Ligue 1,29,3.6,1.39,9.72,0.56,0.28,5.28,0.00
José Fontán\Jose-Fontan,DF,Celta Vigo,es La Liga,20,7.2,1.94,13.5,0.42,1.25,6.25,0.00
