,,,,,,Tack,Pres,Bloc,,,
Player,Pos,Squad,Comp,Age,90s,Tkl,Press,Sh,Int,Clr,Err
,,,,,,,,,,,
Nathan Aké\Nathan-Ake,DF,Manchester City,eng Premier League,25,8.9,1.69,8.20,0.22,0.67,2.92,0.00
Paul Akouokou\Paul-Akouokou,MF,Betis,es La Liga,22,4.2,2.86,17.9,0.24,1.43,1.90,0.00
Jean-Daniel Akpa-Akpro\Jean-Daniel-Akpa-Akpro,MF,Lazio,it Serie A,27,11.7,3.93,30.3,0.51,1.54,1.20,0.00
Kevin Akpoguma\Kevin-Akpoguma,DF,Hoffenheim,de Bundesliga,25,13.2,1.82,13.5,1.21,0.76,3.33,0.08
David Alaba\David-Alaba,DFMF,Bayern Munich,de Bundesliga,28,29.7,1.38,11.6,0.51,1.21,3.16,0.07
Sofiane Alakouch\Sofiane-Alakouch,DF,Nîmes,fr Ligue 1,22,16.7,3.71,15.7,0.12,2.04,2.75,0.00
Jony Álamo\Jony-Alamo,MF,Elche,es La Liga,18,0.8,1.25,11.3,0.00,0.00,1.25,0.00
Lucas Alario\Lucas-Alario,FW,Leverkusen,de Bundesliga,27,13.8,0.58,11.0,0.14,0.22,0.65,0.00
Jordi Alba\Jordi-Alba,DF,Barcelona,es La Liga,31,33.6,1.46,10.3,0.12,1.28,1.37,0.00
Luis Alberto\Luis-Alberto,MF,Lazio,it Serie A,27,29.1,1.48,18.5,0.07,0.72,0.41,0.00
Raúl Albiol\Raul-Albiol,DF,Villarreal,es La Liga,34,34.6,0.84,5.78,0.69,0.66,4.91,0.03
Marc Albrighton\Marc-Albrighton,DFFW,Leicester City,eng Premier League,30,19.4,2.22,17.5,0.10,1.44,1.34,0.00
Paco Alcácer\Paco-Alcacer,FW,Villarreal,es La Liga,26,17.2,0.29,9.71,0.00,0.41,0.29,0.00
Pedro Alcalá\Pedro-Alcala,DF,Cádiz,es La Liga,31,10.1,0.79,6.53,1.19,2.18,6.24,0.00
Thiago Alcántara\Thiago-Alcantara,MF,Liverpool,eng Premier League,29,20.6,3.30,22.4,0.05,2.04,1.02,0.00
Rubén Alcaraz\Ruben-Alcaraz,MF,Valladolid,es La Liga,29,24.1,2.28,23.0,0.37,1.20,1.58,0.04
Omar Alderete\Omar-Alderete,DF,Hertha BSC,de Bundesliga,23,14.4,1.46,9.58,0.76,0.97,6.94,0.14
Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,eng Premier League,31,24.9,1.53,8.11,1.29,0.60,6.51,0.00
Iván Alejo\Ivan-Alejo,MFFW,Cádiz,es La Liga,25,9.2,2.17,25.2,0.22,0.22,0.98,0.00
Carles Aleñá\Carles-Alena,MF,Barcelona,es La Liga,22,0.5,0.00,28.0,0.00,0.00,0.00,0.00
Carles Aleñá\Carles-Alena,MFFW,Getafe,es La Liga,22,15.2,1.18,17.1,0.07,0.46,0.59,0.00
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,GK,Arsenal,eng Premier League,25,0.2,0.00,0.00,0.00,0.00,0.00,0.00
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,eng Premier League,21,33.7,1.72,9.73,0.12,1.45,2.11,0.06
Alfon\Alfon,MF,Celta Vigo,es La Liga,21,0.4,0.00,12.5,0.00,0.00,0.00,0.00
Mohamed Ali Cho\Mohamed-Ali-Cho,FWMF,Angers,fr Ligue 1,16,3.9,2.56,26.7,0.26,0.77,0.00,0.00
Ezgjan Alioski\Ezgjan-Alioski,DF,Leeds United,eng Premier League,28,27.3,3.00,19.6,0.22,1.32,2.23,0.00
Rachid Alioui\Rachid-Alioui,FW,Angers,fr Ligue 1,28,0.2,0.00,5.00,0.00,0.00,0.00,0.00
Alisson\Alisson,GK,Liverpool,eng Premier League,27,33.0,0.00,0.15,0.00,0.00,0.03,0.21
Saturnin Allagbé\Saturnin-Allagbe,GK,Dijon,fr Ligue 1,26,12.0,0.00,0.33,0.00,0.00,0.08,0.17
Allan\Allan,MF,Everton,eng Premier League,29,22.8,3.29,29.5,0.57,1.01,1.32,0.00
Dele Alli\Dele-Alli,MF,Tottenham,eng Premier League,24,6.9,2.90,31.6,0.14,1.45,0.58,0.00
Miguel Almirón\Miguel-Almiron,MFFW,Newcastle Utd,eng Premier League,26,27.0,1.78,18.7,0.19,1.00,0.89,0.04
Marcos Alonso\Marcos-Alonso,DF,Chelsea,eng Premier League,29,10.7,1.21,13.1,0.09,1.03,3.46,0.00
