,,,,,,SCA,SCA,SCA
Player,Pos,Squad,Comp,Age,90s,SCA,Drib,Def
,,,,,,,,
Moussa Djenepo\Moussa-Djenepo,MF,Southampton,eng Premier League,22,13.8,2.25,0.72,0.00
Koffi Djidji\Koffi-Djidji,DF,Crotone,it Serie A,27,16.9,0.59,0.00,0.00
Alexander Djiku\Alexander-Djiku,DFMF,Strasbourg,fr Ligue 1,25,28.4,0.60,0.00,0.07
Berat Djimsiti\Berat-Djimsiti,DF,Atalanta,it Serie A,27,29.2,1.30,0.03,0.00
Marko Dmitrović\Marko-Dmitrovic,GK,Eibar,es La Liga,28,34.7,0.20,0.00,0.00
Ritsu Doan\Ritsu-Doan,MFFW,Arminia,de Bundesliga,22,30.8,2.89,0.58,0.03
Mihai Dobre\Mihai-Dobre,FWMF,Dijon,fr Ligue 1,21,5.9,2.03,0.34,0.17
Matt Doherty\Matt-Doherty,DF,Tottenham,eng Premier League,28,13.8,1.59,0.07,0.00
Jeremy Doku\Jeremy-Doku,MFFW,Rennes,fr Ligue 1,18,25.7,3.50,0.39,0.12
Kasper Dolberg\Kasper-Dolberg,FW,Nice,fr Ligue 1,22,21.4,1.26,0.09,0.00
Keagan Dolly\Keagan-Dolly,MF,Montpellier,fr Ligue 1,27,5.0,3.00,0.20,0.00
Jaume Doménech\Jaume-Domenech,GK,Valencia,es La Liga,29,28.0,0.04,0.00,0.00
Carlos Dominguez\Carlos-Dominguez,DF,Celta Vigo,es La Liga,19,4.0,0.25,0.00,0.00
Nicolás Domínguez\Nicolas-Dominguez,MF,Bologna,it Serie A,22,13.9,3.17,0.14,0.29
John Donald\John-Donald,DFFW,Elche,es La Liga,19,0.6,0.00,0.00,0.00
Ji Dong-won\Ji-Dong-won,FWDF,Mainz 05,de Bundesliga,29,0.7,2.86,0.00,0.00
Anastasios Donis\Anastasios-Donis,MF,Reims,fr Ligue 1,23,1.1,0.91,0.00,0.00
Gianluigi Donnarumma\Gianluigi-Donnarumma,GK,Milan,it Serie A,21,37.0,0.16,0.00,0.00
Gabriel Dos Santos\Gabriel-Dos-Santos,DF,Arsenal,eng Premier League,22,22.2,0.45,0.05,0.00
Bas Dost\Bas-Dost,FW,Eint Frankfurt,de Bundesliga,31,9.1,1.98,0.00,0.00
Lucas Douath\Lucas-Douath,MF,Saint-Étienne,fr Ligue 1,16,14.7,0.95,0.14,0.14
Abdoulaye Doucouré\Abdoulaye-Doucoure,MF,Everton,eng Premier League,27,27.1,1.51,0.04,0.07
Cheick Doucouré\Cheick-Doucoure,MF,Lens,fr Ligue 1,20,29.2,2.05,0.24,0.03
Fodé Doucouré\Fode-Doucoure,DF,Reims,fr Ligue 1,19,3.7,1.89,0.00,0.00
Mahamadou Doucouré\Mahamadou-Doucoure,FW,Nîmes,fr Ligue 1,20,0.5,0.00,0.00,0.00
Cheick Doukouré\Cheick-Doukoure,MF,Levante,es La Liga,27,1.1,0.91,0.00,0.00
Idrissa Doumbia\Idrissa-Doumbia,MF,Huesca,es La Liga,22,8.7,1.03,0.00,0.23
Moussa Doumbia\Moussa-Doumbia,MFFW,Reims,fr Ligue 1,25,10.0,3.30,0.10,0.00
Souleyman Doumbia\Souleyman-Doumbia,DF,Angers,fr Ligue 1,23,24.7,1.01,0.00,0.04
Aleksandar Dragović\Aleksandar-Dragovic,DF,Leverkusen,de Bundesliga,29,12.6,1.27,0.00,0.08
Bartłomiej Drągowski\Bartlomiej-Dragowski,GK,Fiorentina,it Serie A,22,35.0,0.06,0.00,0.00
Denis Drăguș\Denis-Dragus,FWMF,Crotone,it Serie A,21,2.0,1.00,0.00,0.00
Radu Drăgușin\Radu-Dragusin,DF,Juventus,it Serie A,18,0.0,0,0,0
Mouhamadou Drammeh\Mouhamadou-Drammeh,MF,Reims,fr Ligue 1,21,1.9,1.58,0.00,0.00
Julian Draxler\Julian-Draxler,MFFW,Paris S-G,fr Ligue 1,26,11.8,3.73,0.08,0.17
Dominick Drexler\Dominick-Drexler,MFFW,Köln,de Bundesliga,30,13.7,2.26,0.07,0.07
Matthieu Dreyer\Matthieu-Dreyer,GK,Lorient,fr Ligue 1,31,15.0,0.07,0.00,0.00
Domingos Duarte\Domingos-Duarte,DF,Granada,es La Liga,25,26.3,0.42,0.00,0.00
Léo Duarte\Leo-Duarte,DF,Milan,it Serie A,24,0.2,0.00,0.00,0.00
Óscar Duarte\Oscar-Duarte,DF,Levante,es La Liga,31,22.9,0.44,0.00,0.00
Rubén Duarte\Ruben-Duarte,DF,Alavés,es La Liga,24,28.3,1.70,0.00,0.00
Leo Dubois\Leo-Dubois,DF,Lyon,fr Ligue 1,25,32.3,3.59,0.09,0.00
Martin Dúbravka\Martin-Dubravka,GK,Newcastle Utd,eng Premier League,31,13.0,0.00,0.00,0.00
Ondrej Duda\Ondrej-Duda,FWMF,Köln,de Bundesliga,25,28.2,3.01,0.25,0.00
Unai Dufur\Unai-Dufur,DF,Eibar,es La Liga,21,0.7,0.00,0.00,0.00
Haris Duljević\Haris-Duljevic,MFFW,Nîmes,fr Ligue 1,26,8.6,2.79,0.12,0.12
Paul Dummett\Paul-Dummett,DF,Newcastle Utd,eng Premier League,28,13.9,0.36,0.00,0.00
Alfred Duncan\Alfred-Duncan,MF,Fiorentina,it Serie A,27,1.8,2.22,0.00,0.00
Alfred Duncan\Alfred-Duncan,MF,Cagliari,it Serie A,27,11.9,1.51,0.00,0.00
Lewis Dunk\Lewis-Dunk,DF,Brighton,eng Premier League,28,32.6,0.58,0.00,0.00
Jimmy Dunne\Jimmy-Dunne,DF,Burnley,eng Premier League,22,3.0,1.00,0.00,0.00
Erik Durm\Erik-Durm,DF,Eint Frankfurt,de Bundesliga,28,16.4,1.65,0.12,0.00
Hugo Duro\Hugo-Duro,FW,Real Madrid,es La Liga,20,0.6,1.67,0.00,0.00
Jean-Kevin Duverne\Jean-Kevin-Duverne,DF,Brest,fr Ligue 1,23,22.5,0.44,0.04,0.00
Paulo Dybala\Paulo-Dybala,FW,Juventus,it Serie A,26,12.6,4.92,0.40,0.00
Edin Džeko\Edin-Dzeko,FW,Roma,it Serie A,34,20.3,3.10,0.25,0.10
Steeve-Mike Ebongue\Steeve-Mike-Ebongue,MF,Genoa,it Serie A,19,0.6,3.33,0.00,1.67
Enzo Ebosse\Enzo-Ebosse,DF,Angers,fr Ligue 1,21,2.9,0.34,0.00,0.00
Bruno Ecuele Manga\Bruno-Ecuele-Manga,DF,Dijon,fr Ligue 1,32,38.0,0.18,0.03,0.00
Simone Edera\Simone-Edera,DFMF,Torino,it Serie A,23,0.6,3.33,0.00,0.00
Ederson\Ederson,GK,Manchester City,eng Premier League,26,36.0,0.14,0.00,0.00
Kyle Edwards\Kyle-Edwards,MFFW,West Brom,eng Premier League,22,1.3,0.77,0.00,0.00
John Egan\John-Egan,DF,Sheffield Utd,eng Premier League,27,29.2,0.45,0.00,0.03
Johannes Eggestein\Johannes-Eggestein,FWMF,Werder Bremen,de Bundesliga,22,0.4,2.50,0.00,0.00
Maximilian Eggestein\Maximilian-Eggestein,MF,Werder Bremen,de Bundesliga,23,32.7,1.77,0.00,0.06
Lilian Egloff\Lilian-Egloff,MF,Stuttgart,de Bundesliga,17,0.2,0.00,0.00,0.00
Kingsley Ehizibue\Kingsley-Ehizibue,DF,Köln,de Bundesliga,25,12.6,1.27,0.16,0.00
Albin Ekdal\Albin-Ekdal,MF,Sampdoria,it Serie A,31,25.5,1.10,0.08,0.16
Hugo Ekitike\Hugo-Ekitike,MFFW,Reims,fr Ligue 1,18,1.0,2.00,1.00,0.00
Anthony Elanga\Anthony-Elanga,FW,Manchester Utd,eng Premier League,18,1.7,1.18,0.59,0.00
Niclas Eliasson\Niclas-Eliasson,MFFW,Nîmes,fr Ligue 1,24,20.0,2.60,0.10,0.00
Elif Elmas\Elif-Elmas,MFFW,Napoli,it Serie A,20,8.2,2.56,0.37,0.00
Ahmed Elmohamady\Ahmed-Elmohamady,DF,Aston Villa,eng Premier League,32,9.3,2.26,0.00,0.11
Mohamed Elneny\Mohamed-Elneny,MF,Arsenal,eng Premier League,28,17.2,0.93,0.06,0.00
Aritz Elustondo\Aritz-Elustondo,DF,Real Sociedad,es La Liga,26,20.9,0.72,0.00,0.00
Nico Elvedi\Nico-Elvedi,DF,M'Gladbach,de Bundesliga,23,28.2,0.46,0.00,0.04
Rodrigo Ely\Rodrigo-Ely,DF,Alavés,es La Liga,26,5.2,0.58,0.00,0.00
Sepe Elye Wahi\Sepe-Elye-Wahi,FW,Montpellier,fr Ligue 1,17,6.2,2.42,0.16,0.00
Breel Embolo\Breel-Embolo,FWMF,M'Gladbach,de Bundesliga,23,16.0,2.94,0.19,0.00
Emerson\Emerson,DF,Betis,es La Liga,21,33.2,1.93,0.03,0.03
Manu Emmanuel Gyabuaa\Manu-Emmanuel-Gyabuaa,MF,Atalanta,it Serie A,18,0.0,0,0,0
Renaud Emond\Renaud-Emond,FWMF,Nantes,fr Ligue 1,28,3.9,2.31,0.00,0.26
Alan Empereur\Alan-Empereur,DF,Hellas Verona,it Serie A,26,2.4,0.42,0.00,0.00
Youssef En-Nesyri\Youssef-En-Nesyri,FW,Sevilla,es La Liga,23,25.7,1.44,0.16,0.12
Keita Endo\Keita-Endo,MFFW,Union Berlin,de Bundesliga,22,5.1,2.75,0.20,0.39
Wataru Endo\Wataru-Endo,MF,Stuttgart,de Bundesliga,27,32.8,2.04,0.03,0.12
Sergi Enrich\Sergi-Enrich,FW,Eibar,es La Liga,30,15.6,2.05,0.00,0.13
Christian Eriksen\Christian-Eriksen,MF,Inter,it Serie A,28,15.4,3.31,0.00,0.00
Martin Erlic\Martin-Erlic,DF,Spezia,it Serie A,22,20.0,0.20,0.00,0.00
Patrick Erras\Patrick-Erras,MFFW,Werder Bremen,de Bundesliga,25,0.3,6.67,0.00,0.00
Gonzalo Escalante\Gonzalo-Escalante,MF,Lazio,it Serie A,27,8.1,1.48,0.00,0.12
Aarón Escandell\Aaron-Escandell,GK,Granada,es La Liga,24,5.0,0.00,0.00,0.00
Dani Escriche\Dani-Escriche,FWMF,Huesca,es La Liga,22,9.5,2.42,0.21,0.11
Sergio Escudero\Sergio-Escudero,DF,Sevilla,es La Liga,30,6.3,1.75,0.00,0.00
Alfonso Espino\Alfonso-Espino,DF,Cádiz,es La Liga,28,28.9,0.76,0.03,0.03
Vicente Esquerdo\Vicente-Esquerdo,MF,Valencia,es La Liga,21,2.6,1.15,0.00,0.38
Nahuel Estévez\Nahuel-Estevez,MF,Spezia,it Serie A,24,19.6,2.40,0.00,0.00
Pervis Estupiñán\Pervis-Estupinan,DF,Villarreal,es La Liga,22,13.0,2.15,0.08,0.00
Yoann Etienne\Yoann-Etienne,DF,Lorient,fr Ligue 1,23,1.0,1.00,0.00,0.00
Xabier Etxeita\Xabier-Etxeita,DF,Getafe,es La Liga,32,9.8,0.20,0.00,0.00
Jonny Evans\Jonny-Evans,DF,Leicester City,eng Premier League,32,27.5,0.51,0.00,0.00
Edu Expósito\Edu-Exposito,MF,Eibar,es La Liga,23,27.3,3.08,0.26,0.11
Valentin Eysseric\Valentin-Eysseric,MFFW,Fiorentina,it Serie A,28,8.1,1.98,0.12,0.00
Eberechi Eze\Eberechi-Eze,MF,Crystal Palace,eng Premier League,22,28.4,2.92,0.35,0.07
Jokin Ezkieta\Jokin-Ezkieta,GK,Athletic Club,es La Liga,23,1.0,0.00,0.00,0.00
Łukasz Fabiański\Lukasz-Fabianski,GK,West Ham,eng Premier League,35,35.0,0.03,0.00,0.00
Fabinho\Fabinho,DFMF,Liverpool,eng Premier League,26,28.5,0.81,0.00,0.04
Fábio\Fabio,DF,Nantes,fr Ligue 1,30,16.7,1.68,0.00,0.00
Cesc Fàbregas\Cesc-Fabregas,MF,Monaco,fr Ligue 1,33,9.7,4.85,0.21,0.00
Bandiougou Fadiga\Bandiougou-Fadiga,FWMF,Paris S-G,fr Ligue 1,19,0.7,2.86,0.00,0.00
Bandiougou Fadiga\Bandiougou-Fadiga,MF,Brest,fr Ligue 1,19,0.5,4.00,0.00,0.00
Wout Faes\Wout-Faes,DF,Reims,fr Ligue 1,22,32.2,0.34,0.00,0.03
Nicolò Fagioli\Nicolo-Fagioli,MF,Juventus,it Serie A,19,0.2,5.00,0.00,0.00
Ralf Fährmann\Ralf-Fahrmann,GK,Schalke 04,de Bundesliga,31,20.8,0.34,0.00,0.00
Romain Faivre\Romain-Faivre,MFFW,Brest,fr Ligue 1,22,32.1,4.67,0.37,0.06
Fali\Fali,DFMF,Cádiz,es La Liga,26,29.3,0.68,0.07,0.00
Iago Falque\Iago-Falque,MFFW,Benevento,it Serie A,30,4.0,7.25,1.00,0.25
Andri Fannar Baldursson\Andri-Fannar-Baldursson,MF,Bologna,it Serie A,18,2.4,1.67,0.00,0.00
Paolo Faragò\Paolo-Farago,DF,Bologna,it Serie A,27,0.3,6.67,0.00,0.00
Paolo Faragò\Paolo-Farago,DFMF,Cagliari,it Serie A,27,4.1,1.95,0.00,0.00
Davide Faraoni\Davide-Faraoni,DF,Hellas Verona,it Serie A,28,32.1,1.31,0.12,0.00
Mohamed Fares\Mohamed-Fares,DF,Lazio,it Serie A,24,12.7,2.20,0.08,0.08
Diego Farias\Diego-Farias,FW,Spezia,it Serie A,30,16.8,3.10,0.18,0.12
Wuilker Faríñez\Wuilker-Farinez,GK,Lens,fr Ligue 1,22,1.2,0.00,0.00,0.00
Noah Fatar\Noah-Fatar,FWMF,Angers,fr Ligue 1,18,0.2,0.00,0.00,0.00
Ansu Fati\Ansu-Fati,FW,Barcelona,es La Liga,17,4.8,3.96,0.21,0.00
Julien Faussurier\Julien-Faussurier,DF,Brest,fr Ligue 1,33,10.6,2.92,0.00,0.19
Andrea Favilli\Andrea-Favilli,FW,Hellas Verona,it Serie A,23,3.8,2.63,0.26,0.26
Federico Fazio\Federico-Fazio,DF,Roma,it Serie A,33,4.5,0.67,0.00,0.00
Nabil Fekir\Nabil-Fekir,MFFW,Betis,es La Liga,27,29.1,4.74,0.62,0.03
Felipe\Felipe,DF,Atlético Madrid,es La Liga,31,22.9,0.35,0.00,0.00
Luiz Felipe\Luiz-Felipe,DF,Lazio,it Serie A,23,10.1,0.69,0.00,0.00
Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,DF,Augsburg,de Bundesliga,22,29.0,0.34,0.00,0.03
João Félix\Joao-Felix,FWMF,Atlético Madrid,es La Liga,20,17.5,2.63,0.29,0.00
Zinedine Ferhat\Zinedine-Ferhat,FWMF,Nîmes,fr Ligue 1,27,32.9,3.43,0.43,0.06
Bruno Fernandes\Bruno-Fernandes,MF,Manchester Utd,eng Premier League,25,34.4,4.88,0.12,0.09
Edimilson Fernandes\Edimilson-Fernandes,MFDF,Mainz 05,de Bundesliga,24,9.3,1.61,0.00,0.00
Aitor Fernández\Aitor-Fernandez,GK,Levante,es La Liga,29,29.0,0.03,0.00,0.00
Álex Fernández\Alex-Fernandez,MF,Cádiz,es La Liga,27,21.6,1.85,0.00,0.00
Álvaro Fernández\Alvaro-Fernandez,GK,Huesca,es La Liga,22,22.0,0.14,0.00,0.00
Andrés Fernández\Andres-Fernandez,GK,Huesca,es La Liga,33,16.0,0.00,0.00,0.00
Augusto Fernández\Augusto-Fernandez,MF,Cádiz,es La Liga,34,4.1,0.24,0.00,0.00
Carlos Fernández\Carlos-Fernandez,FW,Sevilla,es La Liga,24,1.6,3.13,0.00,0.00
Carlos Fernández\Carlos-Fernandez,FWMF,Real Sociedad,es La Liga,24,4.3,2.56,0.00,0.00
Federico Fernández\Federico-Fernandez,DF,Newcastle Utd,eng Premier League,31,23.1,0.48,0.00,0.00
Joaquín Fernández\Joaquin-Fernandez,DF,Valladolid,es La Liga,24,23.0,0.52,0.00,0.00
Fernandinho\Fernandinho,MF,Manchester City,eng Premier League,35,13.2,2.20,0.23,0.38
Fernando\Fernando,MF,Sevilla,es La Liga,33,28.3,1.27,0.04,0.04
Alex Ferrari\Alex-Ferrari,DF,Sampdoria,it Serie A,26,9.8,0.61,0.00,0.00
David Ferreiro\David-Ferreiro,MFFW,Huesca,es La Liga,32,28.1,3.77,0.18,0.00
Salvador Ferrer\Salvador-Ferrer,DF,Spezia,it Serie A,22,13.2,,,
Facundo Ferreyra\Facundo-Ferreyra,FW,Celta Vigo,es La Liga,29,3.3,0.61,0.00,0.00
Jordan Ferri\Jordan-Ferri,MF,Montpellier,fr Ligue 1,28,28.6,1.96,0.00,0.17
Marco Festa\Marco-Festa,GK,Crotone,it Serie A,28,1.0,0.00,0.00,0.00
Fidel\Fidel,MFDF,Elche,es La Liga,30,26.6,2.71,0.15,0.00
Sam Field\Sam-Field,MF,West Brom,eng Premier League,22,0.7,0.00,0.00,0.00
Alfreð Finnbogason\Alfred-Finnbogason,FW,Augsburg,de Bundesliga,31,6.0,3.17,0.33,0.00
Roberto Firmino\Roberto-Firmino,FW,Liverpool,eng Premier League,28,31.5,3.40,0.38,0.03
Junior Firpo\Junior-Firpo,DF,Barcelona,es La Liga,23,3.2,2.50,0.00,0.31
John Fleck\John-Fleck,MF,Sheffield Utd,eng Premier League,28,28.6,2.31,0.10,0.03
Mark Flekken\Mark-Flekken,GK,Freiburg,de Bundesliga,27,3.0,0.00,0.00,0.00
Florian Flick\Florian-Flick,MF,Schalke 04,de Bundesliga,20,4.0,0.75,0.00,0.00
Alexis Flips\Alexis-Flips,MF,Reims,fr Ligue 1,20,0.5,2.00,0.00,0.00
Alessandro Florenzi\Alessandro-Florenzi,DF,Paris S-G,fr Ligue 1,29,17.1,1.58,0.00,0.00
Kingsley Fobi\Kingsley-Fobi,DF,Granada,es La Liga,21,0.5,0.00,0.00,0.00
Phil Foden\Phil-Foden,FWMF,Manchester City,eng Premier League,20,18.0,3.72,0.50,0.06
Mamadou Fofana\Mamadou-Fofana,MFDF,Metz,fr Ligue 1,22,11.9,0.42,0.00,0.00
Seko Fofana\Seko-Fofana,MF,Lens,fr Ligue 1,25,25.7,2.33,0.12,0.04
Wesley Fofana\Wesley-Fofana,DF,Leicester City,eng Premier League,19,25.1,0.72,0.00,0.04
Wesley Fofana\Wesley-Fofana,DF,Saint-Étienne,fr Ligue 1,19,3.5,0.86,0.00,0.00
Youssouf Fofana\Youssouf-Fofana,MF,Monaco,fr Ligue 1,21,31.9,2.04,0.16,0.06
Thomas Foket\Thomas-Foket,DF,Reims,fr Ligue 1,25,36.9,1.22,0.00,0.03
Ramón Folch\Ramon-Folch,MF,Elche,es La Liga,30,0.0,0,0,0
Lamine Fomba\Lamine-Fomba,MF,Nîmes,fr Ligue 1,22,24.2,1.24,0.12,0.04
Thomas Fontaine\Thomas-Fontaine,DF,Lorient,fr Ligue 1,29,3.6,0.00,0.00,0.00
José Fontán\Jose-Fontan,DF,Celta Vigo,es La Liga,20,7.2,0.56,0.00,0.00
José Fonte\Jose-Fonte,DF,Lille,fr Ligue 1,36,35.4,0.73,0.00,0.00
Fernando Forestieri\Fernando-Forestieri,FWMF,Udinese,it Serie A,30,6.1,2.62,0.00,0.00
Pablo Fornals\Pablo-Fornals,FWMF,West Ham,eng Premier League,24,28.6,2.48,0.03,0.03
Emil Forsberg\Emil-Forsberg,FWMF,RB Leipzig,de Bundesliga,28,17.1,4.39,0.35,0.12
Fraser Forster\Fraser-Forster,GK,Southampton,eng Premier League,32,8.0,0.00,0.00,0.00
Philipp Förster\Philipp-Forster,FWMF,Stuttgart,de Bundesliga,25,16.8,3.45,0.36,0.00
Steven Fortes\Steven-Fortes,DF,Lens,fr Ligue 1,28,15.9,0.57,0.00,0.00
Yassin Fortune\Yassin-Fortune,FW,Angers,fr Ligue 1,21,0.2,0.00,0.00,0.00
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,Manchester Utd,eng Premier League,22,0.9,4.44,0.00,0.00
Timothy Fosu-Mensah\Timothy-Fosu-Mensah,DF,Leverkusen,de Bundesliga,22,4.5,1.33,0.00,0.00
Daam Foulon\Daam-Foulon,DF,Benevento,it Serie A,21,11.3,0.88,0.00,0.00
Dimitri Foulquier\Dimitri-Foulquier,DF,Granada,es La Liga,27,29.6,0.78,0.00,0.00
Juan Foyth\Juan-Foyth,DFMF,Villarreal,es La Liga,22,13.0,0.85,0.00,0.00
Gianluca Frabotta\Gianluca-Frabotta,DF,Juventus,it Serie A,21,7.7,1.95,0.13,0.00
Raphael Framberger\Raphael-Framberger,DF,Augsburg,de Bundesliga,24,17.1,1.23,0.06,0.06
Tyrese Francois\Tyrese-Francois,DF,Fulham,eng Premier League,20,0.2,0.00,0.00,0.00
Ryan Fraser\Ryan-Fraser,FWMF,Newcastle Utd,eng Premier League,26,10.3,3.69,0.00,0.00
Fred\Fred,MF,Manchester Utd,eng Premier League,27,26.6,2.52,0.08,0.11
Ryan Fredericks\Ryan-Fredericks,DFFW,West Ham,eng Premier League,27,6.3,3.33,0.16,0.32
Remo Freuler\Remo-Freuler,MF,Atalanta,it Serie A,28,30.1,2.59,0.17,0.13
Marco Friedl\Marco-Friedl,DF,Werder Bremen,de Bundesliga,22,30.9,0.78,0.03,0.03
Marvin Friedrich\Marvin-Friedrich,DF,Union Berlin,de Bundesliga,24,34.0,0.76,0.03,0.00
Jeremie Frimpong\Jeremie-Frimpong,DFFW,Leverkusen,de Bundesliga,19,4.8,2.08,0.21,0.00
Jorge de Frutos\Jorge-de-Frutos,MFFW,Levante,es La Liga,23,24.3,3.00,0.16,0.21
Christian Fuchs\Christian-Fuchs,DF,Leicester City,eng Premier League,34,7.8,0.38,0.00,0.00
Angelo Fulgini\Angelo-Fulgini,MF,Angers,fr Ligue 1,23,30.3,3.73,0.23,0.03
Niclas Füllkrug\Niclas-Fullkrug,FWMF,Werder Bremen,de Bundesliga,27,9.7,1.86,0.21,0.00
Ramiro Funes Mori\Ramiro-Funes-Mori,DF,Villarreal,es La Liga,29,8.1,0.37,0.00,0.00
Darnell Furlong\Darnell-Furlong,DF,West Brom,eng Premier League,24,32.6,1.04,0.00,0.00
Daniel Fuzato\Daniel-Fuzato,GK,Roma,it Serie A,23,5.0,0.00,0.00,0.00
Baptiste Gabard\Baptiste-Gabard,MF,Saint-Étienne,fr Ligue 1,20,1.5,0.67,0.00,0.00
Matteo Gabbia\Matteo-Gabbia,DF,Milan,it Serie A,20,6.2,0.48,0.00,0.00
Manolo Gabbiadini\Manolo-Gabbiadini,FW,Sampdoria,it Serie A,28,9.7,2.68,0.21,0.10
Mijat Gaćinović\Mijat-Gacinovic,DFMF,Hoffenheim,de Bundesliga,25,9.1,2.64,0.11,0.00
Roberto Gagliardini\Roberto-Gagliardini,MF,Inter,it Serie A,26,13.7,1.24,0.07,0.00
Riccardo Gagliolo\Riccardo-Gagliolo,DF,Parma,it Serie A,30,21.7,1.61,0.00,0.09
Adolfo Gaich\Adolfo-Gaich,FW,Benevento,it Serie A,21,8.5,1.65,0.24,0.24
Andrey Galabinov\Andrey-Galabinov,FW,Spezia,it Serie A,31,4.8,1.25,0.00,0.00
Javi Galán\Javi-Galan,DF,Huesca,es La Liga,25,34.1,2.02,0.09,0.00
Conor Gallagher\Conor-Gallagher,MF,West Brom,eng Premier League,20,28.1,1.46,0.11,0.04
Enric Gallego\Enric-Gallego,FW,Osasuna,es La Liga,33,9.0,1.78,0.00,0.00
Kévin Gameiro\Kevin-Gameiro,FW,Valencia,es La Liga,33,12.0,1.17,0.00,0.00
Idrissa Gana Gueye\Idrissa-Gana-Gueye,MF,Paris S-G,fr Ligue 1,30,17.6,2.61,0.17,0.23
Ignatius Ganago\Ignatius-Ganago,FW,Lens,fr Ligue 1,21,14.5,2.28,0.41,0.14
Aleix García\Aleix-Garcia,MF,Eibar,es La Liga,23,4.9,2.45,0.00,0.00
Borja García\Borja-Garcia,MFFW,Huesca,es La Liga,29,12.4,3.15,0.16,0.00
Dani García\Dani-Garcia,MF,Athletic Club,es La Liga,30,21.3,0.85,0.00,0.09
David García\David-Garcia,DF,Osasuna,es La Liga,26,35.0,0.23,0.00,0.03
Eric García\Eric-Garcia,DF,Manchester City,eng Premier League,19,4.3,0.93,0.00,0.00
Manu García\Manu-Garcia,MF,Alavés,es La Liga,34,12.5,0.88,0.00,0.08
Raúl García\Raul-Garcia,DFMF,Valladolid,es La Liga,31,5.6,1.43,0.00,0.00
Raúl García\Raul-Garcia,FWMF,Athletic Club,es La Liga,34,19.4,1.70,0.05,0.05
Rubén García\Ruben-Garcia,MFFW,Osasuna,es La Liga,27,30.2,2.62,0.07,0.07
Sergi García\Sergi-Garcia,MF,Alavés,es La Liga,21,0.2,0.00,0.00,0.00
Unai García\Unai-Garcia,DF,Osasuna,es La Liga,28,13.8,0.58,0.00,0.00
Mario Gaspar\Mario-Gaspar,DF,Villarreal,es La Liga,29,20.6,1.50,0.05,0.10
Manuel Gasparini\Manuel-Gasparini,GK,Udinese,it Serie A,18,0.0,0,0,0
Dwight Gayle\Dwight-Gayle,FWMF,Newcastle Utd,eng Premier League,29,5.7,2.28,0.00,0.00
Paulo Gazzaniga\Paulo-Gazzaniga,GK,Elche,es La Liga,28,8.0,0.50,0.00,0.00
Jean-Philippe Gbamin\Jean-Philippe-Gbamin,MF,Everton,eng Premier League,24,0.1,0.00,0.00,0.00
Yann Gboho\Yann-Gboho,MFFW,Rennes,fr Ligue 1,19,3.4,4.41,0.88,0.00
David de Gea\David-de-Gea,GK,Manchester Utd,eng Premier League,29,25.5,0.08,0.00,0.00
Christian Gebauer\Christian-Gebauer,MFFW,Arminia,de Bundesliga,26,7.6,1.84,0.00,0.00
Theodor Gebre Selassie\Theodor-Gebre-Selassie,DF,Werder Bremen,de Bundesliga,33,33.7,1.13,0.00,0.00
Emrehan Gedikli\Emrehan-Gedikli,FW,Leverkusen,de Bundesliga,17,0.3,3.33,0.00,0.00
Dennis Geiger\Dennis-Geiger,MF,Hoffenheim,de Bundesliga,22,7.3,3.29,0.00,0.00
Christian Gentner\Christian-Gentner,MF,Union Berlin,de Bundesliga,34,11.5,1.57,0.00,0.00
Yannick Gerhardt\Yannick-Gerhardt,MFFW,Wolfsburg,de Bundesliga,26,21.5,1.77,0.09,0.00
Valère Germain\Valere-Germain,FW,Marseille,fr Ligue 1,30,9.5,0.53,0.00,0.00
Gervinho\Gervinho,FW,Parma,it Serie A,33,22.5,2.53,0.49,0.00
Willem Geubbels\Willem-Geubbels,FWMF,Monaco,fr Ligue 1,18,3.3,1.82,0.00,0.00
Hamadi Al Ghaddioui\Hamadi-Al-Ghaddioui,FWMF,Stuttgart,de Bundesliga,29,0.5,4.00,0.00,0.00
Anwar El Ghazi\Anwar-El-Ghazi,FW,Aston Villa,eng Premier League,25,17.9,3.07,0.22,0.00
Paolo Ghiglione\Paolo-Ghiglione,DFMF,Genoa,it Serie A,23,15.1,2.12,0.07,0.07
Faouzi Ghoulam\Faouzi-Ghoulam,DFFW,Napoli,it Serie A,29,3.2,3.75,0.00,0.00
Kieran Gibbs\Kieran-Gibbs,DF,West Brom,eng Premier League,30,9.0,0.44,0.00,0.00
Morgan Gibbs-White\Morgan-Gibbs-White,MFFW,Wolves,eng Premier League,20,4.6,3.70,0.00,0.00
Niko Gießelmann\Niko-Giesselmann,DF,Union Berlin,de Bundesliga,28,4.8,1.25,0.00,0.00
Rafał Gikiewicz\Rafal-Gikiewicz,GK,Augsburg,de Bundesliga,32,34.0,0.09,0.00,0.00
David Gil\David-Gil,GK,Cádiz,es La Liga,26,4.0,0.00,0.00,0.00
Billy Gilmour\Billy-Gilmour,MF,Chelsea,eng Premier League,19,2.9,1.38,0.00,0.00
Álvaro Giménez\Alvaro-Gimenez,FWMF,Cádiz,es La Liga,29,4.5,0.67,0.00,0.00
Daniel Ginczek\Daniel-Ginczek,FWMF,Wolfsburg,de Bundesliga,29,2.4,2.08,0.00,0.00
